createfood:blocks/apple_cheesecake | minecraft:block | createfood:apple_cheesecake createfood:apple_cheesecake_slice createfood:blocks/apple_cheesecake minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/glow_berry_cream_donut_plate_block | minecraft:block | createfood:blocks/glow_berry_cream_donut_plate_block createfood:glow_berry_cream_donut createfood:glow_berry_cream_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_cream_frosting_bottle_block | minecraft:block | createfood:blocks/glow_berry_cream_frosting_bottle_block createfood:glow_berry_cream_frosting_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/glow_berry_cream_mini_waffle_glow_berry_plate_block | minecraft:block | createfood:blocks/glow_berry_cream_mini_waffle_glow_berry_plate_block createfood:glow_berry_cream_mini_waffle_glow_berry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_cream_mini_waffle_plate_block | minecraft:block | createfood:blocks/glow_berry_cream_mini_waffle_plate_block createfood:glow_berry_cream_mini_waffle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_cream_pastry_plate_block | minecraft:block | createfood:blocks/glow_berry_cream_pastry_plate_block createfood:glow_berry_cream_pastry createfood:glow_berry_cream_pastry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_cream_sweet_roll_glow_berry_plate_block | minecraft:block | createfood:blocks/glow_berry_cream_sweet_roll_glow_berry_plate_block createfood:glow_berry_cream_sweet_roll_glow_berry createfood:glow_berry_cream_sweet_roll_glow_berry_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_cream_sweet_roll_plate_block | minecraft:block | createfood:blocks/glow_berry_cream_sweet_roll_plate_block createfood:glow_berry_cream_sweet_roll createfood:glow_berry_cream_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_cream_white_chocolate_plate_block | minecraft:block | createfood:blocks/glow_berry_cream_white_chocolate_plate_block createfood:glow_berry_cream_white_chocolate createfood:glow_berry_cream_white_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_ice_cream_bowl_block | minecraft:block | createfood:blocks/glow_berry_ice_cream_bowl_block createfood:glow_berry_ice_cream_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/glow_berry_ice_cream_cone_plate_block | minecraft:block | createfood:blocks/glow_berry_ice_cream_cone_plate_block createfood:glow_berry_ice_cream_cone createfood:glow_berry_ice_cream_cone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_ice_cream_sandwich_plate_block | minecraft:block | createfood:blocks/glow_berry_ice_cream_sandwich_plate_block createfood:glow_berry_ice_cream_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_ice_cream_stick_plate_block | minecraft:block | createfood:blocks/glow_berry_ice_cream_stick_plate_block createfood:glow_berry_ice_cream_stick createfood:glow_berry_ice_cream_stick_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_jam_bottle_block | minecraft:block | createfood:blocks/glow_berry_jam_bottle_block createfood:glow_berry_jam_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/glow_berry_jam_sandwich_plate_block | minecraft:block | createfood:blocks/glow_berry_jam_sandwich_plate_block createfood:glow_berry_jam_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_juice_bottle_block | minecraft:block | createfood:blocks/glow_berry_juice_bottle_block createfood:glow_berry_juice_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/glow_berry_milkshake_bottle_block | minecraft:block | createfood:blocks/glow_berry_milkshake_bottle_block createfood:glow_berry_milkshake_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/glow_berry_pie | minecraft:block | createfood:blocks/glow_berry_pie createfood:glow_berry_pie createfood:glow_berry_pie_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/glow_berry_pie_plate_block | minecraft:block | createfood:blocks/glow_berry_pie_plate_block createfood:glow_berry_pie_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/glow_berry_pie_slice_small_plate_block | minecraft:block | createfood:blocks/glow_berry_pie_slice_small_plate_block createfood:glow_berry_pie_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/glow_berry_popsicle_plate_block | minecraft:block | createfood:blocks/glow_berry_popsicle_plate_block createfood:glow_berry_popsicle createfood:glow_berry_popsicle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/gray_gelatin_dessert_block | minecraft:block | createfood:blocks/gray_gelatin_dessert_block createfood:gray_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/gray_gelatin_dessert_slice_plate_block | minecraft:block | createfood:blocks/gray_gelatin_dessert_slice_plate_block createfood:gray_gelatin_dessert_slice createfood:gray_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/green_gelatin_dessert_block | minecraft:block | createfood:blocks/green_gelatin_dessert_block createfood:green_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/green_gelatin_dessert_slice_plate_block | minecraft:block | createfood:blocks/green_gelatin_dessert_slice_plate_block createfood:green_gelatin_dessert_slice createfood:green_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/grilled_cheese_sandwich_plate_block | minecraft:block | createfood:blocks/grilled_cheese_sandwich_plate_block createfood:grilled_cheese_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/gyro_meat_block | minecraft:block | createfood:blocks/gyro_meat_block createfood:gyro_meat_block createfood:gyro_meat_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/gyro_meat_block_plate_block | minecraft:block | createfood:blocks/gyro_meat_block_plate_block createfood:gyro_meat_block_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/gyro_meat_slice_small_plate_block | minecraft:block | createfood:blocks/gyro_meat_slice_small_plate_block createfood:gyro_meat_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/hamburger_bacon_lettuce_plate_block | minecraft:block | createfood:blocks/hamburger_bacon_lettuce_plate_block createfood:hamburger_bacon_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_bacon_lettuce_tomato_plate_block | minecraft:block | createfood:blocks/hamburger_bacon_lettuce_tomato_plate_block createfood:hamburger_bacon_lettuce_tomato_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_bacon_plate_block | minecraft:block | createfood:blocks/hamburger_bacon_plate_block createfood:hamburger_bacon_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_crimson_fungus_plate_block | minecraft:block | createfood:blocks/hamburger_crimson_fungus_plate_block createfood:hamburger_crimson_fungus_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_lettuce_plate_block | minecraft:block | createfood:blocks/hamburger_lettuce_plate_block createfood:hamburger_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_lettuce_tomato_plate_block | minecraft:block | createfood:blocks/hamburger_lettuce_tomato_plate_block createfood:hamburger_lettuce_tomato_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_onion_bacon_lettuce_plate_block | minecraft:block | createfood:blocks/hamburger_onion_bacon_lettuce_plate_block createfood:hamburger_onion_bacon_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_onion_bacon_plate_block | minecraft:block | createfood:blocks/hamburger_onion_bacon_plate_block createfood:hamburger_onion_bacon_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_onion_lettuce_plate_block | minecraft:block | createfood:blocks/hamburger_onion_lettuce_plate_block createfood:hamburger_onion_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_onion_plate_block | minecraft:block | createfood:blocks/hamburger_onion_plate_block createfood:hamburger_onion_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_peanut_butter_bacon_plate_block | minecraft:block | createfood:blocks/hamburger_peanut_butter_bacon_plate_block createfood:hamburger_peanut_butter_bacon_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_peanut_butter_plate_block | minecraft:block | createfood:blocks/hamburger_peanut_butter_plate_block createfood:hamburger_peanut_butter_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_plate_block | minecraft:block | createfood:blocks/hamburger_plate_block createfood:hamburger_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_tomato_plate_block | minecraft:block | createfood:blocks/hamburger_tomato_plate_block createfood:hamburger_tomato_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hamburger_warped_fungus_plate_block | minecraft:block | createfood:blocks/hamburger_warped_fungus_plate_block createfood:hamburger_warped_fungus_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hash_brown_fried_egg_plate_block | minecraft:block | createfood:blocks/hash_brown_fried_egg_plate_block createfood:hash_brown_fried_egg_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/hash_brown_plate_block | minecraft:block | createfood:blocks/hash_brown_plate_block createfood:hash_brown_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/hash_brown_toast_plate_block | minecraft:block | createfood:blocks/hash_brown_toast_plate_block createfood:hash_brown_toast_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/heavy_cream_bottle_block | minecraft:block | createfood:blocks/heavy_cream_bottle_block createfood:heavy_cream_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/hollow_chocolate_plate_block | minecraft:block | createfood:blocks/hollow_chocolate_plate_block createfood:hollow_chocolate createfood:hollow_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hollow_dark_chocolate_plate_block | minecraft:block | createfood:blocks/hollow_dark_chocolate_plate_block createfood:hollow_dark_chocolate createfood:hollow_dark_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hollow_white_chocolate_plate_block | minecraft:block | createfood:blocks/hollow_white_chocolate_plate_block createfood:hollow_white_chocolate createfood:hollow_white_chocolate_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/honey_sandwich_plate_block | minecraft:block | createfood:blocks/honey_sandwich_plate_block createfood:honey_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/honeyed_chocolate_cupcake_plate_block | minecraft:block | createfood:blocks/honeyed_chocolate_cupcake_plate_block createfood:honeyed_chocolate_cupcake createfood:honeyed_chocolate_cupcake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/honeyed_chocolate_donut_plate_block | minecraft:block | createfood:blocks/honeyed_chocolate_donut_plate_block createfood:honeyed_chocolate_donut createfood:honeyed_chocolate_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/honeyed_chocolate_sweet_roll_plate_block | minecraft:block | createfood:blocks/honeyed_chocolate_sweet_roll_plate_block createfood:honeyed_chocolate_sweet_roll createfood:honeyed_chocolate_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/honeyed_cupcake_plate_block | minecraft:block | createfood:blocks/honeyed_cupcake_plate_block createfood:honeyed_cupcake createfood:honeyed_cupcake_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/honeyed_donut_plate_block | minecraft:block | createfood:blocks/honeyed_donut_plate_block createfood:honeyed_donut createfood:honeyed_donut_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/honeyed_mini_waffle_plate_block | minecraft:block | createfood:blocks/honeyed_mini_waffle_plate_block createfood:honeyed_mini_waffle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/honeyed_muffin_plate_block | minecraft:block | createfood:blocks/honeyed_muffin_plate_block createfood:honeyed_muffin createfood:honeyed_muffin_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/honeyed_sweet_roll_plate_block | minecraft:block | createfood:blocks/honeyed_sweet_roll_plate_block createfood:honeyed_sweet_roll createfood:honeyed_sweet_roll_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/honeyed_toast_plate_block | minecraft:block | createfood:blocks/honeyed_toast_plate_block createfood:honeyed_toast_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/hot_chocolate_bottle_block | minecraft:block | createfood:blocks/hot_chocolate_bottle_block createfood:hot_chocolate_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/hot_dark_chocolate_bottle_block | minecraft:block | createfood:blocks/hot_dark_chocolate_bottle_block createfood:hot_dark_chocolate_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/hot_white_chocolate_bottle_block | minecraft:block | createfood:blocks/hot_white_chocolate_bottle_block createfood:hot_white_chocolate_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/ice_cream_bowl_block | minecraft:block | createfood:blocks/ice_cream_bowl_block createfood:ice_cream_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/ice_cream_cone_plate_block | minecraft:block | createfood:blocks/ice_cream_cone_plate_block createfood:ice_cream_cone createfood:ice_cream_cone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/ice_cream_sandwich_neapolitan_plate_block | minecraft:block | createfood:blocks/ice_cream_sandwich_neapolitan_plate_block createfood:ice_cream_sandwich_neapolitan_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/ice_cream_sandwich_plate_block | minecraft:block | createfood:blocks/ice_cream_sandwich_plate_block createfood:ice_cream_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/ice_cream_stick_plate_block | minecraft:block | createfood:blocks/ice_cream_stick_plate_block createfood:ice_cream_stick createfood:ice_cream_stick_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_beetroot_plate_block | minecraft:block | createfood:blocks/kelp_roll_beetroot_plate_block createfood:kelp_roll_beetroot createfood:kelp_roll_beetroot_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_brown_mushroom_plate_block | minecraft:block | createfood:blocks/kelp_roll_brown_mushroom_plate_block createfood:kelp_roll_brown_mushroom createfood:kelp_roll_brown_mushroom_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_crimson_fungus_plate_block | minecraft:block | createfood:blocks/kelp_roll_crimson_fungus_plate_block createfood:kelp_roll_crimson_fungus createfood:kelp_roll_crimson_fungus_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_fish_plate_block | minecraft:block | createfood:blocks/kelp_roll_fish_plate_block createfood:kelp_roll_fish createfood:kelp_roll_fish_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_lettuce_plate_block | minecraft:block | createfood:blocks/kelp_roll_lettuce_plate_block createfood:kelp_roll_lettuce createfood:kelp_roll_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_onion_plate_block | minecraft:block | createfood:blocks/kelp_roll_onion_plate_block createfood:kelp_roll_onion createfood:kelp_roll_onion_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_red_mushroom_plate_block | minecraft:block | createfood:blocks/kelp_roll_red_mushroom_plate_block createfood:kelp_roll_red_mushroom createfood:kelp_roll_red_mushroom_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_rice_plate_block | minecraft:block | createfood:blocks/kelp_roll_rice_plate_block createfood:kelp_roll_rice createfood:kelp_roll_rice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_beetroot_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_beetroot_plate_block createfood:kelp_roll_slice_beetroot createfood:kelp_roll_slice_beetroot_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_beetroot_small_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_beetroot_small_plate_block createfood:kelp_roll_slice_beetroot_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/kelp_roll_slice_brown_mushroom_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_brown_mushroom_plate_block createfood:kelp_roll_slice_brown_mushroom createfood:kelp_roll_slice_brown_mushroom_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_brown_mushroom_small_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_brown_mushroom_small_plate_block createfood:kelp_roll_slice_brown_mushroom_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/kelp_roll_slice_crimson_fungus_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_crimson_fungus_plate_block createfood:kelp_roll_slice_crimson_fungus createfood:kelp_roll_slice_crimson_fungus_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_crimson_fungus_small_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_crimson_fungus_small_plate_block createfood:kelp_roll_slice_crimson_fungus_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/kelp_roll_slice_fish_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_fish_plate_block createfood:kelp_roll_slice_fish createfood:kelp_roll_slice_fish_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_fish_small_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_fish_small_plate_block createfood:kelp_roll_slice_fish_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/kelp_roll_slice_lettuce_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_lettuce_plate_block createfood:kelp_roll_slice_lettuce createfood:kelp_roll_slice_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_lettuce_small_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_lettuce_small_plate_block createfood:kelp_roll_slice_lettuce_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/kelp_roll_slice_onion_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_onion_plate_block createfood:kelp_roll_slice_onion createfood:kelp_roll_slice_onion_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_onion_small_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_onion_small_plate_block createfood:kelp_roll_slice_onion_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/kelp_roll_slice_red_mushroom_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_red_mushroom_plate_block createfood:kelp_roll_slice_red_mushroom createfood:kelp_roll_slice_red_mushroom_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_red_mushroom_small_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_red_mushroom_small_plate_block createfood:kelp_roll_slice_red_mushroom_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/kelp_roll_slice_rice_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_rice_plate_block createfood:kelp_roll_slice_rice createfood:kelp_roll_slice_rice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_rice_small_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_rice_small_plate_block createfood:kelp_roll_slice_rice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/kelp_roll_slice_tomato_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_tomato_plate_block createfood:kelp_roll_slice_tomato createfood:kelp_roll_slice_tomato_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_tomato_small_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_tomato_small_plate_block createfood:kelp_roll_slice_tomato_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/kelp_roll_slice_warped_fungus_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_warped_fungus_plate_block createfood:kelp_roll_slice_warped_fungus createfood:kelp_roll_slice_warped_fungus_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_slice_warped_fungus_small_plate_block | minecraft:block | createfood:blocks/kelp_roll_slice_warped_fungus_small_plate_block createfood:kelp_roll_slice_warped_fungus_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/kelp_roll_tomato_plate_block | minecraft:block | createfood:blocks/kelp_roll_tomato_plate_block createfood:kelp_roll_tomato createfood:kelp_roll_tomato_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_roll_warped_fungus_plate_block | minecraft:block | createfood:blocks/kelp_roll_warped_fungus_plate_block createfood:kelp_roll_warped_fungus createfood:kelp_roll_warped_fungus_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/kelp_soup_bowl_block | minecraft:block | createfood:blocks/kelp_soup_bowl_block createfood:kelp_soup_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/leather_soup_bowl_block | minecraft:block | createfood:blocks/leather_soup_bowl_block createfood:leather_soup_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/light_blue_gelatin_dessert_block | minecraft:block | createfood:blocks/light_blue_gelatin_dessert_block createfood:light_blue_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/light_blue_gelatin_dessert_slice_plate_block | minecraft:block | createfood:blocks/light_blue_gelatin_dessert_slice_plate_block createfood:light_blue_gelatin_dessert_slice createfood:light_blue_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/light_gray_gelatin_dessert_block | minecraft:block | createfood:blocks/light_gray_gelatin_dessert_block createfood:light_gray_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/light_gray_gelatin_dessert_slice_plate_block | minecraft:block | createfood:blocks/light_gray_gelatin_dessert_slice_plate_block createfood:light_gray_gelatin_dessert_slice createfood:light_gray_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/lime_gelatin_dessert_block | minecraft:block | createfood:blocks/lime_gelatin_dessert_block createfood:lime_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/lime_gelatin_dessert_slice_plate_block | minecraft:block | createfood:blocks/lime_gelatin_dessert_slice_plate_block createfood:lime_gelatin_dessert_slice createfood:lime_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/macaroni_bowl_bacon_block | minecraft:block | createfood:blocks/macaroni_bowl_bacon_block createfood:macaroni_bowl_bacon_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/macaroni_bowl_block | minecraft:block | createfood:blocks/macaroni_bowl_block createfood:macaroni_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/macaroni_bowl_cheese_bacon_block | minecraft:block | createfood:blocks/macaroni_bowl_cheese_bacon_block createfood:macaroni_bowl_cheese_bacon_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/macaroni_bowl_cheese_block | minecraft:block | createfood:blocks/macaroni_bowl_cheese_block createfood:macaroni_bowl_cheese_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/macaroni_bowl_cheese_sausage_block | minecraft:block | createfood:blocks/macaroni_bowl_cheese_sausage_block createfood:macaroni_bowl_cheese_sausage_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/macaroni_bowl_sausage_block | minecraft:block | createfood:blocks/macaroni_bowl_sausage_block createfood:macaroni_bowl_sausage_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/magenta_gelatin_dessert_block | minecraft:block | createfood:blocks/magenta_gelatin_dessert_block createfood:magenta_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/magenta_gelatin_dessert_slice_plate_block | minecraft:block | createfood:blocks/magenta_gelatin_dessert_slice_plate_block createfood:magenta_gelatin_dessert_slice createfood:magenta_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/magma_cream_marshmallow_stick_plate_block | minecraft:block | createfood:blocks/magma_cream_marshmallow_stick_plate_block createfood:magma_cream_marshmallow_stick createfood:magma_cream_marshmallow_stick_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/marshmallow_butterscotch_fudge_plate_block | minecraft:block | createfood:blocks/marshmallow_butterscotch_fudge_plate_block createfood:marshmallow_butterscotch_fudge createfood:marshmallow_butterscotch_fudge_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
