quark:blocks/acacia_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:acacia_bookshelf quark:blocks/acacia_bookshelf
quark:blocks/lavender_blossom_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:blocks/lavender_blossom_leaves quark:lavender_blossom_leaves quark:lavender_blossom_sapling
quark:blocks/lavender_blossom_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/lavender_blossom_sapling quark:lavender_blossom_sapling
quark:blocks/light_blue_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/light_blue_framed_glass quark:light_blue_framed_glass
quark:blocks/light_blue_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/light_blue_framed_glass_pane quark:light_blue_framed_glass_pane
quark:blocks/light_blue_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/light_blue_shingles quark:light_blue_shingles
quark:blocks/light_blue_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/light_blue_shingles_slab quark:light_blue_shingles_slab
quark:blocks/light_blue_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/light_blue_shingles_stairs quark:light_blue_shingles_stairs
quark:blocks/light_blue_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/light_blue_shingles_vertical_slab quark:light_blue_shingles_vertical_slab
quark:blocks/light_blue_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/light_blue_stool quark:light_blue_stool
quark:blocks/light_gray_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/light_gray_framed_glass quark:light_gray_framed_glass
quark:blocks/light_gray_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/light_gray_framed_glass_pane quark:light_gray_framed_glass_pane
quark:blocks/light_gray_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/light_gray_shingles quark:light_gray_shingles
quark:blocks/light_gray_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/light_gray_shingles_slab quark:light_gray_shingles_slab
quark:blocks/light_gray_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/light_gray_shingles_stairs quark:light_gray_shingles_stairs
quark:blocks/light_gray_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/light_gray_shingles_vertical_slab quark:light_gray_shingles_vertical_slab
quark:blocks/light_gray_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/light_gray_stool quark:light_gray_stool
quark:blocks/lime_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/lime_framed_glass quark:lime_framed_glass
quark:blocks/lime_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/lime_framed_glass_pane quark:lime_framed_glass_pane
quark:blocks/lime_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/lime_shingles quark:lime_shingles
quark:blocks/lime_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/lime_shingles_slab quark:lime_shingles_slab
quark:blocks/lime_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/lime_shingles_stairs quark:lime_shingles_stairs
quark:blocks/lime_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/lime_shingles_vertical_slab quark:lime_shingles_vertical_slab
quark:blocks/lime_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/lime_stool quark:lime_stool
quark:blocks/limestone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/limestone quark:limestone
quark:blocks/limestone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/limestone_bricks quark:limestone_bricks
quark:blocks/limestone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/limestone_bricks_slab quark:limestone_bricks_slab
quark:blocks/limestone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/limestone_bricks_stairs quark:limestone_bricks_stairs
quark:blocks/limestone_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/limestone_bricks_vertical_slab quark:limestone_bricks_vertical_slab
quark:blocks/limestone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/limestone_bricks_wall quark:limestone_bricks_wall
quark:blocks/limestone_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/limestone_pillar quark:limestone_pillar
quark:blocks/limestone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/limestone_slab quark:limestone_slab
quark:blocks/limestone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/limestone_stairs quark:limestone_stairs
quark:blocks/limestone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/limestone_vertical_slab quark:limestone_vertical_slab
quark:blocks/limestone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/limestone_wall quark:limestone_wall
quark:blocks/magenta_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/magenta_framed_glass quark:magenta_framed_glass
quark:blocks/magenta_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/magenta_framed_glass_pane quark:magenta_framed_glass_pane
quark:blocks/magenta_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/magenta_shingles quark:magenta_shingles
quark:blocks/magenta_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/magenta_shingles_slab quark:magenta_shingles_slab
quark:blocks/magenta_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/magenta_shingles_stairs quark:magenta_shingles_stairs
quark:blocks/magenta_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/magenta_shingles_vertical_slab quark:magenta_shingles_vertical_slab
quark:blocks/magenta_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/magenta_stool quark:magenta_stool
quark:blocks/magnet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/magnet quark:magnet
quark:blocks/mangrove_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:blocks/mangrove_bookshelf quark:mangrove_bookshelf
quark:blocks/mangrove_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/mangrove_chest quark:mangrove_chest
quark:blocks/mangrove_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/mangrove_hedge quark:mangrove_hedge
quark:blocks/mangrove_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/mangrove_ladder quark:mangrove_ladder
quark:blocks/mangrove_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/mangrove_leaf_carpet quark:mangrove_leaf_carpet
quark:blocks/mangrove_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/mangrove_post quark:mangrove_post
quark:blocks/mangrove_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/mangrove_vertical_slab quark:mangrove_vertical_slab
quark:blocks/matrix_enchanter | minecraft:block | minecraft:block minecraft:enchanting_table minecraft:item minecraft:survives_explosion quark:blocks/matrix_enchanter
quark:blocks/midori_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/midori_block quark:midori_block
quark:blocks/midori_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/midori_block_slab quark:midori_block_slab
quark:blocks/midori_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/midori_block_stairs quark:midori_block_stairs
quark:blocks/midori_block_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/midori_block_vertical_slab quark:midori_block_vertical_slab
quark:blocks/midori_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/midori_pillar quark:midori_pillar
quark:blocks/monster_box | minecraft:block | minecraft:block quark:blocks/monster_box
quark:blocks/mossy_cobblestone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/mossy_cobblestone_bricks quark:mossy_cobblestone_bricks
quark:blocks/mossy_cobblestone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/mossy_cobblestone_bricks_slab quark:mossy_cobblestone_bricks_slab
quark:blocks/mossy_cobblestone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/mossy_cobblestone_bricks_stairs quark:mossy_cobblestone_bricks_stairs
quark:blocks/mossy_cobblestone_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/mossy_cobblestone_bricks_vertical_slab quark:mossy_cobblestone_bricks_vertical_slab
quark:blocks/mossy_cobblestone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/mossy_cobblestone_bricks_wall quark:mossy_cobblestone_bricks_wall
quark:blocks/mossy_cobblestone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/mossy_cobblestone_vertical_slab quark:mossy_cobblestone_vertical_slab
quark:blocks/mossy_stone_brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/mossy_stone_brick_vertical_slab quark:mossy_stone_brick_vertical_slab
quark:blocks/mud_brick_lattice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/mud_brick_lattice quark:mud_brick_lattice
quark:blocks/mud_brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/mud_brick_vertical_slab quark:mud_brick_vertical_slab
quark:blocks/mud_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/mud_pillar quark:mud_pillar
quark:blocks/myalite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/myalite quark:myalite
quark:blocks/myalite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/myalite_bricks quark:myalite_bricks
quark:blocks/myalite_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/myalite_bricks_slab quark:myalite_bricks_slab
quark:blocks/myalite_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/myalite_bricks_stairs quark:myalite_bricks_stairs
quark:blocks/myalite_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/myalite_bricks_vertical_slab quark:myalite_bricks_vertical_slab
quark:blocks/myalite_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/myalite_bricks_wall quark:myalite_bricks_wall
quark:blocks/myalite_crystal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/myalite_crystal quark:myalite_crystal
quark:blocks/myalite_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/myalite_pillar quark:myalite_pillar
quark:blocks/myalite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/myalite_slab quark:myalite_slab
quark:blocks/myalite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/myalite_stairs quark:myalite_stairs
quark:blocks/myalite_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/myalite_vertical_slab quark:myalite_vertical_slab
quark:blocks/myalite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/myalite_wall quark:myalite_wall
quark:blocks/nether_brick_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/nether_brick_chest quark:nether_brick_chest
quark:blocks/nether_brick_fence_gate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/nether_brick_fence_gate quark:nether_brick_fence_gate
quark:blocks/nether_brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/nether_brick_vertical_slab quark:nether_brick_vertical_slab
quark:blocks/nether_wart_sack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/nether_wart_sack quark:nether_wart_sack
quark:blocks/netherrack_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/netherrack_bricks quark:netherrack_bricks
quark:blocks/netherrack_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/netherrack_bricks_slab quark:netherrack_bricks_slab
quark:blocks/netherrack_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/netherrack_bricks_stairs quark:netherrack_bricks_stairs
quark:blocks/netherrack_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/netherrack_bricks_vertical_slab quark:netherrack_bricks_vertical_slab
quark:blocks/netherrack_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/netherrack_bricks_wall quark:netherrack_bricks_wall
quark:blocks/oak_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/oak_chest quark:oak_chest
quark:blocks/oak_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/oak_hedge quark:oak_hedge
quark:blocks/oak_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/oak_leaf_carpet quark:oak_leaf_carpet
quark:blocks/oak_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/oak_post quark:oak_post
quark:blocks/oak_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/oak_vertical_slab quark:oak_vertical_slab
quark:blocks/obsidian_pressure_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/obsidian_pressure_plate quark:obsidian_pressure_plate
quark:blocks/orange_blossom_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_blossom_hedge quark:orange_blossom_hedge
quark:blocks/orange_blossom_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_blossom_leaf_carpet quark:orange_blossom_leaf_carpet
quark:blocks/orange_blossom_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:blocks/orange_blossom_leaves quark:orange_blossom_leaves quark:orange_blossom_sapling
quark:blocks/orange_blossom_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_blossom_sapling quark:orange_blossom_sapling
quark:blocks/orange_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_corundum quark:orange_corundum
quark:blocks/orange_corundum_cluster | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_corundum_cluster quark:orange_corundum_cluster
quark:blocks/orange_corundum_pane | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:blocks/orange_corundum_pane quark:orange_corundum_pane
quark:blocks/orange_crystal_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_crystal_lamp quark:orange_crystal_lamp
quark:blocks/orange_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_framed_glass quark:orange_framed_glass
quark:blocks/orange_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_framed_glass_pane quark:orange_framed_glass_pane
quark:blocks/orange_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_shingles quark:orange_shingles
quark:blocks/orange_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/orange_shingles_slab quark:orange_shingles_slab
quark:blocks/orange_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_shingles_stairs quark:orange_shingles_stairs
quark:blocks/orange_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/orange_shingles_vertical_slab quark:orange_shingles_vertical_slab
quark:blocks/orange_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/orange_stool quark:orange_stool
quark:blocks/oxidized_cut_copper_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/oxidized_cut_copper_vertical_slab quark:oxidized_cut_copper_vertical_slab
quark:blocks/paper_lantern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/paper_lantern quark:paper_lantern
quark:blocks/paper_lantern_sakura | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/paper_lantern_sakura quark:paper_lantern_sakura
quark:blocks/paper_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/paper_wall quark:paper_wall
quark:blocks/paper_wall_big | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/paper_wall_big quark:paper_wall_big
quark:blocks/paper_wall_sakura | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/paper_wall_sakura quark:paper_wall_sakura
quark:blocks/permafrost | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/permafrost quark:permafrost
quark:blocks/permafrost_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/permafrost_bricks quark:permafrost_bricks
quark:blocks/permafrost_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/permafrost_bricks_slab quark:permafrost_bricks_slab
quark:blocks/permafrost_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/permafrost_bricks_stairs quark:permafrost_bricks_stairs
quark:blocks/permafrost_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/permafrost_bricks_vertical_slab quark:permafrost_bricks_vertical_slab
quark:blocks/permafrost_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/permafrost_bricks_wall quark:permafrost_bricks_wall
quark:blocks/permafrost_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/permafrost_slab quark:permafrost_slab
quark:blocks/permafrost_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/permafrost_stairs quark:permafrost_stairs
quark:blocks/permafrost_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/permafrost_vertical_slab quark:permafrost_vertical_slab
quark:blocks/permafrost_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/permafrost_wall quark:permafrost_wall
quark:blocks/pink_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/pink_framed_glass quark:pink_framed_glass
quark:blocks/pink_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/pink_framed_glass_pane quark:pink_framed_glass_pane
quark:blocks/pink_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/pink_shingles quark:pink_shingles
quark:blocks/pink_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/pink_shingles_slab quark:pink_shingles_slab
quark:blocks/pink_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/pink_shingles_stairs quark:pink_shingles_stairs
quark:blocks/pink_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/pink_shingles_vertical_slab quark:pink_shingles_vertical_slab
quark:blocks/pink_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/pink_stool quark:pink_stool
quark:blocks/pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/pipe quark:pipe
quark:blocks/polished_andesite_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_andesite_vertical_slab quark:polished_andesite_vertical_slab
quark:blocks/polished_blackstone_brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_blackstone_brick_vertical_slab quark:polished_blackstone_brick_vertical_slab
quark:blocks/polished_blackstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_blackstone_vertical_slab quark:polished_blackstone_vertical_slab
quark:blocks/polished_calcite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_calcite quark:polished_calcite
quark:blocks/polished_calcite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_calcite_slab quark:polished_calcite_slab
quark:blocks/polished_calcite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_calcite_stairs quark:polished_calcite_stairs
quark:blocks/polished_calcite_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_calcite_vertical_slab quark:polished_calcite_vertical_slab
quark:blocks/polished_deepslate_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_deepslate_vertical_slab quark:polished_deepslate_vertical_slab
quark:blocks/polished_diorite_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_diorite_vertical_slab quark:polished_diorite_vertical_slab
quark:blocks/polished_dripstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_dripstone quark:polished_dripstone
quark:blocks/polished_dripstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_dripstone_slab quark:polished_dripstone_slab
quark:blocks/polished_dripstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_dripstone_stairs quark:polished_dripstone_stairs
quark:blocks/polished_dripstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_dripstone_vertical_slab quark:polished_dripstone_vertical_slab
quark:blocks/polished_granite_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_granite_vertical_slab quark:polished_granite_vertical_slab
quark:blocks/polished_jasper | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_jasper quark:polished_jasper
quark:blocks/polished_jasper_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_jasper_slab quark:polished_jasper_slab
quark:blocks/polished_jasper_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_jasper_stairs quark:polished_jasper_stairs
quark:blocks/polished_jasper_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_jasper_vertical_slab quark:polished_jasper_vertical_slab
quark:blocks/polished_limestone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_limestone quark:polished_limestone
quark:blocks/polished_limestone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_limestone_slab quark:polished_limestone_slab
quark:blocks/polished_limestone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_limestone_stairs quark:polished_limestone_stairs
quark:blocks/polished_limestone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_limestone_vertical_slab quark:polished_limestone_vertical_slab
quark:blocks/polished_myalite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_myalite quark:polished_myalite
quark:blocks/polished_myalite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_myalite_slab quark:polished_myalite_slab
quark:blocks/polished_myalite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_myalite_stairs quark:polished_myalite_stairs
quark:blocks/polished_myalite_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_myalite_vertical_slab quark:polished_myalite_vertical_slab
quark:blocks/polished_shale | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_shale quark:polished_shale
quark:blocks/polished_shale_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_shale_slab quark:polished_shale_slab
quark:blocks/polished_shale_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/polished_shale_stairs quark:polished_shale_stairs
quark:blocks/polished_shale_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_shale_vertical_slab quark:polished_shale_vertical_slab
