upgrade_aquatic:blocks/acan_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:acan_coral upgrade_aquatic:blocks/acan_coral
upgrade_aquatic:blocks/rock_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/rock_coralstone upgrade_aquatic:dead_coralstone upgrade_aquatic:rock_coralstone
upgrade_aquatic:blocks/rock_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/rock_coralstone_slab upgrade_aquatic:dead_coralstone_slab upgrade_aquatic:rock_coralstone_slab
upgrade_aquatic:blocks/rock_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/rock_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs upgrade_aquatic:rock_coralstone_stairs
upgrade_aquatic:blocks/rock_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/rock_coralstone_wall upgrade_aquatic:dead_coralstone_wall upgrade_aquatic:rock_coralstone_wall
upgrade_aquatic:blocks/scute_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/scute_block upgrade_aquatic:scute_block
upgrade_aquatic:blocks/scute_pavement | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/scute_pavement upgrade_aquatic:scute_pavement
upgrade_aquatic:blocks/scute_pavement_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/scute_pavement_slab upgrade_aquatic:scute_pavement_slab
upgrade_aquatic:blocks/scute_pavement_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/scute_pavement_stairs upgrade_aquatic:scute_pavement_stairs
upgrade_aquatic:blocks/scute_pavement_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/scute_pavement_wall upgrade_aquatic:scute_pavement_wall
upgrade_aquatic:blocks/scute_shingle_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/scute_shingle_slab upgrade_aquatic:scute_shingle_slab
upgrade_aquatic:blocks/scute_shingle_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/scute_shingle_stairs upgrade_aquatic:scute_shingle_stairs
upgrade_aquatic:blocks/scute_shingle_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/scute_shingle_wall upgrade_aquatic:scute_shingle_wall
upgrade_aquatic:blocks/scute_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/scute_shingles upgrade_aquatic:scute_shingles
upgrade_aquatic:blocks/silk_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/silk_coral upgrade_aquatic:silk_coral
upgrade_aquatic:blocks/silk_coral_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/silk_coral_block upgrade_aquatic:dead_silk_coral_block upgrade_aquatic:silk_coral_block
upgrade_aquatic:blocks/silk_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/silk_coral_fan upgrade_aquatic:silk_coral_fan
upgrade_aquatic:blocks/silk_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/silk_coralstone upgrade_aquatic:dead_coralstone upgrade_aquatic:silk_coralstone
upgrade_aquatic:blocks/silk_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/silk_coralstone_slab upgrade_aquatic:dead_coralstone_slab upgrade_aquatic:silk_coralstone_slab
upgrade_aquatic:blocks/silk_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/silk_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs upgrade_aquatic:silk_coralstone_stairs
upgrade_aquatic:blocks/silk_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/silk_coralstone_wall upgrade_aquatic:dead_coralstone_wall upgrade_aquatic:silk_coralstone_wall
upgrade_aquatic:blocks/star_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/star_coral upgrade_aquatic:star_coral
upgrade_aquatic:blocks/star_coral_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/star_coral_block upgrade_aquatic:dead_star_coral_block upgrade_aquatic:star_coral_block
upgrade_aquatic:blocks/star_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:blocks/star_coral_fan upgrade_aquatic:star_coral_fan
upgrade_aquatic:blocks/star_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/star_coralstone upgrade_aquatic:dead_coralstone upgrade_aquatic:star_coralstone
upgrade_aquatic:blocks/star_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/star_coralstone_slab upgrade_aquatic:dead_coralstone_slab upgrade_aquatic:star_coralstone_slab
upgrade_aquatic:blocks/star_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/star_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs upgrade_aquatic:star_coralstone_stairs
upgrade_aquatic:blocks/star_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/star_coralstone_wall upgrade_aquatic:dead_coralstone_wall upgrade_aquatic:star_coralstone_wall
upgrade_aquatic:blocks/stripped_driftwood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/stripped_driftwood upgrade_aquatic:stripped_driftwood
upgrade_aquatic:blocks/stripped_driftwood_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/stripped_driftwood_log upgrade_aquatic:stripped_driftwood_log
upgrade_aquatic:blocks/stripped_river_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/stripped_river_log upgrade_aquatic:stripped_river_log
upgrade_aquatic:blocks/stripped_river_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/stripped_river_wood upgrade_aquatic:stripped_river_wood
upgrade_aquatic:blocks/tall_beachgrass | minecraft:block | minecraft:alternatives minecraft:beetroot_seeds minecraft:block minecraft:block_state_property minecraft:item minecraft:location_check minecraft:match_tool minecraft:random_chance minecraft:set_count minecraft:survives_explosion upgrade_aquatic:blocks/tall_beachgrass upgrade_aquatic:tall_beachgrass
upgrade_aquatic:blocks/tall_pickerelweed | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tall_pickerelweed upgrade_aquatic:pickerelweed
upgrade_aquatic:blocks/tooth_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tooth_block upgrade_aquatic:tooth_block
upgrade_aquatic:blocks/tooth_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/tooth_brick_slab upgrade_aquatic:tooth_brick_slab
upgrade_aquatic:blocks/tooth_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tooth_brick_stairs upgrade_aquatic:tooth_brick_stairs
upgrade_aquatic:blocks/tooth_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tooth_brick_wall upgrade_aquatic:tooth_brick_wall
upgrade_aquatic:blocks/tooth_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tooth_bricks upgrade_aquatic:tooth_bricks
upgrade_aquatic:blocks/tooth_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tooth_door upgrade_aquatic:tooth_door
upgrade_aquatic:blocks/tooth_lantern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tooth_lantern upgrade_aquatic:tooth_lantern
upgrade_aquatic:blocks/tooth_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:blocks/tooth_slab upgrade_aquatic:tooth_slab
upgrade_aquatic:blocks/tooth_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tooth_stairs upgrade_aquatic:tooth_stairs
upgrade_aquatic:blocks/tooth_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tooth_tiles upgrade_aquatic:tooth_tiles
upgrade_aquatic:blocks/tooth_trapdoor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tooth_trapdoor upgrade_aquatic:tooth_trapdoor
upgrade_aquatic:blocks/tooth_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/tooth_wall upgrade_aquatic:tooth_wall
upgrade_aquatic:blocks/trapped_driftwood_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/trapped_driftwood_chest upgrade_aquatic:trapped_driftwood_chest
upgrade_aquatic:blocks/trapped_river_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/trapped_river_chest upgrade_aquatic:trapped_river_chest
upgrade_aquatic:blocks/tube_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/tube_coralstone upgrade_aquatic:dead_coralstone upgrade_aquatic:tube_coralstone
upgrade_aquatic:blocks/tube_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:blocks/tube_coralstone_slab upgrade_aquatic:dead_coralstone_slab upgrade_aquatic:tube_coralstone_slab
upgrade_aquatic:blocks/tube_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/tube_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs upgrade_aquatic:tube_coralstone_stairs
upgrade_aquatic:blocks/tube_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:blocks/tube_coralstone_wall upgrade_aquatic:dead_coralstone_wall upgrade_aquatic:tube_coralstone_wall
upgrade_aquatic:blocks/white_jelly_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/white_jelly_torch upgrade_aquatic:white_jelly_torch
upgrade_aquatic:blocks/white_searocket | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/white_searocket upgrade_aquatic:white_searocket
upgrade_aquatic:blocks/yellow_jelly_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:blocks/yellow_jelly_torch upgrade_aquatic:yellow_jelly_torch
upgrade_aquatic:entities/box_jellyfish | minecraft:entity | minecraft:entity upgrade_aquatic:entities/box_jellyfish
upgrade_aquatic:entities/cassiopea_jellyfish | minecraft:entity | minecraft:entity upgrade_aquatic:entities/cassiopea_jellyfish
upgrade_aquatic:entities/flare | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:phantom_membrane minecraft:set_count minecraft:uniform upgrade_aquatic:entities/flare
upgrade_aquatic:entities/goose | minecraft:entity | minecraft:entity upgrade_aquatic:entities/goose
upgrade_aquatic:entities/great_thrasher | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform upgrade_aquatic:disc_fragment_atlantis upgrade_aquatic:entities/great_thrasher upgrade_aquatic:thrasher_tooth
upgrade_aquatic:entities/immortal_jellyfish | minecraft:entity | minecraft:entity upgrade_aquatic:entities/immortal_jellyfish
upgrade_aquatic:entities/lionfish | minecraft:entity | minecraft:any_of minecraft:bone_meal minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:random_chance upgrade_aquatic:entities/lionfish upgrade_aquatic:lionfish
upgrade_aquatic:entities/nautilus | minecraft:entity | minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:nautilus_shell minecraft:random_chance_with_enchanted_bonus upgrade_aquatic:entities/nautilus
upgrade_aquatic:entities/perch | minecraft:entity | minecraft:any_of minecraft:bone_meal minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:random_chance upgrade_aquatic:entities/perch upgrade_aquatic:perch
upgrade_aquatic:entities/pike | minecraft:entity | minecraft:any_of minecraft:bone_meal minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:random_chance upgrade_aquatic:entities/pike upgrade_aquatic:pike
upgrade_aquatic:entities/thrasher | minecraft:entity | minecraft:entity minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count upgrade_aquatic:entities/thrasher upgrade_aquatic:thrasher_tooth
