dtterralith:blocks/acacia_amethyst_leaves | minecraft:block | dtterralith:blocks/acacia_amethyst_leaves dynamictrees:seasonal_seed_drop_chance dynamictrees:seed_item minecraft:acacia_leaves minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
dtterralith:trees/voluntary/mega_red_pine | minecraft:block | dtterralith:mega_red_pine_seed dtterralith:trees/voluntary/mega_red_pine dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/mirage | minecraft:block | dtterralith:mirage_seed dtterralith:trees/voluntary/mirage dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/moonlight_pine | minecraft:block | dtterralith:moonlight_pine_seed dtterralith:trees/voluntary/moonlight_pine dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/moonlight_spruce | minecraft:block | dtterralith:moonlight_spruce_seed dtterralith:trees/voluntary/moonlight_spruce dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/oasis | minecraft:block | dtterralith:oasis_seed dtterralith:trees/voluntary/oasis dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/orange_pine | minecraft:block | dtterralith:orange_pine_seed dtterralith:trees/voluntary/orange_pine dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/poplar | minecraft:block | dtterralith:poplar_seed dtterralith:trees/voluntary/poplar dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/red_pine | minecraft:block | dtterralith:red_pine_seed dtterralith:trees/voluntary/red_pine dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/sakura | minecraft:block | dtterralith:sakura_seed dtterralith:trees/voluntary/sakura dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
dtterralith:trees/voluntary/silverleaf_poplar | minecraft:block | dtterralith:silverleaf_poplar_seed dtterralith:trees/voluntary/silverleaf_poplar dynamictrees:voluntary_seed_drop_chance minecraft:block minecraft:item
