extradelight:blocks/acacia_counter_cabinet | minecraft:block | extradelight:acacia_counter_cabinet extradelight:blocks/acacia_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dough_shaping | minecraft:block | extradelight:blocks/dough_shaping extradelight:dough_shaping minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/dried_corn_husk_bundle | minecraft:block | extradelight:blocks/dried_corn_husk_bundle extradelight:dried_corn_husk_bundle minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/drying_rack | minecraft:block | extradelight:blocks/drying_rack extradelight:drying_rack_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/egg_crate | minecraft:block | extradelight:blocks/egg_crate extradelight:egg_crate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/evaporator | minecraft:block | extradelight:blocks/evaporator minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fish_stew_block | minecraft:block | extradelight:blocks/fish_stew_block extradelight:fish_stew_block extradelight:serving_pot minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/flour | minecraft:block | extradelight:blocks/flour extradelight:flour minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/flour_sack | minecraft:block | extradelight:blocks/flour_sack extradelight:flour_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/flowering_azalea_wreath | minecraft:block | extradelight:blocks/flowering_azalea_wreath extradelight:flowering_azalea_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_bowl | minecraft:block | extradelight:blocks/fruit_bowl minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_button | minecraft:block | extradelight:blocks/fruit_button extradelight:fruit_button minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_cabinet | minecraft:block | extradelight:blocks/fruit_cabinet extradelight:fruit_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_counter_cabinet | minecraft:block | extradelight:blocks/fruit_counter_cabinet extradelight:fruit_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_door | minecraft:block | extradelight:blocks/fruit_door extradelight:fruit_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_dried_corn_fence | minecraft:block | extradelight:blocks/fruit_dried_corn_fence extradelight:fruit_dried_corn_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_fence | minecraft:block | extradelight:blocks/fruit_fence extradelight:fruit_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_fence_gate | minecraft:block | extradelight:blocks/fruit_fence_gate extradelight:fruit_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_food_display | minecraft:block | extradelight:blocks/fruit_food_display extradelight:fruit_food_display minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_half_cabinet | minecraft:block | extradelight:blocks/fruit_half_cabinet extradelight:fruit_half_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_knife_block | minecraft:block | extradelight:blocks/fruit_knife_block extradelight:fruit_knife_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_log | minecraft:block | extradelight:blocks/fruit_log extradelight:fruit_log minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_black_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_black_wallpaper extradelight:fruit_molded_black_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_blue_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_blue_wallpaper extradelight:fruit_molded_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_brown_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_brown_wallpaper extradelight:fruit_molded_brown_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_cyan_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_cyan_wallpaper extradelight:fruit_molded_cyan_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_gray_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_gray_wallpaper extradelight:fruit_molded_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_green_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_green_wallpaper extradelight:fruit_molded_green_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_light_blue_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_light_blue_wallpaper extradelight:fruit_molded_light_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_light_gray_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_light_gray_wallpaper extradelight:fruit_molded_light_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_lime_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_lime_wallpaper extradelight:fruit_molded_lime_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_magenta_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_magenta_wallpaper extradelight:fruit_molded_magenta_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_orange_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_orange_wallpaper extradelight:fruit_molded_orange_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_pink_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_pink_wallpaper extradelight:fruit_molded_pink_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_purple_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_purple_wallpaper extradelight:fruit_molded_purple_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_red_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_red_wallpaper extradelight:fruit_molded_red_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_white_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_white_wallpaper extradelight:fruit_molded_white_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_molded_yellow_wallpaper | minecraft:block | extradelight:blocks/fruit_molded_yellow_wallpaper extradelight:fruit_molded_yellow_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_planks | minecraft:block | extradelight:blocks/fruit_planks extradelight:fruit_planks minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_pressure_plate | minecraft:block | extradelight:blocks/fruit_pressure_plate extradelight:fruit_pressure_plate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_sink | minecraft:block | extradelight:blocks/fruit_sink extradelight:fruit_sink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_slab | minecraft:block | extradelight:blocks/fruit_slab extradelight:fruit_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
extradelight:blocks/fruit_spice_rack | minecraft:block | extradelight:blocks/fruit_spice_rack extradelight:fruit_spice_rack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_spice_rack_full | minecraft:block | extradelight:blocks/fruit_spice_rack_full extradelight:fruit_spice_rack_full minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_stairs | minecraft:block | extradelight:blocks/fruit_stairs extradelight:fruit_stairs minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_standing_sign | minecraft:block | extradelight:blocks/fruit_standing_sign minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_step_stool | minecraft:block | extradelight:blocks/fruit_step_stool extradelight:fruit_step_stool minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_trapdoor | minecraft:block | extradelight:blocks/fruit_trapdoor extradelight:fruit_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_wall_sign | minecraft:block | extradelight:blocks/fruit_wall_sign minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fruit_wood | minecraft:block | extradelight:blocks/fruit_wood extradelight:fruit_wood minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/fudge | minecraft:block | extradelight:blocks/fudge extradelight:fudge extradelight:tray minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/funnel | minecraft:block | extradelight:blocks/funnel extradelight:funnel minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/garlic_crate | minecraft:block | extradelight:blocks/garlic_crate extradelight:garlic_crate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/garlic_crop | minecraft:block | extradelight:blocks/garlic_crop extradelight:garlic extradelight:garlic_clove extradelight:garlic_crop minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item minecraft:uniform
extradelight:blocks/gherkins_block | minecraft:block | extradelight:blocks/gherkins_block extradelight:gherkins_block extradelight:pickle_juice minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/ginger_crate | minecraft:block | extradelight:blocks/ginger_crate extradelight:ginger_crate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/ginger_crop | minecraft:block | extradelight:blocks/ginger_crop extradelight:ginger extradelight:ginger_crop extradelight:ginger_cutting minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item minecraft:uniform
extradelight:blocks/gingerbread_cookie_block | minecraft:block | extradelight:blocks/gingerbread_cookie_block extradelight:gingerbread_cookie_block_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_black | minecraft:block | extradelight:blocks/gingham_black extradelight:gingham_black minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_blue | minecraft:block | extradelight:blocks/gingham_blue extradelight:gingham_blue minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_brown | minecraft:block | extradelight:blocks/gingham_brown extradelight:gingham_brown minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_black | minecraft:block | extradelight:blocks/gingham_carpet_black extradelight:gingham_carpet_black minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_blue | minecraft:block | extradelight:blocks/gingham_carpet_blue extradelight:gingham_carpet_blue minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_brown | minecraft:block | extradelight:blocks/gingham_carpet_brown extradelight:gingham_carpet_brown minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_cyan | minecraft:block | extradelight:blocks/gingham_carpet_cyan extradelight:gingham_carpet_cyan minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_gray | minecraft:block | extradelight:blocks/gingham_carpet_gray extradelight:gingham_carpet_gray minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_green | minecraft:block | extradelight:blocks/gingham_carpet_green extradelight:gingham_carpet_green minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_light_blue | minecraft:block | extradelight:blocks/gingham_carpet_light_blue extradelight:gingham_carpet_light_blue minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_light_gray | minecraft:block | extradelight:blocks/gingham_carpet_light_gray extradelight:gingham_carpet_light_gray minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_lime | minecraft:block | extradelight:blocks/gingham_carpet_lime extradelight:gingham_carpet_lime minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_magenta | minecraft:block | extradelight:blocks/gingham_carpet_magenta extradelight:gingham_carpet_magenta minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_orange | minecraft:block | extradelight:blocks/gingham_carpet_orange extradelight:gingham_carpet_orange minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_pink | minecraft:block | extradelight:blocks/gingham_carpet_pink extradelight:gingham_carpet_pink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_purple | minecraft:block | extradelight:blocks/gingham_carpet_purple extradelight:gingham_carpet_purple minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_red | minecraft:block | extradelight:blocks/gingham_carpet_red extradelight:gingham_carpet_red minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_white | minecraft:block | extradelight:blocks/gingham_carpet_white extradelight:gingham_carpet_white minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_carpet_yellow | minecraft:block | extradelight:blocks/gingham_carpet_yellow extradelight:gingham_carpet_yellow minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_cyan | minecraft:block | extradelight:blocks/gingham_cyan extradelight:gingham_cyan minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_gray | minecraft:block | extradelight:blocks/gingham_gray extradelight:gingham_gray minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_green | minecraft:block | extradelight:blocks/gingham_green extradelight:gingham_green minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_light_blue | minecraft:block | extradelight:blocks/gingham_light_blue extradelight:gingham_light_blue minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_light_gray | minecraft:block | extradelight:blocks/gingham_light_gray extradelight:gingham_light_gray minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_lime | minecraft:block | extradelight:blocks/gingham_lime extradelight:gingham_lime minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_magenta | minecraft:block | extradelight:blocks/gingham_magenta extradelight:gingham_magenta minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_orange | minecraft:block | extradelight:blocks/gingham_orange extradelight:gingham_orange minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_pink | minecraft:block | extradelight:blocks/gingham_pink extradelight:gingham_pink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_purple | minecraft:block | extradelight:blocks/gingham_purple extradelight:gingham_purple minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_red | minecraft:block | extradelight:blocks/gingham_red extradelight:gingham_red minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_white | minecraft:block | extradelight:blocks/gingham_white extradelight:gingham_white minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gingham_yellow | minecraft:block | extradelight:blocks/gingham_yellow extradelight:gingham_yellow minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/glow_berry_cheesecake | minecraft:block | extradelight:blocks/glow_berry_cheesecake minecraft:block
extradelight:blocks/glow_berry_cookie_block | minecraft:block | extradelight:blocks/glow_berry_cookie_block extradelight:glow_berry_cookie_block_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/glow_berry_crate | minecraft:block | extradelight:blocks/glow_berry_crate extradelight:glow_berry_crate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/glow_berry_pie | minecraft:block | extradelight:blocks/glow_berry_pie minecraft:block
extradelight:blocks/golden_apple_crate | minecraft:block | extradelight:blocks/golden_apple_crate extradelight:golden_apple_crate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/golden_carrot_crate | minecraft:block | extradelight:blocks/golden_carrot_crate extradelight:golden_carrot_crate_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/grapefruit_crate | minecraft:block | extradelight:blocks/grapefruit_crate extradelight:grapefruit_crate_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/grapefruit_leaves | minecraft:block | extradelight:blocks/grapefruit_leaves extradelight:grapefruit extradelight:grapefruit_leaves extradelight:grapefruit_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
extradelight:blocks/grapefruit_petal_litter | minecraft:block | extradelight:blocks/grapefruit_petal_litter extradelight:grapefruit_petal_litter_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/grapefruit_sapling | minecraft:block | extradelight:blocks/grapefruit_sapling extradelight:grapefruit_sapling minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/grapefruit_wreath | minecraft:block | extradelight:blocks/grapefruit_wreath extradelight:grapefruit_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/grasshopper_pie | minecraft:block | extradelight:blocks/grasshopper_pie extradelight:grasshopper_pie minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gray_chocolate_box | minecraft:block | extradelight:blocks/gray_chocolate_box extradelight:gray_chocolate_box minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/gray_frosted_gingerbread_block | minecraft:block | extradelight:blocks/gray_frosted_gingerbread_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/gray_picnic_basket | minecraft:block | extradelight:blocks/gray_picnic_basket extradelight:gray_picnic_basket minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/green_chocolate_box | minecraft:block | extradelight:blocks/green_chocolate_box extradelight:green_chocolate_box minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/green_coffee_beans_sack | minecraft:block | extradelight:blocks/green_coffee_beans_sack extradelight:green_coffee_bean_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/green_frosted_gingerbread_block | minecraft:block | extradelight:blocks/green_frosted_gingerbread_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/green_picnic_basket | minecraft:block | extradelight:blocks/green_picnic_basket extradelight:green_picnic_basket minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/ground_cinnamon_sack | minecraft:block | extradelight:blocks/ground_cinnamon_sack extradelight:ground_cinnamon_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/ground_coffee_sack | minecraft:block | extradelight:blocks/ground_coffee_sack extradelight:ground_coffee_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/haggis_block | minecraft:block | extradelight:blocks/haggis_block extradelight:haggis_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/hanging_chili | minecraft:block | extradelight:blocks/hanging_chili extradelight:hanging_chili minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hanging_corn | minecraft:block | extradelight:blocks/hanging_corn extradelight:hanging_corn minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hanging_dried_chili | minecraft:block | extradelight:blocks/hanging_dried_chili extradelight:hanging_dried_chili minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hanging_garlic | minecraft:block | extradelight:blocks/hanging_garlic extradelight:hanging_garlic minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hanging_ham | minecraft:block | extradelight:blocks/hanging_ham extradelight:hanging_ham minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hanging_mint | minecraft:block | extradelight:blocks/hanging_mint extradelight:hanging_mint minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hanging_onions | minecraft:block | extradelight:blocks/hanging_onions extradelight:hanging_onion minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hash_block | minecraft:block | extradelight:blocks/hash_block extradelight:hash_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/hazelnut_in_shell_sack | minecraft:block | extradelight:blocks/hazelnut_in_shell_sack extradelight:hazelnut_in_shell_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hazelnut_leaves | minecraft:block | extradelight:blocks/hazelnut_leaves extradelight:hazelnut_leaves extradelight:hazelnut_sapling extradelight:hazelnuts_in_shell minecraft:alternatives minecraft:any_of minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
extradelight:blocks/hazelnut_petal_litter | minecraft:block | extradelight:blocks/hazelnut_petal_litter extradelight:hazelnut_petal_litter_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hazelnut_sack | minecraft:block | extradelight:blocks/hazelnut_sack extradelight:hazelnut_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hazelnut_sapling | minecraft:block | extradelight:blocks/hazelnut_sapling extradelight:hazelnut_sapling minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hazelnut_wreath | minecraft:block | extradelight:blocks/hazelnut_wreath extradelight:hazelnut_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/honey_cheesecake | minecraft:block | extradelight:blocks/honey_cheesecake minecraft:block
extradelight:blocks/honey_cookie_block | minecraft:block | extradelight:blocks/honey_cookie_block extradelight:honey_cookie_block_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/hotdish_block | minecraft:block | extradelight:blocks/hotdish_block extradelight:hotdish_block extradelight:square_pan minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/jar | minecraft:block | extradelight:blocks/jar extradelight:fluid extradelight:jar minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/jar_display_block | minecraft:block | extradelight:blocks/jar_display_block minecraft:block
extradelight:blocks/jelly_black_block | minecraft:block | extradelight:blocks/jelly_black_block extradelight:jelly_black_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_blue_block | minecraft:block | extradelight:blocks/jelly_blue_block extradelight:jelly_blue_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_brown_block | minecraft:block | extradelight:blocks/jelly_brown_block extradelight:jelly_brown_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_cyan_block | minecraft:block | extradelight:blocks/jelly_cyan_block extradelight:jelly_cyan_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_green_block | minecraft:block | extradelight:blocks/jelly_green_block extradelight:jelly_green_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_grey_block | minecraft:block | extradelight:blocks/jelly_grey_block extradelight:jelly_grey_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_light_blue_block | minecraft:block | extradelight:blocks/jelly_light_blue_block extradelight:jelly_light_blue_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_light_grey_block | minecraft:block | extradelight:blocks/jelly_light_grey_block extradelight:jelly_light_grey_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_lime_block | minecraft:block | extradelight:blocks/jelly_lime_block extradelight:jelly_lime_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_magenta_block | minecraft:block | extradelight:blocks/jelly_magenta_block extradelight:jelly_magenta_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_orange_block | minecraft:block | extradelight:blocks/jelly_orange_block extradelight:jelly_orange_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_pink_block | minecraft:block | extradelight:blocks/jelly_pink_block extradelight:jelly_pink_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_purple_block | minecraft:block | extradelight:blocks/jelly_purple_block extradelight:jelly_purple_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_red_block | minecraft:block | extradelight:blocks/jelly_red_block extradelight:jelly_red_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_white_block | minecraft:block | extradelight:blocks/jelly_white_block extradelight:jelly_white_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/jelly_yellow_block | minecraft:block | extradelight:blocks/jelly_yellow_block extradelight:jelly_yellow_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/juicer | minecraft:block | extradelight:blocks/juicer extradelight:juicer minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_counter_cabinet | minecraft:block | extradelight:blocks/jungle_counter_cabinet extradelight:jungle_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_dried_corn_fence | minecraft:block | extradelight:blocks/jungle_dried_corn_fence extradelight:jungle_dried_corn_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_food_display | minecraft:block | extradelight:blocks/jungle_food_display extradelight:jungle_food_display minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_half_cabinet | minecraft:block | extradelight:blocks/jungle_half_cabinet extradelight:jungle_half_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_knife_block | minecraft:block | extradelight:blocks/jungle_knife_block extradelight:jungle_knife_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_black_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_black_wallpaper extradelight:jungle_molded_black_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_blue_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_blue_wallpaper extradelight:jungle_molded_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_brown_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_brown_wallpaper extradelight:jungle_molded_brown_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_cyan_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_cyan_wallpaper extradelight:jungle_molded_cyan_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_gray_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_gray_wallpaper extradelight:jungle_molded_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_green_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_green_wallpaper extradelight:jungle_molded_green_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_light_blue_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_light_blue_wallpaper extradelight:jungle_molded_light_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
