mcwroofs:blocks/acacia_attic_roof | minecraft:block | mcwroofs:acacia_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_terracotta_attic_roof | minecraft:block | mcwroofs:pink_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_terracotta_lower_roof | minecraft:block | mcwroofs:pink_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_terracotta_roof | minecraft:block | mcwroofs:pink_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_terracotta_steep_roof | minecraft:block | mcwroofs:pink_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_terracotta_top_roof | minecraft:block | mcwroofs:pink_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_terracotta_upper_lower_roof | minecraft:block | mcwroofs:pink_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/pink_terracotta_upper_steep_roof | minecraft:block | mcwroofs:pink_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/prismarine_brick_attic_roof | minecraft:block | mcwroofs:prismarine_brick_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/prismarine_brick_lower_roof | minecraft:block | mcwroofs:prismarine_brick_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/prismarine_brick_roof | minecraft:block | mcwroofs:prismarine_brick_roof minecraft:block minecraft:item
mcwroofs:blocks/prismarine_brick_steep_roof | minecraft:block | mcwroofs:prismarine_brick_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/prismarine_brick_top_roof | minecraft:block | mcwroofs:prismarine_brick_top_roof minecraft:block minecraft:item
mcwroofs:blocks/prismarine_brick_upper_lower_roof | minecraft:block | mcwroofs:prismarine_brick_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/prismarine_brick_upper_steep_roof | minecraft:block | mcwroofs:prismarine_brick_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_concrete_attic_roof | minecraft:block | mcwroofs:purple_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_concrete_lower_roof | minecraft:block | mcwroofs:purple_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_concrete_roof | minecraft:block | mcwroofs:purple_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_concrete_steep_roof | minecraft:block | mcwroofs:purple_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_concrete_top_roof | minecraft:block | mcwroofs:purple_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_concrete_upper_lower_roof | minecraft:block | mcwroofs:purple_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_concrete_upper_steep_roof | minecraft:block | mcwroofs:purple_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_striped_awning | minecraft:block | mcwroofs:purple_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/purple_terracotta_attic_roof | minecraft:block | mcwroofs:purple_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_terracotta_lower_roof | minecraft:block | mcwroofs:purple_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_terracotta_roof | minecraft:block | mcwroofs:purple_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_terracotta_steep_roof | minecraft:block | mcwroofs:purple_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_terracotta_top_roof | minecraft:block | mcwroofs:purple_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_terracotta_upper_lower_roof | minecraft:block | mcwroofs:purple_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/purple_terracotta_upper_steep_roof | minecraft:block | mcwroofs:purple_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/red_concrete_attic_roof | minecraft:block | mcwroofs:red_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/red_concrete_lower_roof | minecraft:block | mcwroofs:red_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/red_concrete_roof | minecraft:block | mcwroofs:red_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/red_concrete_steep_roof | minecraft:block | mcwroofs:red_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/red_concrete_top_roof | minecraft:block | mcwroofs:red_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/red_concrete_upper_lower_roof | minecraft:block | mcwroofs:red_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/red_concrete_upper_steep_roof | minecraft:block | mcwroofs:red_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/red_nether_bricks_attic_roof | minecraft:block | mcwroofs:red_nether_bricks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/red_nether_bricks_lower_roof | minecraft:block | mcwroofs:red_nether_bricks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/red_nether_bricks_roof | minecraft:block | mcwroofs:red_nether_bricks_roof minecraft:block minecraft:item
mcwroofs:blocks/red_nether_bricks_steep_roof | minecraft:block | mcwroofs:red_nether_bricks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/red_nether_bricks_top_roof | minecraft:block | mcwroofs:red_nether_bricks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/red_nether_bricks_upper_lower_roof | minecraft:block | mcwroofs:red_nether_bricks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/red_nether_bricks_upper_steep_roof | minecraft:block | mcwroofs:red_nether_bricks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/red_sandstone_attic_roof | minecraft:block | mcwroofs:red_sandstone_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/red_sandstone_lower_roof | minecraft:block | mcwroofs:red_sandstone_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/red_sandstone_roof | minecraft:block | mcwroofs:red_sandstone_roof minecraft:block minecraft:item
mcwroofs:blocks/red_sandstone_steep_roof | minecraft:block | mcwroofs:red_sandstone_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/red_sandstone_top_roof | minecraft:block | mcwroofs:red_sandstone_top_roof minecraft:block minecraft:item
mcwroofs:blocks/red_sandstone_upper_lower_roof | minecraft:block | mcwroofs:red_sandstone_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/red_sandstone_upper_steep_roof | minecraft:block | mcwroofs:red_sandstone_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/red_striped_awning | minecraft:block | mcwroofs:red_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/red_terracotta_attic_roof | minecraft:block | mcwroofs:red_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/red_terracotta_lower_roof | minecraft:block | mcwroofs:red_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/red_terracotta_roof | minecraft:block | mcwroofs:red_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/red_terracotta_steep_roof | minecraft:block | mcwroofs:red_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/red_terracotta_top_roof | minecraft:block | mcwroofs:red_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/red_terracotta_upper_lower_roof | minecraft:block | mcwroofs:red_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/red_terracotta_upper_steep_roof | minecraft:block | mcwroofs:red_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/sandstone_attic_roof | minecraft:block | mcwroofs:sandstone_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/sandstone_lower_roof | minecraft:block | mcwroofs:sandstone_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/sandstone_roof | minecraft:block | mcwroofs:sandstone_roof minecraft:block minecraft:item
mcwroofs:blocks/sandstone_steep_roof | minecraft:block | mcwroofs:sandstone_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/sandstone_top_roof | minecraft:block | mcwroofs:sandstone_top_roof minecraft:block minecraft:item
mcwroofs:blocks/sandstone_upper_lower_roof | minecraft:block | mcwroofs:sandstone_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/sandstone_upper_steep_roof | minecraft:block | mcwroofs:sandstone_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_attic_roof | minecraft:block | mcwroofs:spruce_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_lower_roof | minecraft:block | mcwroofs:spruce_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_planks_attic_roof | minecraft:block | mcwroofs:spruce_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_planks_lower_roof | minecraft:block | mcwroofs:spruce_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_planks_roof | minecraft:block | mcwroofs:spruce_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_planks_steep_roof | minecraft:block | mcwroofs:spruce_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_planks_top_roof | minecraft:block | mcwroofs:spruce_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_planks_upper_lower_roof | minecraft:block | mcwroofs:spruce_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_planks_upper_steep_roof | minecraft:block | mcwroofs:spruce_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_roof | minecraft:block | mcwroofs:spruce_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_steep_roof | minecraft:block | mcwroofs:spruce_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_top_roof | minecraft:block | mcwroofs:spruce_top_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_upper_lower_roof | minecraft:block | mcwroofs:spruce_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/spruce_upper_steep_roof | minecraft:block | mcwroofs:spruce_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_attic_roof | minecraft:block | mcwroofs:stone_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_bricks_attic_roof | minecraft:block | mcwroofs:stone_bricks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_bricks_lower_roof | minecraft:block | mcwroofs:stone_bricks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_bricks_roof | minecraft:block | mcwroofs:stone_bricks_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_bricks_steep_roof | minecraft:block | mcwroofs:stone_bricks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_bricks_top_roof | minecraft:block | mcwroofs:stone_bricks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_bricks_upper_lower_roof | minecraft:block | mcwroofs:stone_bricks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_bricks_upper_steep_roof | minecraft:block | mcwroofs:stone_bricks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_lower_roof | minecraft:block | mcwroofs:stone_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_roof | minecraft:block | mcwroofs:stone_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_steep_roof | minecraft:block | mcwroofs:stone_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_top_roof | minecraft:block | mcwroofs:stone_top_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_upper_lower_roof | minecraft:block | mcwroofs:stone_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/stone_upper_steep_roof | minecraft:block | mcwroofs:stone_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/thatch_attic_roof | minecraft:block | mcwroofs:thatch_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/thatch_lower_roof | minecraft:block | mcwroofs:thatch_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/thatch_roof | minecraft:block | mcwroofs:thatch_roof minecraft:block minecraft:item
mcwroofs:blocks/thatch_steep_roof | minecraft:block | mcwroofs:thatch_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/thatch_top_roof | minecraft:block | mcwroofs:thatch_top_roof minecraft:block minecraft:item
mcwroofs:blocks/thatch_upper_lower_roof | minecraft:block | mcwroofs:thatch_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/thatch_upper_steep_roof | minecraft:block | mcwroofs:thatch_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_attic_roof | minecraft:block | mcwroofs:warped_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_lower_roof | minecraft:block | mcwroofs:warped_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_planks_attic_roof | minecraft:block | mcwroofs:warped_planks_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_planks_lower_roof | minecraft:block | mcwroofs:warped_planks_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_planks_roof | minecraft:block | mcwroofs:warped_planks_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_planks_steep_roof | minecraft:block | mcwroofs:warped_planks_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_planks_top_roof | minecraft:block | mcwroofs:warped_planks_top_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_planks_upper_lower_roof | minecraft:block | mcwroofs:warped_planks_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_planks_upper_steep_roof | minecraft:block | mcwroofs:warped_planks_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_roof | minecraft:block | mcwroofs:warped_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_steep_roof | minecraft:block | mcwroofs:warped_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_top_roof | minecraft:block | mcwroofs:warped_top_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_upper_lower_roof | minecraft:block | mcwroofs:warped_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/warped_upper_steep_roof | minecraft:block | mcwroofs:warped_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/white_attic_roof | minecraft:block | mcwroofs:white_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/white_concrete_attic_roof | minecraft:block | mcwroofs:white_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/white_concrete_lower_roof | minecraft:block | mcwroofs:white_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/white_concrete_roof | minecraft:block | mcwroofs:white_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/white_concrete_steep_roof | minecraft:block | mcwroofs:white_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/white_concrete_top_roof | minecraft:block | mcwroofs:white_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/white_concrete_upper_lower_roof | minecraft:block | mcwroofs:white_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/white_concrete_upper_steep_roof | minecraft:block | mcwroofs:white_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/white_lower_roof | minecraft:block | mcwroofs:white_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/white_roof | minecraft:block | mcwroofs:white_roof minecraft:block minecraft:item
mcwroofs:blocks/white_roof_block | minecraft:block | mcwroofs:white_roof_block minecraft:block minecraft:item
mcwroofs:blocks/white_roof_slab | minecraft:block | mcwroofs:white_roof_slab minecraft:block minecraft:item
mcwroofs:blocks/white_steep_roof | minecraft:block | mcwroofs:white_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/white_terracotta_attic_roof | minecraft:block | mcwroofs:white_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/white_terracotta_lower_roof | minecraft:block | mcwroofs:white_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/white_terracotta_roof | minecraft:block | mcwroofs:white_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/white_terracotta_steep_roof | minecraft:block | mcwroofs:white_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/white_terracotta_top_roof | minecraft:block | mcwroofs:white_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/white_terracotta_upper_lower_roof | minecraft:block | mcwroofs:white_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/white_terracotta_upper_steep_roof | minecraft:block | mcwroofs:white_terracotta_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/white_top_roof | minecraft:block | mcwroofs:white_top_roof minecraft:block minecraft:item
mcwroofs:blocks/white_upper_lower_roof | minecraft:block | mcwroofs:white_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/white_upper_steep_roof | minecraft:block | mcwroofs:white_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_concrete_attic_roof | minecraft:block | mcwroofs:yellow_concrete_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_concrete_lower_roof | minecraft:block | mcwroofs:yellow_concrete_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_concrete_roof | minecraft:block | mcwroofs:yellow_concrete_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_concrete_steep_roof | minecraft:block | mcwroofs:yellow_concrete_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_concrete_top_roof | minecraft:block | mcwroofs:yellow_concrete_top_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_concrete_upper_lower_roof | minecraft:block | mcwroofs:yellow_concrete_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_concrete_upper_steep_roof | minecraft:block | mcwroofs:yellow_concrete_upper_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_striped_awning | minecraft:block | mcwroofs:yellow_striped_awning minecraft:block minecraft:item
mcwroofs:blocks/yellow_terracotta_attic_roof | minecraft:block | mcwroofs:yellow_terracotta_attic_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_terracotta_lower_roof | minecraft:block | mcwroofs:yellow_terracotta_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_terracotta_roof | minecraft:block | mcwroofs:yellow_terracotta_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_terracotta_steep_roof | minecraft:block | mcwroofs:yellow_terracotta_steep_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_terracotta_top_roof | minecraft:block | mcwroofs:yellow_terracotta_top_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_terracotta_upper_lower_roof | minecraft:block | mcwroofs:yellow_terracotta_upper_lower_roof minecraft:block minecraft:item
mcwroofs:blocks/yellow_terracotta_upper_steep_roof | minecraft:block | mcwroofs:yellow_terracotta_upper_steep_roof minecraft:block minecraft:item
