s_a_b:blocks/b | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:b s_a_b:blocks/b
s_a_b:blocks/steelblockgrassswamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockgrassswamp s_a_b:steelblockgrassswamp
s_a_b:blocks/steelblockgrasstaiga | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockgrasstaiga s_a_b:steelblockgrasstaiga
s_a_b:blocks/steelblockhazard | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockhazard s_a_b:steelblockhazard
s_a_b:blocks/steelblocklightsky | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblocklightsky s_a_b:steelblocklightsky
s_a_b:blocks/steelblockluftwaffeyellow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockluftwaffeyellow s_a_b:steelblockluftwaffeyellow
s_a_b:blocks/steelblockmycelium | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockmycelium s_a_b:steelblockmycelium
s_a_b:blocks/steelblockpanzergrau | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockpanzergrau s_a_b:steelblockpanzergrau
s_a_b:blocks/steelblockpodzol | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockpodzol s_a_b:steelblockpodzol
s_a_b:blocks/steelblockrotbraun | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockrotbraun s_a_b:steelblockrotbraun
s_a_b:blocks/steelblockshipbottom | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockshipbottom s_a_b:steelblockshipbottom
s_a_b:blocks/steelblockslate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockslate s_a_b:steelblockslate
s_a_b:blocks/steelblockspruceleaves | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockspruceleaves s_a_b:steelblockspruceleaves
s_a_b:blocks/steelblockstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockstone s_a_b:steelblockstone
s_a_b:blocks/steelblockusagrey | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelblockusagrey s_a_b:steelblockusagrey
s_a_b:blocks/steelgrasssnowy | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/steelgrasssnowy s_a_b:steelgrasssnowy
s_a_b:blocks/t | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/t s_a_b:t
s_a_b:blocks/three | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/three s_a_b:three
s_a_b:blocks/tverd | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/tverd s_a_b:tverd
s_a_b:blocks/two | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/two s_a_b:two
s_a_b:blocks/u | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/u s_a_b:u
s_a_b:blocks/ultramar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/ultramar s_a_b:ultramar
s_a_b:blocks/uu | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/uu s_a_b:uu
s_a_b:blocks/v | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/v s_a_b:v
s_a_b:blocks/w | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/w s_a_b:w
s_a_b:blocks/wardendoublesteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/wardendoublesteelblock s_a_b:wardendoublesteelblock
s_a_b:blocks/wardenhardsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/wardenhardsteelblock s_a_b:wardenhardsteelblock
s_a_b:blocks/wardenlightsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/wardenlightsteelblock s_a_b:wardenlightsteelblock
s_a_b:blocks/wardensteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/wardensteelblock s_a_b:wardensteelblock
s_a_b:blocks/whitedoublesteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/whitedoublesteelblock s_a_b:whitedoublesteelblock
s_a_b:blocks/whitehardsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/whitehardsteelblock s_a_b:whitehardsteelblock
s_a_b:blocks/whitelightsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/whitelightsteelblock s_a_b:whitelightsteelblock
s_a_b:blocks/whitestar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/whitestar s_a_b:whitestar
s_a_b:blocks/whitesteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/whitesteelblock s_a_b:whitesteelblock
s_a_b:blocks/x | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/x s_a_b:x
s_a_b:blocks/y | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/y s_a_b:y
s_a_b:blocks/ya | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/ya s_a_b:ya
s_a_b:blocks/yellowdoublesteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/yellowdoublesteelblock s_a_b:yellowdoublesteelblock
s_a_b:blocks/yellowhardsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/yellowhardsteelblock s_a_b:yellowhardsteelblock
s_a_b:blocks/yellowlightsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/yellowlightsteelblock s_a_b:yellowlightsteelblock
s_a_b:blocks/yellowsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/yellowsteelblock s_a_b:yellowsteelblock
s_a_b:blocks/yi | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/yi s_a_b:yi
s_a_b:blocks/yu | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/yu s_a_b:yu
s_a_b:blocks/z | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/z s_a_b:z
s_a_b:blocks/zero | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/zero s_a_b:zero
s_a_b:blocks/zh | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/zh s_a_b:zh
s_a_b:blocks/zz | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/zz s_a_b:zz
