tfmg:blocks/accumulator | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:accumulator tfmg:blocks/accumulator
tfmg:blocks/red_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/red_concrete_slab tfmg:red_concrete_slab
tfmg:blocks/red_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/red_concrete_stairs tfmg:red_concrete_stairs
tfmg:blocks/red_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/red_concrete_wall tfmg:red_concrete_wall
tfmg:blocks/red_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/red_rebar_concrete tfmg:red_rebar_concrete
tfmg:blocks/red_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/red_rebar_concrete_slab tfmg:red_rebar_concrete_slab
tfmg:blocks/red_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/red_rebar_concrete_stairs tfmg:red_rebar_concrete_stairs
tfmg:blocks/red_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/red_rebar_concrete_wall tfmg:red_rebar_concrete_wall
tfmg:blocks/regular_engine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/regular_engine tfmg:regular_engine
tfmg:blocks/reinforced_fireproof_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/reinforced_fireproof_bricks tfmg:fireproof_bricks
tfmg:blocks/resistor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/resistor tfmg:resistor
tfmg:blocks/rotor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rotor tfmg:rotor
tfmg:blocks/rusted_blast_furnace_reinforcement | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rusted_blast_furnace_reinforcement tfmg:rusted_blast_furnace_reinforcement
tfmg:blocks/rusted_blast_furnace_reinforcement_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/rusted_blast_furnace_reinforcement_wall tfmg:rusted_blast_furnace_reinforcement
tfmg:blocks/segmented_display | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/segmented_display tfmg:segmented_display
tfmg:blocks/simple_large_engine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/simple_large_engine tfmg:simple_large_engine
tfmg:blocks/slag_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/slag_block tfmg:slag_block
tfmg:blocks/slag_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/slag_bricks tfmg:slag_bricks
tfmg:blocks/small_bauxite_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count tfmg:blocks/small_bauxite_brick_slab tfmg:small_bauxite_brick_slab
tfmg:blocks/small_bauxite_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/small_bauxite_brick_stairs tfmg:small_bauxite_brick_stairs
tfmg:blocks/small_bauxite_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/small_bauxite_brick_wall tfmg:small_bauxite_brick_wall
tfmg:blocks/small_bauxite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/small_bauxite_bricks tfmg:small_bauxite_bricks
tfmg:blocks/small_galena_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count tfmg:blocks/small_galena_brick_slab tfmg:small_galena_brick_slab
tfmg:blocks/small_galena_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/small_galena_brick_stairs tfmg:small_galena_brick_stairs
tfmg:blocks/small_galena_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/small_galena_brick_wall tfmg:small_galena_brick_wall
tfmg:blocks/small_galena_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/small_galena_bricks tfmg:small_galena_bricks
tfmg:blocks/stator | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/stator tfmg:stator
tfmg:blocks/steel_bars | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_bars tfmg:steel_bars
tfmg:blocks/steel_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_block tfmg:steel_block
tfmg:blocks/steel_cable_hub | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_cable_hub tfmg:steel_cable_hub
tfmg:blocks/steel_casing | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_casing tfmg:steel_casing
tfmg:blocks/steel_casing_cable_hub | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_casing_cable_hub tfmg:steel_casing_cable_hub
tfmg:blocks/steel_chemical_vat | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_chemical_vat tfmg:steel_chemical_vat
tfmg:blocks/steel_cogwheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_cogwheel tfmg:steel_cogwheel
tfmg:blocks/steel_distillation_controller | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_distillation_controller tfmg:steel_distillation_controller
tfmg:blocks/steel_distillation_output | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_distillation_output tfmg:steel_distillation_output
tfmg:blocks/steel_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion tfmg:blocks/steel_door tfmg:steel_door
tfmg:blocks/steel_encased_aluminum_cogwheel | minecraft:block | create:cogwheel minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_encased_aluminum_cogwheel
tfmg:blocks/steel_encased_large_aluminum_cogwheel | minecraft:block | create:large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_encased_large_aluminum_cogwheel
tfmg:blocks/steel_encased_large_steel_cogwheel | minecraft:block | create:large_cogwheel minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_encased_large_steel_cogwheel
tfmg:blocks/steel_encased_shaft | minecraft:block | create:shaft minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_encased_shaft
tfmg:blocks/steel_encased_steel_cogwheel | minecraft:block | create:cogwheel minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_encased_steel_cogwheel
tfmg:blocks/steel_fluid_tank | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_fluid_tank tfmg:steel_fluid_tank
tfmg:blocks/steel_fluid_valve | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_fluid_valve tfmg:steel_fluid_valve
tfmg:blocks/steel_flywheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_flywheel tfmg:steel_flywheel
tfmg:blocks/steel_frame | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_frame tfmg:steel_frame
tfmg:blocks/steel_gearbox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_gearbox tfmg:steel_gearbox
tfmg:blocks/steel_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_ladder tfmg:steel_ladder
tfmg:blocks/steel_mechanical_pump | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_mechanical_pump tfmg:steel_mechanical_pump
tfmg:blocks/steel_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_pipe tfmg:steel_pipe
tfmg:blocks/steel_scaffolding | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_scaffolding tfmg:steel_scaffolding
tfmg:blocks/steel_smart_fluid_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_smart_fluid_pipe tfmg:steel_smart_fluid_pipe
tfmg:blocks/steel_trapdoor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_trapdoor tfmg:steel_trapdoor
tfmg:blocks/steel_truss | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/steel_truss tfmg:steel_truss
tfmg:blocks/sulfur | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/sulfur tfmg:sulfur
tfmg:blocks/surface_scanner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/surface_scanner tfmg:surface_scanner
tfmg:blocks/traffic_light | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/traffic_light tfmg:traffic_light
tfmg:blocks/transformer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/transformer tfmg:transformer
tfmg:blocks/turbine_engine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/turbine_engine tfmg:turbine_engine
tfmg:blocks/voltage_observer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/voltage_observer tfmg:voltage_observer
tfmg:blocks/voltmeter | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/voltmeter tfmg:voltmeter
tfmg:blocks/white_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/white_caution_block tfmg:white_caution_block
tfmg:blocks/white_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/white_concrete tfmg:white_concrete
tfmg:blocks/white_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/white_concrete_slab tfmg:white_concrete_slab
tfmg:blocks/white_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/white_concrete_stairs tfmg:white_concrete_stairs
tfmg:blocks/white_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/white_concrete_wall tfmg:white_concrete_wall
tfmg:blocks/white_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/white_rebar_concrete tfmg:white_rebar_concrete
tfmg:blocks/white_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/white_rebar_concrete_slab tfmg:white_rebar_concrete_slab
tfmg:blocks/white_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/white_rebar_concrete_stairs tfmg:white_rebar_concrete_stairs
tfmg:blocks/white_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/white_rebar_concrete_wall tfmg:white_rebar_concrete_wall
tfmg:blocks/winding_machine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/winding_machine tfmg:winding_machine
tfmg:blocks/yellow_caution_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/yellow_caution_block tfmg:yellow_caution_block
tfmg:blocks/yellow_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/yellow_concrete tfmg:yellow_concrete
tfmg:blocks/yellow_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/yellow_concrete_slab tfmg:yellow_concrete_slab
tfmg:blocks/yellow_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/yellow_concrete_stairs tfmg:yellow_concrete_stairs
tfmg:blocks/yellow_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/yellow_concrete_wall tfmg:yellow_concrete_wall
tfmg:blocks/yellow_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/yellow_rebar_concrete tfmg:yellow_rebar_concrete
tfmg:blocks/yellow_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/yellow_rebar_concrete_slab tfmg:yellow_rebar_concrete_slab
tfmg:blocks/yellow_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/yellow_rebar_concrete_stairs tfmg:yellow_rebar_concrete_stairs
tfmg:blocks/yellow_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/yellow_rebar_concrete_wall tfmg:yellow_rebar_concrete_wall
tfmg:blocks/zinc_frame | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/zinc_frame tfmg:zinc_frame
tfmg:blocks/zinc_truss | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blocks/zinc_truss tfmg:zinc_truss
