more_slabs_stairs_and_walls:blocks/acacia_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:acacia_leaves_slab
more_slabs_stairs_and_walls:blocks/gold_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gold_block_stairs
more_slabs_stairs_and_walls:blocks/gold_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gold_block_wall
more_slabs_stairs_and_walls:blocks/grass_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dirt_slab
more_slabs_stairs_and_walls:blocks/grass_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dirt_stairs
more_slabs_stairs_and_walls:blocks/grass_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dirt_wall
more_slabs_stairs_and_walls:blocks/gravel_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:gravel_slab
more_slabs_stairs_and_walls:blocks/gravel_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gravel_stairs
more_slabs_stairs_and_walls:blocks/gravel_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gravel_wall
more_slabs_stairs_and_walls:blocks/gray_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:gray_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/gray_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/gray_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/gray_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:gray_concrete_slab
more_slabs_stairs_and_walls:blocks/gray_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_concrete_stairs
more_slabs_stairs_and_walls:blocks/gray_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_concrete_wall
more_slabs_stairs_and_walls:blocks/gray_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:gray_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/gray_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/gray_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/gray_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:gray_stained_glass_slab
more_slabs_stairs_and_walls:blocks/gray_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/gray_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_stained_glass_wall
more_slabs_stairs_and_walls:blocks/gray_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:gray_terracotta_slab
more_slabs_stairs_and_walls:blocks/gray_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_terracotta_stairs
more_slabs_stairs_and_walls:blocks/gray_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_terracotta_wall
more_slabs_stairs_and_walls:blocks/gray_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:gray_wool_slab
more_slabs_stairs_and_walls:blocks/gray_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_wool_stairs
more_slabs_stairs_and_walls:blocks/gray_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:gray_wool_wall
more_slabs_stairs_and_walls:blocks/green_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:green_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/green_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/green_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/green_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:green_concrete_slab
more_slabs_stairs_and_walls:blocks/green_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_concrete_stairs
more_slabs_stairs_and_walls:blocks/green_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_concrete_wall
more_slabs_stairs_and_walls:blocks/green_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:green_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/green_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/green_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/green_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:green_stained_glass_slab
more_slabs_stairs_and_walls:blocks/green_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/green_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_stained_glass_wall
more_slabs_stairs_and_walls:blocks/green_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:green_terracotta_slab
more_slabs_stairs_and_walls:blocks/green_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_terracotta_stairs
more_slabs_stairs_and_walls:blocks/green_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_terracotta_wall
more_slabs_stairs_and_walls:blocks/green_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:green_wool_slab
more_slabs_stairs_and_walls:blocks/green_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_wool_stairs
more_slabs_stairs_and_walls:blocks/green_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:green_wool_wall
more_slabs_stairs_and_walls:blocks/hay_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:hay_block_slab
more_slabs_stairs_and_walls:blocks/hay_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:hay_block_stairs
more_slabs_stairs_and_walls:blocks/hay_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:hay_block_wall
more_slabs_stairs_and_walls:blocks/honey_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:honey_block_slab
more_slabs_stairs_and_walls:blocks/honey_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:honey_block_stairs
more_slabs_stairs_and_walls:blocks/honey_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:honey_block_wall
more_slabs_stairs_and_walls:blocks/honeycomb_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:honeycomb_block_slab
more_slabs_stairs_and_walls:blocks/honeycomb_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:honeycomb_block_stairs
more_slabs_stairs_and_walls:blocks/honeycomb_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:honeycomb_block_wall
more_slabs_stairs_and_walls:blocks/horn_coral_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:horn_coral_block_slab
more_slabs_stairs_and_walls:blocks/horn_coral_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:horn_coral_block_stairs
more_slabs_stairs_and_walls:blocks/horn_coral_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:horn_coral_block_wall
more_slabs_stairs_and_walls:blocks/ice_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:ice_slab
more_slabs_stairs_and_walls:blocks/ice_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:ice_stairs
more_slabs_stairs_and_walls:blocks/ice_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:ice_wall
more_slabs_stairs_and_walls:blocks/iron_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:iron_block_slab
more_slabs_stairs_and_walls:blocks/iron_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:iron_block_stairs
more_slabs_stairs_and_walls:blocks/iron_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:iron_block_wall
more_slabs_stairs_and_walls:blocks/jungle_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:jungle_leaves_slab
more_slabs_stairs_and_walls:blocks/jungle_leaves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:jungle_leaves_stairs
more_slabs_stairs_and_walls:blocks/jungle_leaves_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:jungle_leaves_wall
more_slabs_stairs_and_walls:blocks/jungle_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:jungle_log_slab
more_slabs_stairs_and_walls:blocks/jungle_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:jungle_log_stairs
more_slabs_stairs_and_walls:blocks/jungle_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:jungle_log_wall
more_slabs_stairs_and_walls:blocks/jungle_planks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:jungle_planks_wall
more_slabs_stairs_and_walls:blocks/jungle_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:jungle_wood_slab
more_slabs_stairs_and_walls:blocks/jungle_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:jungle_wood_stairs
more_slabs_stairs_and_walls:blocks/jungle_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:jungle_wood_wall
more_slabs_stairs_and_walls:blocks/lapis_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:lapis_block_slab
more_slabs_stairs_and_walls:blocks/lapis_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lapis_block_stairs
more_slabs_stairs_and_walls:blocks/lapis_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lapis_block_wall
more_slabs_stairs_and_walls:blocks/light_blue_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_blue_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/light_blue_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/light_blue_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/light_blue_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_blue_concrete_slab
more_slabs_stairs_and_walls:blocks/light_blue_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_concrete_stairs
more_slabs_stairs_and_walls:blocks/light_blue_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_concrete_wall
more_slabs_stairs_and_walls:blocks/light_blue_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_blue_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/light_blue_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/light_blue_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/light_blue_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_blue_stained_glass_slab
more_slabs_stairs_and_walls:blocks/light_blue_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/light_blue_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_stained_glass_wall
more_slabs_stairs_and_walls:blocks/light_blue_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_blue_terracotta_slab
more_slabs_stairs_and_walls:blocks/light_blue_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_terracotta_stairs
more_slabs_stairs_and_walls:blocks/light_blue_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_terracotta_wall
more_slabs_stairs_and_walls:blocks/light_blue_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_blue_wool_slab
more_slabs_stairs_and_walls:blocks/light_blue_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_wool_stairs
more_slabs_stairs_and_walls:blocks/light_blue_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_blue_wool_wall
more_slabs_stairs_and_walls:blocks/light_gray_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_gray_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/light_gray_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/light_gray_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/light_gray_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_gray_concrete_slab
more_slabs_stairs_and_walls:blocks/light_gray_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_concrete_stairs
more_slabs_stairs_and_walls:blocks/light_gray_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_concrete_wall
more_slabs_stairs_and_walls:blocks/light_gray_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_gray_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/light_gray_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/light_gray_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/light_gray_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_gray_stained_glass_slab
more_slabs_stairs_and_walls:blocks/light_gray_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/light_gray_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_stained_glass_wall
more_slabs_stairs_and_walls:blocks/light_gray_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_gray_terracotta_slab
more_slabs_stairs_and_walls:blocks/light_gray_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_terracotta_stairs
more_slabs_stairs_and_walls:blocks/light_gray_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_terracotta_wall
more_slabs_stairs_and_walls:blocks/light_gray_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:light_gray_wool_slab
more_slabs_stairs_and_walls:blocks/light_gray_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_wool_stairs
more_slabs_stairs_and_walls:blocks/light_gray_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:light_gray_wool_wall
more_slabs_stairs_and_walls:blocks/lime_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:lime_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/lime_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/lime_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/lime_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:lime_concrete_slab
more_slabs_stairs_and_walls:blocks/lime_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_concrete_stairs
more_slabs_stairs_and_walls:blocks/lime_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_concrete_wall
more_slabs_stairs_and_walls:blocks/lime_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:lime_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/lime_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/lime_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/lime_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:lime_stained_glass_slab
more_slabs_stairs_and_walls:blocks/lime_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/lime_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_stained_glass_wall
more_slabs_stairs_and_walls:blocks/lime_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:lime_terracotta_slab
more_slabs_stairs_and_walls:blocks/lime_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_terracotta_stairs
more_slabs_stairs_and_walls:blocks/lime_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_terracotta_wall
more_slabs_stairs_and_walls:blocks/lime_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:lime_wool_slab
more_slabs_stairs_and_walls:blocks/lime_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_wool_stairs
more_slabs_stairs_and_walls:blocks/lime_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:lime_wool_wall
more_slabs_stairs_and_walls:blocks/magenta_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:magenta_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/magenta_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/magenta_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/magenta_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:magenta_concrete_slab
more_slabs_stairs_and_walls:blocks/magenta_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_concrete_stairs
more_slabs_stairs_and_walls:blocks/magenta_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_concrete_wall
more_slabs_stairs_and_walls:blocks/magenta_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:magenta_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/magenta_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/magenta_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/magenta_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:magenta_stained_glass_slab
more_slabs_stairs_and_walls:blocks/magenta_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/magenta_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_stained_glass_wall
more_slabs_stairs_and_walls:blocks/magenta_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:magenta_terracotta_slab
more_slabs_stairs_and_walls:blocks/magenta_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_terracotta_stairs
more_slabs_stairs_and_walls:blocks/magenta_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_terracotta_wall
more_slabs_stairs_and_walls:blocks/magenta_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:magenta_wool_slab
more_slabs_stairs_and_walls:blocks/magenta_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_wool_stairs
more_slabs_stairs_and_walls:blocks/magenta_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magenta_wool_wall
more_slabs_stairs_and_walls:blocks/magma_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:magma_block_slab
