minecraft:archaelogy/jungle_ruins | minecraft:archaeology | minecraft:archaeology minecraft:arms_up_pottery_sherd minecraft:beetroot minecraft:black_wool minecraft:bone minecraft:book minecraft:brewer_pottery_sherd minecraft:brick minecraft:brown_dye minecraft:brown_stained_glass_pane minecraft:candle minecraft:carrot minecraft:cocoa_beans minecraft:danger_pottery_sherd minecraft:diamond minecraft:emerald minecraft:friend_pottery_sherd minecraft:glass_bottle minecraft:glass_pane minecraft:glow_berries minecraft:gold_ingot minecraft:heart_pottery_sherd minecraft:honey_bottle minecraft:honeycomb minecraft:iron_ingot minecraft:item minecraft:jungle_hanging_sign minecraft:jungle_planks minecraft:lapis_lazuli minecraft:lead minecraft:light_blue_stained_glass_pane minecraft:light_gray_stained_glass_pane minecraft:melon_seeds minecraft:melon_slice minecraft:name_tag minecraft:oak_hanging_sign minecraft:oak_planks minecraft:potato minecraft:prize_pottery_sherd minecraft:reference minecraft:saddle minecraft:shelter_pottery_sherd minecraft:skeleton_skull minecraft:sniffer_egg minecraft:snort_pottery_sherd minecraft:stick minecraft:stone_axe minecraft:stone_pickaxe minecraft:stone_shovel minecraft:wheat minecraft:white_wool minecraft:wild_armor_trim_smithing_template minecraft:yellow_candle nova_structures:loot_modifier
nova_structures:chests/piglin_outstation/outstation_tower | minecraft:chest | minecraft:ancient_debris minecraft:arrow minecraft:chest minecraft:crossbow minecraft:empty minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_axe minecraft:golden_boots minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_leggings minecraft:golden_sword minecraft:item minecraft:music_disc_pigstep minecraft:netherite_upgrade_smithing_template minecraft:piglin_banner_pattern minecraft:reference minecraft:set_count minecraft:snout_armor_trim_smithing_template minecraft:spectral_arrow minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/piglin_outstation/outstation_treasure | minecraft:chest | minecraft:ancient_debris minecraft:chest minecraft:empty minecraft:gold_block minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_apple minecraft:golden_carrot minecraft:item minecraft:name_tag minecraft:netherite_scrap minecraft:netherite_upgrade_smithing_template minecraft:quartz minecraft:reference minecraft:set_count minecraft:snout_armor_trim_smithing_template minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/piglin_outstation/vault_piglin_outstation | minecraft:chest | minecraft:chest minecraft:cooked_porkchop minecraft:crossbow minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:exploration_map minecraft:gold_block minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_block minecraft:iron_ingot minecraft:item minecraft:lodestone minecraft:map minecraft:netherite_upgrade_smithing_template minecraft:reference minecraft:set_components minecraft:set_count minecraft:spectral_arrow minecraft:uniform nova_structures:loot_modifier nova_structures:piglin_donjon
nova_structures:chests/pillager_outpost_kitchen | minecraft:chest | minecraft:baked_potato minecraft:bowl minecraft:bread minecraft:brown_mushroom minecraft:carrot minecraft:chest minecraft:cooked_beef minecraft:cooked_chicken minecraft:cooked_porkchop minecraft:item minecraft:mushroom_stew minecraft:poisonous_potato minecraft:potato minecraft:red_mushroom minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/pillager_outpost_treasure | minecraft:chest | minecraft:apple minecraft:arrow minecraft:book minecraft:bread minecraft:chest minecraft:crossbow minecraft:dark_oak_log minecraft:dark_oak_sapling minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:exploration_map minecraft:goat_horn minecraft:gold_ingot minecraft:iron_axe minecraft:iron_ingot minecraft:item minecraft:map minecraft:name_tag minecraft:on_woodland_explorer_maps minecraft:quick_charge minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_components minecraft:set_count minecraft:set_instrument minecraft:set_name minecraft:uniform minecraft:village nova_structures:badlands_miner_outpost nova_structures:illager_hideout nova_structures:loot_modifier nova_structures:witch_villa
nova_structures:chests/ruin_loot_master | minecraft:chest | minecraft:chest minecraft:empty minecraft:loot_table minecraft:reference minecraft:wild_armor_trim_smithing_template nova_structures:chests/dungeon_1 nova_structures:chests/dungeon_2 nova_structures:chests/dungeon_3 nova_structures:chests/dungeon_4 nova_structures:chests/dungeon_5 nova_structures:chests/dungeon_6 nova_structures:chests/dungeon_7 nova_structures:loot_modifier
nova_structures:chests/shrine/combat_pot | minecraft:chest | minecraft:arrow minecraft:chest minecraft:diamond minecraft:emerald minecraft:gold_ingot minecraft:healing minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/shrine/combat_treasure_1 | minecraft:chest | minecraft:bolt_armor_trim_smithing_template minecraft:book minecraft:cake minecraft:chest minecraft:diamond minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:golden_apple minecraft:golden_carrot minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:pumpkin_pie minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/shrine/combat_treasure_2 | minecraft:chest | minecraft:bolt_armor_trim_smithing_template minecraft:book minecraft:cake minecraft:chest minecraft:diamond minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:potion minecraft:pumpkin_pie minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strength minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/shrine/combat_treasure_3 | minecraft:chest | minecraft:bolt_armor_trim_smithing_template minecraft:book minecraft:cake minecraft:chest minecraft:diamond minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:ender_pearl minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:name_tag minecraft:potion minecraft:pumpkin_pie minecraft:reference minecraft:regeneration minecraft:set_count minecraft:set_potion minecraft:strength minecraft:turtle_scute minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/shrine/combat_treasure_4 | minecraft:chest | minecraft:bolt_armor_trim_smithing_template minecraft:book minecraft:cake minecraft:chest minecraft:diamond minecraft:diamond_axe minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_pickaxe minecraft:diamond_sword minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:ender_pearl minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:name_tag minecraft:potion minecraft:pumpkin_pie minecraft:reference minecraft:regeneration minecraft:set_count minecraft:set_potion minecraft:strength minecraft:turtle_scute minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/shrine/combat_treasure_5 | minecraft:chest | minecraft:bolt_armor_trim_smithing_template minecraft:book minecraft:cake minecraft:chest minecraft:diamond minecraft:diamond_axe minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_pickaxe minecraft:diamond_sword minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:ender_pearl minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:name_tag minecraft:potion minecraft:pumpkin_pie minecraft:reference minecraft:regeneration minecraft:set_count minecraft:set_potion minecraft:strength minecraft:turtle_scute minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/shrine/shrine_lesser_ominous | minecraft:chest | minecraft:bolt_armor_trim_smithing_template minecraft:book minecraft:chest minecraft:diamond minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:ender_pearl minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_axe minecraft:iron_block minecraft:iron_boots minecraft:iron_ingot minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:name_tag minecraft:potion minecraft:pumpkin_pie minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strong_regeneration minecraft:strong_strength minecraft:turtle_scute minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/shrine/shrine_lesser_treasure | minecraft:chest | minecraft:bolt_armor_trim_smithing_template minecraft:book minecraft:chest minecraft:diamond minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:ender_pearl minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_boots minecraft:iron_ingot minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:name_tag minecraft:potion minecraft:pumpkin_pie minecraft:reference minecraft:regeneration minecraft:set_count minecraft:set_potion minecraft:strength minecraft:turtle_scute minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/shrine/vault_shrine_ominous | minecraft:chest | minecraft:bolt_armor_trim_smithing_template minecraft:book minecraft:chest minecraft:diamond_axe minecraft:diamond_block minecraft:diamond_boots minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_leggings minecraft:diamond_pickaxe minecraft:diamond_sword minecraft:emerald minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:enchanted_golden_apple minecraft:ender_pearl minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_ingot minecraft:item minecraft:name_tag minecraft:potion minecraft:pumpkin_pie minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strong_regeneration minecraft:strong_strength minecraft:turtle_scute minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/stray_fort_archer | minecraft:chest | minecraft:arrow minecraft:bow minecraft:chest minecraft:enchant_with_levels minecraft:feather minecraft:flint minecraft:item minecraft:reference minecraft:set_count minecraft:set_potion minecraft:slowness minecraft:stick minecraft:string minecraft:tipped_arrow minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/stray_fort_loot_generic | minecraft:chest | minecraft:blue_ice minecraft:bone minecraft:carved_pumpkin minecraft:charcoal minecraft:chest minecraft:cooked_rabbit minecraft:emerald minecraft:gold_ingot minecraft:gold_nugget minecraft:ice minecraft:iron_ingot minecraft:item minecraft:packed_ice minecraft:pumpkin_pie minecraft:reference minecraft:set_count minecraft:snow_block minecraft:snowball minecraft:stone_axe minecraft:sweet_berries nova_structures:loot_modifier
nova_structures:chests/stray_fort_tresure | minecraft:chest | minecraft:chest minecraft:emerald minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_carrot minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:music_disc_strad minecraft:rabbit_foot minecraft:reference minecraft:set_count minecraft:set_potion minecraft:skull_banner_pattern minecraft:slowness minecraft:tipped_arrow minecraft:wild_armor_trim_smithing_template nova_structures:loot_modifier
nova_structures:chests/tavern_quest | minecraft:chest | minecraft:ancient_city minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components nova_structures:badlands_miner_outpost nova_structures:creeping_crypt nova_structures:desert_ruins nova_structures:illager_hideout nova_structures:illager_manor nova_structures:jungle_ruins nova_structures:lone_citadel nova_structures:loot_modifier nova_structures:stray_fort nova_structures:toxic_lair nova_structures:trident_trial_monument nova_structures:undead_crypt nova_structures:witch_villa
nova_structures:chests/toxic_lair/brewing | minecraft:chest | minecraft:book minecraft:chest minecraft:cobweb minecraft:enchant_randomly minecraft:fermented_spider_eye minecraft:glowstone_dust minecraft:gunpowder minecraft:item minecraft:ominous_bottle minecraft:redstone minecraft:reference minecraft:set_ominous_bottle_amplifier minecraft:slime_block minecraft:stone minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/toxic_lair/generic | minecraft:chest | minecraft:apple minecraft:chest minecraft:diamond minecraft:emerald minecraft:empty minecraft:exposed_copper minecraft:gold_ingot minecraft:honey_bottle minecraft:iron_ingot minecraft:item minecraft:loot_table minecraft:moss_block minecraft:music_disc_far minecraft:name_tag minecraft:potato minecraft:pufferfish_bucket minecraft:reference minecraft:set_count minecraft:uniform minecraft:wild_armor_trim_smithing_template nova_structures:keys/toxic_key nova_structures:loot_modifier
nova_structures:chests/toxic_lair/kitchen | minecraft:chest | minecraft:apple minecraft:baked_potato minecraft:blindness minecraft:chest minecraft:cod minecraft:cooked_cod minecraft:honey_bottle minecraft:item minecraft:jump_boost minecraft:mushroom_stew minecraft:night_vision minecraft:poison minecraft:poisonous_potato minecraft:potato minecraft:reference minecraft:saturation minecraft:set_count minecraft:set_stew_effect minecraft:suspicious_stew minecraft:uniform minecraft:weakness nova_structures:loot_modifier
nova_structures:chests/toxic_lair/toxic_boss_vault | chest | minecraft:book minecraft:bow minecraft:enchant_randomly minecraft:item minecraft:ominous_bottle minecraft:reference minecraft:set_ominous_bottle_amplifier minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/toxic_lair/toxic_ominous_vault | chest | minecraft:item minecraft:reference nova_structures:loot_modifier
nova_structures:chests/toxic_lair/toxic_vault | chest | minecraft:item minecraft:reference nova_structures:loot_modifier
nova_structures:chests/trident_trial_monument/ttm_boss_vault_heart | minecraft:chest | minecraft:chest minecraft:copper_block minecraft:diamond_block minecraft:emerald_block minecraft:gold_block minecraft:heart_of_the_sea minecraft:iron_block minecraft:item minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/trident_trial_monument/ttm_boss_vault_trident | minecraft:chest | minecraft:chest minecraft:copper_block minecraft:diamond_block minecraft:emerald_block minecraft:gold_block minecraft:iron_block minecraft:item minecraft:reference minecraft:set_count minecraft:trident minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/trident_trial_monument/ttm_common_vault | minecraft:chest | minecraft:book minecraft:chest minecraft:cooked_cod minecraft:copper_block minecraft:depth_strider minecraft:diamond minecraft:empty minecraft:enchant_randomly minecraft:gold_ingot minecraft:iron_block minecraft:item minecraft:loyalty minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:sponge minecraft:strong_regeneration minecraft:trident minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/undead_crypts_grave | minecraft:chest | minecraft:bone minecraft:book minecraft:chainmail_chestplate minecraft:chest minecraft:chests/simple_dungeon minecraft:coal minecraft:copper_ingot minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:iron_axe minecraft:iron_ingot minecraft:iron_nugget minecraft:iron_pickaxe minecraft:iron_sword minecraft:item minecraft:lapis_lazuli minecraft:loot_table minecraft:name_tag minecraft:redstone minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:skeleton_skull minecraft:stick minecraft:string minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/village/village_birch_house | minecraft:chest | minecraft:birch_log minecraft:birch_sapling minecraft:bread minecraft:chest minecraft:emerald minecraft:iron_nugget minecraft:item minecraft:lilac minecraft:lily_of_the_valley minecraft:mushroom_stew minecraft:potato minecraft:reference minecraft:rose_bush minecraft:set_count minecraft:uniform minecraft:wheat nova_structures:loot_modifier
nova_structures:chests/water_supply | minecraft:chest | minecraft:chest minecraft:gameplay/fishing/fish minecraft:glass_bottle minecraft:item minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_potion minecraft:uniform minecraft:water minecraft:water_bucket nova_structures:loot_modifier
nova_structures:chests/witch_villa/bedroom | minecraft:chest | minecraft:beetroot minecraft:book minecraft:chest minecraft:emerald minecraft:empty minecraft:feather minecraft:glass_bottle minecraft:item minecraft:lapis_lazuli minecraft:music_disc_wait minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/witch_villa/dirty_clothes | minecraft:chest | minecraft:carrot_on_a_stick minecraft:chest minecraft:empty minecraft:item minecraft:leather_boots minecraft:leather_chestplate minecraft:leather_helmet minecraft:leather_leggings minecraft:music_disc_wait minecraft:name_tag minecraft:reference minecraft:saddle minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_damage minecraft:spruce_boat minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/witch_villa/gardening | minecraft:chest | minecraft:beetroot minecraft:beetroot_seeds minecraft:blue_orchid minecraft:bone_meal minecraft:brown_mushroom minecraft:chest minecraft:empty minecraft:fern minecraft:iron_hoe minecraft:iron_shovel minecraft:item minecraft:large_fern minecraft:lilac minecraft:lily_pad minecraft:music_disc_wait minecraft:peony minecraft:pumpkin minecraft:pumpkin_seeds minecraft:red_mushroom minecraft:reference minecraft:rose_bush minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform minecraft:vine nova_structures:loot_modifier
nova_structures:chests/witch_villa/general_storage | minecraft:chest | minecraft:candle minecraft:chest minecraft:emerald minecraft:empty minecraft:gold_ingot minecraft:iron_axe minecraft:iron_ingot minecraft:item minecraft:lantern minecraft:magenta_dye minecraft:music_disc_wait minecraft:oak_log minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:spruce_log minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/witch_villa/kitchen | minecraft:chest | minecraft:beetroot minecraft:beetroot_soup minecraft:bowl minecraft:brown_mushroom minecraft:chest minecraft:egg minecraft:empty minecraft:item minecraft:milk_bucket minecraft:mushroom_stew minecraft:music_disc_wait minecraft:potion minecraft:pumpkin minecraft:pumpkin_pie minecraft:red_mushroom minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_potion minecraft:sugar minecraft:uniform minecraft:water nova_structures:loot_modifier
nova_structures:chests/witch_villa/lab | minecraft:chest | minecraft:book minecraft:bucket minecraft:chest minecraft:copper_ingot minecraft:empty minecraft:golden_apple minecraft:item minecraft:lightning_rod minecraft:music_disc_wait minecraft:name_tag minecraft:paper minecraft:powder_snow_bucket minecraft:redstone minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:set_potion minecraft:splash_potion minecraft:uniform minecraft:water_bucket minecraft:weakness minecraft:writable_book nova_structures:loot_modifier
nova_structures:chests/witch_villa/library | minecraft:chest | minecraft:book minecraft:chest minecraft:clock minecraft:compass minecraft:depth_strider minecraft:empty minecraft:enchant_randomly minecraft:feather minecraft:ink_sac minecraft:item minecraft:music_disc_wait minecraft:paper minecraft:reference minecraft:respiration minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform minecraft:writable_book nova_structures:loot_modifier
nova_structures:chests/witch_villa/music_room | minecraft:chest | minecraft:chest minecraft:empty minecraft:experience_bottle minecraft:item minecraft:music_disc_wait minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/witch_villa/potion_brewing | minecraft:chest | minecraft:chest minecraft:empty minecraft:fermented_spider_eye minecraft:ghast_tear minecraft:glass_bottle minecraft:glistering_melon_slice minecraft:glowstone_dust minecraft:golden_carrot minecraft:gunpowder minecraft:item minecraft:magma_cream minecraft:music_disc_wait minecraft:phantom_membrane minecraft:pufferfish minecraft:rabbit_foot minecraft:redstone minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:spider_eye minecraft:stick minecraft:sugar minecraft:turtle_scute minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/witch_villa/pumpkin_room | minecraft:chest | minecraft:binding_curse minecraft:book minecraft:carved_pumpkin minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:item minecraft:music_disc_wait minecraft:pumpkin minecraft:pumpkin_seeds minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:chests/witch_villa/slime_room | minecraft:chest | minecraft:chest minecraft:empty minecraft:item minecraft:magma_cream minecraft:music_disc_wait minecraft:ochre_froglight minecraft:pearlescent_froglight minecraft:reference minecraft:sentry_armor_trim_smithing_template minecraft:set_count minecraft:slime_ball minecraft:slime_block minecraft:uniform minecraft:verdant_froglight nova_structures:loot_modifier
nova_structures:equipment/creeping_crypt/equipment_creeping | minecraft:equipment | minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:enchant_with_levels minecraft:equipment minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_sword minecraft:item minecraft:loot_table minecraft:random_chance minecraft:reference nova_structures:loot_modifier
nova_structures:equipment/lone_citadel/equipment_citadel | minecraft:equipment | minecraft:diamond minecraft:diamond_axe minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:equipment minecraft:flow minecraft:iron_axe minecraft:iron_chestplate minecraft:iron_helmet minecraft:item minecraft:leather_boots minecraft:loot_table minecraft:quartz minecraft:random_chance minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:equipment/nether_keep/equipment_keep | minecraft:equipment | minecraft:bow minecraft:diamond_sword minecraft:equipment minecraft:gold minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_sword minecraft:iron minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_sword minecraft:item minecraft:loot_table minecraft:netherite_chestplate minecraft:netherite_helmet minecraft:quartz minecraft:random_chance minecraft:reference minecraft:rib minecraft:set_components nova_structures:loot_modifier
nova_structures:equipment/piglin_donjon/equipment_piglin_donjon | minecraft:equipment | minecraft:enchant_with_levels minecraft:equipment minecraft:generic.movement_speed minecraft:gold minecraft:golden_axe minecraft:golden_boots minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_leggings minecraft:golden_sword minecraft:item minecraft:loot_table minecraft:netherite_axe minecraft:netherite_boots minecraft:netherite_chestplate minecraft:netherite_helmet minecraft:netherite_leggings minecraft:random_chance minecraft:redstone minecraft:reference minecraft:set_components minecraft:snout nova_structures:generic.movement_speed nova_structures:loot_modifier
nova_structures:equipment/shrine/equipment_shrine | minecraft:equipment | minecraft:bolt minecraft:copper minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:diamond_sword minecraft:equipment minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_sword minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_sword minecraft:item minecraft:loot_table minecraft:random_chance minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:equipment/toxic_lair/toxic_equipment | minecraft:equipment | minecraft:diamond_chestplate minecraft:diamond_helmet minecraft:emerald minecraft:equipment minecraft:golden_shovel minecraft:iron_chestplate minecraft:iron_helmet minecraft:item minecraft:leather_boots minecraft:leather_chestplate minecraft:leather_helmet minecraft:leather_leggings minecraft:loot_table minecraft:random_chance minecraft:reference minecraft:set_components minecraft:wild nova_structures:loot_modifier
nova_structures:equipment/trident_trial_monument/equipment_trident_trial_monument | minecraft:equipment | minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:copper minecraft:diamond_chestplate minecraft:enchant_randomly minecraft:equipment minecraft:iron_axe minecraft:item minecraft:loot_table minecraft:random_chance minecraft:set_components minecraft:thorns minecraft:tide minecraft:trident minecraft:turtle_helmet
nova_structures:keys/all_keys | ? | minecraft:item minecraft:loot_table minecraft:ominous_trial_key minecraft:reference minecraft:trial_key nova_structures:keys/citadel_boss_key nova_structures:keys/citadel_key nova_structures:keys/creeper_key nova_structures:keys/end_castle_key nova_structures:keys/end_ship_key nova_structures:keys/nether_keep_key nova_structures:keys/ominous_shrine_key nova_structures:keys/ominous_toxic_key nova_structures:keys/piglin_donjon_key nova_structures:keys/piglin_outstation_key nova_structures:keys/shrine_key nova_structures:keys/toxic_boss_key nova_structures:keys/toxic_key nova_structures:keys/trident_trial_boss_key nova_structures:keys/trident_trial_key nova_structures:loot_modifier
nova_structures:keys/citadel_boss_key | ? | minecraft:item minecraft:ominous_trial_key minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:keys/citadel_key | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:trial_key nova_structures:loot_modifier
nova_structures:keys/creeper_key | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:trial_key nova_structures:loot_modifier
nova_structures:keys/end_castle_key | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:trial_key nova_structures:loot_modifier
nova_structures:keys/end_ship_key | ? | minecraft:item minecraft:ominous_trial_key minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:keys/nether_keep_key | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:trial_key nova_structures:loot_modifier
nova_structures:keys/ominous_shrine_key | ? | minecraft:item minecraft:ominous_trial_key minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:keys/ominous_toxic_key | ? | minecraft:item minecraft:ominous_trial_key minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:keys/piglin_donjon_key | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:trial_key nova_structures:loot_modifier
nova_structures:keys/piglin_outstation_key | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:trial_key nova_structures:loot_modifier
nova_structures:keys/shrine_key | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:trial_key nova_structures:loot_modifier
nova_structures:keys/toxic_boss_key | ? | minecraft:item minecraft:ominous_trial_key minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:keys/toxic_key | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:trial_key nova_structures:loot_modifier
nova_structures:keys/trident_trial_boss_key | ? | minecraft:item minecraft:ominous_trial_key minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:keys/trident_trial_key | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:trial_key nova_structures:loot_modifier
nova_structures:maps/ancient_city | minecraft:chest | minecraft:ancient_city minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:maps/badlands_miner_outpost | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:badlands_miner_outpost nova_structures:loot_modifier
nova_structures:maps/creeping_crypt | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:creeping_crypt nova_structures:loot_modifier
nova_structures:maps/desert_ruin | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:desert_ruins nova_structures:loot_modifier
nova_structures:maps/illager_hideout | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:illager_hideout nova_structures:loot_modifier
nova_structures:maps/illager_manor | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:illager_manor nova_structures:loot_modifier
nova_structures:maps/jungle_ruin | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:jungle_ruins nova_structures:loot_modifier
nova_structures:maps/lone_citadel | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:lone_citadel nova_structures:loot_modifier
