cbc_at:blocks/armor_piercing_cartridge | minecraft:block | cbc_at:armor_piercing_cartridge createbigcannons:blocks/ap_shot minecraft:block minecraft:copy_name minecraft:copy_nbt minecraft:item
cbc_at:blocks/vert_twin_autocannon_breech_mould | minecraft:block | cbc_at:blocks/vert_twin_autocannon_breech_mould cbc_at:vert_twin_autocannon_breech_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/vert_twin_autocannon_muzzle_brake_mould | minecraft:block | cbc_at:blocks/vert_twin_autocannon_muzzle_brake_mould cbc_at:vert_twin_autocannon_muzzle_brake_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/vert_twin_autocannon_recoil_spring_mould | minecraft:block | cbc_at:blocks/vert_twin_autocannon_recoil_spring_mould cbc_at:vert_twin_autocannon_recoil_spring_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/vert_twin_autocannon_silencer_mould | minecraft:block | cbc_at:blocks/vert_twin_autocannon_silencer_mould cbc_at:vert_twin_autocannon_silencer_mould minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/wrought_iron_medium_rocket_rail | minecraft:block | cbc_at:wrought_iron_medium_rocket_rail createbigcannons:blocks/wrought_iron_cannon_chamber minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:blocks/wrought_iron_medium_rocket_rail_breech | minecraft:block | cbc_at:wrought_iron_medium_rocket_rail_breech createbigcannons:blocks/wrought_iron_cannon_chamber minecraft:block minecraft:item minecraft:survives_explosion
cbc_at:boring_scrap/autocannon/unbored_bronze_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/autocannon/unbored_bronze_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/autocannon/unbored_cast_iron_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/autocannon/unbored_cast_iron_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/autocannon/unbored_steel_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/autocannon/unbored_steel_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_bronze_fume_extractor | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_fume_extractor createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_bronze_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_muzzle_brake createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_bronze_rifled_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_rifled_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_bronze_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_silencer createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_cast_iron_fume_extractor | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_fume_extractor createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_cast_iron_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_muzzle_brake createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_cast_iron_rifled_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_rifled_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_cast_iron_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_silencer createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_nethersteel_fume_extractor | minecraft:block | createbigcannons:boring_scrap/unbored_nethersteel_fume_extractor createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_nethersteel_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_nethersteel_rifled_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_nethersteel_rifled_barrel createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_nethersteel_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_nethersteel_silencer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_steel_fume_extractor | minecraft:block | createbigcannons:boring_scrap/unbored_steel_fume_extractor createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_steel_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_steel_muzzle_brake createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_steel_rifled_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_steel_rifled_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/big_cannon/unbored_steel_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_steel_silencer createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_bronze_heavy_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_bronze_heavy_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_bronze_heavy_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_bronze_heavy_autocannon_qfbreech | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_bronze_heavy_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_bronze_heavy_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_cast_iron_heavy_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_cast_iron_heavy_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_cast_iron_heavy_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_cast_iron_heavy_autocannon_qfbreech | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_cast_iron_heavy_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_cast_iron_heavy_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_steel_heavy_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_steel_heavy_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_steel_heavy_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_steel_heavy_autocannon_qfbreech | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_steel_heavy_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/heavy_autocannon/unbored_steel_heavy_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_twin_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_twin_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_breech createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_twin_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_twin_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_twin_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_vert_twin_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_vert_twin_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_breech createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_vert_twin_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_vert_twin_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_bronze_vert_twin_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_autocannon_recoil_spring createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_twin_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_twin_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_breech createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_twin_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_twin_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_twin_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_vert_twin_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_vert_twin_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_breech createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_vert_twin_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_vert_twin_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_cast_iron_vert_twin_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_autocannon_recoil_spring createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_twin_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_twin_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_breech createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_twin_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_twin_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_twin_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_vert_twin_autocannon_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_vert_twin_autocannon_breech | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_breech createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_vert_twin_autocannon_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_vert_twin_autocannon_recoil_spring | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/twin_autocannon/unbored_steel_vert_twin_autocannon_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_steel_autocannon_recoil_spring createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_bronze_fume_extractor | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_fume_extractor createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_bronze_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_muzzle_brake createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_bronze_rifled_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_rifled_barrel createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_bronze_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_bronze_silencer createbigcannons:bronze_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_cast_iron_fume_extractor | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_fume_extractor createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_cast_iron_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_muzzle_brake createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_cast_iron_rifled_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_rifled_barrel createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_cast_iron_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_cast_iron_silencer createbigcannons:cast_iron_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_nethersteel_fume_extractor | minecraft:block | createbigcannons:boring_scrap/unbored_nethersteel_fume_extractor createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_nethersteel_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_nethersteel_muzzle_brake createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_nethersteel_rifled_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_nethersteel_rifled_barrel createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_nethersteel_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_nethersteel_silencer createbigcannons:nethersteel_nugget minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_steel_fume_extractor | minecraft:block | createbigcannons:boring_scrap/unbored_steel_fume_extractor createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_steel_muzzle_brake | minecraft:block | createbigcannons:boring_scrap/unbored_steel_muzzle_brake createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_steel_rifled_barrel | minecraft:block | createbigcannons:boring_scrap/unbored_steel_rifled_barrel createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
cbc_at:boring_scrap/unbored_steel_silencer | minecraft:block | createbigcannons:boring_scrap/unbored_steel_silencer createbigcannons:steel_scrap minecraft:block minecraft:item minecraft:set_count minecraft:uniform
