create:blocks/acacia_window | minecraft:block | create:acacia_window create:blocks/acacia_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/oxidized_copper_shingles | minecraft:block | create:blocks/oxidized_copper_shingles create:oxidized_copper_shingles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/oxidized_copper_tile_slab | minecraft:block | create:blocks/oxidized_copper_tile_slab create:oxidized_copper_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/oxidized_copper_tile_stairs | minecraft:block | create:blocks/oxidized_copper_tile_stairs create:oxidized_copper_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/oxidized_copper_tiles | minecraft:block | create:blocks/oxidized_copper_tiles create:oxidized_copper_tiles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/package_frogport | minecraft:block | create:blocks/package_frogport create:package_frogport minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/packager | minecraft:block | create:blocks/packager create:packager minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/peculiar_bell | minecraft:block | create:blocks/peculiar_bell create:peculiar_bell minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/pink_nixie_tube | minecraft:block | create:blocks/pink_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/pink_postbox | minecraft:block | create:blocks/pink_postbox create:pink_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/pink_sail | minecraft:block | create:blocks/pink_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/pink_seat | minecraft:block | create:blocks/pink_seat create:pink_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/pink_table_cloth | minecraft:block | create:blocks/pink_table_cloth create:pink_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/pink_toolbox | minecraft:block | create:blocks/pink_toolbox create:pink_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/pink_valve_handle | minecraft:block | create:blocks/pink_valve_handle create:pink_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/piston_extension_pole | minecraft:block | create:blocks/piston_extension_pole create:piston_extension_pole minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/placard | minecraft:block | create:blocks/placard create:placard minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_andesite | minecraft:block | create:blocks/polished_cut_andesite create:polished_cut_andesite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_andesite_slab | minecraft:block | create:blocks/polished_cut_andesite_slab create:polished_cut_andesite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_andesite_stairs | minecraft:block | create:blocks/polished_cut_andesite_stairs create:polished_cut_andesite_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_andesite_wall | minecraft:block | create:blocks/polished_cut_andesite_wall create:polished_cut_andesite_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_asurine | minecraft:block | create:blocks/polished_cut_asurine create:polished_cut_asurine minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_asurine_slab | minecraft:block | create:blocks/polished_cut_asurine_slab create:polished_cut_asurine_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_asurine_stairs | minecraft:block | create:blocks/polished_cut_asurine_stairs create:polished_cut_asurine_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_asurine_wall | minecraft:block | create:blocks/polished_cut_asurine_wall create:polished_cut_asurine_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_calcite | minecraft:block | create:blocks/polished_cut_calcite create:polished_cut_calcite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_calcite_slab | minecraft:block | create:blocks/polished_cut_calcite_slab create:polished_cut_calcite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_calcite_stairs | minecraft:block | create:blocks/polished_cut_calcite_stairs create:polished_cut_calcite_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_calcite_wall | minecraft:block | create:blocks/polished_cut_calcite_wall create:polished_cut_calcite_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_crimsite | minecraft:block | create:blocks/polished_cut_crimsite create:polished_cut_crimsite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_crimsite_slab | minecraft:block | create:blocks/polished_cut_crimsite_slab create:polished_cut_crimsite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_crimsite_stairs | minecraft:block | create:blocks/polished_cut_crimsite_stairs create:polished_cut_crimsite_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_crimsite_wall | minecraft:block | create:blocks/polished_cut_crimsite_wall create:polished_cut_crimsite_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_deepslate | minecraft:block | create:blocks/polished_cut_deepslate create:polished_cut_deepslate minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_deepslate_slab | minecraft:block | create:blocks/polished_cut_deepslate_slab create:polished_cut_deepslate_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_deepslate_stairs | minecraft:block | create:blocks/polished_cut_deepslate_stairs create:polished_cut_deepslate_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_deepslate_wall | minecraft:block | create:blocks/polished_cut_deepslate_wall create:polished_cut_deepslate_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_diorite | minecraft:block | create:blocks/polished_cut_diorite create:polished_cut_diorite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_diorite_slab | minecraft:block | create:blocks/polished_cut_diorite_slab create:polished_cut_diorite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_diorite_stairs | minecraft:block | create:blocks/polished_cut_diorite_stairs create:polished_cut_diorite_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_diorite_wall | minecraft:block | create:blocks/polished_cut_diorite_wall create:polished_cut_diorite_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_dripstone | minecraft:block | create:blocks/polished_cut_dripstone create:polished_cut_dripstone minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_dripstone_slab | minecraft:block | create:blocks/polished_cut_dripstone_slab create:polished_cut_dripstone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_dripstone_stairs | minecraft:block | create:blocks/polished_cut_dripstone_stairs create:polished_cut_dripstone_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_dripstone_wall | minecraft:block | create:blocks/polished_cut_dripstone_wall create:polished_cut_dripstone_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_granite | minecraft:block | create:blocks/polished_cut_granite create:polished_cut_granite minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_granite_slab | minecraft:block | create:blocks/polished_cut_granite_slab create:polished_cut_granite_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_granite_stairs | minecraft:block | create:blocks/polished_cut_granite_stairs create:polished_cut_granite_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_granite_wall | minecraft:block | create:blocks/polished_cut_granite_wall create:polished_cut_granite_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_limestone | minecraft:block | create:blocks/polished_cut_limestone create:polished_cut_limestone minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_limestone_slab | minecraft:block | create:blocks/polished_cut_limestone_slab create:polished_cut_limestone_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_limestone_stairs | minecraft:block | create:blocks/polished_cut_limestone_stairs create:polished_cut_limestone_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_limestone_wall | minecraft:block | create:blocks/polished_cut_limestone_wall create:polished_cut_limestone_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_ochrum | minecraft:block | create:blocks/polished_cut_ochrum create:polished_cut_ochrum minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_ochrum_slab | minecraft:block | create:blocks/polished_cut_ochrum_slab create:polished_cut_ochrum_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_ochrum_stairs | minecraft:block | create:blocks/polished_cut_ochrum_stairs create:polished_cut_ochrum_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_ochrum_wall | minecraft:block | create:blocks/polished_cut_ochrum_wall create:polished_cut_ochrum_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_scorchia | minecraft:block | create:blocks/polished_cut_scorchia create:polished_cut_scorchia minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_scorchia_slab | minecraft:block | create:blocks/polished_cut_scorchia_slab create:polished_cut_scorchia_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_scorchia_stairs | minecraft:block | create:blocks/polished_cut_scorchia_stairs create:polished_cut_scorchia_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_scorchia_wall | minecraft:block | create:blocks/polished_cut_scorchia_wall create:polished_cut_scorchia_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_scoria | minecraft:block | create:blocks/polished_cut_scoria create:polished_cut_scoria minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_scoria_slab | minecraft:block | create:blocks/polished_cut_scoria_slab create:polished_cut_scoria_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_scoria_stairs | minecraft:block | create:blocks/polished_cut_scoria_stairs create:polished_cut_scoria_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_scoria_wall | minecraft:block | create:blocks/polished_cut_scoria_wall create:polished_cut_scoria_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_tuff | minecraft:block | create:blocks/polished_cut_tuff create:polished_cut_tuff minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_tuff_slab | minecraft:block | create:blocks/polished_cut_tuff_slab create:polished_cut_tuff_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_tuff_stairs | minecraft:block | create:blocks/polished_cut_tuff_stairs create:polished_cut_tuff_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_tuff_wall | minecraft:block | create:blocks/polished_cut_tuff_wall create:polished_cut_tuff_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_veridium | minecraft:block | create:blocks/polished_cut_veridium create:polished_cut_veridium minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_veridium_slab | minecraft:block | create:blocks/polished_cut_veridium_slab create:polished_cut_veridium_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/polished_cut_veridium_stairs | minecraft:block | create:blocks/polished_cut_veridium_stairs create:polished_cut_veridium_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/polished_cut_veridium_wall | minecraft:block | create:blocks/polished_cut_veridium_wall create:polished_cut_veridium_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/portable_fluid_interface | minecraft:block | create:blocks/portable_fluid_interface create:portable_fluid_interface minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/portable_storage_interface | minecraft:block | create:blocks/portable_storage_interface create:portable_storage_interface minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/powered_latch | minecraft:block | create:blocks/powered_latch create:powered_latch minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/powered_shaft | minecraft:block | create:blocks/powered_shaft create:shaft minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/powered_toggle_latch | minecraft:block | create:blocks/powered_toggle_latch create:powered_toggle_latch minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/pulley_magnet | minecraft:block | create:blocks/pulley_magnet minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/pulse_extender | minecraft:block | create:blocks/pulse_extender create:pulse_extender minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/pulse_repeater | minecraft:block | create:blocks/pulse_repeater create:pulse_repeater minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/pulse_timer | minecraft:block | create:blocks/pulse_timer create:pulse_timer minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/purple_nixie_tube | minecraft:block | create:blocks/purple_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/purple_postbox | minecraft:block | create:blocks/purple_postbox create:purple_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/purple_sail | minecraft:block | create:blocks/purple_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/purple_seat | minecraft:block | create:blocks/purple_seat create:purple_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/purple_table_cloth | minecraft:block | create:blocks/purple_table_cloth create:purple_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/purple_toolbox | minecraft:block | create:blocks/purple_toolbox create:purple_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/purple_valve_handle | minecraft:block | create:blocks/purple_valve_handle create:purple_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/radial_chassis | minecraft:block | create:blocks/radial_chassis create:radial_chassis minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/railway_casing | minecraft:block | create:blocks/railway_casing create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/raw_zinc_block | minecraft:block | create:blocks/raw_zinc_block create:raw_zinc_block minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/red_nixie_tube | minecraft:block | create:blocks/red_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/red_postbox | minecraft:block | create:blocks/red_postbox create:red_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/red_sail | minecraft:block | create:blocks/red_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/red_seat | minecraft:block | create:blocks/red_seat create:red_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/red_table_cloth | minecraft:block | create:blocks/red_table_cloth create:red_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/red_toolbox | minecraft:block | create:blocks/red_toolbox create:red_toolbox create:toolbox_inventory create:toolbox_uuid minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/red_valve_handle | minecraft:block | create:blocks/red_valve_handle create:red_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/redstone_contact | minecraft:block | create:blocks/redstone_contact create:redstone_contact minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/redstone_link | minecraft:block | create:blocks/redstone_link create:redstone_link minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/redstone_requester | minecraft:block | create:blocks/redstone_requester create:redstone_requester minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/refined_radiance_casing | minecraft:block | create:blocks/refined_radiance_casing create:refined_radiance_casing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/repackager | minecraft:block | create:blocks/repackager create:repackager minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/rope | minecraft:block | create:blocks/rope minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/rope_pulley | minecraft:block | create:blocks/rope_pulley create:rope_pulley minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/rose_quartz_block | minecraft:block | create:blocks/rose_quartz_block create:rose_quartz_block minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/rose_quartz_lamp | minecraft:block | create:blocks/rose_quartz_lamp create:rose_quartz_lamp minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/rose_quartz_tiles | minecraft:block | create:blocks/rose_quartz_tiles create:rose_quartz_tiles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/rotation_speed_controller | minecraft:block | create:blocks/rotation_speed_controller create:rotation_speed_controller minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/sail_frame | minecraft:block | create:blocks/sail_frame create:sail_frame minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/schematic_table | minecraft:block | create:blocks/schematic_table create:schematic_table minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/schematicannon | minecraft:block | create:blocks/schematicannon create:schematicannon create:schematicannon_options minecraft:block minecraft:copy_components minecraft:item minecraft:survives_explosion
create:blocks/scorchia | minecraft:block | create:blocks/scorchia create:scorchia minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/scorchia_pillar | minecraft:block | create:blocks/scorchia_pillar create:scorchia_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/scoria | minecraft:block | create:blocks/scoria create:scoria minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/scoria_pillar | minecraft:block | create:blocks/scoria_pillar create:scoria_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/secondary_linear_chassis | minecraft:block | create:blocks/secondary_linear_chassis create:secondary_linear_chassis minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/sequenced_gearshift | minecraft:block | create:blocks/sequenced_gearshift create:sequenced_gearshift minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/shadow_steel_casing | minecraft:block | create:blocks/shadow_steel_casing create:shadow_steel_casing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/shaft | minecraft:block | create:blocks/shaft create:shaft minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_andesite_brick_slab | minecraft:block | create:blocks/small_andesite_brick_slab create:small_andesite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_andesite_brick_stairs | minecraft:block | create:blocks/small_andesite_brick_stairs create:small_andesite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_andesite_brick_wall | minecraft:block | create:blocks/small_andesite_brick_wall create:small_andesite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_andesite_bricks | minecraft:block | create:blocks/small_andesite_bricks create:small_andesite_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_asurine_brick_slab | minecraft:block | create:blocks/small_asurine_brick_slab create:small_asurine_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_asurine_brick_stairs | minecraft:block | create:blocks/small_asurine_brick_stairs create:small_asurine_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_asurine_brick_wall | minecraft:block | create:blocks/small_asurine_brick_wall create:small_asurine_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_asurine_bricks | minecraft:block | create:blocks/small_asurine_bricks create:small_asurine_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_bogey | minecraft:block | create:blocks/small_bogey create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_calcite_brick_slab | minecraft:block | create:blocks/small_calcite_brick_slab create:small_calcite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_calcite_brick_stairs | minecraft:block | create:blocks/small_calcite_brick_stairs create:small_calcite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_calcite_brick_wall | minecraft:block | create:blocks/small_calcite_brick_wall create:small_calcite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_calcite_bricks | minecraft:block | create:blocks/small_calcite_bricks create:small_calcite_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_crimsite_brick_slab | minecraft:block | create:blocks/small_crimsite_brick_slab create:small_crimsite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_crimsite_brick_stairs | minecraft:block | create:blocks/small_crimsite_brick_stairs create:small_crimsite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_crimsite_brick_wall | minecraft:block | create:blocks/small_crimsite_brick_wall create:small_crimsite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_crimsite_bricks | minecraft:block | create:blocks/small_crimsite_bricks create:small_crimsite_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_deepslate_brick_slab | minecraft:block | create:blocks/small_deepslate_brick_slab create:small_deepslate_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_deepslate_brick_stairs | minecraft:block | create:blocks/small_deepslate_brick_stairs create:small_deepslate_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_deepslate_brick_wall | minecraft:block | create:blocks/small_deepslate_brick_wall create:small_deepslate_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_deepslate_bricks | minecraft:block | create:blocks/small_deepslate_bricks create:small_deepslate_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_diorite_brick_slab | minecraft:block | create:blocks/small_diorite_brick_slab create:small_diorite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_diorite_brick_stairs | minecraft:block | create:blocks/small_diorite_brick_stairs create:small_diorite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_diorite_brick_wall | minecraft:block | create:blocks/small_diorite_brick_wall create:small_diorite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_diorite_bricks | minecraft:block | create:blocks/small_diorite_bricks create:small_diorite_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_dripstone_brick_slab | minecraft:block | create:blocks/small_dripstone_brick_slab create:small_dripstone_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_dripstone_brick_stairs | minecraft:block | create:blocks/small_dripstone_brick_stairs create:small_dripstone_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_dripstone_brick_wall | minecraft:block | create:blocks/small_dripstone_brick_wall create:small_dripstone_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_dripstone_bricks | minecraft:block | create:blocks/small_dripstone_bricks create:small_dripstone_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_granite_brick_slab | minecraft:block | create:blocks/small_granite_brick_slab create:small_granite_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_granite_brick_stairs | minecraft:block | create:blocks/small_granite_brick_stairs create:small_granite_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_granite_brick_wall | minecraft:block | create:blocks/small_granite_brick_wall create:small_granite_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_granite_bricks | minecraft:block | create:blocks/small_granite_bricks create:small_granite_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_limestone_brick_slab | minecraft:block | create:blocks/small_limestone_brick_slab create:small_limestone_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_limestone_brick_stairs | minecraft:block | create:blocks/small_limestone_brick_stairs create:small_limestone_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_limestone_brick_wall | minecraft:block | create:blocks/small_limestone_brick_wall create:small_limestone_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_limestone_bricks | minecraft:block | create:blocks/small_limestone_bricks create:small_limestone_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_ochrum_brick_slab | minecraft:block | create:blocks/small_ochrum_brick_slab create:small_ochrum_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_ochrum_brick_stairs | minecraft:block | create:blocks/small_ochrum_brick_stairs create:small_ochrum_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_ochrum_brick_wall | minecraft:block | create:blocks/small_ochrum_brick_wall create:small_ochrum_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_ochrum_bricks | minecraft:block | create:blocks/small_ochrum_bricks create:small_ochrum_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_rose_quartz_tiles | minecraft:block | create:blocks/small_rose_quartz_tiles create:small_rose_quartz_tiles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_scorchia_brick_slab | minecraft:block | create:blocks/small_scorchia_brick_slab create:small_scorchia_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_scorchia_brick_stairs | minecraft:block | create:blocks/small_scorchia_brick_stairs create:small_scorchia_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_scorchia_brick_wall | minecraft:block | create:blocks/small_scorchia_brick_wall create:small_scorchia_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_scorchia_bricks | minecraft:block | create:blocks/small_scorchia_bricks create:small_scorchia_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_scoria_brick_slab | minecraft:block | create:blocks/small_scoria_brick_slab create:small_scoria_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_scoria_brick_stairs | minecraft:block | create:blocks/small_scoria_brick_stairs create:small_scoria_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_scoria_brick_wall | minecraft:block | create:blocks/small_scoria_brick_wall create:small_scoria_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_scoria_bricks | minecraft:block | create:blocks/small_scoria_bricks create:small_scoria_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_tuff_brick_slab | minecraft:block | create:blocks/small_tuff_brick_slab create:small_tuff_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_tuff_brick_stairs | minecraft:block | create:blocks/small_tuff_brick_stairs create:small_tuff_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_tuff_brick_wall | minecraft:block | create:blocks/small_tuff_brick_wall create:small_tuff_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_tuff_bricks | minecraft:block | create:blocks/small_tuff_bricks create:small_tuff_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_veridium_brick_slab | minecraft:block | create:blocks/small_veridium_brick_slab create:small_veridium_brick_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/small_veridium_brick_stairs | minecraft:block | create:blocks/small_veridium_brick_stairs create:small_veridium_brick_stairs minecraft:block minecraft:item minecraft:survives_explosion
