railways:blocks/big_buffer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:big_buffer railways:blocks/big_buffer
railways:blocks/track_byg_blue_enchanted_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_blue_enchanted_wide railways:track_byg_blue_enchanted_wide
railways:blocks/track_byg_bulbis | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_bulbis railways:track_byg_bulbis
railways:blocks/track_byg_bulbis_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_bulbis_narrow railways:track_byg_bulbis_narrow
railways:blocks/track_byg_bulbis_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_bulbis_wide railways:track_byg_bulbis_wide
railways:blocks/track_byg_cika | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_cika railways:track_byg_cika
railways:blocks/track_byg_cika_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_cika_narrow railways:track_byg_cika_narrow
railways:blocks/track_byg_cika_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_cika_wide railways:track_byg_cika_wide
railways:blocks/track_byg_cypress | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_cypress railways:track_byg_cypress
railways:blocks/track_byg_cypress_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_cypress_narrow railways:track_byg_cypress_narrow
railways:blocks/track_byg_cypress_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_cypress_wide railways:track_byg_cypress_wide
railways:blocks/track_byg_ebony | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_ebony railways:track_byg_ebony
railways:blocks/track_byg_ebony_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_ebony_narrow railways:track_byg_ebony_narrow
railways:blocks/track_byg_ebony_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_ebony_wide railways:track_byg_ebony_wide
railways:blocks/track_byg_embur | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_embur railways:track_byg_embur
railways:blocks/track_byg_embur_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_embur_narrow railways:track_byg_embur_narrow
railways:blocks/track_byg_embur_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_embur_wide railways:track_byg_embur_wide
railways:blocks/track_byg_ether | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_ether railways:track_byg_ether
railways:blocks/track_byg_ether_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_ether_narrow railways:track_byg_ether_narrow
railways:blocks/track_byg_ether_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_ether_wide railways:track_byg_ether_wide
railways:blocks/track_byg_fir | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_fir railways:track_byg_fir
railways:blocks/track_byg_fir_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_fir_narrow railways:track_byg_fir_narrow
railways:blocks/track_byg_fir_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_fir_wide railways:track_byg_fir_wide
railways:blocks/track_byg_green_enchanted | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_green_enchanted railways:track_byg_green_enchanted
railways:blocks/track_byg_green_enchanted_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_green_enchanted_narrow railways:track_byg_green_enchanted_narrow
railways:blocks/track_byg_green_enchanted_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_green_enchanted_wide railways:track_byg_green_enchanted_wide
railways:blocks/track_byg_holly | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_holly railways:track_byg_holly
railways:blocks/track_byg_holly_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_holly_narrow railways:track_byg_holly_narrow
railways:blocks/track_byg_holly_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_holly_wide railways:track_byg_holly_wide
railways:blocks/track_byg_imparius | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_imparius railways:track_byg_imparius
railways:blocks/track_byg_imparius_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_imparius_narrow railways:track_byg_imparius_narrow
railways:blocks/track_byg_imparius_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_imparius_wide railways:track_byg_imparius_wide
railways:blocks/track_byg_jacaranda | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_jacaranda railways:track_byg_jacaranda
railways:blocks/track_byg_jacaranda_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_jacaranda_narrow railways:track_byg_jacaranda_narrow
railways:blocks/track_byg_jacaranda_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_jacaranda_wide railways:track_byg_jacaranda_wide
railways:blocks/track_byg_lament | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_lament railways:track_byg_lament
railways:blocks/track_byg_lament_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_lament_narrow railways:track_byg_lament_narrow
railways:blocks/track_byg_lament_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_lament_wide railways:track_byg_lament_wide
railways:blocks/track_byg_mahogany | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_mahogany railways:track_byg_mahogany
railways:blocks/track_byg_mahogany_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_mahogany_narrow railways:track_byg_mahogany_narrow
railways:blocks/track_byg_mahogany_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_mahogany_wide railways:track_byg_mahogany_wide
railways:blocks/track_byg_maple | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_maple railways:track_byg_maple
railways:blocks/track_byg_maple_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_maple_narrow railways:track_byg_maple_narrow
railways:blocks/track_byg_maple_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_maple_wide railways:track_byg_maple_wide
railways:blocks/track_byg_nightshade | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_nightshade railways:track_byg_nightshade
railways:blocks/track_byg_nightshade_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_nightshade_narrow railways:track_byg_nightshade_narrow
railways:blocks/track_byg_nightshade_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_nightshade_wide railways:track_byg_nightshade_wide
railways:blocks/track_byg_palm | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_palm railways:track_byg_palm
railways:blocks/track_byg_palm_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_palm_narrow railways:track_byg_palm_narrow
railways:blocks/track_byg_palm_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_palm_wide railways:track_byg_palm_wide
railways:blocks/track_byg_pine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_pine railways:track_byg_pine
railways:blocks/track_byg_pine_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_pine_narrow railways:track_byg_pine_narrow
railways:blocks/track_byg_pine_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_pine_wide railways:track_byg_pine_wide
railways:blocks/track_byg_rainbow_eucalyptus | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_rainbow_eucalyptus railways:track_byg_rainbow_eucalyptus
railways:blocks/track_byg_rainbow_eucalyptus_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_rainbow_eucalyptus_narrow railways:track_byg_rainbow_eucalyptus_narrow
railways:blocks/track_byg_rainbow_eucalyptus_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_rainbow_eucalyptus_wide railways:track_byg_rainbow_eucalyptus_wide
railways:blocks/track_byg_redwood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_redwood railways:track_byg_redwood
railways:blocks/track_byg_redwood_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_redwood_narrow railways:track_byg_redwood_narrow
railways:blocks/track_byg_redwood_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_redwood_wide railways:track_byg_redwood_wide
railways:blocks/track_byg_skyris | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_skyris railways:track_byg_skyris
railways:blocks/track_byg_skyris_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_skyris_narrow railways:track_byg_skyris_narrow
railways:blocks/track_byg_skyris_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_skyris_wide railways:track_byg_skyris_wide
railways:blocks/track_byg_sythian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_sythian railways:track_byg_sythian
railways:blocks/track_byg_sythian_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_sythian_narrow railways:track_byg_sythian_narrow
railways:blocks/track_byg_sythian_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_sythian_wide railways:track_byg_sythian_wide
railways:blocks/track_byg_white_mangrove | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_white_mangrove railways:track_byg_white_mangrove
railways:blocks/track_byg_white_mangrove_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_white_mangrove_narrow railways:track_byg_white_mangrove_narrow
railways:blocks/track_byg_white_mangrove_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_white_mangrove_wide railways:track_byg_white_mangrove_wide
railways:blocks/track_byg_willow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_willow railways:track_byg_willow
railways:blocks/track_byg_willow_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_willow_narrow railways:track_byg_willow_narrow
railways:blocks/track_byg_willow_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_willow_wide railways:track_byg_willow_wide
railways:blocks/track_byg_witch_hazel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_witch_hazel railways:track_byg_witch_hazel
railways:blocks/track_byg_witch_hazel_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_witch_hazel_narrow railways:track_byg_witch_hazel_narrow
railways:blocks/track_byg_witch_hazel_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_witch_hazel_wide railways:track_byg_witch_hazel_wide
railways:blocks/track_byg_zelkova | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_zelkova railways:track_byg_zelkova
railways:blocks/track_byg_zelkova_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_zelkova_narrow railways:track_byg_zelkova_narrow
railways:blocks/track_byg_zelkova_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_byg_zelkova_wide railways:track_byg_zelkova_wide
railways:blocks/track_cherry | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_cherry railways:track_cherry
railways:blocks/track_cherry_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_cherry_narrow railways:track_cherry_narrow
railways:blocks/track_cherry_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_cherry_wide railways:track_cherry_wide
railways:blocks/track_coupler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_coupler railways:track_coupler
railways:blocks/track_create_andesite_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_andesite_narrow railways:track_create_andesite_narrow
railways:blocks/track_create_andesite_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_andesite_wide railways:track_create_andesite_wide
railways:blocks/track_create_dd_rose | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_rose railways:track_create_dd_rose
railways:blocks/track_create_dd_rose_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_rose_narrow railways:track_create_dd_rose_narrow
railways:blocks/track_create_dd_rose_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_rose_wide railways:track_create_dd_rose_wide
railways:blocks/track_create_dd_rubber | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_rubber railways:track_create_dd_rubber
railways:blocks/track_create_dd_rubber_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_rubber_narrow railways:track_create_dd_rubber_narrow
railways:blocks/track_create_dd_rubber_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_rubber_wide railways:track_create_dd_rubber_wide
railways:blocks/track_create_dd_smoked | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_smoked railways:track_create_dd_smoked
railways:blocks/track_create_dd_smoked_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_smoked_narrow railways:track_create_dd_smoked_narrow
railways:blocks/track_create_dd_smoked_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_smoked_wide railways:track_create_dd_smoked_wide
railways:blocks/track_create_dd_spirit | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_spirit railways:track_create_dd_spirit
railways:blocks/track_create_dd_spirit_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_spirit_narrow railways:track_create_dd_spirit_narrow
railways:blocks/track_create_dd_spirit_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_create_dd_spirit_wide railways:track_create_dd_spirit_wide
railways:blocks/track_crimson | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_crimson railways:track_crimson
railways:blocks/track_crimson_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_crimson_narrow railways:track_crimson_narrow
railways:blocks/track_crimson_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_crimson_wide railways:track_crimson_wide
railways:blocks/track_dark_oak | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_dark_oak railways:track_dark_oak
railways:blocks/track_dark_oak_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_dark_oak_narrow railways:track_dark_oak_narrow
railways:blocks/track_dark_oak_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_dark_oak_wide railways:track_dark_oak_wide
railways:blocks/track_ender | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_ender railways:track_ender
railways:blocks/track_ender_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_ender_narrow railways:track_ender_narrow
railways:blocks/track_ender_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_ender_wide railways:track_ender_wide
railways:blocks/track_hexcasting_edified | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_hexcasting_edified railways:track_hexcasting_edified
railways:blocks/track_hexcasting_edified_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_hexcasting_edified_narrow railways:track_hexcasting_edified_narrow
railways:blocks/track_hexcasting_edified_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_hexcasting_edified_wide railways:track_hexcasting_edified_wide
railways:blocks/track_jungle | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_jungle railways:track_jungle
railways:blocks/track_jungle_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_jungle_narrow railways:track_jungle_narrow
railways:blocks/track_jungle_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_jungle_wide railways:track_jungle_wide
railways:blocks/track_mangrove | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_mangrove railways:track_mangrove
railways:blocks/track_mangrove_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_mangrove_narrow railways:track_mangrove_narrow
railways:blocks/track_mangrove_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_mangrove_wide railways:track_mangrove_wide
railways:blocks/track_monorail | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_monorail railways:track_monorail
railways:blocks/track_natures_spirit_aspen | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_aspen railways:track_natures_spirit_aspen
railways:blocks/track_natures_spirit_aspen_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_aspen_narrow railways:track_natures_spirit_aspen_narrow
railways:blocks/track_natures_spirit_aspen_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_aspen_wide railways:track_natures_spirit_aspen_wide
railways:blocks/track_natures_spirit_cypress | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_cypress railways:track_natures_spirit_cypress
railways:blocks/track_natures_spirit_cypress_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_cypress_narrow railways:track_natures_spirit_cypress_narrow
railways:blocks/track_natures_spirit_cypress_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_cypress_wide railways:track_natures_spirit_cypress_wide
railways:blocks/track_natures_spirit_fir | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_fir railways:track_natures_spirit_fir
railways:blocks/track_natures_spirit_fir_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_fir_narrow railways:track_natures_spirit_fir_narrow
railways:blocks/track_natures_spirit_fir_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_fir_wide railways:track_natures_spirit_fir_wide
railways:blocks/track_natures_spirit_ghaf | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_ghaf railways:track_natures_spirit_ghaf
railways:blocks/track_natures_spirit_ghaf_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_ghaf_narrow railways:track_natures_spirit_ghaf_narrow
railways:blocks/track_natures_spirit_ghaf_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_ghaf_wide railways:track_natures_spirit_ghaf_wide
railways:blocks/track_natures_spirit_joshua | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_joshua railways:track_natures_spirit_joshua
railways:blocks/track_natures_spirit_joshua_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_joshua_narrow railways:track_natures_spirit_joshua_narrow
railways:blocks/track_natures_spirit_joshua_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_joshua_wide railways:track_natures_spirit_joshua_wide
railways:blocks/track_natures_spirit_maple | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_maple railways:track_natures_spirit_maple
railways:blocks/track_natures_spirit_maple_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_maple_narrow railways:track_natures_spirit_maple_narrow
railways:blocks/track_natures_spirit_maple_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_maple_wide railways:track_natures_spirit_maple_wide
railways:blocks/track_natures_spirit_olive | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_olive railways:track_natures_spirit_olive
railways:blocks/track_natures_spirit_olive_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_olive_narrow railways:track_natures_spirit_olive_narrow
railways:blocks/track_natures_spirit_olive_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_olive_wide railways:track_natures_spirit_olive_wide
railways:blocks/track_natures_spirit_palo_verde | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_palo_verde railways:track_natures_spirit_palo_verde
railways:blocks/track_natures_spirit_palo_verde_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_palo_verde_narrow railways:track_natures_spirit_palo_verde_narrow
railways:blocks/track_natures_spirit_palo_verde_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_palo_verde_wide railways:track_natures_spirit_palo_verde_wide
railways:blocks/track_natures_spirit_redwood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_redwood railways:track_natures_spirit_redwood
railways:blocks/track_natures_spirit_redwood_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_redwood_narrow railways:track_natures_spirit_redwood_narrow
railways:blocks/track_natures_spirit_redwood_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_redwood_wide railways:track_natures_spirit_redwood_wide
railways:blocks/track_natures_spirit_sugi | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_sugi railways:track_natures_spirit_sugi
railways:blocks/track_natures_spirit_sugi_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_sugi_narrow railways:track_natures_spirit_sugi_narrow
railways:blocks/track_natures_spirit_sugi_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_sugi_wide railways:track_natures_spirit_sugi_wide
railways:blocks/track_natures_spirit_willow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_willow railways:track_natures_spirit_willow
railways:blocks/track_natures_spirit_willow_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_willow_narrow railways:track_natures_spirit_willow_narrow
railways:blocks/track_natures_spirit_willow_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_willow_wide railways:track_natures_spirit_willow_wide
railways:blocks/track_natures_spirit_wisteria | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_wisteria railways:track_natures_spirit_wisteria
railways:blocks/track_natures_spirit_wisteria_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_wisteria_narrow railways:track_natures_spirit_wisteria_narrow
railways:blocks/track_natures_spirit_wisteria_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_natures_spirit_wisteria_wide railways:track_natures_spirit_wisteria_wide
railways:blocks/track_oak | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_oak railways:track_oak
railways:blocks/track_oak_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_oak_narrow railways:track_oak_narrow
railways:blocks/track_oak_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_oak_wide railways:track_oak_wide
railways:blocks/track_phantom | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_phantom railways:track_phantom
railways:blocks/track_phantom_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_phantom_narrow railways:track_phantom_narrow
railways:blocks/track_phantom_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_phantom_wide railways:track_phantom_wide
railways:blocks/track_quark_ancient | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_quark_ancient railways:track_quark_ancient
railways:blocks/track_quark_ancient_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_quark_ancient_narrow railways:track_quark_ancient_narrow
railways:blocks/track_quark_ancient_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_quark_ancient_wide railways:track_quark_ancient_wide
railways:blocks/track_quark_azalea | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_quark_azalea railways:track_quark_azalea
railways:blocks/track_quark_azalea_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_quark_azalea_narrow railways:track_quark_azalea_narrow
railways:blocks/track_quark_azalea_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_quark_azalea_wide railways:track_quark_azalea_wide
railways:blocks/track_quark_blossom | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_quark_blossom railways:track_quark_blossom
railways:blocks/track_quark_blossom_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_quark_blossom_narrow railways:track_quark_blossom_narrow
railways:blocks/track_quark_blossom_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_quark_blossom_wide railways:track_quark_blossom_wide
railways:blocks/track_spruce | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_spruce railways:track_spruce
railways:blocks/track_spruce_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_spruce_narrow railways:track_spruce_narrow
railways:blocks/track_spruce_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_spruce_wide railways:track_spruce_wide
railways:blocks/track_stripped_bamboo | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_stripped_bamboo railways:track_stripped_bamboo
railways:blocks/track_stripped_bamboo_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_stripped_bamboo_narrow railways:track_stripped_bamboo_narrow
