securitycraft:blocks/alarm | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:alarm securitycraft:blocks/alarm
securitycraft:blocks/reinforced_jungle_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_jungle_log securitycraft:reinforced_jungle_log
securitycraft:blocks/reinforced_jungle_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_jungle_planks securitycraft:reinforced_jungle_planks
securitycraft:blocks/reinforced_jungle_pressure_plate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_jungle_pressure_plate securitycraft:reinforced_jungle_pressure_plate
securitycraft:blocks/reinforced_jungle_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_jungle_slab securitycraft:reinforced_jungle_slab
securitycraft:blocks/reinforced_jungle_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_jungle_stairs securitycraft:reinforced_jungle_stairs
securitycraft:blocks/reinforced_jungle_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_jungle_wood securitycraft:reinforced_jungle_wood
securitycraft:blocks/reinforced_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_ladder securitycraft:reinforced_ladder
securitycraft:blocks/reinforced_lantern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lantern securitycraft:reinforced_lantern
securitycraft:blocks/reinforced_lapis_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lapis_block securitycraft:reinforced_lapis_block
securitycraft:blocks/reinforced_lava_cauldron | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lava_cauldron securitycraft:reinforced_cauldron
securitycraft:blocks/reinforced_lectern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lectern securitycraft:reinforced_lectern
securitycraft:blocks/reinforced_lever | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lever securitycraft:reinforced_lever
securitycraft:blocks/reinforced_light_blue_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_blue_carpet securitycraft:reinforced_light_blue_carpet
securitycraft:blocks/reinforced_light_blue_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_blue_concrete securitycraft:reinforced_light_blue_concrete
securitycraft:blocks/reinforced_light_blue_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_blue_glazed_terracotta securitycraft:reinforced_light_blue_glazed_terracotta
securitycraft:blocks/reinforced_light_blue_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_blue_stained_glass securitycraft:reinforced_light_blue_stained_glass
securitycraft:blocks/reinforced_light_blue_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_blue_stained_glass_pane securitycraft:reinforced_light_blue_stained_glass_pane
securitycraft:blocks/reinforced_light_blue_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_blue_terracotta securitycraft:reinforced_light_blue_terracotta
securitycraft:blocks/reinforced_light_blue_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_blue_wool securitycraft:reinforced_light_blue_wool
securitycraft:blocks/reinforced_light_gray_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_gray_carpet securitycraft:reinforced_light_gray_carpet
securitycraft:blocks/reinforced_light_gray_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_gray_concrete securitycraft:reinforced_light_gray_concrete
securitycraft:blocks/reinforced_light_gray_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_gray_glazed_terracotta securitycraft:reinforced_light_gray_glazed_terracotta
securitycraft:blocks/reinforced_light_gray_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_gray_stained_glass securitycraft:reinforced_light_gray_stained_glass
securitycraft:blocks/reinforced_light_gray_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_gray_stained_glass_pane securitycraft:reinforced_light_gray_stained_glass_pane
securitycraft:blocks/reinforced_light_gray_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_gray_terracotta securitycraft:reinforced_light_gray_terracotta
securitycraft:blocks/reinforced_light_gray_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_light_gray_wool securitycraft:reinforced_light_gray_wool
securitycraft:blocks/reinforced_lightning_rod | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lightning_rod securitycraft:reinforced_lightning_rod
securitycraft:blocks/reinforced_lime_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lime_carpet securitycraft:reinforced_lime_carpet
securitycraft:blocks/reinforced_lime_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lime_concrete securitycraft:reinforced_lime_concrete
securitycraft:blocks/reinforced_lime_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lime_glazed_terracotta securitycraft:reinforced_lime_glazed_terracotta
securitycraft:blocks/reinforced_lime_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lime_stained_glass securitycraft:reinforced_lime_stained_glass
securitycraft:blocks/reinforced_lime_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lime_stained_glass_pane securitycraft:reinforced_lime_stained_glass_pane
securitycraft:blocks/reinforced_lime_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lime_terracotta securitycraft:reinforced_lime_terracotta
securitycraft:blocks/reinforced_lime_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_lime_wool securitycraft:reinforced_lime_wool
securitycraft:blocks/reinforced_magenta_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_magenta_carpet securitycraft:reinforced_magenta_carpet
securitycraft:blocks/reinforced_magenta_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_magenta_concrete securitycraft:reinforced_magenta_concrete
securitycraft:blocks/reinforced_magenta_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_magenta_glazed_terracotta securitycraft:reinforced_magenta_glazed_terracotta
securitycraft:blocks/reinforced_magenta_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_magenta_stained_glass securitycraft:reinforced_magenta_stained_glass
securitycraft:blocks/reinforced_magenta_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_magenta_stained_glass_pane securitycraft:reinforced_magenta_stained_glass_pane
securitycraft:blocks/reinforced_magenta_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_magenta_terracotta securitycraft:reinforced_magenta_terracotta
securitycraft:blocks/reinforced_magenta_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_magenta_wool securitycraft:reinforced_magenta_wool
securitycraft:blocks/reinforced_magma_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_magma_block securitycraft:reinforced_magma_block
securitycraft:blocks/reinforced_mangrove_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mangrove_button securitycraft:reinforced_mangrove_button
securitycraft:blocks/reinforced_mangrove_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mangrove_fence securitycraft:reinforced_mangrove_fence
securitycraft:blocks/reinforced_mangrove_fence_gate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mangrove_fence_gate securitycraft:reinforced_mangrove_fence_gate
securitycraft:blocks/reinforced_mangrove_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mangrove_log securitycraft:reinforced_mangrove_log
securitycraft:blocks/reinforced_mangrove_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mangrove_planks securitycraft:reinforced_mangrove_planks
securitycraft:blocks/reinforced_mangrove_pressure_plate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mangrove_pressure_plate securitycraft:reinforced_mangrove_pressure_plate
securitycraft:blocks/reinforced_mangrove_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_mangrove_slab securitycraft:reinforced_mangrove_slab
securitycraft:blocks/reinforced_mangrove_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mangrove_stairs securitycraft:reinforced_mangrove_stairs
securitycraft:blocks/reinforced_mangrove_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mangrove_wood securitycraft:reinforced_mangrove_wood
securitycraft:blocks/reinforced_moss_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_moss_block securitycraft:reinforced_moss_block
securitycraft:blocks/reinforced_moss_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_moss_carpet securitycraft:reinforced_moss_carpet
securitycraft:blocks/reinforced_mossy_cobblestone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mossy_cobblestone securitycraft:reinforced_mossy_cobblestone
securitycraft:blocks/reinforced_mossy_cobblestone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_mossy_cobblestone_slab securitycraft:reinforced_mossy_cobblestone_slab
securitycraft:blocks/reinforced_mossy_cobblestone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mossy_cobblestone_stairs securitycraft:reinforced_mossy_cobblestone_stairs
securitycraft:blocks/reinforced_mossy_cobblestone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mossy_cobblestone_wall securitycraft:reinforced_mossy_cobblestone_wall
securitycraft:blocks/reinforced_mossy_stone_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_mossy_stone_brick_slab securitycraft:reinforced_mossy_stone_brick_slab
securitycraft:blocks/reinforced_mossy_stone_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mossy_stone_brick_stairs securitycraft:reinforced_mossy_stone_brick_stairs
securitycraft:blocks/reinforced_mossy_stone_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mossy_stone_brick_wall securitycraft:reinforced_mossy_stone_brick_wall
securitycraft:blocks/reinforced_mossy_stone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mossy_stone_bricks securitycraft:reinforced_mossy_stone_bricks
securitycraft:blocks/reinforced_mud | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mud securitycraft:reinforced_mud
securitycraft:blocks/reinforced_mud_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_mud_brick_slab securitycraft:reinforced_mud_brick_slab
securitycraft:blocks/reinforced_mud_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mud_brick_stairs securitycraft:reinforced_mud_brick_stairs
securitycraft:blocks/reinforced_mud_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mud_brick_wall securitycraft:reinforced_mud_brick_wall
securitycraft:blocks/reinforced_mud_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mud_bricks securitycraft:reinforced_mud_bricks
securitycraft:blocks/reinforced_mycelium | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_mycelium securitycraft:reinforced_mycelium
securitycraft:blocks/reinforced_nether_brick_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_nether_brick_fence securitycraft:reinforced_nether_brick_fence
securitycraft:blocks/reinforced_nether_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_nether_brick_slab securitycraft:reinforced_nether_brick_slab
securitycraft:blocks/reinforced_nether_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_nether_brick_stairs securitycraft:reinforced_nether_brick_stairs
securitycraft:blocks/reinforced_nether_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_nether_brick_wall securitycraft:reinforced_nether_brick_wall
securitycraft:blocks/reinforced_nether_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_nether_bricks securitycraft:reinforced_nether_bricks
securitycraft:blocks/reinforced_nether_wart_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_nether_wart_block securitycraft:reinforced_nether_wart_block
securitycraft:blocks/reinforced_netherite_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_netherite_block securitycraft:reinforced_netherite_block
securitycraft:blocks/reinforced_netherrack | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_netherrack securitycraft:reinforced_netherrack
securitycraft:blocks/reinforced_normal_stone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_normal_stone_slab securitycraft:reinforced_normal_stone_slab
securitycraft:blocks/reinforced_oak_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oak_button securitycraft:reinforced_oak_button
securitycraft:blocks/reinforced_oak_fence | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oak_fence securitycraft:reinforced_oak_fence
securitycraft:blocks/reinforced_oak_fence_gate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oak_fence_gate securitycraft:reinforced_oak_fence_gate
securitycraft:blocks/reinforced_oak_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oak_log securitycraft:reinforced_oak_log
securitycraft:blocks/reinforced_oak_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oak_planks securitycraft:reinforced_oak_planks
securitycraft:blocks/reinforced_oak_pressure_plate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oak_pressure_plate securitycraft:reinforced_oak_pressure_plate
securitycraft:blocks/reinforced_oak_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_oak_slab securitycraft:reinforced_oak_slab
securitycraft:blocks/reinforced_oak_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oak_stairs securitycraft:reinforced_oak_stairs
securitycraft:blocks/reinforced_oak_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oak_wood securitycraft:reinforced_oak_wood
securitycraft:blocks/reinforced_observer | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_observer securitycraft:reinforced_observer
securitycraft:blocks/reinforced_obsidian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_obsidian securitycraft:reinforced_obsidian
securitycraft:blocks/reinforced_ochre_froglight | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_ochre_froglight securitycraft:reinforced_ochre_froglight
securitycraft:blocks/reinforced_orange_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_orange_carpet securitycraft:reinforced_orange_carpet
securitycraft:blocks/reinforced_orange_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_orange_concrete securitycraft:reinforced_orange_concrete
securitycraft:blocks/reinforced_orange_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_orange_glazed_terracotta securitycraft:reinforced_orange_glazed_terracotta
securitycraft:blocks/reinforced_orange_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_orange_stained_glass securitycraft:reinforced_orange_stained_glass
securitycraft:blocks/reinforced_orange_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_orange_stained_glass_pane securitycraft:reinforced_orange_stained_glass_pane
securitycraft:blocks/reinforced_orange_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_orange_terracotta securitycraft:reinforced_orange_terracotta
securitycraft:blocks/reinforced_orange_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_orange_wool securitycraft:reinforced_orange_wool
securitycraft:blocks/reinforced_oxidized_chiseled_copper | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oxidized_chiseled_copper securitycraft:reinforced_oxidized_chiseled_copper
securitycraft:blocks/reinforced_oxidized_copper | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oxidized_copper securitycraft:reinforced_oxidized_copper
securitycraft:blocks/reinforced_oxidized_copper_bulb | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oxidized_copper_bulb securitycraft:reinforced_oxidized_copper_bulb
securitycraft:blocks/reinforced_oxidized_copper_grate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oxidized_copper_grate securitycraft:reinforced_oxidized_copper_grate
securitycraft:blocks/reinforced_oxidized_cut_copper | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oxidized_cut_copper securitycraft:reinforced_oxidized_cut_copper
securitycraft:blocks/reinforced_oxidized_cut_copper_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_oxidized_cut_copper_slab securitycraft:reinforced_oxidized_cut_copper_slab
securitycraft:blocks/reinforced_oxidized_cut_copper_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_oxidized_cut_copper_stairs securitycraft:reinforced_oxidized_cut_copper_stairs
securitycraft:blocks/reinforced_packed_ice | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_packed_ice securitycraft:reinforced_packed_ice
securitycraft:blocks/reinforced_packed_mud | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_packed_mud securitycraft:reinforced_packed_mud
securitycraft:blocks/reinforced_pearlescent_froglight | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_pearlescent_froglight securitycraft:reinforced_pearlescent_froglight
securitycraft:blocks/reinforced_pink_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_pink_carpet securitycraft:reinforced_pink_carpet
securitycraft:blocks/reinforced_pink_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_pink_concrete securitycraft:reinforced_pink_concrete
securitycraft:blocks/reinforced_pink_glazed_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_pink_glazed_terracotta securitycraft:reinforced_pink_glazed_terracotta
securitycraft:blocks/reinforced_pink_stained_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_pink_stained_glass securitycraft:reinforced_pink_stained_glass
securitycraft:blocks/reinforced_pink_stained_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_pink_stained_glass_pane securitycraft:reinforced_pink_stained_glass_pane
securitycraft:blocks/reinforced_pink_terracotta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_pink_terracotta securitycraft:reinforced_pink_terracotta
securitycraft:blocks/reinforced_pink_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_pink_wool securitycraft:reinforced_pink_wool
securitycraft:blocks/reinforced_piston | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_piston securitycraft:reinforced_piston
securitycraft:blocks/reinforced_podzol | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_podzol securitycraft:reinforced_podzol
securitycraft:blocks/reinforced_polished_andesite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_andesite securitycraft:reinforced_polished_andesite
securitycraft:blocks/reinforced_polished_andesite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_polished_andesite_slab securitycraft:reinforced_polished_andesite_slab
securitycraft:blocks/reinforced_polished_andesite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_andesite_stairs securitycraft:reinforced_polished_andesite_stairs
securitycraft:blocks/reinforced_polished_basalt | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_basalt securitycraft:reinforced_polished_basalt
securitycraft:blocks/reinforced_polished_blackstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_blackstone securitycraft:reinforced_polished_blackstone
securitycraft:blocks/reinforced_polished_blackstone_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_polished_blackstone_brick_slab securitycraft:reinforced_polished_blackstone_brick_slab
securitycraft:blocks/reinforced_polished_blackstone_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_blackstone_brick_stairs securitycraft:reinforced_polished_blackstone_brick_stairs
securitycraft:blocks/reinforced_polished_blackstone_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_blackstone_brick_wall securitycraft:reinforced_polished_blackstone_brick_wall
securitycraft:blocks/reinforced_polished_blackstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_blackstone_bricks securitycraft:reinforced_polished_blackstone_bricks
securitycraft:blocks/reinforced_polished_blackstone_button | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_blackstone_button securitycraft:reinforced_polished_blackstone_button
securitycraft:blocks/reinforced_polished_blackstone_pressure_plate | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_blackstone_pressure_plate securitycraft:reinforced_polished_blackstone_pressure_plate
securitycraft:blocks/reinforced_polished_blackstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_polished_blackstone_slab securitycraft:reinforced_polished_blackstone_slab
securitycraft:blocks/reinforced_polished_blackstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_blackstone_stairs securitycraft:reinforced_polished_blackstone_stairs
securitycraft:blocks/reinforced_polished_blackstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_blackstone_wall securitycraft:reinforced_polished_blackstone_wall
securitycraft:blocks/reinforced_polished_deepslate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_deepslate securitycraft:reinforced_polished_deepslate
securitycraft:blocks/reinforced_polished_deepslate_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_polished_deepslate_slab securitycraft:reinforced_polished_deepslate_slab
securitycraft:blocks/reinforced_polished_deepslate_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_deepslate_stairs securitycraft:reinforced_polished_deepslate_stairs
securitycraft:blocks/reinforced_polished_deepslate_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_deepslate_wall securitycraft:reinforced_polished_deepslate_wall
securitycraft:blocks/reinforced_polished_diorite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_diorite securitycraft:reinforced_polished_diorite
securitycraft:blocks/reinforced_polished_diorite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_polished_diorite_slab securitycraft:reinforced_polished_diorite_slab
securitycraft:blocks/reinforced_polished_diorite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_diorite_stairs securitycraft:reinforced_polished_diorite_stairs
securitycraft:blocks/reinforced_polished_granite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_granite securitycraft:reinforced_polished_granite
securitycraft:blocks/reinforced_polished_granite_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count securitycraft:blocks/reinforced_polished_granite_slab securitycraft:reinforced_polished_granite_slab
securitycraft:blocks/reinforced_polished_granite_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion securitycraft:blocks/reinforced_polished_granite_stairs securitycraft:reinforced_polished_granite_stairs
