rechiseled:blocks/acacia_planks_beams | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_beams
rechiseled:blocks/diamond_block_chiseled_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_chiseled_stairs
rechiseled:blocks/diamond_block_chiseled_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_chiseled_stairs_connecting
rechiseled:blocks/diamond_block_connecting_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_connecting_connecting
rechiseled:blocks/diamond_block_connecting_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_connecting_slab_connecting
rechiseled:blocks/diamond_block_connecting_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_connecting_stairs_connecting
rechiseled:blocks/diamond_block_diagonal_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_diagonal_tiles
rechiseled:blocks/diamond_block_diagonal_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_diagonal_tiles_slab
rechiseled:blocks/diamond_block_diagonal_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_diagonal_tiles_stairs
rechiseled:blocks/diamond_block_grid | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_grid
rechiseled:blocks/diamond_block_grid_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_grid_connecting
rechiseled:blocks/diamond_block_grid_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_grid_slab
rechiseled:blocks/diamond_block_grid_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_grid_slab_connecting
rechiseled:blocks/diamond_block_grid_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_grid_stairs
rechiseled:blocks/diamond_block_grid_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_grid_stairs_connecting
rechiseled:blocks/diamond_block_jewel_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_jewel_block
rechiseled:blocks/diamond_block_jewel_block_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_jewel_block_connecting
rechiseled:blocks/diamond_block_jewel_block_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_jewel_block_slab
rechiseled:blocks/diamond_block_jewel_block_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_jewel_block_slab_connecting
rechiseled:blocks/diamond_block_jewel_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_jewel_block_stairs
rechiseled:blocks/diamond_block_jewel_block_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_jewel_block_stairs_connecting
rechiseled:blocks/diamond_block_polished | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_polished
rechiseled:blocks/diamond_block_polished_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_polished_connecting
rechiseled:blocks/diamond_block_polished_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_polished_slab
rechiseled:blocks/diamond_block_polished_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_polished_slab_connecting
rechiseled:blocks/diamond_block_polished_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_polished_stairs
rechiseled:blocks/diamond_block_polished_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_polished_stairs_connecting
rechiseled:blocks/diamond_block_rhombuses | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_rhombuses
rechiseled:blocks/diamond_block_rhombuses_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_rhombuses_connecting
rechiseled:blocks/diamond_block_rhombuses_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_rhombuses_slab
rechiseled:blocks/diamond_block_rhombuses_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_rhombuses_slab_connecting
rechiseled:blocks/diamond_block_rhombuses_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_rhombuses_stairs
rechiseled:blocks/diamond_block_rhombuses_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_rhombuses_stairs_connecting
rechiseled:blocks/diamond_block_shiny | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_shiny
rechiseled:blocks/diamond_block_shiny_bordered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_shiny_bordered
rechiseled:blocks/diamond_block_shiny_bordered_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_shiny_bordered_connecting
rechiseled:blocks/diamond_block_shiny_bordered_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_shiny_bordered_slab
rechiseled:blocks/diamond_block_shiny_bordered_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_shiny_bordered_slab_connecting
rechiseled:blocks/diamond_block_shiny_bordered_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_shiny_bordered_stairs
rechiseled:blocks/diamond_block_shiny_bordered_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_shiny_bordered_stairs_connecting
rechiseled:blocks/diamond_block_shiny_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_shiny_slab
rechiseled:blocks/diamond_block_shiny_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_shiny_stairs
rechiseled:blocks/diamond_block_small_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_small_tiles
rechiseled:blocks/diamond_block_small_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_small_tiles_connecting
rechiseled:blocks/diamond_block_small_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_small_tiles_slab
rechiseled:blocks/diamond_block_small_tiles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_small_tiles_slab_connecting
rechiseled:blocks/diamond_block_small_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_small_tiles_stairs
rechiseled:blocks/diamond_block_small_tiles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_small_tiles_stairs_connecting
rechiseled:blocks/diamond_block_smooth | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_smooth
rechiseled:blocks/diamond_block_smooth_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diamond_block_smooth_slab
rechiseled:blocks/diamond_block_smooth_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diamond_block_smooth_stairs
rechiseled:blocks/diorite_brick_pattern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_brick_pattern
rechiseled:blocks/diorite_brick_pattern_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_brick_pattern_connecting
rechiseled:blocks/diorite_brick_pattern_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_brick_pattern_slab
rechiseled:blocks/diorite_brick_pattern_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_brick_pattern_slab_connecting
rechiseled:blocks/diorite_brick_pattern_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_brick_pattern_stairs
rechiseled:blocks/diorite_brick_pattern_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_brick_pattern_stairs_connecting
rechiseled:blocks/diorite_brick_paving | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_brick_paving
rechiseled:blocks/diorite_brick_paving_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_brick_paving_connecting
rechiseled:blocks/diorite_brick_paving_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_brick_paving_slab
rechiseled:blocks/diorite_brick_paving_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_brick_paving_slab_connecting
rechiseled:blocks/diorite_brick_paving_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_brick_paving_stairs
rechiseled:blocks/diorite_brick_paving_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_brick_paving_stairs_connecting
rechiseled:blocks/diorite_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_bricks
rechiseled:blocks/diorite_bricks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_bricks_connecting
rechiseled:blocks/diorite_bricks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_bricks_slab
rechiseled:blocks/diorite_bricks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_bricks_slab_connecting
rechiseled:blocks/diorite_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_bricks_stairs
rechiseled:blocks/diorite_bricks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_bricks_stairs_connecting
rechiseled:blocks/diorite_diagonal_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_diagonal_bricks
rechiseled:blocks/diorite_diagonal_bricks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_diagonal_bricks_connecting
rechiseled:blocks/diorite_diagonal_bricks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_diagonal_bricks_slab
rechiseled:blocks/diorite_diagonal_bricks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_diagonal_bricks_slab_connecting
rechiseled:blocks/diorite_diagonal_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_diagonal_bricks_stairs
rechiseled:blocks/diorite_diagonal_bricks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_diagonal_bricks_stairs_connecting
rechiseled:blocks/diorite_dotted | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_dotted
rechiseled:blocks/diorite_dotted_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_dotted_connecting
rechiseled:blocks/diorite_dotted_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_dotted_slab
rechiseled:blocks/diorite_dotted_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_dotted_slab_connecting
rechiseled:blocks/diorite_dotted_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_dotted_stairs
rechiseled:blocks/diorite_dotted_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_dotted_stairs_connecting
rechiseled:blocks/diorite_paving | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_paving
rechiseled:blocks/diorite_paving_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_paving_connecting
rechiseled:blocks/diorite_paving_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_paving_slab
rechiseled:blocks/diorite_paving_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_paving_slab_connecting
rechiseled:blocks/diorite_paving_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_paving_stairs
rechiseled:blocks/diorite_paving_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_paving_stairs_connecting
rechiseled:blocks/diorite_polished_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_polished_connecting
rechiseled:blocks/diorite_polished_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_polished_slab_connecting
rechiseled:blocks/diorite_polished_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_polished_stairs_connecting
rechiseled:blocks/diorite_rotated_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_rotated_bricks
rechiseled:blocks/diorite_rotated_bricks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_rotated_bricks_connecting
rechiseled:blocks/diorite_rotated_bricks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_rotated_bricks_slab
rechiseled:blocks/diorite_rotated_bricks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_rotated_bricks_slab_connecting
rechiseled:blocks/diorite_rotated_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_rotated_bricks_stairs
rechiseled:blocks/diorite_rotated_bricks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_rotated_bricks_stairs_connecting
rechiseled:blocks/diorite_squares | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_squares
rechiseled:blocks/diorite_squares_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_squares_connecting
rechiseled:blocks/diorite_squares_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_squares_slab
rechiseled:blocks/diorite_squares_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_squares_slab_connecting
rechiseled:blocks/diorite_squares_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_squares_stairs
rechiseled:blocks/diorite_squares_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_squares_stairs_connecting
rechiseled:blocks/diorite_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_tiles
rechiseled:blocks/diorite_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_tiles_connecting
rechiseled:blocks/diorite_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_tiles_slab
rechiseled:blocks/diorite_tiles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_tiles_slab_connecting
rechiseled:blocks/diorite_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_tiles_stairs
rechiseled:blocks/diorite_tiles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_tiles_stairs_connecting
rechiseled:blocks/diorite_wavy | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_wavy
rechiseled:blocks/diorite_wavy_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_wavy_connecting
rechiseled:blocks/diorite_wavy_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_wavy_slab
rechiseled:blocks/diorite_wavy_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:diorite_wavy_slab_connecting
rechiseled:blocks/diorite_wavy_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_wavy_stairs
rechiseled:blocks/diorite_wavy_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:diorite_wavy_stairs_connecting
rechiseled:blocks/dirt_blobs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_blobs
rechiseled:blocks/dirt_blobs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_blobs_connecting
rechiseled:blocks/dirt_blobs_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_blobs_slab
rechiseled:blocks/dirt_blobs_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_blobs_slab_connecting
rechiseled:blocks/dirt_blobs_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_blobs_stairs
rechiseled:blocks/dirt_blobs_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_blobs_stairs_connecting
rechiseled:blocks/dirt_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_bricks
rechiseled:blocks/dirt_bricks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_bricks_connecting
rechiseled:blocks/dirt_bricks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_bricks_slab
rechiseled:blocks/dirt_bricks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_bricks_slab_connecting
rechiseled:blocks/dirt_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_bricks_stairs
rechiseled:blocks/dirt_bricks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_bricks_stairs_connecting
rechiseled:blocks/dirt_chunks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_chunks
rechiseled:blocks/dirt_chunks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_chunks_connecting
rechiseled:blocks/dirt_chunks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_chunks_slab
rechiseled:blocks/dirt_chunks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_chunks_slab_connecting
rechiseled:blocks/dirt_chunks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_chunks_stairs
rechiseled:blocks/dirt_chunks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_chunks_stairs_connecting
rechiseled:blocks/dirt_clumps | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_clumps
rechiseled:blocks/dirt_clumps_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_clumps_connecting
rechiseled:blocks/dirt_clumps_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_clumps_slab
rechiseled:blocks/dirt_clumps_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_clumps_slab_connecting
rechiseled:blocks/dirt_clumps_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_clumps_stairs
rechiseled:blocks/dirt_clumps_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_clumps_stairs_connecting
rechiseled:blocks/dirt_cobbled | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_cobbled
rechiseled:blocks/dirt_cobbled_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_cobbled_slab
rechiseled:blocks/dirt_cobbled_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_cobbled_stairs
rechiseled:blocks/dirt_grooves | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_grooves
rechiseled:blocks/dirt_grooves_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_grooves_slab
rechiseled:blocks/dirt_grooves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_grooves_stairs
rechiseled:blocks/dirt_large_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_large_tiles
rechiseled:blocks/dirt_large_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_large_tiles_connecting
rechiseled:blocks/dirt_large_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_large_tiles_slab
rechiseled:blocks/dirt_large_tiles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_large_tiles_slab_connecting
rechiseled:blocks/dirt_large_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_large_tiles_stairs
rechiseled:blocks/dirt_large_tiles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_large_tiles_stairs_connecting
rechiseled:blocks/dirt_muddy | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_muddy
rechiseled:blocks/dirt_muddy_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_muddy_slab
rechiseled:blocks/dirt_muddy_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_muddy_stairs
rechiseled:blocks/dirt_small_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_small_bricks
rechiseled:blocks/dirt_small_bricks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_small_bricks_connecting
rechiseled:blocks/dirt_small_bricks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_small_bricks_slab
rechiseled:blocks/dirt_small_bricks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_small_bricks_slab_connecting
rechiseled:blocks/dirt_small_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_small_bricks_stairs
rechiseled:blocks/dirt_small_bricks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_small_bricks_stairs_connecting
rechiseled:blocks/dirt_small_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_small_tiles
rechiseled:blocks/dirt_small_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_small_tiles_connecting
rechiseled:blocks/dirt_small_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_small_tiles_slab
rechiseled:blocks/dirt_small_tiles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_small_tiles_slab_connecting
rechiseled:blocks/dirt_small_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_small_tiles_stairs
rechiseled:blocks/dirt_small_tiles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_small_tiles_stairs_connecting
rechiseled:blocks/dirt_smooth_clumps | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_smooth_clumps
rechiseled:blocks/dirt_smooth_clumps_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_smooth_clumps_connecting
rechiseled:blocks/dirt_smooth_clumps_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_smooth_clumps_slab
rechiseled:blocks/dirt_smooth_clumps_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_smooth_clumps_slab_connecting
rechiseled:blocks/dirt_smooth_clumps_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_smooth_clumps_stairs
rechiseled:blocks/dirt_smooth_clumps_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_smooth_clumps_stairs_connecting
rechiseled:blocks/dirt_soil | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_soil
rechiseled:blocks/dirt_soil_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_soil_connecting
rechiseled:blocks/dirt_soil_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_soil_slab
rechiseled:blocks/dirt_soil_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_soil_slab_connecting
rechiseled:blocks/dirt_soil_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_soil_stairs
rechiseled:blocks/dirt_soil_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_soil_stairs_connecting
rechiseled:blocks/dirt_squares | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_squares
rechiseled:blocks/dirt_squares_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_squares_connecting
rechiseled:blocks/dirt_squares_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_squares_slab
rechiseled:blocks/dirt_squares_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:dirt_squares_slab_connecting
rechiseled:blocks/dirt_squares_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_squares_stairs
rechiseled:blocks/dirt_squares_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_squares_stairs_connecting
rechiseled:blocks/dirt_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:dirt_tiles
