minecraft:repair_item | occultism:crafting_special_repairitem | occultism:crafting_special_repairitem
occultism:miner/eldritch/raw_nickel | occultism:miner | c:storage_blocks/raw_nickel neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_osmium | occultism:miner | c:storage_blocks/raw_osmium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_platinum | occultism:miner | c:storage_blocks/raw_platinum neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_silver | occultism:miner | c:storage_blocks/raw_silver neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_tin | occultism:miner | c:storage_blocks/raw_tin neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_titanium | occultism:miner | c:storage_blocks/raw_titanium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_tungsten | occultism:miner | c:storage_blocks/raw_tungsten neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_unobtainium | occultism:miner | c:storage_blocks/raw_unobtainium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_uranium | occultism:miner | c:storage_blocks/raw_uranium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_vibranium | occultism:miner | c:storage_blocks/raw_vibranium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_yellorium | occultism:miner | c:storage_blocks/raw_yellorium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/raw_zinc | occultism:miner | c:storage_blocks/raw_zinc neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/redstone | occultism:miner | c:storage_blocks/redstone neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/ruby | occultism:miner | c:storage_blocks/ruby neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/rune | occultism:miner | c:storage_blocks/rune neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/sal_ammoniac | occultism:miner | c:gems/sal_ammoniac neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/salt | occultism:miner | c:storage_blocks/salt neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/sapphire | occultism:miner | c:storage_blocks/sapphire neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/soulium_dust | occultism:miner | c:storage_blocks/soulium_dust neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/stellarite | occultism:miner | c:storage_blocks/stellarite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/sulfur | occultism:miner | c:storage_blocks/sulfur neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/eldritch/uraninite | occultism:miner | c:storage_blocks/uraninite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/eldritch occultism:weighted_tag
occultism:miner/master/ancient_debris | occultism:miner | minecraft:ancient_debris occultism:miner occultism:miners/master occultism:weighted_item
occultism:miner/master/iesnium_ore | occultism:miner | occultism:iesnium_ore occultism:miner occultism:miners/master occultism:weighted_item
occultism:miner/master/mining_dim_core | occultism:miner | occultism:miner occultism:miners/master occultism:mining_dim_core occultism:weighted_item
occultism:miner/master/stella_arcanum | occultism:miner | c:ores/stella_arcanum neoforge:not neoforge:tag_empty occultism:miner occultism:miners/master occultism:weighted_tag
occultism:miner/master/stellarite | occultism:miner | c:ores/stellarite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/master occultism:weighted_tag
occultism:miner/ores/agate_ore | occultism:miner | c:ores/agate neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/aluminum_ore | occultism:miner | c:ores/aluminum neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/amber_ore | occultism:miner | c:ores/amber neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/amethyst_ore | occultism:miner | c:ores/amethyst neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/antimony_ore | occultism:miner | c:ores/antimony neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/aquamarine_ore | occultism:miner | c:ores/aquamarine neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/arcane_crystal | occultism:miner | c:ores/arcane_crystal neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/ardite_ore | occultism:miner | c:ores/ardite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/baronyte_ore | occultism:miner | c:ores/baronyte neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/bauxite_ore | occultism:miner | c:ores/bauxite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/beryl_ore | occultism:miner | c:ores/beryl neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/black_quartz_ore | occultism:miner | c:ores/black_quartz neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/blazium_ore | occultism:miner | c:ores/blazium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/bloodstone_ore | occultism:miner | c:ores/bloodstone neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/blue_gemstone_ore | occultism:miner | c:ores/blue_gemstone neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/bone_fragments_ore | occultism:miner | c:ores/bone_fragments neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/boron_ore | occultism:miner | c:ores/boron neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/certus_quartz_ore | occultism:miner | c:ores/certus_quartz neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/charged_runium_ore | occultism:miner | c:ores/charged_runium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/cinnabar_ore | occultism:miner | c:ores/cinnabar neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/clay | occultism:miner | minecraft:clay occultism:miner occultism:miners/ores occultism:weighted_item
occultism:miner/ores/coal_ore | occultism:miner | c:ores/coal occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/cobalt_ore | occultism:miner | c:ores/cobalt neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/copper_ore | occultism:miner | c:ores/copper occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/crying_obsidian | occultism:miner | minecraft:crying_obsidian occultism:miner occultism:miners/ores occultism:weighted_item
occultism:miner/ores/crystallite_ore | occultism:miner | c:ores/crystallite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/dark_gem_ore | occultism:miner | c:ores/dark_gem neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/diamond_ore | occultism:miner | c:ores/diamond occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/dimensional_shard_ore | occultism:miner | c:ores/dimensional_shard neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/draconium_ore | occultism:miner | c:ores/draconium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/elecanium_ore | occultism:miner | c:ores/elecanium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/electrotine_ore | occultism:miner | c:ores/electrotine neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/emberstone_ore | occultism:miner | c:ores/emberstone neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/emerald_ore | occultism:miner | c:ores/emerald occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/fluorite_ore | occultism:miner | c:ores/fluorite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/garnet_ore | occultism:miner | c:ores/garnet neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/gemenyte_ore | occultism:miner | c:ores/gemenyte neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/ghastly_ore | occultism:miner | c:ores/ghastly neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/ghoulish_ore | occultism:miner | c:ores/ghoulish neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/gilded_blackstone | occultism:miner | minecraft:gilded_blackstone occultism:miner occultism:miners/ores occultism:weighted_item
occultism:miner/ores/glowstone | occultism:miner | minecraft:glowstone occultism:miner occultism:miners/ores occultism:weighted_item
occultism:miner/ores/gold_ore | occultism:miner | c:ores/gold occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/gravel | occultism:miner | minecraft:gravel occultism:miner occultism:miners/ores occultism:weighted_item
occultism:miner/ores/green_gemstone_ore | occultism:miner | c:ores/green_gemstone neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/heliodor_ore | occultism:miner | c:ores/heliodor neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/indicolite_ore | occultism:miner | c:ores/indicolite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/inferium_ore | occultism:miner | c:ores/inferium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/iolite_ore | occultism:miner | c:ores/iolite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/iridium_ore | occultism:miner | c:ores/iridium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/iron_ore | occultism:miner | c:ores/iron occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/jade_ore | occultism:miner | c:ores/jade neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/jewelyte_ore | occultism:miner | c:ores/jewelyte neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/lapis_ore | occultism:miner | c:ores/lapis occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/lead_ore | occultism:miner | c:ores/lead neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/lignite_coal_ore | occultism:miner | c:ores/lignite_coal neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/limonite_ore | occultism:miner | c:ores/limonite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/lithium_ore | occultism:miner | c:ores/lithium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/lyon_ore | occultism:miner | c:ores/lyon neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/magma_block | occultism:miner | minecraft:magma_block occultism:miner occultism:miners/ores occultism:weighted_item
occultism:miner/ores/magnesium_ore | occultism:miner | c:ores/magnesium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/malachite_ore | occultism:miner | c:ores/malachite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/mithril_ore | occultism:miner | c:ores/mithril neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/monazite_ore | occultism:miner | c:ores/monazite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/morganite_ore | occultism:miner | c:ores/morganite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/mystite_ore | occultism:miner | c:ores/mystite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/nether_gold_ore | occultism:miner | minecraft:nether_gold_ore occultism:miner occultism:miners/ores occultism:weighted_item
occultism:miner/ores/nether_quartz_ore | occultism:miner | minecraft:nether_quartz_ore occultism:miner occultism:miners/ores occultism:weighted_item
occultism:miner/ores/nickel_ore | occultism:miner | c:ores/nickel neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/niter_ore | occultism:miner | c:ores/niter neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/obsidian | occultism:miner | minecraft:obsidian occultism:miner occultism:miners/ores occultism:weighted_item
occultism:miner/ores/onyx_ore | occultism:miner | c:ores/onyx neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/opal_ore | occultism:miner | c:ores/opal neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/ornamyte_ore | occultism:miner | c:ores/ornamyte neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/osmium_ore | occultism:miner | c:ores/osmium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/otherrock | occultism:miner | occultism:miner occultism:miners/ores occultism:otherrock occultism:weighted_item
occultism:miner/ores/otherstone | occultism:miner | occultism:miner occultism:miners/ores occultism:otherstone occultism:weighted_item
occultism:miner/ores/peridot_ore | occultism:miner | c:ores/peridot neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/platinum_ore | occultism:miner | c:ores/platinum neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/prosperity_ore | occultism:miner | c:ores/prosperity neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/purple_gemstone_ore | occultism:miner | c:ores/purple_gemstone neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/red_gemstone_ore | occultism:miner | c:ores/red_gemstone neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/redstone_ore | occultism:miner | minecraft:redstone_ore occultism:miner occultism:miners/ores occultism:weighted_item
occultism:miner/ores/ruby_ore | occultism:miner | c:ores/ruby neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/runic_stone | occultism:miner | forbidden_arcanus:runic_stones neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/runium_ore | occultism:miner | c:ores/runium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/sal_ammoniac_ore | occultism:miner | c:ores/sal_ammoniac neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/salt_ore | occultism:miner | c:ores/salt neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/sapphire_ore | occultism:miner | c:ores/sapphire neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/shyregem_ore | occultism:miner | c:ores/shyregem neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/shyrestone_ore | occultism:miner | c:ores/shyrestone neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/silver_ore | occultism:miner | c:ores/silver neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/sulfur_ore | occultism:miner | c:ores/sulfur neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/tanzanite_ore | occultism:miner | c:ores/tanzanite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/thorium_ore | occultism:miner | c:ores/thorium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/tin_ore | occultism:miner | c:ores/tin neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/titanium_ore | occultism:miner | c:ores/titanium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/topaz_ore | occultism:miner | c:ores/topaz neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/tungsten_ore | occultism:miner | c:ores/tungsten neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/uraninite_dense_ore | occultism:miner | c:ores/uraninite_dense neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/uraninite_ore | occultism:miner | c:ores/uraninite neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/uraninite_poor_ore | occultism:miner | c:ores/uraninite_poor neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/uraninite_regular_ore | occultism:miner | c:ores/uraninite_regular neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/uranium_ore | occultism:miner | c:ores/uranium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/varsium_ore | occultism:miner | c:ores/varsium neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/white_gemstone_ore | occultism:miner | c:ores/white_gemstone neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/xpetrified_ore | occultism:miner | c:ores/xpetrified_ore neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/yellow_gemstone_ore | occultism:miner | c:ores/yellow_gemstone neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:miner/ores/zinc_ore | occultism:miner | c:ores/zinc neoforge:not neoforge:tag_empty occultism:miner occultism:miners/ores occultism:weighted_tag
occultism:ritual/craft_dark_iesnium_sacrificial_bowl | occultism:ritual | c:storage_blocks/iesnium occultism:afrit_essence occultism:book_of_binding_bound_afrit occultism:craft occultism:craft_afrit occultism:dark_golden_sacrificial_bowl occultism:dark_iesnium_sacrificial_bowl occultism:research_fragment_dust occultism:ritual occultism:ritual_dummy/craft_dark_iesnium_sacrificial_bowl occultism:spirit_attuned_crystal
occultism:ritual/craft_dimensional_battlefield | occultism:ritual | c:ingots/netherite c:storage_blocks/iesnium neoforge:compound occultism:afrit_essence occultism:book_of_binding_bound_afrit occultism:craft occultism:craft_afrit occultism:dimensional_battlefield occultism:otherrock occultism:otherstone occultism:ritual occultism:ritual_dummy/craft_dimensional_battlefield occultism:spirit_attuned_crystal
occultism:ritual/craft_dimensional_extractor | occultism:ritual | c:ingots/gold c:storage_blocks/iesnium minecraft:hopper neoforge:compound occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:dimensional_extractor occultism:otherstone_pedestal occultism:otherstone_pedestal_silver occultism:ritual occultism:ritual_dummy/craft_dimensional_extractor occultism:spirit_attuned_crystal
occultism:ritual/craft_dimensional_matrix | occultism:ritual | c:ender_pearls minecraft:quartz_block occultism:book_of_binding_bound_djinni occultism:craft_djinni occultism:craft_with_spirit_name occultism:dimensional_matrix occultism:ritual occultism:ritual_dummy/craft_dimensional_matrix
occultism:ritual/craft_dimensional_mineshaft | occultism:ritual | c:ingots/gold c:storage_blocks/iesnium neoforge:compound occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:dimensional_mineshaft occultism:otherrock occultism:otherstone occultism:ritual occultism:ritual_dummy/craft_dimensional_mineshaft occultism:spirit_attuned_crystal
occultism:ritual/craft_dragonyst_dust | occultism:ritual | c:dusts/amethyst c:dusts/end_stone minecraft:dragon_breath minecraft:end_crystal occultism:book_of_binding_bound_marid occultism:craft occultism:craft_marid occultism:dragonyst_dust occultism:ritual occultism:ritual_dummy/craft_dragonyst_dust
occultism:ritual/craft_ender_satchel | occultism:ritual | c:chests/ender c:ingots/gold c:ingots/silver c:leathers c:strings occultism:book_of_binding_bound_djinni occultism:craft_djinni occultism:craft_with_spirit_name occultism:ender_satchel occultism:ritual occultism:ritual_dummy/craft_ender_satchel
occultism:ritual/craft_entity_wormhole | occultism:ritual | c:ender_pearls c:ingots/iesnium c:obsidians/crying occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:entity_wormhole occultism:otherstone_frame occultism:ritual occultism:ritual_dummy/craft_entity_wormhole
occultism:ritual/craft_entity_wormhole_dark | occultism:ritual | c:ender_pearls c:ingots/iesnium c:obsidians/crying occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:entity_wormhole_dark occultism:otherrock_frame occultism:ritual occultism:ritual_dummy/craft_entity_wormhole_dark
occultism:ritual/craft_familiar_ring | occultism:ritual | c:ingots/gold c:ingots/silver occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:familiar_ring occultism:ritual occultism:ritual_dummy/craft_familiar_ring occultism:soul_gem
occultism:ritual/craft_fragile_soul_gem | occultism:ritual | c:eggs c:glass_blocks c:ingots/iron occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:fragile_soul_gem occultism:ritual occultism:ritual_dummy/craft_fragile_soul_gem
occultism:ritual/craft_gray_paste | occultism:ritual | c:dyes/gray c:gunpowders minecraft:clay_ball minecraft:phantom_membrane occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:gray_paste occultism:ritual occultism:ritual_dummy/craft_gray_paste
occultism:ritual/craft_iesnium_anvil | occultism:ritual | c:storage_blocks/iesnium minecraft:anvil occultism:book_of_binding_bound_marid occultism:craft occultism:craft_marid occultism:iesnium_anvil occultism:marid_essence occultism:ritual occultism:ritual_dummy/craft_iesnium_anvil
occultism:ritual/craft_iesnium_butcher_knife | occultism:ritual | c:dusts/netherite c:ingots/iesnium occultism:afrit_essence occultism:book_of_binding_bound_afrit occultism:butcher_knife occultism:craft_afrit occultism:craft_with_spirit_name occultism:iesnium_butcher_knife occultism:ritual occultism:ritual_dummy/craft_iesnium_butcher_knife
occultism:ritual/craft_iesnium_sacrificial_bowl | occultism:ritual | c:storage_blocks/iesnium occultism:afrit_essence occultism:book_of_binding_bound_afrit occultism:craft occultism:craft_afrit occultism:golden_sacrificial_bowl occultism:iesnium_sacrificial_bowl occultism:research_fragment_dust occultism:ritual occultism:ritual_dummy/craft_iesnium_sacrificial_bowl occultism:spirit_attuned_crystal
occultism:ritual/craft_infused_lenses | occultism:ritual | c:ingots/gold c:ingots/silver occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:infused_lenses occultism:lenses occultism:ritual occultism:ritual_dummy/craft_infused_lenses
occultism:ritual/craft_infused_pickaxe | occultism:ritual | c:ingots/silver c:rods/wooden occultism:book_of_binding_bound_djinni occultism:craft_djinni occultism:craft_with_spirit_name occultism:infused_pickaxe occultism:ritual occultism:ritual_dummy/craft_infused_pickaxe occultism:spirit_attuned_pickaxe_head
occultism:ritual/craft_knowledge_tablet | occultism:ritual | c:dusts/research c:ender_pearls occultism:book_of_binding_bound_foliot occultism:craft_foliot occultism:craft_with_spirit_name occultism:knowledge_tablet occultism:otherstone_tablet occultism:ritual occultism:ritual_dummy/craft_knowledge_tablet occultism:spirit_attuned_gem
occultism:ritual/craft_miner_afrit_deeps | occultism:ritual | minecraft:crying_obsidian minecraft:echo_shard occultism:afrit_essence occultism:book_of_binding_bound_afrit occultism:craft_afrit occultism:craft_miner_spirit occultism:iesnium_pickaxe occultism:miner_afrit_deeps occultism:miner_djinni_ores occultism:ritual occultism:ritual_dummy/craft_miner_afrit_deeps occultism:spirit_attuned_crystal
occultism:ritual/craft_miner_djinni_ores | occultism:ritual | c:gems/lapis c:ingots/gold occultism:book_of_binding_bound_djinni occultism:craft_djinni occultism:craft_miner_spirit occultism:iesnium_pickaxe occultism:miner_djinni_ores occultism:miner_foliot_unspecialized occultism:ritual occultism:ritual_dummy/craft_miner_djinni_ores occultism:spirit_attuned_crystal
occultism:ritual/craft_miner_foliot_unspecialized | occultism:ritual | c:gravels c:ingots/iron occultism:book_of_binding_bound_foliot occultism:craft_foliot occultism:craft_miner_spirit occultism:iesnium_pickaxe occultism:magic_lamp_empty occultism:miner_foliot_unspecialized occultism:ritual occultism:ritual_dummy/craft_miner_foliot_unspecialized
occultism:ritual/craft_miner_marid_master | occultism:ritual | minecraft:dragon_breath minecraft:nether_star minecraft:netherite_pickaxe minecraft:totem_of_undying occultism:book_of_binding_bound_marid occultism:craft_marid occultism:craft_miner_spirit occultism:iesnium_pickaxe occultism:marid_essence occultism:miner_afrit_deeps occultism:miner_marid_master occultism:ritual occultism:ritual_dummy/craft_miner_marid_master occultism:spirit_attuned_crystal
occultism:ritual/craft_nature_paste | occultism:ritual | c:seeds minecraft:leaves minecraft:saplings occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:nature_paste occultism:ritual occultism:ritual_dummy/craft_nature_paste
occultism:ritual/craft_research_fragment_dust | occultism:ritual | c:dusts/emerald minecraft:experience_bottle occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:research_fragment_dust occultism:ritual occultism:ritual_dummy/craft_research_fragment_dust
occultism:ritual/craft_ritual_satchel_t1 | occultism:ritual | c:ingots/silver c:leathers c:strings minecraft:dispenser minecraft:hopper minecraft:wool occultism:book_of_binding_bound_foliot occultism:craft_foliot occultism:craft_with_spirit_name occultism:ritual occultism:ritual_dummy/craft_ritual_satchel_t1 occultism:ritual_satchel_t1
