justenoughbreeding:allay_duplication/minecraft/allay | justenoughbreeding:allay_duplication | justenoughbreeding:allay_duplication minecraft:allay minecraft:amethyst_shard
justenoughbreeding:breeding/steves_vanilla/boggord | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded steves_vanilla:boggord steves_vanilla:mountain_buds
justenoughbreeding:breeding/steves_vanilla/chest_toad | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:slime_ball neoforge:mod_loaded steves_vanilla:chest_toad steves_vanilla:chest_toad_eggs
justenoughbreeding:breeding/sullysmod/tortoise | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded sullysmod:tortoise sullysmod:tortoise_egg sullysmod:tortoise_food
justenoughbreeding:breeding/tameablebeasts/argentavis | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tameablebeasts:argentavis tameablebeasts:argentavis_egg tameablebeasts:argentavis_food tameablebeasts:argentavis_spawn_egg
justenoughbreeding:breeding/tameablebeasts/chikote | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tameablebeasts:chikote_egg tameablebeasts:chikote_food tameablebeasts:chikote_spawn_egg tameablebeasts:tameable_chikote
justenoughbreeding:breeding/tameablebeasts/crested_gecko | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tameablebeasts:crested_gecko tameablebeasts:crested_gecko_egg tameablebeasts:crested_gecko_food tameablebeasts:crested_gecko_spawn_egg
justenoughbreeding:breeding/tameablebeasts/giant_grasshopper | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tameablebeasts:giant_grasshopper tameablebeasts:giant_grasshopper_spawn_egg tameablebeasts:grasshopper_egg tameablebeasts:grasshopper_food
justenoughbreeding:breeding/tameablebeasts/giant_roly_poly | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tameablebeasts:giant_roly_poly tameablebeasts:giant_roly_poly_spawn_egg tameablebeasts:roly_poly_egg tameablebeasts:roly_poly_food
justenoughbreeding:breeding/tameablebeasts/grapteradon | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tameablebeasts:graptera tameablebeasts:graptera_food tameablebeasts:graptera_spawn_egg tameablebeasts:grapteradon_egg
justenoughbreeding:breeding/tameablebeasts/ground_beetle | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tameablebeasts:ground_beetle tameablebeasts:ground_beetle_egg tameablebeasts:ground_beetle_spawn_egg tameablebeasts:ground_beetle_tame_food
justenoughbreeding:breeding/tameablebeasts/quetzalcoatlus | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tameablebeasts:quetzal_food tameablebeasts:quetzal_spawn_egg tameablebeasts:quetzalcoatlus tameablebeasts:quetzalcoatlus_egg
justenoughbreeding:breeding/tameablebeasts/tameable_beetle | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tameablebeasts:beetle_egg tameablebeasts:beetle_spawn_egg tameablebeasts:shiny_beetle_tame_food tameablebeasts:tameable_beetle
justenoughbreeding:breeding/tameablebeasts/tameable_penguin | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tameablebeasts:penguin_egg tameablebeasts:penguin_food tameablebeasts:penguin_spawn_egg tameablebeasts:tameable_penguin
justenoughbreeding:breeding/tfc/alpaca | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:alpaca tfc:alpaca_food tfc:spawn_egg/alpaca
justenoughbreeding:breeding/tfc/cat | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:cat tfc:cat_food tfc:spawn_egg/cat
justenoughbreeding:breeding/tfc/chicken | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:egg neoforge:mod_loaded tfc:chicken tfc:chicken_food tfc:nest_box tfc:spawn_egg/chicken
justenoughbreeding:breeding/tfc/cow | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:cow tfc:cow_food tfc:spawn_egg/cow
justenoughbreeding:breeding/tfc/dog | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:dog tfc:dog_food tfc:spawn_egg/dog
justenoughbreeding:breeding/tfc/donkey | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:donkey tfc:donkey_food tfc:spawn_egg/donkey
justenoughbreeding:breeding/tfc/duck | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:egg neoforge:mod_loaded tfc:duck tfc:duck_food tfc:nest_box tfc:spawn_egg/duck
justenoughbreeding:breeding/tfc/frog | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:frogspawn neoforge:mod_loaded tfc:frog tfc:frog_food tfc:spawn_egg/frog
justenoughbreeding:breeding/tfc/goat | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:goat tfc:goat_food tfc:spawn_egg/goat
justenoughbreeding:breeding/tfc/horse | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:horse tfc:horse_food tfc:spawn_egg/horse
justenoughbreeding:breeding/tfc/mule | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:mule tfc:mule_food tfc:spawn_egg/mule
justenoughbreeding:breeding/tfc/musk_ox | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:musk_ox tfc:musk_ox_food tfc:spawn_egg/musk_ox
justenoughbreeding:breeding/tfc/pig | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:pig tfc:pig_food tfc:spawn_egg/pig
justenoughbreeding:breeding/tfc/quail | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:egg neoforge:mod_loaded tfc:nest_box tfc:quail tfc:quail_food tfc:spawn_egg/quail
justenoughbreeding:breeding/tfc/rabbit | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:rabbit tfc:rabbit_food tfc:spawn_egg/rabbit
justenoughbreeding:breeding/tfc/sheep | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:sheep tfc:sheep_food tfc:spawn_egg/sheep
justenoughbreeding:breeding/tfc/yak | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded tfc:spawn_egg/yak tfc:yak tfc:yak_food
justenoughbreeding:breeding/theducksmod/duck | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:seagrass neoforge:mod_loaded theducksmod:duck
justenoughbreeding:breeding/theducksmod/mallard_duck | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:seagrass neoforge:mod_loaded theducksmod:mallard_duck
justenoughbreeding:breeding/theducksmod/pekin_duck | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:seagrass neoforge:mod_loaded theducksmod:pekin_duck
justenoughbreeding:breeding/twilightforest/bighorn_sheep | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded twilightforest:bighorn_sheep
justenoughbreeding:breeding/twilightforest/boar | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:beetroot minecraft:carrot minecraft:potato neoforge:mod_loaded twilightforest:boar
justenoughbreeding:breeding/twilightforest/deer | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded twilightforest:deer
justenoughbreeding:breeding/twilightforest/dwarf_rabbit | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:carrot minecraft:dandelion minecraft:golden_carrot neoforge:mod_loaded twilightforest:dwarf_rabbit
justenoughbreeding:breeding/twilightforest/penguin | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:cod neoforge:mod_loaded twilightforest:penguin
justenoughbreeding:breeding/ulterlands/mushogg | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:beetroot minecraft:carrot minecraft:potato neoforge:mod_loaded ulterlands:mushogg
justenoughbreeding:breeding/unearthed_journey/alligator_mississippiensis | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:alligator_mississippiensis unearthed_journey:cooked_meat unearthed_journey:raw_meat
justenoughbreeding:breeding/unearthed_journey/arctodus_pristinus | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:arctodus_pristinus unearthed_journey:raw_meat
justenoughbreeding:breeding/unearthed_journey/carbonemys | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:carbonemys unearthed_journey:clams_block
justenoughbreeding:breeding/unearthed_journey/dasypus | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:dasypus unearthed_journey:larvae
justenoughbreeding:breeding/unearthed_journey/gastornis | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:gastornis unearthed_journey:pouch_of_seeds
justenoughbreeding:breeding/unearthed_journey/gnatusuchus | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:gnatusuchus unearthed_journey:raw_fillet
justenoughbreeding:breeding/unearthed_journey/leptictidium | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:leptictidium unearthed_journey:pouch_of_seeds
justenoughbreeding:breeding/unearthed_journey/masillosteus | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:masillosteus unearthed_journey:raw_fillet
justenoughbreeding:breeding/unearthed_journey/oxyrinchus | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:larvae unearthed_journey:oxyrinchus
justenoughbreeding:breeding/unearthed_journey/platygonus | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:platygonus unearthed_journey:pouch_of_grass
justenoughbreeding:breeding/unearthed_journey/pseudoprepotherium | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:pouch_of_grass unearthed_journey:pseudoprepotherium
justenoughbreeding:breeding/unearthed_journey/purussaurus_brasiliensis | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:purussaurus_brasiliensis unearthed_journey:raw_meat
justenoughbreeding:breeding/unearthed_journey/tapirus | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:larvae unearthed_journey:tapirus
justenoughbreeding:breeding/unearthed_journey/thalassocnus | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:kelp neoforge:mod_loaded unearthed_journey:thalassocnus
justenoughbreeding:breeding/unearthed_journey/thylacine | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:beef minecraft:chicken minecraft:mutton minecraft:porkchop neoforge:mod_loaded unearthed_journey:large_bone unearthed_journey:thylacine
justenoughbreeding:breeding/unearthed_journey/trigodon | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded unearthed_journey:pouch_of_grass unearthed_journey:trigodon
justenoughbreeding:breeding/unearthed_journey/tuatara | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:egg neoforge:mod_loaded unearthed_journey:tuatara
justenoughbreeding:breeding/untamedwilds/aardvark | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:aardvark untamedwilds:food_aardvark_cucumber
justenoughbreeding:breeding/untamedwilds/arowana | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:arowana untamedwilds:chum
justenoughbreeding:breeding/untamedwilds/baleen_whale | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:baleen_whale untamedwilds:chum
justenoughbreeding:breeding/untamedwilds/bear | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:apple minecraft:bamboo minecraft:beef minecraft:honeycomb minecraft:potato minecraft:salmon minecraft:sweet_berries neoforge:mod_loaded untamedwilds:bear untamedwilds:material_blubber
justenoughbreeding:breeding/untamedwilds/big_cat | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:beef minecraft:chicken minecraft:porkchop minecraft:rabbit neoforge:mod_loaded untamedwilds:big_cat
justenoughbreeding:breeding/untamedwilds/bison | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded untamedwilds:bison untamedwilds:flora_junegrass
justenoughbreeding:breeding/untamedwilds/boar | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:beetroot neoforge:mod_loaded untamedwilds:boar
justenoughbreeding:breeding/untamedwilds/butterfly | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:dandelion neoforge:mod_loaded untamedwilds:butterfly
justenoughbreeding:breeding/untamedwilds/camel | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:cactus neoforge:mod_loaded untamedwilds:camel
justenoughbreeding:breeding/untamedwilds/catfish | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:catfish untamedwilds:chum
justenoughbreeding:breeding/untamedwilds/giant_clam | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:chum untamedwilds:giant_clam
justenoughbreeding:breeding/untamedwilds/giant_salamander | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:food_turtle_raw untamedwilds:giant_salamander
justenoughbreeding:breeding/untamedwilds/hippo | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:flora_water_hyacinth_item untamedwilds:hippo
justenoughbreeding:breeding/untamedwilds/hyena | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:rotten_flesh neoforge:mod_loaded untamedwilds:hyena
justenoughbreeding:breeding/untamedwilds/king_crab | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:cod neoforge:mod_loaded untamedwilds:king_crab
justenoughbreeding:breeding/untamedwilds/large_snake | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:beef minecraft:porkchop neoforge:mod_loaded untamedwilds:large_snake
justenoughbreeding:breeding/untamedwilds/manatee | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:kelp minecraft:sea_grass neoforge:mod_loaded untamedwilds:manatee
justenoughbreeding:breeding/untamedwilds/monitor | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:food_turtle_raw untamedwilds:monitor
justenoughbreeding:breeding/untamedwilds/newt | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:food_turtle_raw untamedwilds:newt
justenoughbreeding:breeding/untamedwilds/opossum | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:chicken neoforge:mod_loaded untamedwilds:opossum
justenoughbreeding:breeding/untamedwilds/rhino | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:melon_slice neoforge:mod_loaded untamedwilds:rhino
justenoughbreeding:breeding/untamedwilds/sawfish | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:chum untamedwilds:sawfish
justenoughbreeding:breeding/untamedwilds/shark | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:chum untamedwilds:shark
justenoughbreeding:breeding/untamedwilds/snake | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:rabbit neoforge:mod_loaded untamedwilds:snake
justenoughbreeding:breeding/untamedwilds/softshell_turtle | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:cod neoforge:mod_loaded untamedwilds:softshell_turtle
justenoughbreeding:breeding/untamedwilds/spadefish | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:seagrass neoforge:mod_loaded untamedwilds:spadefish
justenoughbreeding:breeding/untamedwilds/spitter | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:glow_lichen neoforge:mod_loaded untamedwilds:spitter
justenoughbreeding:breeding/untamedwilds/sunfish | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:chum untamedwilds:sunfish
justenoughbreeding:breeding/untamedwilds/tarantula | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:chicken neoforge:mod_loaded untamedwilds:tarantula
justenoughbreeding:breeding/untamedwilds/terror_bird | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:rabbit neoforge:mod_loaded untamedwilds:terror_bird
justenoughbreeding:breeding/untamedwilds/tortoise | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:apple neoforge:mod_loaded untamedwilds:tortoise
justenoughbreeding:breeding/untamedwilds/trevally | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:chum untamedwilds:tortoise
justenoughbreeding:breeding/untamedwilds/triggerfish | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:chum untamedwilds:triggerfish
justenoughbreeding:breeding/untamedwilds/whale_shark | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untamedwilds:chum untamedwilds:whale_shark
justenoughbreeding:breeding/untamedwilds/wildebeest | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:grass neoforge:mod_loaded untamedwilds:wildebeest
justenoughbreeding:breeding/untitledduckmod/duck | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untitledduckmod:duck untitledduckmod:duck_breeding_food
justenoughbreeding:breeding/untitledduckmod/goose | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded untitledduckmod:goose untitledduckmod:goose_breeding_food
justenoughbreeding:breeding/upgrade_aquatic/goose | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:beetroot_seeds minecraft:melon_seeds minecraft:pitcher_pod minecraft:pumpkin_seeds minecraft:torchflower_seeds minecraft:wheat_seeds neoforge:mod_loaded upgrade_aquatic:goose
justenoughbreeding:breeding/waddles/adelie_penguin | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:cod minecraft:salmon neoforge:mod_loaded waddles:adelie_penguin
justenoughbreeding:breeding/wan_ancient_beasts/crusher | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:hanging_roots neoforge:mod_loaded wan_ancient_beasts:crusher wan_ancient_beasts:crusher_egg wan_ancient_beasts:crusher_spawn_egg
justenoughbreeding:breeding/wan_ancient_beasts/eater | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded wan_ancient_beasts:eater wan_ancient_beasts:eater_egg wan_ancient_beasts:eater_food wan_ancient_beasts:eater_spawn_egg
justenoughbreeding:breeding/wan_ancient_beasts/glider | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:salmon neoforge:mod_loaded wan_ancient_beasts:glider wan_ancient_beasts:glider_egg wan_ancient_beasts:glider_spawn_egg
justenoughbreeding:breeding/wan_ancient_beasts/soarer | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:pufferfish neoforge:mod_loaded wan_ancient_beasts:soarer wan_ancient_beasts:soarer_egg wan_ancient_beasts:soarer_spawn_egg
justenoughbreeding:breeding/wan_ancient_beasts/surfer | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:sea_pickle neoforge:mod_loaded wan_ancient_beasts:surfer wan_ancient_beasts:surfer_egg wan_ancient_beasts:surfer_spawn_egg
justenoughbreeding:breeding/wan_ancient_beasts/walker | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:spore_blossom neoforge:mod_loaded wan_ancient_beasts:walker wan_ancient_beasts:walker_egg wan_ancient_beasts:walker_spawn_egg
justenoughbreeding:breeding/wildernature/bison | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded wildernature:bison
justenoughbreeding:breeding/wildernature/boar | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:beef minecraft:beetroot minecraft:carrot minecraft:chicken minecraft:cooked_cod minecraft:cooked_salmon minecraft:sweet_berries minecrafy:potato neoforge:mod_loaded wildernature:boar
justenoughbreeding:breeding/wildernature/cassowary | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded wildernature:cassowary
justenoughbreeding:breeding/wildernature/deer | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:grass neoforge:mod_loaded wildernature:deer
justenoughbreeding:breeding/wildernature/hedgehog | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:rotten_flesh neoforge:mod_loaded wildernature:hedgehog
justenoughbreeding:breeding/wildernature/minisheep | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded wildernature:minisheep
justenoughbreeding:breeding/wildernature/pelican | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:cod minecraft:cooked_cod minecraft:cooked_salmon minecraft:pufferfish minecraft:salmon neoforge:mod_loaded wildernature:pelican
justenoughbreeding:breeding/wildernature/penguin | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded wildernature:penguin
justenoughbreeding:breeding/wildernature/raccoon | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:apple minecraft:beetroot minecraft:carrot minecraft:cooked_cod minecraft:cooked_salmon minecraft:potato minecraft:sweet_berries neoforge:mod_loaded wildernature:raccoon
justenoughbreeding:breeding/wildernature/red_wolf | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:bone neoforge:mod_loaded wildernature:red_wolf
justenoughbreeding:breeding/wildernature/squirrel | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded wildernature:hazelnut wildernature:squirrel
justenoughbreeding:breeding/wildernature/turkey | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:beetroot_seeds minecraft:bread minecraft:melon_seeds minecraft:pumpkin_seeds minecraft:wheat_seeds neoforge:mod_loaded wildernature:turkey
justenoughbreeding:breeding/windswept/frostbiter | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded windswept:frostbiter windswept:frostbiter_spawn_egg windswept:holly_berries
justenoughbreeding:breeding/winteroverhaul/robin | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:sweet_berries neoforge:mod_loaded winteroverhaul:robin
justenoughbreeding:breeding/ydms_redpanda/redpanda | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:bamboo neoforge:mod_loaded ydms_redpanda:redpanda
justenoughbreeding:breeding/zawa/african_lion | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:african_lion zawa:large_meat
justenoughbreeding:breeding/zawa/african_wild_dog | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:african_wild_dog zawa:large_meat
justenoughbreeding:breeding/zawa/asian_elephant | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:jungle_leaves neoforge:mod_loaded zawa:asian_elephant
justenoughbreeding:breeding/zawa/bald_eagle | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:bald_eagle zawa:salmon
justenoughbreeding:breeding/zawa/black_footed_ferret | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:black_footed_ferret zawa:rabbit
justenoughbreeding:breeding/zawa/brown_rat | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wheat_seeds neoforge:mod_loaded zawa:brown_rat
justenoughbreeding:breeding/zawa/butterfly | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:sugar neoforge:mod_loaded zawa:butterfly
justenoughbreeding:breeding/zawa/cheetah | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:cheetah zawa:large_meat
justenoughbreeding:breeding/zawa/common_chimpanzee | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:melon neoforge:mod_loaded zawa:common_chimpanzee
justenoughbreeding:breeding/zawa/coquerels_sifaka | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:coquerels_sifaka zawa:prickly_pear
justenoughbreeding:breeding/zawa/corydoras | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:beetroot_seeds neoforge:mod_loaded zawa:corydoras
justenoughbreeding:breeding/zawa/emperor_penguin | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:salmon neoforge:mod_loaded zawa:emperor_penguin
justenoughbreeding:breeding/zawa/flamingo | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:flamingo zawa:mussels
justenoughbreeding:breeding/zawa/giant_panda | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:giant_panda zawa:yellow_bamboo
justenoughbreeding:breeding/zawa/giraffe | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:acacia_leaves neoforge:mod_loaded zawa:giant_panda
justenoughbreeding:breeding/zawa/grevys_zebra | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:hay_bale neoforge:mod_loaded zawa:grevys_zebra
justenoughbreeding:breeding/zawa/hornbill | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:apple neoforge:mod_loaded zawa:hornbill
justenoughbreeding:breeding/zawa/indian_gharial | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:tropical_fish neoforge:mod_loaded zawa:indian_gharial
justenoughbreeding:breeding/zawa/kakapo | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:sweet_berries neoforge:mod_loaded zawa:kakapo
justenoughbreeding:breeding/zawa/koala | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:eucalyptus zawa:koala
justenoughbreeding:breeding/zawa/leafcutter_ant | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wheat_seeds neoforge:mod_loaded zawa:leafcutter_ant
justenoughbreeding:breeding/zawa/macaw | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:melon_seeds neoforge:mod_loaded zawa:macaw
justenoughbreeding:breeding/zawa/mandrill | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:melon neoforge:mod_loaded zawa:mandrill
justenoughbreeding:breeding/zawa/orca | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:large_meat zawa:orca
justenoughbreeding:breeding/zawa/polar_bear | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:polar_bear zawa:salmon
justenoughbreeding:breeding/zawa/red_kangaroo | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:hay_bale neoforge:mod_loaded zawa:red_kangaroo
justenoughbreeding:breeding/zawa/red_panda | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:red_panda zawa:yellow_bamboo
justenoughbreeding:breeding/zawa/ring_tailed_lemur | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:apple neoforge:mod_loaded zawa:ring_tailed_lemur
justenoughbreeding:breeding/zawa/sloth | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:jungle_leaves neoforge:mod_loaded zawa:sloth
justenoughbreeding:breeding/zawa/snow_leopard | justenoughbreeding:breeding | justenoughbreeding:breeding neoforge:mod_loaded zawa:mutton zawa:snow_leopard
justenoughbreeding:breeding/zawa/spider_monkey | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:melon neoforge:mod_loaded zawa:spider_monkey
justenoughbreeding:breeding/zawa/sumatran_orangutan | justenoughbreeding:breeding | justenoughbreeding:breeding miencraft:melon neoforge:mod_loaded zawa:sumatran_orangutan
justenoughbreeding:breeding/zawa/western_lowland_gorilla | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:jungle_leaves neoforge:mod_loaded zawa:western_lowland_gorilla
justenoughbreeding:breeding/zawaessentials/australian_ringneck_parrot | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded zawaessentials:australian_ringneck_parrot
justenoughbreeding:breeding/zawaessentials/budgerigar | justenoughbreeding:breeding | justenoughbreeding:breeding minecraft:melon_seeds neoforge:mod_loaded zawaessentials:budgerigar
