mcwroofs:acacia_attic_roof | minecraft:crafting_shaped | mcwroofs:acacia_attic_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:glass
mcwroofs:lime_terracotta_top_roof | minecraft:stonecutting | mcwroofs:lime_terracotta_top_roof minecraft:lime_terracotta minecraft:stonecutting
mcwroofs:lime_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:lime_terracotta_upper_lower_roof minecraft:lime_terracotta minecraft:stonecutting
mcwroofs:lime_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:lime_terracotta_upper_steep_roof minecraft:lime_terracotta minecraft:stonecutting
mcwroofs:magenta_concrete_attic_roof | minecraft:stonecutting | mcwroofs:magenta_concrete_attic_roof minecraft:magenta_concrete minecraft:stonecutting
mcwroofs:magenta_concrete_lower_roof | minecraft:stonecutting | mcwroofs:magenta_concrete_lower_roof minecraft:magenta_concrete minecraft:stonecutting
mcwroofs:magenta_concrete_roof | minecraft:stonecutting | mcwroofs:magenta_concrete_roof minecraft:magenta_concrete minecraft:stonecutting
mcwroofs:magenta_concrete_steep_roof | minecraft:stonecutting | mcwroofs:magenta_concrete_steep_roof minecraft:magenta_concrete minecraft:stonecutting
mcwroofs:magenta_concrete_top_roof | minecraft:stonecutting | mcwroofs:magenta_concrete_top_roof minecraft:magenta_concrete minecraft:stonecutting
mcwroofs:magenta_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:magenta_concrete_upper_lower_roof minecraft:magenta_concrete minecraft:stonecutting
mcwroofs:magenta_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:magenta_concrete_upper_steep_roof minecraft:magenta_concrete minecraft:stonecutting
mcwroofs:magenta_striped_awning | minecraft:crafting_shaped | mcwroofs:magenta_striped_awning minecraft:crafting_shaped minecraft:magenta_carpet minecraft:white_carpet
mcwroofs:magenta_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:magenta_terracotta_attic_roof minecraft:magenta_terracotta minecraft:stonecutting
mcwroofs:magenta_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:magenta_terracotta_lower_roof minecraft:magenta_terracotta minecraft:stonecutting
mcwroofs:magenta_terracotta_roof | minecraft:stonecutting | mcwroofs:magenta_terracotta_roof minecraft:magenta_terracotta minecraft:stonecutting
mcwroofs:magenta_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:magenta_terracotta_steep_roof minecraft:magenta_terracotta minecraft:stonecutting
mcwroofs:magenta_terracotta_top_roof | minecraft:stonecutting | mcwroofs:magenta_terracotta_top_roof minecraft:magenta_terracotta minecraft:stonecutting
mcwroofs:magenta_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:magenta_terracotta_upper_lower_roof minecraft:magenta_terracotta minecraft:stonecutting
mcwroofs:magenta_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:magenta_terracotta_upper_steep_roof minecraft:magenta_terracotta minecraft:stonecutting
mcwroofs:mangrove_attic_roof | minecraft:crafting_shaped | mcwroofs:mangrove_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:mangrove_log
mcwroofs:mangrove_lower_roof | minecraft:crafting_shaped | mcwroofs:mangrove_lower_roof minecraft:crafting_shaped minecraft:mangrove_log minecraft:stick
mcwroofs:mangrove_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:mangrove_planks_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:mangrove_planks
mcwroofs:mangrove_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:mangrove_planks_lower_roof minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick
mcwroofs:mangrove_planks_roof | minecraft:crafting_shaped | mcwroofs:mangrove_planks_roof minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick
mcwroofs:mangrove_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:mangrove_planks_steep_roof minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick
mcwroofs:mangrove_planks_top_roof | minecraft:crafting_shaped | mcwroofs:mangrove_planks_top_roof minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick
mcwroofs:mangrove_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:mangrove_planks_upper_lower_roof minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick
mcwroofs:mangrove_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:mangrove_planks_upper_steep_roof minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick
mcwroofs:mangrove_roof | minecraft:crafting_shaped | mcwroofs:mangrove_roof minecraft:crafting_shaped minecraft:mangrove_log minecraft:stick
mcwroofs:mangrove_steep_roof | minecraft:crafting_shaped | mcwroofs:mangrove_steep_roof minecraft:crafting_shaped minecraft:mangrove_log minecraft:stick
mcwroofs:mangrove_top_roof | minecraft:crafting_shaped | mcwroofs:mangrove_top_roof minecraft:crafting_shaped minecraft:mangrove_log minecraft:stick
mcwroofs:mangrove_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:mangrove_upper_lower_roof minecraft:crafting_shaped minecraft:mangrove_log minecraft:stick
mcwroofs:mangrove_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:mangrove_upper_steep_roof minecraft:crafting_shaped minecraft:mangrove_log minecraft:stick
mcwroofs:mud_brick_attic_roof | minecraft:stonecutting | mcwroofs:mud_brick_attic_roof minecraft:mud_bricks minecraft:stonecutting
mcwroofs:mud_brick_lower_roof | minecraft:stonecutting | mcwroofs:mud_brick_lower_roof minecraft:mud_bricks minecraft:stonecutting
mcwroofs:mud_brick_roof | minecraft:stonecutting | mcwroofs:mud_brick_roof minecraft:mud_bricks minecraft:stonecutting
mcwroofs:mud_brick_steep_roof | minecraft:stonecutting | mcwroofs:mud_brick_steep_roof minecraft:mud_bricks minecraft:stonecutting
mcwroofs:mud_brick_top_roof | minecraft:stonecutting | mcwroofs:mud_brick_top_roof minecraft:mud_bricks minecraft:stonecutting
mcwroofs:mud_brick_upper_lower_roof | minecraft:stonecutting | mcwroofs:mud_brick_upper_lower_roof minecraft:mud_bricks minecraft:stonecutting
mcwroofs:mud_brick_upper_steep_roof | minecraft:stonecutting | mcwroofs:mud_brick_upper_steep_roof minecraft:mud_bricks minecraft:stonecutting
mcwroofs:nether_bricks_attic_roof | minecraft:stonecutting | mcwroofs:nether_bricks_attic_roof minecraft:nether_bricks minecraft:stonecutting
mcwroofs:nether_bricks_lower_roof | minecraft:stonecutting | mcwroofs:nether_bricks_lower_roof minecraft:nether_bricks minecraft:stonecutting
mcwroofs:nether_bricks_roof | minecraft:stonecutting | mcwroofs:nether_bricks_roof minecraft:nether_bricks minecraft:stonecutting
mcwroofs:nether_bricks_steep_roof | minecraft:stonecutting | mcwroofs:nether_bricks_steep_roof minecraft:nether_bricks minecraft:stonecutting
mcwroofs:nether_bricks_top_roof | minecraft:stonecutting | mcwroofs:nether_bricks_top_roof minecraft:nether_bricks minecraft:stonecutting
mcwroofs:nether_bricks_upper_lower_roof | minecraft:stonecutting | mcwroofs:nether_bricks_upper_lower_roof minecraft:nether_bricks minecraft:stonecutting
mcwroofs:nether_bricks_upper_steep_roof | minecraft:stonecutting | mcwroofs:nether_bricks_upper_steep_roof minecraft:nether_bricks minecraft:stonecutting
mcwroofs:oak_attic_roof | minecraft:crafting_shaped | mcwroofs:oak_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:oak_log
mcwroofs:oak_lower_roof | minecraft:crafting_shaped | mcwroofs:oak_lower_roof minecraft:crafting_shaped minecraft:oak_log minecraft:stick
mcwroofs:oak_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:oak_planks_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:oak_planks
mcwroofs:oak_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:oak_planks_lower_roof minecraft:crafting_shaped minecraft:oak_planks minecraft:stick
mcwroofs:oak_planks_roof | minecraft:crafting_shaped | mcwroofs:oak_planks_roof minecraft:crafting_shaped minecraft:oak_planks minecraft:stick
mcwroofs:oak_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:oak_planks_steep_roof minecraft:crafting_shaped minecraft:oak_planks minecraft:stick
mcwroofs:oak_planks_top_roof | minecraft:crafting_shaped | mcwroofs:oak_planks_top_roof minecraft:crafting_shaped minecraft:oak_planks minecraft:stick
mcwroofs:oak_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:oak_planks_upper_lower_roof minecraft:crafting_shaped minecraft:oak_planks minecraft:stick
mcwroofs:oak_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:oak_planks_upper_steep_roof minecraft:crafting_shaped minecraft:oak_planks minecraft:stick
mcwroofs:oak_roof | minecraft:crafting_shaped | mcwroofs:oak_roof minecraft:crafting_shaped minecraft:oak_log minecraft:stick
mcwroofs:oak_steep_roof | minecraft:crafting_shaped | mcwroofs:oak_steep_roof minecraft:crafting_shaped minecraft:oak_log minecraft:stick
mcwroofs:oak_top_roof | minecraft:crafting_shaped | mcwroofs:oak_top_roof minecraft:crafting_shaped minecraft:oak_log minecraft:stick
mcwroofs:oak_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:oak_upper_lower_roof minecraft:crafting_shaped minecraft:oak_log minecraft:stick
mcwroofs:oak_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:oak_upper_steep_roof minecraft:crafting_shaped minecraft:oak_log minecraft:stick
mcwroofs:orange_concrete_attic_roof | minecraft:stonecutting | mcwroofs:orange_concrete_attic_roof minecraft:orange_concrete minecraft:stonecutting
mcwroofs:orange_concrete_lower_roof | minecraft:stonecutting | mcwroofs:orange_concrete_lower_roof minecraft:orange_concrete minecraft:stonecutting
mcwroofs:orange_concrete_roof | minecraft:stonecutting | mcwroofs:orange_concrete_roof minecraft:orange_concrete minecraft:stonecutting
mcwroofs:orange_concrete_steep_roof | minecraft:stonecutting | mcwroofs:orange_concrete_steep_roof minecraft:orange_concrete minecraft:stonecutting
mcwroofs:orange_concrete_top_roof | minecraft:stonecutting | mcwroofs:orange_concrete_top_roof minecraft:orange_concrete minecraft:stonecutting
mcwroofs:orange_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:orange_concrete_upper_lower_roof minecraft:orange_concrete minecraft:stonecutting
mcwroofs:orange_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:orange_concrete_upper_steep_roof minecraft:orange_concrete minecraft:stonecutting
mcwroofs:orange_striped_awning | minecraft:crafting_shaped | mcwroofs:orange_striped_awning minecraft:crafting_shaped minecraft:orange_carpet minecraft:white_carpet
mcwroofs:orange_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:orange_terracotta_attic_roof minecraft:orange_terracotta minecraft:stonecutting
mcwroofs:orange_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:orange_terracotta_lower_roof minecraft:orange_terracotta minecraft:stonecutting
mcwroofs:orange_terracotta_roof | minecraft:stonecutting | mcwroofs:orange_terracotta_roof minecraft:orange_terracotta minecraft:stonecutting
mcwroofs:orange_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:orange_terracotta_steep_roof minecraft:orange_terracotta minecraft:stonecutting
mcwroofs:orange_terracotta_top_roof | minecraft:stonecutting | mcwroofs:orange_terracotta_top_roof minecraft:orange_terracotta minecraft:stonecutting
mcwroofs:orange_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:orange_terracotta_upper_lower_roof minecraft:orange_terracotta minecraft:stonecutting
mcwroofs:orange_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:orange_terracotta_upper_steep_roof minecraft:orange_terracotta minecraft:stonecutting
mcwroofs:pink_concrete_attic_roof | minecraft:stonecutting | mcwroofs:pink_concrete_attic_roof minecraft:pink_concrete minecraft:stonecutting
mcwroofs:pink_concrete_lower_roof | minecraft:stonecutting | mcwroofs:pink_concrete_lower_roof minecraft:pink_concrete minecraft:stonecutting
mcwroofs:pink_concrete_roof | minecraft:stonecutting | mcwroofs:pink_concrete_roof minecraft:pink_concrete minecraft:stonecutting
mcwroofs:pink_concrete_steep_roof | minecraft:stonecutting | mcwroofs:pink_concrete_steep_roof minecraft:pink_concrete minecraft:stonecutting
mcwroofs:pink_concrete_top_roof | minecraft:stonecutting | mcwroofs:pink_concrete_top_roof minecraft:pink_concrete minecraft:stonecutting
mcwroofs:pink_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:pink_concrete_upper_lower_roof minecraft:pink_concrete minecraft:stonecutting
mcwroofs:pink_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:pink_concrete_upper_steep_roof minecraft:pink_concrete minecraft:stonecutting
mcwroofs:pink_striped_awning | minecraft:crafting_shaped | mcwroofs:pink_striped_awning minecraft:crafting_shaped minecraft:pink_carpet minecraft:white_carpet
mcwroofs:pink_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:pink_terracotta_attic_roof minecraft:pink_terracotta minecraft:stonecutting
mcwroofs:pink_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:pink_terracotta_lower_roof minecraft:pink_terracotta minecraft:stonecutting
mcwroofs:pink_terracotta_roof | minecraft:stonecutting | mcwroofs:pink_terracotta_roof minecraft:pink_terracotta minecraft:stonecutting
mcwroofs:pink_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:pink_terracotta_steep_roof minecraft:pink_terracotta minecraft:stonecutting
mcwroofs:pink_terracotta_top_roof | minecraft:stonecutting | mcwroofs:pink_terracotta_top_roof minecraft:pink_terracotta minecraft:stonecutting
mcwroofs:pink_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:pink_terracotta_upper_lower_roof minecraft:pink_terracotta minecraft:stonecutting
mcwroofs:pink_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:pink_terracotta_upper_steep_roof minecraft:pink_terracotta minecraft:stonecutting
mcwroofs:prismarine_brick_attic_roof | minecraft:stonecutting | mcwroofs:prismarine_brick_attic_roof minecraft:prismarine_bricks minecraft:stonecutting
mcwroofs:prismarine_brick_lower_roof | minecraft:stonecutting | mcwroofs:prismarine_brick_lower_roof minecraft:prismarine_bricks minecraft:stonecutting
mcwroofs:prismarine_brick_roof | minecraft:stonecutting | mcwroofs:prismarine_brick_roof minecraft:prismarine_bricks minecraft:stonecutting
mcwroofs:prismarine_brick_steep_roof | minecraft:stonecutting | mcwroofs:prismarine_brick_steep_roof minecraft:prismarine_bricks minecraft:stonecutting
mcwroofs:prismarine_brick_top_roof | minecraft:stonecutting | mcwroofs:prismarine_brick_top_roof minecraft:prismarine_bricks minecraft:stonecutting
mcwroofs:prismarine_brick_upper_lower_roof | minecraft:stonecutting | mcwroofs:prismarine_brick_upper_lower_roof minecraft:prismarine_bricks minecraft:stonecutting
mcwroofs:prismarine_brick_upper_steep_roof | minecraft:stonecutting | mcwroofs:prismarine_brick_upper_steep_roof minecraft:prismarine_bricks minecraft:stonecutting
mcwroofs:purple_concrete_attic_roof | minecraft:stonecutting | mcwroofs:purple_concrete_attic_roof minecraft:purple_concrete minecraft:stonecutting
mcwroofs:purple_concrete_lower_roof | minecraft:stonecutting | mcwroofs:purple_concrete_lower_roof minecraft:purple_concrete minecraft:stonecutting
mcwroofs:purple_concrete_roof | minecraft:stonecutting | mcwroofs:purple_concrete_roof minecraft:purple_concrete minecraft:stonecutting
mcwroofs:purple_concrete_steep_roof | minecraft:stonecutting | mcwroofs:purple_concrete_steep_roof minecraft:purple_concrete minecraft:stonecutting
mcwroofs:purple_concrete_top_roof | minecraft:stonecutting | mcwroofs:purple_concrete_top_roof minecraft:purple_concrete minecraft:stonecutting
mcwroofs:purple_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:purple_concrete_upper_lower_roof minecraft:purple_concrete minecraft:stonecutting
mcwroofs:purple_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:purple_concrete_upper_steep_roof minecraft:purple_concrete minecraft:stonecutting
mcwroofs:purple_striped_awning | minecraft:crafting_shaped | mcwroofs:purple_striped_awning minecraft:crafting_shaped minecraft:purple_carpet minecraft:white_carpet
mcwroofs:purple_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:purple_terracotta_attic_roof minecraft:purple_terracotta minecraft:stonecutting
mcwroofs:purple_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:purple_terracotta_lower_roof minecraft:purple_terracotta minecraft:stonecutting
mcwroofs:purple_terracotta_roof | minecraft:stonecutting | mcwroofs:purple_terracotta_roof minecraft:purple_terracotta minecraft:stonecutting
mcwroofs:purple_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:purple_terracotta_steep_roof minecraft:purple_terracotta minecraft:stonecutting
mcwroofs:purple_terracotta_top_roof | minecraft:stonecutting | mcwroofs:purple_terracotta_top_roof minecraft:purple_terracotta minecraft:stonecutting
mcwroofs:purple_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:purple_terracotta_upper_lower_roof minecraft:purple_terracotta minecraft:stonecutting
mcwroofs:purple_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:purple_terracotta_upper_steep_roof minecraft:purple_terracotta minecraft:stonecutting
mcwroofs:red_concrete_attic_roof | minecraft:stonecutting | mcwroofs:red_concrete_attic_roof minecraft:red_concrete minecraft:stonecutting
mcwroofs:red_concrete_lower_roof | minecraft:stonecutting | mcwroofs:red_concrete_lower_roof minecraft:red_concrete minecraft:stonecutting
mcwroofs:red_concrete_roof | minecraft:stonecutting | mcwroofs:red_concrete_roof minecraft:red_concrete minecraft:stonecutting
mcwroofs:red_concrete_steep_roof | minecraft:stonecutting | mcwroofs:red_concrete_steep_roof minecraft:red_concrete minecraft:stonecutting
mcwroofs:red_concrete_top_roof | minecraft:stonecutting | mcwroofs:red_concrete_top_roof minecraft:red_concrete minecraft:stonecutting
mcwroofs:red_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:red_concrete_upper_lower_roof minecraft:red_concrete minecraft:stonecutting
mcwroofs:red_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:red_concrete_upper_steep_roof minecraft:red_concrete minecraft:stonecutting
mcwroofs:red_nether_bricks_attic_roof | minecraft:stonecutting | mcwroofs:red_nether_bricks_attic_roof minecraft:red_nether_bricks minecraft:stonecutting
mcwroofs:red_nether_bricks_lower_roof | minecraft:stonecutting | mcwroofs:red_nether_bricks_lower_roof minecraft:red_nether_bricks minecraft:stonecutting
mcwroofs:red_nether_bricks_roof | minecraft:stonecutting | mcwroofs:red_nether_bricks_roof minecraft:red_nether_bricks minecraft:stonecutting
mcwroofs:red_nether_bricks_steep_roof | minecraft:stonecutting | mcwroofs:red_nether_bricks_steep_roof minecraft:red_nether_bricks minecraft:stonecutting
mcwroofs:red_nether_bricks_top_roof | minecraft:stonecutting | mcwroofs:red_nether_bricks_top_roof minecraft:red_nether_bricks minecraft:stonecutting
mcwroofs:red_nether_bricks_upper_lower_roof | minecraft:stonecutting | mcwroofs:red_nether_bricks_upper_lower_roof minecraft:red_nether_bricks minecraft:stonecutting
mcwroofs:red_nether_bricks_upper_steep_roof | minecraft:stonecutting | mcwroofs:red_nether_bricks_upper_steep_roof minecraft:red_nether_bricks minecraft:stonecutting
mcwroofs:red_sandstone_attic_roof | minecraft:stonecutting | mcwroofs:red_sandstone_attic_roof minecraft:red_sandstone minecraft:stonecutting
mcwroofs:red_sandstone_lower_roof | minecraft:stonecutting | mcwroofs:red_sandstone_lower_roof minecraft:red_sandstone minecraft:stonecutting
mcwroofs:red_sandstone_roof | minecraft:stonecutting | mcwroofs:red_sandstone_roof minecraft:red_sandstone minecraft:stonecutting
mcwroofs:red_sandstone_steep_roof | minecraft:stonecutting | mcwroofs:red_sandstone_steep_roof minecraft:red_sandstone minecraft:stonecutting
mcwroofs:red_sandstone_top_roof | minecraft:stonecutting | mcwroofs:red_sandstone_top_roof minecraft:red_sandstone minecraft:stonecutting
mcwroofs:red_sandstone_upper_lower_roof | minecraft:stonecutting | mcwroofs:red_sandstone_upper_lower_roof minecraft:red_sandstone minecraft:stonecutting
mcwroofs:red_sandstone_upper_steep_roof | minecraft:stonecutting | mcwroofs:red_sandstone_upper_steep_roof minecraft:red_sandstone minecraft:stonecutting
mcwroofs:red_striped_awning | minecraft:crafting_shaped | mcwroofs:red_striped_awning minecraft:crafting_shaped minecraft:red_carpet minecraft:white_carpet
mcwroofs:red_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:red_terracotta_attic_roof minecraft:red_terracotta minecraft:stonecutting
mcwroofs:red_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:red_terracotta_lower_roof minecraft:red_terracotta minecraft:stonecutting
mcwroofs:red_terracotta_roof | minecraft:stonecutting | mcwroofs:red_terracotta_roof minecraft:red_terracotta minecraft:stonecutting
mcwroofs:red_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:red_terracotta_steep_roof minecraft:red_terracotta minecraft:stonecutting
mcwroofs:red_terracotta_top_roof | minecraft:stonecutting | mcwroofs:red_terracotta_top_roof minecraft:red_terracotta minecraft:stonecutting
mcwroofs:red_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:red_terracotta_upper_lower_roof minecraft:red_terracotta minecraft:stonecutting
mcwroofs:red_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:red_terracotta_upper_steep_roof minecraft:red_terracotta minecraft:stonecutting
mcwroofs:roofing_hammer | minecraft:crafting_shaped | mcwroofs:roofing_hammer minecraft:crafting_shaped minecraft:iron_ingot minecraft:iron_nugget minecraft:stick
mcwroofs:sandstone_attic_roof | minecraft:stonecutting | mcwroofs:sandstone_attic_roof minecraft:sandstone minecraft:stonecutting
mcwroofs:sandstone_lower_roof | minecraft:stonecutting | mcwroofs:sandstone_lower_roof minecraft:sandstone minecraft:stonecutting
mcwroofs:sandstone_roof | minecraft:stonecutting | mcwroofs:sandstone_roof minecraft:sandstone minecraft:stonecutting
mcwroofs:sandstone_steep_roof | minecraft:stonecutting | mcwroofs:sandstone_steep_roof minecraft:sandstone minecraft:stonecutting
mcwroofs:sandstone_top_roof | minecraft:stonecutting | mcwroofs:sandstone_top_roof minecraft:sandstone minecraft:stonecutting
mcwroofs:sandstone_upper_lower_roof | minecraft:stonecutting | mcwroofs:sandstone_upper_lower_roof minecraft:sandstone minecraft:stonecutting
mcwroofs:sandstone_upper_steep_roof | minecraft:stonecutting | mcwroofs:sandstone_upper_steep_roof minecraft:sandstone minecraft:stonecutting
mcwroofs:spruce_attic_roof | minecraft:crafting_shaped | mcwroofs:spruce_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:spruce_log
mcwroofs:spruce_lower_roof | minecraft:crafting_shaped | mcwroofs:spruce_lower_roof minecraft:crafting_shaped minecraft:spruce_log minecraft:stick
mcwroofs:spruce_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:spruce_planks_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:spruce_planks
mcwroofs:spruce_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:spruce_planks_lower_roof minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick
mcwroofs:spruce_planks_roof | minecraft:crafting_shaped | mcwroofs:spruce_planks_roof minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick
mcwroofs:spruce_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:spruce_planks_steep_roof minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick
mcwroofs:spruce_planks_top_roof | minecraft:crafting_shaped | mcwroofs:spruce_planks_top_roof minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick
mcwroofs:spruce_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:spruce_planks_upper_lower_roof minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick
mcwroofs:spruce_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:spruce_planks_upper_steep_roof minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick
mcwroofs:spruce_roof | minecraft:crafting_shaped | mcwroofs:spruce_roof minecraft:crafting_shaped minecraft:spruce_log minecraft:stick
mcwroofs:spruce_steep_roof | minecraft:crafting_shaped | mcwroofs:spruce_steep_roof minecraft:crafting_shaped minecraft:spruce_log minecraft:stick
mcwroofs:spruce_top_roof | minecraft:crafting_shaped | mcwroofs:spruce_top_roof minecraft:crafting_shaped minecraft:spruce_log minecraft:stick
mcwroofs:spruce_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:spruce_upper_lower_roof minecraft:crafting_shaped minecraft:spruce_log minecraft:stick
mcwroofs:spruce_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:spruce_upper_steep_roof minecraft:crafting_shaped minecraft:spruce_log minecraft:stick
mcwroofs:stone_attic_roof | minecraft:stonecutting | mcwroofs:stone_attic_roof minecraft:stone minecraft:stonecutting
mcwroofs:stone_bricks_attic_roof | minecraft:stonecutting | mcwroofs:stone_bricks_attic_roof minecraft:stone_bricks minecraft:stonecutting
mcwroofs:stone_bricks_lower_roof | minecraft:stonecutting | mcwroofs:stone_bricks_lower_roof minecraft:stone_bricks minecraft:stonecutting
mcwroofs:stone_bricks_roof | minecraft:stonecutting | mcwroofs:stone_bricks_roof minecraft:stone_bricks minecraft:stonecutting
mcwroofs:stone_bricks_steep_roof | minecraft:stonecutting | mcwroofs:stone_bricks_steep_roof minecraft:stone_bricks minecraft:stonecutting
mcwroofs:stone_bricks_top_roof | minecraft:stonecutting | mcwroofs:stone_bricks_top_roof minecraft:stone_bricks minecraft:stonecutting
mcwroofs:stone_bricks_upper_lower_roof | minecraft:stonecutting | mcwroofs:stone_bricks_upper_lower_roof minecraft:stone_bricks minecraft:stonecutting
mcwroofs:stone_bricks_upper_steep_roof | minecraft:stonecutting | mcwroofs:stone_bricks_upper_steep_roof minecraft:stone_bricks minecraft:stonecutting
mcwroofs:stone_lower_roof | minecraft:stonecutting | mcwroofs:stone_lower_roof minecraft:stone minecraft:stonecutting
mcwroofs:stone_roof | minecraft:stonecutting | mcwroofs:stone_roof minecraft:stone minecraft:stonecutting
mcwroofs:stone_steep_roof | minecraft:stonecutting | mcwroofs:stone_steep_roof minecraft:stone minecraft:stonecutting
mcwroofs:stone_top_roof | minecraft:stonecutting | mcwroofs:stone_top_roof minecraft:stone minecraft:stonecutting
mcwroofs:stone_upper_lower_roof | minecraft:stonecutting | mcwroofs:stone_upper_lower_roof minecraft:stone minecraft:stonecutting
mcwroofs:stone_upper_steep_roof | minecraft:stonecutting | mcwroofs:stone_upper_steep_roof minecraft:stone minecraft:stonecutting
mcwroofs:thatch_attic_roof | minecraft:crafting_shaped | mcwroofs:thatch_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:hay_block
mcwroofs:thatch_lower_roof | minecraft:crafting_shaped | mcwroofs:thatch_lower_roof minecraft:crafting_shaped minecraft:hay_block minecraft:stick
mcwroofs:thatch_roof | minecraft:crafting_shaped | mcwroofs:thatch_roof minecraft:crafting_shaped minecraft:hay_block minecraft:stick
mcwroofs:thatch_steep_roof | minecraft:crafting_shaped | mcwroofs:thatch_steep_roof minecraft:crafting_shaped minecraft:hay_block minecraft:stick
mcwroofs:thatch_top_roof | minecraft:crafting_shaped | mcwroofs:thatch_top_roof minecraft:crafting_shaped minecraft:hay_block minecraft:stick
mcwroofs:thatch_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:thatch_upper_lower_roof minecraft:crafting_shaped minecraft:hay_block minecraft:stick
mcwroofs:thatch_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:thatch_upper_steep_roof minecraft:crafting_shaped minecraft:hay_block minecraft:stick
mcwroofs:warped_attic_roof | minecraft:crafting_shaped | mcwroofs:warped_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:warped_stem
