create:crushing/bauxite | create:crushing | create:crushing tfmg:bauxite tfmg:bauxite_powder
tfmg:cut_bauxite_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_bauxite tfmg:cut_bauxite_stairs
tfmg:cut_bauxite_stairs_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_bauxite_stairs tfmg:stone_types/bauxite
tfmg:cut_bauxite_wall | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_bauxite tfmg:cut_bauxite_wall
tfmg:cut_bauxite_wall_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_bauxite_wall tfmg:stone_types/bauxite
tfmg:cut_galena_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_galena_brick_slab tfmg:cut_galena_bricks
tfmg:cut_galena_brick_slab_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_galena_brick_slab tfmg:stone_types/galena
tfmg:cut_galena_brick_slab_recycling | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:cut_galena_brick_slab tfmg:cut_galena_bricks
tfmg:cut_galena_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_galena_brick_stairs tfmg:cut_galena_bricks
tfmg:cut_galena_brick_stairs_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_galena_brick_stairs tfmg:stone_types/galena
tfmg:cut_galena_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_galena_brick_wall tfmg:cut_galena_bricks
tfmg:cut_galena_brick_wall_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_galena_brick_wall tfmg:stone_types/galena
tfmg:cut_galena_bricks_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_galena_bricks tfmg:stone_types/galena
tfmg:cut_galena_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_galena tfmg:stone_types/galena
tfmg:cut_galena_slab | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_galena tfmg:cut_galena_slab
tfmg:cut_galena_slab_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_galena_slab tfmg:stone_types/galena
tfmg:cut_galena_slab_recycling | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:cut_galena tfmg:cut_galena_slab
tfmg:cut_galena_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_galena tfmg:cut_galena_stairs
tfmg:cut_galena_stairs_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_galena_stairs tfmg:stone_types/galena
tfmg:cut_galena_wall | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cut_galena tfmg:cut_galena_wall
tfmg:cut_galena_wall_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cut_galena_wall tfmg:stone_types/galena
tfmg:cyan_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:cyan_caution_block
tfmg:cyan_concrete_slab_from_cyan_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cyan_concrete tfmg:cyan_concrete_slab
tfmg:cyan_concrete_stairs_from_cyan_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cyan_concrete tfmg:cyan_concrete_stairs
tfmg:cyan_concrete_wall_from_cyan_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cyan_concrete tfmg:cyan_concrete_wall
tfmg:cyan_rebar_concrete_slab_from_cyan_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cyan_rebar_concrete tfmg:cyan_rebar_concrete_slab
tfmg:cyan_rebar_concrete_stairs_from_cyan_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cyan_rebar_concrete tfmg:cyan_rebar_concrete_stairs
tfmg:cyan_rebar_concrete_wall_from_cyan_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cyan_rebar_concrete tfmg:cyan_rebar_concrete_wall
tfmg:deploying/coated_circuit_board | create:deploying | c:plates/gold create:deploying tfmg:coated_circuit_board tfmg:empty_circuit_board
tfmg:distillation/crude_oil | tfmg:distillation | neoforge:single tfmg:crude_oil tfmg:diesel tfmg:distillation tfmg:gasoline tfmg:heavy_oil tfmg:kerosene tfmg:lpg tfmg:naphtha
tfmg:distillation/crude_oil_light_distillation | tfmg:distillation | neoforge:single tfmg:crude_oil tfmg:diesel tfmg:distillation tfmg:gasoline tfmg:heavy_oil
tfmg:distillation/crude_oil_no_naphtha | tfmg:distillation | neoforge:single tfmg:crude_oil tfmg:diesel tfmg:distillation tfmg:gasoline tfmg:heavy_oil tfmg:kerosene tfmg:lpg
tfmg:distillation/heavy_oil | tfmg:distillation | neoforge:single tfmg:diesel tfmg:distillation tfmg:heavy_oil tfmg:kerosene tfmg:lubrication_oil tfmg:naphtha
tfmg:distillation/heavy_oil_light_distillation | tfmg:distillation | neoforge:single tfmg:diesel tfmg:distillation tfmg:heavy_oil tfmg:lubrication_oil
tfmg:distillation/heavy_oil_no_naphtha | tfmg:distillation | neoforge:single tfmg:diesel tfmg:distillation tfmg:heavy_oil tfmg:kerosene tfmg:lubrication_oil
tfmg:empty_spool_from_hardened_planks_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:empty_spool tfmg:hardened_planks
tfmg:engine_cylinder | minecraft:crafting_shaped | c:diesel c:plates/aluminum minecraft:crafting_shaped tfmg:diesel_engine_cylinder
tfmg:engine_cylinder_cheap | minecraft:crafting_shaped | c:creosote c:furnace_gas c:plates/iron minecraft:crafting_shaped minecraft:flint_and_steel tfmg:simple_engine_cylinder
tfmg:engine_cylinder_gas | minecraft:crafting_shaped | c:lpg minecraft:crafting_shaped tfmg:brass_pipe tfmg:engine_cylinder
tfmg:engine_cylinder_spark_plug | minecraft:crafting_shaped | c:gasoline c:kerosene c:naphtha minecraft:crafting_shaped tfmg:diesel_engine_cylinder tfmg:engine_cylinder tfmg:spark_plug
tfmg:factory_floor_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:factory_floor
tfmg:filling/air_tank | create:filling | create:filling minecraft:bucket neoforge:single tfmg:air tfmg:air_bucket
tfmg:filling/carbon_dioxide_tank | create:filling | create:filling minecraft:bucket neoforge:single tfmg:carbon_dioxide tfmg:carbon_dioxide_bucket
tfmg:filling/ethylene_tank | create:filling | create:filling minecraft:bucket neoforge:single tfmg:ethylene tfmg:ethylene_bucket
tfmg:filling/filled_fire_extinguisher | create:filling | create:filling neoforge:single tfmg:carbon_dioxide tfmg:fire_extinguisher
tfmg:filling/furnace_gas_tank | create:filling | create:filling minecraft:bucket neoforge:single tfmg:furnace_gas tfmg:furnace_gas_bucket
tfmg:filling/hardened_planks | create:filling | create:filling minecraft:planks neoforge:single tfmg:creosote tfmg:hardened_planks
tfmg:filling/hot_air_tank | create:filling | create:filling minecraft:bucket neoforge:single tfmg:hot_air tfmg:hot_air_bucket
tfmg:filling/hydrogen_tank | create:filling | create:filling minecraft:bucket neoforge:single tfmg:hydrogen tfmg:hydrogen_bucket
tfmg:filling/lpg_tank | create:filling | create:filling minecraft:bucket neoforge:single tfmg:lpg tfmg:lpg_bucket
tfmg:filling/napalm_potato | create:filling | create:filling minecraft:potato neoforge:single tfmg:napalm tfmg:napalm_potato
tfmg:filling/neon_tank | create:filling | create:filling minecraft:bucket neoforge:single tfmg:neon tfmg:neon_bucket
tfmg:filling/propylene_tank | create:filling | create:filling minecraft:bucket neoforge:single tfmg:propylene tfmg:propylene_bucket
tfmg:galena_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:galena tfmg:stone_types/galena
tfmg:galena_pillar_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:galena_pillar tfmg:stone_types/galena
tfmg:graphite_electrode_from_storage_blocks_coal_coke_stonecutting | minecraft:stonecutting | c:storage_blocks/coal_coke minecraft:stonecutting tfmg:graphite_electrode
tfmg:gray_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:gray_caution_block
tfmg:gray_concrete_slab_from_gray_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:gray_concrete tfmg:gray_concrete_slab
tfmg:gray_concrete_stairs_from_gray_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:gray_concrete tfmg:gray_concrete_stairs
tfmg:gray_concrete_wall_from_gray_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:gray_concrete tfmg:gray_concrete_wall
tfmg:gray_rebar_concrete_slab_from_gray_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:gray_rebar_concrete tfmg:gray_rebar_concrete_slab
tfmg:gray_rebar_concrete_stairs_from_gray_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:gray_rebar_concrete tfmg:gray_rebar_concrete_stairs
tfmg:gray_rebar_concrete_wall_from_gray_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:gray_rebar_concrete tfmg:gray_rebar_concrete_wall
tfmg:green_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:green_caution_block
tfmg:green_concrete_slab_from_green_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:green_concrete tfmg:green_concrete_slab
tfmg:green_concrete_stairs_from_green_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:green_concrete tfmg:green_concrete_stairs
tfmg:green_concrete_wall_from_green_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:green_concrete tfmg:green_concrete_wall
tfmg:green_rebar_concrete_slab_from_green_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:green_rebar_concrete tfmg:green_rebar_concrete_slab
tfmg:green_rebar_concrete_stairs_from_green_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:green_rebar_concrete tfmg:green_rebar_concrete_stairs
tfmg:green_rebar_concrete_wall_from_green_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:green_rebar_concrete tfmg:green_rebar_concrete_wall
tfmg:hot_blast/hot_air | tfmg:hot_blast | neoforge:single neoforge:tag tfmg:air tfmg:blast_stove_fuel tfmg:carbon_dioxide tfmg:hot_air tfmg:hot_blast
tfmg:industrial_blasting/silicon | tfmg:industrial_blasting | minecraft:quartz tfmg:industrial_blasting tfmg:liquid_silicon
tfmg:industrial_blasting/steel | tfmg:industrial_blasting | create:crushed_raw_iron tfmg:flux tfmg:furnace_gas tfmg:industrial_blasting tfmg:molten_slag tfmg:molten_steel
tfmg:industrial_blasting/steel_from_dust | tfmg:industrial_blasting | c:dusts/iron tfmg:flux tfmg:furnace_gas tfmg:industrial_blasting tfmg:molten_slag tfmg:molten_steel
tfmg:industrial_blasting/steel_from_raw_iron | tfmg:industrial_blasting | minecraft:raw_iron tfmg:flux tfmg:furnace_gas tfmg:industrial_blasting tfmg:molten_slag tfmg:molten_steel
tfmg:industrial_pipe_from_ingots_steel_stonecutting | minecraft:stonecutting | c:ingots/steel minecraft:stonecutting tfmg:industrial_pipe
tfmg:item_application/aluminum_casing | create:item_application | c:plates/aluminum create:item_application tfmg:industrial_aluminum_casing tfmg:steel_casing
tfmg:item_application/heavy_machinery_casing | create:item_application | c:plates/steel create:item_application tfmg:heavy_machinery_casing tfmg:steel_casing
tfmg:item_application/steel_casing | create:item_application | c:ingots/steel create:item_application tfmg:hardened_planks tfmg:steel_casing
tfmg:large_pumpjack_hammer_part_from_storage_blocks_steel_stonecutting | minecraft:stonecutting | c:storage_blocks/steel minecraft:stonecutting tfmg:large_pumpjack_hammer_part
tfmg:layered_bauxite_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:layered_bauxite tfmg:stone_types/bauxite
tfmg:layered_galena_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:layered_galena tfmg:stone_types/galena
tfmg:lead_bars_from_ingots_lead_stonecutting | minecraft:stonecutting | c:ingots/lead minecraft:stonecutting tfmg:lead_bars
tfmg:lead_ladder_from_ingots_lead_stonecutting | minecraft:stonecutting | c:ingots/lead minecraft:stonecutting tfmg:lead_ladder
tfmg:light_blue_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:light_blue_caution_block
tfmg:light_blue_concrete_slab_from_light_blue_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_blue_concrete tfmg:light_blue_concrete_slab
tfmg:light_blue_concrete_stairs_from_light_blue_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_blue_concrete tfmg:light_blue_concrete_stairs
tfmg:light_blue_concrete_wall_from_light_blue_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_blue_concrete tfmg:light_blue_concrete_wall
tfmg:light_blue_rebar_concrete_slab_from_light_blue_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_blue_rebar_concrete tfmg:light_blue_rebar_concrete_slab
tfmg:light_blue_rebar_concrete_stairs_from_light_blue_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_blue_rebar_concrete tfmg:light_blue_rebar_concrete_stairs
tfmg:light_blue_rebar_concrete_wall_from_light_blue_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_blue_rebar_concrete tfmg:light_blue_rebar_concrete_wall
tfmg:light_gray_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:light_gray_caution_block
tfmg:light_gray_concrete_slab_from_light_gray_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_gray_concrete tfmg:light_gray_concrete_slab
tfmg:light_gray_concrete_stairs_from_light_gray_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_gray_concrete tfmg:light_gray_concrete_stairs
tfmg:light_gray_concrete_wall_from_light_gray_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_gray_concrete tfmg:light_gray_concrete_wall
tfmg:light_gray_rebar_concrete_slab_from_light_gray_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_gray_rebar_concrete tfmg:light_gray_rebar_concrete_slab
tfmg:light_gray_rebar_concrete_stairs_from_light_gray_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_gray_rebar_concrete tfmg:light_gray_rebar_concrete_stairs
tfmg:light_gray_rebar_concrete_wall_from_light_gray_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:light_gray_rebar_concrete tfmg:light_gray_rebar_concrete_wall
tfmg:lime_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:lime_caution_block
tfmg:lime_concrete_slab_from_lime_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:lime_concrete tfmg:lime_concrete_slab
tfmg:lime_concrete_stairs_from_lime_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:lime_concrete tfmg:lime_concrete_stairs
tfmg:lime_concrete_wall_from_lime_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:lime_concrete tfmg:lime_concrete_wall
tfmg:lime_rebar_concrete_slab_from_lime_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:lime_rebar_concrete tfmg:lime_rebar_concrete_slab
tfmg:lime_rebar_concrete_stairs_from_lime_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:lime_rebar_concrete tfmg:lime_rebar_concrete_stairs
tfmg:lime_rebar_concrete_wall_from_lime_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:lime_rebar_concrete tfmg:lime_rebar_concrete_wall
tfmg:magenta_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:magenta_caution_block
tfmg:magenta_concrete_slab_from_magenta_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:magenta_concrete tfmg:magenta_concrete_slab
tfmg:magenta_concrete_stairs_from_magenta_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:magenta_concrete tfmg:magenta_concrete_stairs
tfmg:magenta_concrete_wall_from_magenta_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:magenta_concrete tfmg:magenta_concrete_wall
tfmg:magenta_rebar_concrete_slab_from_magenta_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:magenta_rebar_concrete tfmg:magenta_rebar_concrete_slab
tfmg:magenta_rebar_concrete_stairs_from_magenta_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:magenta_rebar_concrete tfmg:magenta_rebar_concrete_stairs
tfmg:magenta_rebar_concrete_wall_from_magenta_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:magenta_rebar_concrete tfmg:magenta_rebar_concrete_wall
tfmg:mechanical_crafting/advanced_potato_cannon | create:mechanical_crafting | create:mechanical_crafting tfmg:advanced_potato_cannon tfmg:circuit_board tfmg:rebar tfmg:steel_fluid_tank tfmg:steel_mechanism tfmg:steel_pipe
tfmg:mechanical_crafting/engine_controller | create:mechanical_crafting | c:wires/copper create:mechanical_crafting create:shaft tfmg:circuit_board tfmg:engine_controller tfmg:heavy_machinery_casing tfmg:rubber_sheet tfmg:steel_mechanism tfmg:voltmeter
tfmg:mechanical_crafting/flamethrower | create:mechanical_crafting | c:ingots/steel c:wires/copper create:mechanical_crafting tfmg:aluminum_bars tfmg:circuit_board tfmg:flamethrower tfmg:spark_plug tfmg:steel_fluid_tank tfmg:steel_mechanism tfmg:steel_pipe
tfmg:mechanical_crafting/large_engine | create:mechanical_crafting | c:ingots/aluminum c:ingots/steel c:plates/aluminum create:mechanical_crafting tfmg:heavy_machinery_casing tfmg:heavy_plate tfmg:large_engine tfmg:steel_fluid_tank tfmg:steel_mechanism
tfmg:mechanical_crafting/quad_potato_cannon | create:mechanical_crafting | c:ingots/cast_iron c:ingots/steel create:mechanical_crafting tfmg:quad_potato_cannon tfmg:steel_mechanism tfmg:steel_pipe
tfmg:mechanical_crafting/rotor | create:mechanical_crafting | c:ingots/aluminum c:storage_blocks/steel create:mechanical_crafting tfmg:electromagnetic_coil tfmg:rotor
tfmg:mechanical_crafting/simple_large_engine | create:mechanical_crafting | c:ingots/cast_iron c:plates/steel create:mechanical_crafting create:precision_mechanism tfmg:simple_large_engine
tfmg:mechanical_crafting/spark_plug | create:mechanical_crafting | c:ingots/aluminum create:mechanical_crafting minecraft:flint tfmg:spark_plug
tfmg:mechanical_crafting/stator | create:mechanical_crafting | c:plates/aluminum c:storage_blocks/steel c:wires/copper create:mechanical_crafting tfmg:electromagnetic_coil tfmg:magnet tfmg:stator
tfmg:mixing/asphalt_mixture | create:mixing | create:mixing minecraft:gravel minecraft:sand tfmg:asphalt_mixture tfmg:bitumen
tfmg:mixing/asphalt_mixture_from_slag | create:mixing | create:mixing minecraft:gravel tfmg:asphalt_mixture tfmg:bitumen tfmg:slag
tfmg:mixing/cement | create:mixing | create:mixing minecraft:clay_ball tfmg:cement tfmg:limesand
tfmg:mixing/concrete_mixture | create:mixing | create:mixing minecraft:gravel minecraft:sand tfmg:cement tfmg:concrete_mixture
tfmg:mixing/concrete_mixture_from_slag | create:mixing | create:mixing minecraft:gravel tfmg:cement tfmg:concrete_mixture tfmg:slag
tfmg:mixing/constantan | create:mixing | c:ingots/nickel create:mixing minecraft:copper_ingot tfmg:constantan_ingot
tfmg:mixing/cooling_fluid | create:mixing | create:mixing minecraft:water neoforge:single tfmg:cooling_fluid tfmg:ethylene
tfmg:mixing/copper_sulfate | create:mixing | create:mixing minecraft:copper_ingot neoforge:single tfmg:copper_sulfate tfmg:sulfuric_acid
tfmg:mixing/gunpowder | create:mixing | create:mixing minecraft:charcoal minecraft:gunpowder tfmg:nitrate_dust tfmg:sulfur_dust
tfmg:mixing/liquid_asphalt | create:mixing | create:mixing minecraft:water neoforge:single tfmg:asphalt_mixture tfmg:liquid_asphalt
tfmg:mixing/liquid_concrete | create:mixing | create:mixing minecraft:water neoforge:single tfmg:concrete_mixture tfmg:liquid_concrete
tfmg:mixing/magnetic_alloy | create:mixing | c:ingots/nickel c:ingots/steel create:mixing tfmg:magnetic_alloy_ingot tfmg:silicon_ingot
tfmg:mixing/n_semiconductor | create:mixing | create:mixing tfmg:n_semiconductor tfmg:silicon_ingot tfmg:sulfur_dust
tfmg:mixing/napalm | create:mixing | c:ingots/aluminum create:mixing neoforge:single tfmg:gasoline tfmg:napalm
tfmg:mixing/p_semiconductor | create:mixing | c:ingots/aluminum create:mixing tfmg:p_semiconductor tfmg:silicon_ingot
tfmg:mixing/thermite | create:mixing | c:ingots/aluminum create:crimsite create:mixing tfmg:thermite_powder
tfmg:nickel_bars_from_ingots_nickel_stonecutting | minecraft:stonecutting | c:ingots/nickel minecraft:stonecutting tfmg:nickel_bars
tfmg:nickel_ladder_from_ingots_nickel_stonecutting | minecraft:stonecutting | c:ingots/nickel minecraft:stonecutting tfmg:nickel_ladder
tfmg:orange_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:orange_caution_block
tfmg:orange_concrete_slab_from_orange_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:orange_concrete tfmg:orange_concrete_slab
tfmg:orange_concrete_stairs_from_orange_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:orange_concrete tfmg:orange_concrete_stairs
tfmg:orange_concrete_wall_from_orange_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:orange_concrete tfmg:orange_concrete_wall
tfmg:orange_rebar_concrete_slab_from_orange_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:orange_rebar_concrete tfmg:orange_rebar_concrete_slab
tfmg:orange_rebar_concrete_stairs_from_orange_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:orange_rebar_concrete tfmg:orange_rebar_concrete_stairs
tfmg:orange_rebar_concrete_wall_from_orange_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:orange_rebar_concrete tfmg:orange_rebar_concrete_wall
tfmg:pink_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:pink_caution_block
tfmg:pink_concrete_slab_from_pink_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:pink_concrete tfmg:pink_concrete_slab
tfmg:pink_concrete_stairs_from_pink_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:pink_concrete tfmg:pink_concrete_stairs
tfmg:pink_concrete_wall_from_pink_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:pink_concrete tfmg:pink_concrete_wall
tfmg:pink_rebar_concrete_slab_from_pink_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:pink_rebar_concrete tfmg:pink_rebar_concrete_slab
tfmg:pink_rebar_concrete_stairs_from_pink_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:pink_rebar_concrete tfmg:pink_rebar_concrete_stairs
tfmg:pink_rebar_concrete_wall_from_pink_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:pink_rebar_concrete tfmg:pink_rebar_concrete_wall
tfmg:polarizing/magnet | tfmg:polarizing | tfmg:magnet tfmg:magnetic_alloy_ingot tfmg:polarizing
tfmg:polished_cut_bauxite_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:polished_cut_bauxite tfmg:stone_types/bauxite
tfmg:polished_cut_bauxite_slab | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:polished_cut_bauxite tfmg:polished_cut_bauxite_slab
tfmg:polished_cut_bauxite_slab_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:polished_cut_bauxite_slab tfmg:stone_types/bauxite
tfmg:polished_cut_bauxite_slab_recycling | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:polished_cut_bauxite tfmg:polished_cut_bauxite_slab
tfmg:polished_cut_bauxite_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:polished_cut_bauxite tfmg:polished_cut_bauxite_stairs
tfmg:polished_cut_bauxite_stairs_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:polished_cut_bauxite_stairs tfmg:stone_types/bauxite
tfmg:polished_cut_bauxite_wall | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:polished_cut_bauxite tfmg:polished_cut_bauxite_wall
tfmg:polished_cut_bauxite_wall_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:polished_cut_bauxite_wall tfmg:stone_types/bauxite
tfmg:polished_cut_galena_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:polished_cut_galena tfmg:stone_types/galena
tfmg:polished_cut_galena_slab | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:polished_cut_galena tfmg:polished_cut_galena_slab
tfmg:polished_cut_galena_slab_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:polished_cut_galena_slab tfmg:stone_types/galena
tfmg:polished_cut_galena_slab_recycling | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:polished_cut_galena tfmg:polished_cut_galena_slab
tfmg:polished_cut_galena_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:polished_cut_galena tfmg:polished_cut_galena_stairs
tfmg:polished_cut_galena_stairs_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:polished_cut_galena_stairs tfmg:stone_types/galena
tfmg:polished_cut_galena_wall | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:polished_cut_galena tfmg:polished_cut_galena_wall
tfmg:polished_cut_galena_wall_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:polished_cut_galena_wall tfmg:stone_types/galena
tfmg:pressing/aluminum_ingot | create:pressing | c:ingots/aluminum create:pressing tfmg:aluminum_sheet
tfmg:pressing/cast_iron_ingot | create:pressing | c:ingots/cast_iron create:pressing tfmg:cast_iron_sheet
tfmg:pressing/lead_ingot | create:pressing | c:ingots/lead create:pressing tfmg:lead_sheet
tfmg:pressing/magnetic_alloy_ingot | create:pressing | create:pressing tfmg:magnetic_alloy_ingot tfmg:magnetic_alloy_sheet
tfmg:pressing/nickel_ingot | create:pressing | c:ingots/nickel create:pressing tfmg:nickel_sheet
tfmg:pressing/synthetic_leather | create:pressing | create:pressing tfmg:rubber_sheet tfmg:synthetic_leather
tfmg:pumpjack_hammer_part_from_storage_blocks_steel_stonecutting | minecraft:stonecutting | c:storage_blocks/steel minecraft:stonecutting tfmg:pumpjack_hammer_part
