farmersdelight:acacia_cabinet | minecraft:crafting_shaped | farmersdelight:acacia_cabinet minecraft:acacia_slab minecraft:acacia_trapdoor minecraft:crafting_shaped
farmersdelight:steak_and_potatoes | minecraft:crafting_shapeless | c:crops/onion farmersdelight:cooked_rice farmersdelight:steak_and_potatoes minecraft:baked_potato minecraft:bowl minecraft:cooked_beef minecraft:crafting_shapeless
farmersdelight:stove | minecraft:crafting_shaped | c:ingots/iron farmersdelight:stove minecraft:bricks minecraft:campfire minecraft:crafting_shaped
farmersdelight:straw | minecraft:crafting_shapeless | farmersdelight:straw farmersdelight:straw_bale minecraft:crafting_shapeless
farmersdelight:straw_bale | minecraft:crafting_shaped | farmersdelight:straw farmersdelight:straw_bale minecraft:crafting_shaped
farmersdelight:stuffed_potato | minecraft:crafting_shapeless | c:drinks/milk c:foods/cooked_beef farmersdelight:stuffed_potato minecraft:baked_potato minecraft:crafting_shapeless
farmersdelight:sweet_berry_cheesecake | minecraft:crafting_shaped | c:drinks/milk farmersdelight:pie_crust farmersdelight:sweet_berry_cheesecake minecraft:crafting_shaped minecraft:sweet_berries
farmersdelight:sweet_berry_cheesecake_from_slices | minecraft:crafting_shaped | farmersdelight:sweet_berry_cheesecake farmersdelight:sweet_berry_cheesecake_slice minecraft:crafting_shaped
farmersdelight:sweet_berry_cookie | minecraft:crafting_shapeless | c:crops/wheat farmersdelight:sweet_berry_cookie minecraft:crafting_shapeless minecraft:sweet_berries
farmersdelight:tatami | minecraft:crafting_shaped | farmersdelight:canvas farmersdelight:straw farmersdelight:tatami minecraft:crafting_shaped
farmersdelight:tatami_block_from_full | minecraft:crafting_shapeless | farmersdelight:full_tatami_mat farmersdelight:tatami minecraft:crafting_shapeless
farmersdelight:tomato | minecraft:crafting_shapeless | farmersdelight:tomato farmersdelight:tomato_crate minecraft:crafting_shapeless
farmersdelight:tomato_crate | minecraft:crafting_shaped | farmersdelight:tomato farmersdelight:tomato_crate minecraft:crafting_shaped
farmersdelight:tomato_seeds | minecraft:crafting_shapeless | farmersdelight:rotten_tomato farmersdelight:tomato farmersdelight:tomato_seeds minecraft:crafting_shapeless
farmersdelight:warped_cabinet | minecraft:crafting_shaped | farmersdelight:warped_cabinet minecraft:crafting_shaped minecraft:warped_slab minecraft:warped_trapdoor
farmersdelight:wheat_dough_from_egg | minecraft:crafting_shapeless | c:crops/wheat c:eggs farmersdelight:wheat_dough minecraft:crafting_shapeless
farmersdelight:wheat_dough_from_water | farmersdelight:dough | farmersdelight:dough
farmersdelight:white_canvas_sign | minecraft:crafting_shapeless | c:dyes/white farmersdelight:canvas_signs farmersdelight:white_canvas_sign minecraft:crafting_shapeless
farmersdelight:white_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/white farmersdelight:hanging_canvas_signs farmersdelight:white_hanging_canvas_sign minecraft:crafting_shapeless
farmersdelight:wooden_basket | minecraft:crafting_shaped | farmersdelight:canvas farmersdelight:wooden_basket minecraft:crafting_shaped minecraft:stick
farmersdelight:yellow_canvas_sign | minecraft:crafting_shapeless | c:dyes/yellow farmersdelight:canvas_signs farmersdelight:yellow_canvas_sign minecraft:crafting_shapeless
farmersdelight:yellow_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/yellow farmersdelight:hanging_canvas_signs farmersdelight:yellow_hanging_canvas_sign minecraft:crafting_shapeless
