quark:automation/crafting/chute | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:planks quark:chute zeta:flag
quark:building/crafting/walls/soul_sandstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:soul_sandstone quark:soul_sandstone_wall zeta:flag
quark:building/smelting/cobblestone_to_stone_bricks | minecraft:smelting | minecraft:smelting minecraft:stone_bricks quark:cobblestone_bricks zeta:flag
quark:building/smelting/moss_paste | minecraft:smelting | minecraft:moss_block minecraft:smelting quark:moss_paste zeta:flag
quark:building/smelting/smooth_soul_sandstone | minecraft:smelting | minecraft:smelting quark:smooth_soul_sandstone quark:soul_sandstone zeta:flag
quark:building/stonecutting/black_shingles_stonecutter2 | minecraft:stonecutting | minecraft:black_terracotta minecraft:stonecutting quark:black_shingles zeta:flag
quark:building/stonecutting/blue_shingles_stonecutter2 | minecraft:stonecutting | minecraft:blue_terracotta minecraft:stonecutting quark:blue_shingles zeta:flag
quark:building/stonecutting/brown_shingles_stonecutter2 | minecraft:stonecutting | minecraft:brown_terracotta minecraft:stonecutting quark:brown_shingles zeta:flag
quark:building/stonecutting/carved_mud_bricks_stonecutter | minecraft:stonecutting | minecraft:mud_bricks minecraft:stonecutting quark:carved_mud_bricks zeta:flag
quark:building/stonecutting/chiseled_soul_sandstone_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:chiseled_soul_sandstone quark:soul_sandstone zeta:flag
quark:building/stonecutting/cobblestone_bricks_stonecutter | minecraft:stonecutting | minecraft:cobblestone minecraft:stonecutting quark:cobblestone_bricks zeta:flag
quark:building/stonecutting/cut_soul_sandstone_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:cut_soul_sandstone quark:soul_sandstone zeta:flag
quark:building/stonecutting/cyan_shingles_stonecutter2 | minecraft:stonecutting | minecraft:cyan_terracotta minecraft:stonecutting quark:cyan_shingles zeta:flag
quark:building/stonecutting/gray_shingles_stonecutter2 | minecraft:stonecutting | minecraft:gray_terracotta minecraft:stonecutting quark:gray_shingles zeta:flag
quark:building/stonecutting/green_shingles_stonecutter2 | minecraft:stonecutting | minecraft:green_terracotta minecraft:stonecutting quark:green_shingles zeta:flag
quark:building/stonecutting/iron_pillar_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:iron_pillar quark:iron_plate zeta:flag
quark:building/stonecutting/light_blue_shingles_stonecutter2 | minecraft:stonecutting | minecraft:light_blue_terracotta minecraft:stonecutting quark:light_blue_shingles zeta:flag
quark:building/stonecutting/light_gray_shingles_stonecutter2 | minecraft:stonecutting | minecraft:light_gray_terracotta minecraft:stonecutting quark:light_gray_shingles zeta:flag
quark:building/stonecutting/lime_shingles_stonecutter2 | minecraft:stonecutting | minecraft:lime_terracotta minecraft:stonecutting quark:lime_shingles zeta:flag
quark:building/stonecutting/magenta_shingles_stonecutter2 | minecraft:stonecutting | minecraft:magenta_terracotta minecraft:stonecutting quark:magenta_shingles zeta:flag
quark:building/stonecutting/midori_pillar_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:midori_block quark:midori_pillar zeta:flag
quark:building/stonecutting/mossy_cobblestone_bricks_stonecutter | minecraft:stonecutting | minecraft:mossy_cobblestone minecraft:stonecutting quark:mossy_cobblestone_bricks zeta:flag
quark:building/stonecutting/mud_brick_lattice_stonecutter | minecraft:stonecutting | minecraft:mud_bricks minecraft:stonecutting quark:mud_brick_lattice zeta:flag
quark:building/stonecutting/mud_pillar_stonecutter | minecraft:stonecutting | minecraft:mud_bricks minecraft:stonecutting quark:mud_pillar zeta:flag
quark:building/stonecutting/orange_shingles_stonecutter2 | minecraft:stonecutting | minecraft:orange_terracotta minecraft:stonecutting quark:orange_shingles zeta:flag
quark:building/stonecutting/pink_shingles_stonecutter2 | minecraft:stonecutting | minecraft:pink_terracotta minecraft:stonecutting quark:pink_shingles zeta:flag
quark:building/stonecutting/purple_shingles_stonecutter2 | minecraft:stonecutting | minecraft:purple_terracotta minecraft:stonecutting quark:purple_shingles zeta:flag
quark:building/stonecutting/red_sandstone_bricks_cut_stonecutter | minecraft:stonecutting | minecraft:cut_red_sandstone minecraft:stonecutting quark:red_sandstone_bricks zeta:flag
quark:building/stonecutting/red_sandstone_bricks_stonecutter | minecraft:stonecutting | minecraft:red_sandstone minecraft:stonecutting quark:red_sandstone_bricks zeta:flag
quark:building/stonecutting/red_shingles_stonecutter2 | minecraft:stonecutting | minecraft:red_terracotta minecraft:stonecutting quark:red_shingles zeta:flag
quark:building/stonecutting/sandstone_bricks_cut_stonecutter | minecraft:stonecutting | minecraft:cut_sandstone minecraft:stonecutting quark:sandstone_bricks zeta:flag
quark:building/stonecutting/sandstone_bricks_stonecutter | minecraft:stonecutting | minecraft:sandstone minecraft:stonecutting quark:sandstone_bricks zeta:flag
quark:building/stonecutting/shingles_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:terracotta quark:shingles zeta:flag
quark:building/stonecutting/slabs/black_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:black_shingles quark:black_shingles_slab zeta:flag
quark:building/stonecutting/slabs/black_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:black_terracotta minecraft:stonecutting quark:black_shingles_slab zeta:flag
quark:building/stonecutting/slabs/blackstone_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:blackstone_bricks quark:blackstone_bricks_slab zeta:flag
quark:building/stonecutting/slabs/blue_nether_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:blue_nether_bricks quark:blue_nether_bricks_slab zeta:flag
quark:building/stonecutting/slabs/blue_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:blue_shingles quark:blue_shingles_slab zeta:flag
quark:building/stonecutting/slabs/blue_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:blue_terracotta minecraft:stonecutting quark:blue_shingles_slab zeta:flag
quark:building/stonecutting/slabs/brown_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:brown_shingles quark:brown_shingles_slab zeta:flag
quark:building/stonecutting/slabs/brown_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:brown_terracotta minecraft:stonecutting quark:brown_shingles_slab zeta:flag
quark:building/stonecutting/slabs/cobblestone_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:cobblestone_bricks quark:cobblestone_bricks_slab zeta:flag
quark:building/stonecutting/slabs/cut_soul_sandstone_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:cut_soul_sandstone quark:cut_soul_sandstone_slab zeta:flag
quark:building/stonecutting/slabs/cut_soul_sandstone_slab_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting quark:cut_soul_sandstone_slab quark:soul_sandstone zeta:flag
quark:building/stonecutting/slabs/cyan_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:cyan_shingles quark:cyan_shingles_slab zeta:flag
quark:building/stonecutting/slabs/cyan_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:cyan_terracotta minecraft:stonecutting quark:cyan_shingles_slab zeta:flag
quark:building/stonecutting/slabs/dripstone_block_slab_stonecutter | minecraft:stonecutting | minecraft:dripstone_block minecraft:stonecutting quark:dripstone_block_slab zeta:flag
quark:building/stonecutting/slabs/dripstone_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:dripstone_bricks quark:dripstone_bricks_slab zeta:flag
quark:building/stonecutting/slabs/duskbound_block_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:duskbound_block quark:duskbound_block_slab zeta:flag
quark:building/stonecutting/slabs/gray_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:gray_shingles quark:gray_shingles_slab zeta:flag
quark:building/stonecutting/slabs/gray_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:gray_terracotta minecraft:stonecutting quark:gray_shingles_slab zeta:flag
quark:building/stonecutting/slabs/green_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:green_shingles quark:green_shingles_slab zeta:flag
quark:building/stonecutting/slabs/green_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:green_terracotta minecraft:stonecutting quark:green_shingles_slab zeta:flag
quark:building/stonecutting/slabs/iron_plate_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:iron_plate quark:iron_plate_slab zeta:flag
quark:building/stonecutting/slabs/light_blue_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:light_blue_shingles quark:light_blue_shingles_slab zeta:flag
quark:building/stonecutting/slabs/light_blue_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:light_blue_terracotta minecraft:stonecutting quark:light_blue_shingles_slab zeta:flag
quark:building/stonecutting/slabs/light_gray_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:light_gray_shingles quark:light_gray_shingles_slab zeta:flag
quark:building/stonecutting/slabs/light_gray_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:light_gray_terracotta minecraft:stonecutting quark:light_gray_shingles_slab zeta:flag
quark:building/stonecutting/slabs/lime_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:lime_shingles quark:lime_shingles_slab zeta:flag
quark:building/stonecutting/slabs/lime_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:lime_terracotta minecraft:stonecutting quark:lime_shingles_slab zeta:flag
quark:building/stonecutting/slabs/magenta_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:magenta_shingles quark:magenta_shingles_slab zeta:flag
quark:building/stonecutting/slabs/magenta_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:magenta_terracotta minecraft:stonecutting quark:magenta_shingles_slab zeta:flag
quark:building/stonecutting/slabs/midori_block_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:midori_block quark:midori_block_slab zeta:flag
quark:building/stonecutting/slabs/mossy_cobblestone_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:mossy_cobblestone_bricks quark:mossy_cobblestone_bricks_slab zeta:flag
quark:building/stonecutting/slabs/netherrack_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:netherrack_bricks quark:netherrack_bricks_slab zeta:flag
quark:building/stonecutting/slabs/orange_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:orange_shingles quark:orange_shingles_slab zeta:flag
quark:building/stonecutting/slabs/orange_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:orange_terracotta minecraft:stonecutting quark:orange_shingles_slab zeta:flag
quark:building/stonecutting/slabs/pink_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:pink_shingles quark:pink_shingles_slab zeta:flag
quark:building/stonecutting/slabs/pink_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:pink_terracotta minecraft:stonecutting quark:pink_shingles_slab zeta:flag
quark:building/stonecutting/slabs/polished_dripstone_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:polished_dripstone quark:polished_dripstone_slab zeta:flag
quark:building/stonecutting/slabs/purple_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:purple_shingles quark:purple_shingles_slab zeta:flag
quark:building/stonecutting/slabs/purple_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:purple_terracotta minecraft:stonecutting quark:purple_shingles_slab zeta:flag
quark:building/stonecutting/slabs/raw_copper_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_copper_bricks quark:raw_copper_bricks_slab zeta:flag
quark:building/stonecutting/slabs/raw_gold_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_gold_bricks quark:raw_gold_bricks_slab zeta:flag
quark:building/stonecutting/slabs/raw_iron_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_iron_bricks quark:raw_iron_bricks_slab zeta:flag
quark:building/stonecutting/slabs/red_sandstone_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:red_sandstone_bricks quark:red_sandstone_bricks_slab zeta:flag
quark:building/stonecutting/slabs/red_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:red_shingles quark:red_shingles_slab zeta:flag
quark:building/stonecutting/slabs/red_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:red_terracotta minecraft:stonecutting quark:red_shingles_slab zeta:flag
quark:building/stonecutting/slabs/rusty_iron_plate_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:rusty_iron_plate quark:rusty_iron_plate_slab zeta:flag
quark:building/stonecutting/slabs/sandstone_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:sandstone_bricks quark:sandstone_bricks_slab zeta:flag
quark:building/stonecutting/slabs/shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:shingles quark:shingles_slab zeta:flag
quark:building/stonecutting/slabs/shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:terracotta quark:shingles_slab zeta:flag
quark:building/stonecutting/slabs/smooth_soul_sandstone_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:smooth_soul_sandstone quark:smooth_soul_sandstone_slab zeta:flag
quark:building/stonecutting/slabs/soul_sandstone_bricks_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:soul_sandstone_bricks quark:soul_sandstone_bricks_slab zeta:flag
quark:building/stonecutting/slabs/soul_sandstone_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:soul_sandstone quark:soul_sandstone_slab zeta:flag
quark:building/stonecutting/slabs/white_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:white_shingles quark:white_shingles_slab zeta:flag
quark:building/stonecutting/slabs/white_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:white_terracotta quark:white_shingles_slab zeta:flag
quark:building/stonecutting/slabs/yellow_shingles_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:yellow_shingles quark:yellow_shingles_slab zeta:flag
quark:building/stonecutting/slabs/yellow_shingles_slab_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:yellow_terracotta quark:yellow_shingles_slab zeta:flag
quark:building/stonecutting/soul_sandstone_bricks_cut_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:cut_soul_sandstone quark:soul_sandstone_bricks zeta:flag
quark:building/stonecutting/soul_sandstone_bricks_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:soul_sandstone quark:soul_sandstone_bricks zeta:flag
quark:building/stonecutting/stairs/black_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:black_shingles quark:black_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/black_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:black_terracotta minecraft:stonecutting quark:black_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/blackstone_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:blackstone_bricks quark:blackstone_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/blue_nether_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:blue_nether_bricks quark:blue_nether_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/blue_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:blue_shingles quark:blue_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/blue_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:blue_terracotta minecraft:stonecutting quark:blue_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/brown_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:brown_shingles quark:brown_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/brown_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:brown_terracotta minecraft:stonecutting quark:brown_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/cobblestone_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:cobblestone_bricks quark:cobblestone_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/cyan_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:cyan_shingles quark:cyan_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/cyan_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:cyan_terracotta minecraft:stonecutting quark:cyan_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/dripstone_block_stairs_stonecutter | minecraft:stonecutting | minecraft:dripstone_block minecraft:stonecutting quark:dripstone_block_stairs zeta:flag
quark:building/stonecutting/stairs/dripstone_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:dripstone_bricks quark:dripstone_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/duskbound_block_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:duskbound_block quark:duskbound_block_stairs zeta:flag
quark:building/stonecutting/stairs/gray_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:gray_shingles quark:gray_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/gray_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:gray_terracotta minecraft:stonecutting quark:gray_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/green_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:green_shingles quark:green_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/green_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:green_terracotta minecraft:stonecutting quark:green_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/iron_plate_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:iron_plate quark:iron_plate_stairs zeta:flag
quark:building/stonecutting/stairs/light_blue_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:light_blue_shingles quark:light_blue_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/light_blue_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:light_blue_terracotta minecraft:stonecutting quark:light_blue_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/light_gray_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:light_gray_shingles quark:light_gray_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/light_gray_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:light_gray_terracotta minecraft:stonecutting quark:light_gray_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/lime_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:lime_shingles quark:lime_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/lime_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:lime_terracotta minecraft:stonecutting quark:lime_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/magenta_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:magenta_shingles quark:magenta_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/magenta_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:magenta_terracotta minecraft:stonecutting quark:magenta_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/midori_block_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:midori_block quark:midori_block_stairs zeta:flag
quark:building/stonecutting/stairs/mossy_cobblestone_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:mossy_cobblestone_bricks quark:mossy_cobblestone_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/netherrack_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:netherrack_bricks quark:netherrack_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/orange_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:orange_shingles quark:orange_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/orange_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:orange_terracotta minecraft:stonecutting quark:orange_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/pink_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:pink_shingles quark:pink_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/pink_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:pink_terracotta minecraft:stonecutting quark:pink_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/polished_dripstone_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:polished_dripstone quark:polished_dripstone_stairs zeta:flag
quark:building/stonecutting/stairs/purple_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:purple_shingles quark:purple_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/purple_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:purple_terracotta minecraft:stonecutting quark:purple_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/raw_copper_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_copper_bricks quark:raw_copper_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/raw_gold_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_gold_bricks quark:raw_gold_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/raw_iron_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_iron_bricks quark:raw_iron_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/red_sandstone_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:red_sandstone_bricks quark:red_sandstone_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/red_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:red_shingles quark:red_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/red_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:red_terracotta minecraft:stonecutting quark:red_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/rusty_iron_plate_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:rusty_iron_plate quark:rusty_iron_plate_stairs zeta:flag
quark:building/stonecutting/stairs/sandstone_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:sandstone_bricks quark:sandstone_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:shingles quark:shingles_stairs zeta:flag
quark:building/stonecutting/stairs/shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:terracotta quark:shingles_stairs zeta:flag
quark:building/stonecutting/stairs/smooth_soul_sandstone_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:smooth_soul_sandstone quark:smooth_soul_sandstone_stairs zeta:flag
quark:building/stonecutting/stairs/soul_sandstone_bricks_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:soul_sandstone_bricks quark:soul_sandstone_bricks_stairs zeta:flag
quark:building/stonecutting/stairs/soul_sandstone_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:soul_sandstone quark:soul_sandstone_stairs zeta:flag
quark:building/stonecutting/stairs/white_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:white_shingles quark:white_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/white_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:white_terracotta quark:white_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/yellow_shingles_stairs_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:yellow_shingles quark:yellow_shingles_stairs zeta:flag
quark:building/stonecutting/stairs/yellow_shingles_stairs_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:yellow_terracotta quark:yellow_shingles_stairs zeta:flag
quark:building/stonecutting/stonevariants/andesite_bricks_polished_stonecutting | minecraft:stonecutting | minecraft:polished_andesite minecraft:stonecutting neoforge:and quark:andesite_bricks zeta:flag
quark:building/stonecutting/stonevariants/andesite_bricks_slab_polished_stonecutting | minecraft:stonecutting | minecraft:polished_andesite minecraft:stonecutting neoforge:and quark:andesite_bricks_slab zeta:flag
quark:building/stonecutting/stonevariants/andesite_bricks_slab_rough_stonecutting | minecraft:stonecutting | minecraft:andesite minecraft:stonecutting neoforge:and quark:andesite_bricks_slab zeta:flag
quark:building/stonecutting/stonevariants/andesite_bricks_stairs_polished_stonecutting | minecraft:stonecutting | minecraft:polished_andesite minecraft:stonecutting neoforge:and quark:andesite_bricks_stairs zeta:flag
quark:building/stonecutting/stonevariants/andesite_bricks_stairs_rough_stonecutting | minecraft:stonecutting | minecraft:andesite minecraft:stonecutting neoforge:and quark:andesite_bricks_stairs zeta:flag
quark:building/stonecutting/stonevariants/andesite_bricks_stonecutter | minecraft:stonecutting | minecraft:andesite minecraft:stonecutting neoforge:and quark:andesite_bricks zeta:flag
quark:building/stonecutting/stonevariants/andesite_bricks_vertical_slab_polished_stonecutting | minecraft:stonecutting | minecraft:polished_andesite minecraft:stonecutting neoforge:and quark:andesite_bricks_vertical_slab zeta:flag
quark:building/stonecutting/stonevariants/andesite_bricks_vertical_slab_rough_stonecutting | minecraft:stonecutting | minecraft:andesite minecraft:stonecutting neoforge:and quark:andesite_bricks_vertical_slab zeta:flag
quark:building/stonecutting/stonevariants/andesite_bricks_wall_polished_stonecutting | minecraft:stonecutting | minecraft:polished_andesite minecraft:stonecutting neoforge:and quark:andesite_bricks_wall zeta:flag
quark:building/stonecutting/stonevariants/andesite_bricks_wall_rough_stonecutting | minecraft:stonecutting | minecraft:andesite minecraft:stonecutting neoforge:and quark:andesite_bricks_wall zeta:flag
quark:building/stonecutting/stonevariants/andesite_pillar_stonecutter | minecraft:stonecutting | minecraft:andesite minecraft:stonecutting neoforge:and quark:andesite_pillar zeta:flag
quark:building/stonecutting/stonevariants/calcite_bricks_polished_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:calcite_bricks quark:polished_calcite zeta:flag
quark:building/stonecutting/stonevariants/calcite_bricks_slab_polished_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:calcite_bricks_slab quark:polished_calcite zeta:flag
quark:building/stonecutting/stonevariants/calcite_bricks_slab_rough_stonecutting | minecraft:stonecutting | minecraft:calcite minecraft:stonecutting neoforge:and quark:calcite_bricks_slab zeta:flag
quark:building/stonecutting/stonevariants/calcite_bricks_stairs_polished_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:calcite_bricks_stairs quark:polished_calcite zeta:flag
quark:building/stonecutting/stonevariants/calcite_bricks_stairs_rough_stonecutting | minecraft:stonecutting | minecraft:calcite minecraft:stonecutting neoforge:and quark:calcite_bricks_stairs zeta:flag
quark:building/stonecutting/stonevariants/calcite_bricks_stonecutter | minecraft:stonecutting | minecraft:calcite minecraft:stonecutting neoforge:and quark:calcite_bricks zeta:flag
quark:building/stonecutting/stonevariants/calcite_bricks_vertical_slab_polished_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:calcite_bricks_vertical_slab quark:polished_calcite zeta:flag
quark:building/stonecutting/stonevariants/calcite_bricks_vertical_slab_rough_stonecutting | minecraft:stonecutting | minecraft:calcite minecraft:stonecutting neoforge:and quark:calcite_bricks_vertical_slab zeta:flag
quark:building/stonecutting/stonevariants/calcite_bricks_wall_polished_stonecutting | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:calcite_bricks_wall quark:polished_calcite zeta:flag
