deeperdarker:ancient_compass | minecraft:crafting_shaped | deeperdarker:ancient_compass deeperdarker:warden_carapace minecraft:compass minecraft:crafting_shaped
deeperdarker:redstone_from_smelting_sculk_stone_redstone_ore | minecraft:smelting | deeperdarker:sculk_stone_redstone_ore minecraft:redstone minecraft:smelting
deeperdarker:reinforced_echo_shard | minecraft:crafting_shaped | deeperdarker:reinforced_echo_shard deeperdarker:warden_carapace minecraft:crafting_shaped minecraft:echo_shard minecraft:phantom_membrane
deeperdarker:resonarium_axe_smithing | minecraft:smithing_transform | deeperdarker:resonarium_axe deeperdarker:resonarium_plate deeperdarker:resonarium_upgrade_smithing_template minecraft:diamond_axe minecraft:smithing_transform
deeperdarker:resonarium_boots_smithing | minecraft:smithing_transform | deeperdarker:resonarium_boots deeperdarker:resonarium_plate deeperdarker:resonarium_upgrade_smithing_template minecraft:diamond_boots minecraft:smithing_transform
deeperdarker:resonarium_chestplate_smithing | minecraft:smithing_transform | deeperdarker:resonarium_chestplate deeperdarker:resonarium_plate deeperdarker:resonarium_upgrade_smithing_template minecraft:diamond_chestplate minecraft:smithing_transform
deeperdarker:resonarium_helmet_smithing | minecraft:smithing_transform | deeperdarker:resonarium_helmet deeperdarker:resonarium_plate deeperdarker:resonarium_upgrade_smithing_template minecraft:diamond_helmet minecraft:smithing_transform
deeperdarker:resonarium_hoe_smithing | minecraft:smithing_transform | deeperdarker:resonarium_hoe deeperdarker:resonarium_plate deeperdarker:resonarium_upgrade_smithing_template minecraft:diamond_hoe minecraft:smithing_transform
deeperdarker:resonarium_leggings_smithing | minecraft:smithing_transform | deeperdarker:resonarium_leggings deeperdarker:resonarium_plate deeperdarker:resonarium_upgrade_smithing_template minecraft:diamond_leggings minecraft:smithing_transform
deeperdarker:resonarium_pickaxe_smithing | minecraft:smithing_transform | deeperdarker:resonarium_pickaxe deeperdarker:resonarium_plate deeperdarker:resonarium_upgrade_smithing_template minecraft:diamond_pickaxe minecraft:smithing_transform
deeperdarker:resonarium_plate | minecraft:crafting_shapeless | deeperdarker:resonarium deeperdarker:resonarium_plate deeperdarker:scutes minecraft:crafting_shapeless
deeperdarker:resonarium_shovel_smithing | minecraft:smithing_transform | deeperdarker:resonarium_plate deeperdarker:resonarium_shovel deeperdarker:resonarium_upgrade_smithing_template minecraft:diamond_shovel minecraft:smithing_transform
deeperdarker:resonarium_sword_smithing | minecraft:smithing_transform | deeperdarker:resonarium_plate deeperdarker:resonarium_sword deeperdarker:resonarium_upgrade_smithing_template minecraft:diamond_sword minecraft:smithing_transform
deeperdarker:resonarium_upgrade_smithing_template | minecraft:crafting_shaped | deeperdarker:resonarium deeperdarker:resonarium_upgrade_smithing_template minecraft:crafting_shaped minecraft:diamond
deeperdarker:sculk_grime | minecraft:crafting_shaped | deeperdarker:grime_ball deeperdarker:sculk_grime minecraft:crafting_shaped
deeperdarker:sculk_grime_brick_slab | minecraft:crafting_shaped | deeperdarker:sculk_grime_brick_slab deeperdarker:sculk_grime_bricks minecraft:crafting_shaped
deeperdarker:sculk_grime_brick_slab_from_sculk_grime_bricks_stonecutting | minecraft:stonecutting | deeperdarker:sculk_grime_brick_slab deeperdarker:sculk_grime_bricks minecraft:stonecutting
deeperdarker:sculk_grime_brick_stairs | minecraft:crafting_shaped | deeperdarker:sculk_grime_brick_stairs deeperdarker:sculk_grime_bricks minecraft:crafting_shaped
deeperdarker:sculk_grime_brick_stairs_from_sculk_grime_bricks_stonecutting | minecraft:stonecutting | deeperdarker:sculk_grime_brick_stairs deeperdarker:sculk_grime_bricks minecraft:stonecutting
deeperdarker:sculk_grime_brick_wall | minecraft:crafting_shaped | deeperdarker:sculk_grime_brick_wall deeperdarker:sculk_grime_bricks minecraft:crafting_shaped
deeperdarker:sculk_grime_brick_wall_from_sculk_grime_bricks_stonecutting | minecraft:stonecutting | deeperdarker:sculk_grime_brick_wall deeperdarker:sculk_grime_bricks minecraft:stonecutting
deeperdarker:sculk_grime_bricks | minecraft:crafting_shaped | deeperdarker:grime_brick deeperdarker:sculk_grime_bricks minecraft:crafting_shaped
deeperdarker:sculk_stone | minecraft:smelting | deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone minecraft:smelting
deeperdarker:sculk_stone_brick_slab | minecraft:crafting_shaped | deeperdarker:sculk_stone_brick_slab deeperdarker:sculk_stone_bricks minecraft:crafting_shaped
deeperdarker:sculk_stone_brick_slab_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone_brick_slab minecraft:stonecutting
deeperdarker:sculk_stone_brick_slab_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:sculk_stone_brick_slab minecraft:stonecutting
deeperdarker:sculk_stone_brick_slab_from_sculk_stone_bricks_stonecutting | minecraft:stonecutting | deeperdarker:sculk_stone_brick_slab deeperdarker:sculk_stone_bricks minecraft:stonecutting
deeperdarker:sculk_stone_brick_stairs | minecraft:crafting_shaped | deeperdarker:sculk_stone_brick_stairs deeperdarker:sculk_stone_bricks minecraft:crafting_shaped
deeperdarker:sculk_stone_brick_stairs_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone_brick_stairs minecraft:stonecutting
deeperdarker:sculk_stone_brick_stairs_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:sculk_stone_brick_stairs minecraft:stonecutting
deeperdarker:sculk_stone_brick_stairs_from_sculk_stone_bricks_stonecutting | minecraft:stonecutting | deeperdarker:sculk_stone_brick_stairs deeperdarker:sculk_stone_bricks minecraft:stonecutting
deeperdarker:sculk_stone_brick_wall | minecraft:crafting_shaped | deeperdarker:sculk_stone_brick_wall deeperdarker:sculk_stone_bricks minecraft:crafting_shaped
deeperdarker:sculk_stone_brick_wall_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone_brick_wall minecraft:stonecutting
deeperdarker:sculk_stone_brick_wall_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:sculk_stone_brick_wall minecraft:stonecutting
deeperdarker:sculk_stone_brick_wall_from_sculk_stone_bricks_stonecutting | minecraft:stonecutting | deeperdarker:sculk_stone_brick_wall deeperdarker:sculk_stone_bricks minecraft:stonecutting
deeperdarker:sculk_stone_bricks | minecraft:crafting_shaped | deeperdarker:polished_sculk_stone deeperdarker:sculk_stone_bricks minecraft:crafting_shaped
deeperdarker:sculk_stone_bricks_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone_bricks minecraft:stonecutting
deeperdarker:sculk_stone_bricks_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:sculk_stone_bricks minecraft:stonecutting
deeperdarker:sculk_stone_slab | minecraft:crafting_shaped | deeperdarker:sculk_stone deeperdarker:sculk_stone_slab minecraft:crafting_shaped
deeperdarker:sculk_stone_slab_from_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:sculk_stone deeperdarker:sculk_stone_slab minecraft:stonecutting
deeperdarker:sculk_stone_stairs | minecraft:crafting_shaped | deeperdarker:sculk_stone deeperdarker:sculk_stone_stairs minecraft:crafting_shaped
deeperdarker:sculk_stone_stairs_from_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:sculk_stone deeperdarker:sculk_stone_stairs minecraft:stonecutting
deeperdarker:sculk_stone_tile_slab | minecraft:crafting_shaped | deeperdarker:sculk_stone_tile_slab deeperdarker:sculk_stone_tiles minecraft:crafting_shaped
deeperdarker:sculk_stone_tile_slab_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone_tile_slab minecraft:stonecutting
deeperdarker:sculk_stone_tile_slab_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:sculk_stone_tile_slab minecraft:stonecutting
deeperdarker:sculk_stone_tile_slab_from_sculk_stone_tiles_stonecutting | minecraft:stonecutting | deeperdarker:sculk_stone_tile_slab deeperdarker:sculk_stone_tiles minecraft:stonecutting
deeperdarker:sculk_stone_tile_stairs | minecraft:crafting_shaped | deeperdarker:sculk_stone_tile_stairs deeperdarker:sculk_stone_tiles minecraft:crafting_shaped
deeperdarker:sculk_stone_tile_stairs_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone_tile_stairs minecraft:stonecutting
deeperdarker:sculk_stone_tile_stairs_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:sculk_stone_tile_stairs minecraft:stonecutting
deeperdarker:sculk_stone_tile_stairs_from_sculk_stone_tiles_stonecutting | minecraft:stonecutting | deeperdarker:sculk_stone_tile_stairs deeperdarker:sculk_stone_tiles minecraft:stonecutting
deeperdarker:sculk_stone_tile_wall | minecraft:crafting_shaped | deeperdarker:sculk_stone_tile_wall deeperdarker:sculk_stone_tiles minecraft:crafting_shaped
deeperdarker:sculk_stone_tile_wall_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone_tile_wall minecraft:stonecutting
deeperdarker:sculk_stone_tile_wall_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:sculk_stone_tile_wall minecraft:stonecutting
deeperdarker:sculk_stone_tile_wall_from_sculk_stone_tiles_stonecutting | minecraft:stonecutting | deeperdarker:sculk_stone_tile_wall deeperdarker:sculk_stone_tiles minecraft:stonecutting
deeperdarker:sculk_stone_tiles | minecraft:crafting_shaped | deeperdarker:sculk_stone_bricks deeperdarker:sculk_stone_tiles minecraft:crafting_shaped
deeperdarker:sculk_stone_tiles_from_cobbled_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:cobbled_sculk_stone deeperdarker:sculk_stone_tiles minecraft:stonecutting
deeperdarker:sculk_stone_tiles_from_polished_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:polished_sculk_stone deeperdarker:sculk_stone_tiles minecraft:stonecutting
deeperdarker:sculk_stone_wall | minecraft:crafting_shaped | deeperdarker:sculk_stone deeperdarker:sculk_stone_wall minecraft:crafting_shaped
deeperdarker:sculk_stone_wall_from_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:sculk_stone deeperdarker:sculk_stone_wall minecraft:stonecutting
deeperdarker:sculk_transmitter_coloring | deeperdarker:sculk_transmitter_coloring | deeperdarker:sculk_transmitter_coloring
deeperdarker:smooth_gloomslate | minecraft:smelting | deeperdarker:gloomslate deeperdarker:smooth_gloomslate minecraft:smelting
deeperdarker:smooth_gloomslate_slab | minecraft:crafting_shaped | deeperdarker:smooth_gloomslate deeperdarker:smooth_gloomslate_slab minecraft:crafting_shaped
deeperdarker:smooth_gloomslate_slab_from_smooth_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:smooth_gloomslate deeperdarker:smooth_gloomslate_slab minecraft:stonecutting
deeperdarker:smooth_gloomslate_stairs | minecraft:crafting_shaped | deeperdarker:smooth_gloomslate deeperdarker:smooth_gloomslate_stairs minecraft:crafting_shaped
deeperdarker:smooth_gloomslate_stairs_from_smooth_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:smooth_gloomslate deeperdarker:smooth_gloomslate_stairs minecraft:stonecutting
deeperdarker:smooth_gloomslate_wall | minecraft:crafting_shaped | deeperdarker:smooth_gloomslate deeperdarker:smooth_gloomslate_wall minecraft:crafting_shaped
deeperdarker:smooth_gloomslate_wall_from_smooth_gloomslate_stonecutting | minecraft:stonecutting | deeperdarker:smooth_gloomslate deeperdarker:smooth_gloomslate_wall minecraft:stonecutting
deeperdarker:smooth_sculk_stone | minecraft:smelting | deeperdarker:sculk_stone deeperdarker:smooth_sculk_stone minecraft:smelting
deeperdarker:smooth_sculk_stone_slab | minecraft:crafting_shaped | deeperdarker:smooth_sculk_stone deeperdarker:smooth_sculk_stone_slab minecraft:crafting_shaped
deeperdarker:smooth_sculk_stone_slab_from_smooth_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:smooth_sculk_stone deeperdarker:smooth_sculk_stone_slab minecraft:stonecutting
deeperdarker:smooth_sculk_stone_stairs | minecraft:crafting_shaped | deeperdarker:smooth_sculk_stone deeperdarker:smooth_sculk_stone_stairs minecraft:crafting_shaped
deeperdarker:smooth_sculk_stone_stairs_from_smooth_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:smooth_sculk_stone deeperdarker:smooth_sculk_stone_stairs minecraft:stonecutting
deeperdarker:smooth_sculk_stone_wall | minecraft:crafting_shaped | deeperdarker:smooth_sculk_stone deeperdarker:smooth_sculk_stone_wall minecraft:crafting_shaped
deeperdarker:smooth_sculk_stone_wall_from_smooth_sculk_stone_stonecutting | minecraft:stonecutting | deeperdarker:smooth_sculk_stone deeperdarker:smooth_sculk_stone_wall minecraft:stonecutting
deeperdarker:sonorous_staff | minecraft:crafting_shaped | deeperdarker:heart_of_the_deep deeperdarker:sculk_bone deeperdarker:sonorous_staff deeperdarker:soul_crystal minecraft:crafting_shaped
deeperdarker:soul_elytra | minecraft:crafting_shaped | deeperdarker:sculk_bone deeperdarker:soul_crystal deeperdarker:soul_dust deeperdarker:soul_elytra minecraft:crafting_shaped minecraft:elytra
deeperdarker:soundproof_glass | minecraft:crafting_shaped | deeperdarker:soul_dust deeperdarker:soundproof_glass minecraft:crafting_shaped minecraft:glass
deeperdarker:stripped_echo_wood | minecraft:crafting_shaped | deeperdarker:stripped_echo_log deeperdarker:stripped_echo_wood minecraft:crafting_shaped
deeperdarker:warden_axe_smithing | minecraft:smithing_transform | deeperdarker:reinforced_echo_shard deeperdarker:warden_axe deeperdarker:warden_upgrade_smithing_template minecraft:netherite_axe minecraft:smithing_transform
deeperdarker:warden_boots_smithing | minecraft:smithing_transform | deeperdarker:reinforced_echo_shard deeperdarker:warden_boots deeperdarker:warden_upgrade_smithing_template minecraft:netherite_boots minecraft:smithing_transform
deeperdarker:warden_chestplate_smithing | minecraft:smithing_transform | deeperdarker:reinforced_echo_shard deeperdarker:warden_chestplate deeperdarker:warden_upgrade_smithing_template minecraft:netherite_chestplate minecraft:smithing_transform
deeperdarker:warden_helmet_smithing | minecraft:smithing_transform | deeperdarker:reinforced_echo_shard deeperdarker:warden_helmet deeperdarker:warden_upgrade_smithing_template minecraft:netherite_helmet minecraft:smithing_transform
deeperdarker:warden_hoe_smithing | minecraft:smithing_transform | deeperdarker:reinforced_echo_shard deeperdarker:warden_hoe deeperdarker:warden_upgrade_smithing_template minecraft:netherite_hoe minecraft:smithing_transform
deeperdarker:warden_leggings_smithing | minecraft:smithing_transform | deeperdarker:reinforced_echo_shard deeperdarker:warden_leggings deeperdarker:warden_upgrade_smithing_template minecraft:netherite_leggings minecraft:smithing_transform
deeperdarker:warden_pickaxe_smithing | minecraft:smithing_transform | deeperdarker:reinforced_echo_shard deeperdarker:warden_pickaxe deeperdarker:warden_upgrade_smithing_template minecraft:netherite_pickaxe minecraft:smithing_transform
deeperdarker:warden_shovel_smithing | minecraft:smithing_transform | deeperdarker:reinforced_echo_shard deeperdarker:warden_shovel deeperdarker:warden_upgrade_smithing_template minecraft:netherite_shovel minecraft:smithing_transform
deeperdarker:warden_sword_smithing | minecraft:smithing_transform | deeperdarker:reinforced_echo_shard deeperdarker:warden_sword deeperdarker:warden_upgrade_smithing_template minecraft:netherite_sword minecraft:smithing_transform
deeperdarker:warden_upgrade_smithing_template | minecraft:crafting_shaped | deeperdarker:warden_upgrade_smithing_template minecraft:crafting_shaped minecraft:diamond minecraft:sculk
minecraft:orange_dye | minecraft:smelting | deeperdarker:gloomy_cactus minecraft:orange_dye minecraft:smelting
