smokeleafindustries:afghani_bag | minecraft:crafting_shaped | minecraft:crafting_shaped smokeleafindustries:afghani_bag smokeleafindustries:afghani_weed smokeleafindustries:empty_bag
smokeleafindustries:smokeleaf_guide_recipe_shapeless | minecraft:crafting_shapeless | minecraft:book minecraft:crafting_shapeless patchouli:guide_book smokeleafindustries:hemp_leaf smokeleafindustries:smokeleaf_guide
smokeleafindustries:sour_diesel_bag | minecraft:crafting_shaped | minecraft:crafting_shaped smokeleafindustries:empty_bag smokeleafindustries:sour_diesel_bag smokeleafindustries:sour_diesel_weed
smokeleafindustries:sour_diesel_weed | minecraft:crafting_shapeless | minecraft:crafting_shapeless smokeleafindustries:sour_diesel_bag smokeleafindustries:sour_diesel_weed
smokeleafindustries:stonecutting/hemp_bricks_from_hemp_stone | minecraft:stonecutting | minecraft:stonecutting smokeleafindustries:hemp_bricks smokeleafindustries:hemp_stone
smokeleafindustries:stonecutting/hemp_chiseled_stone_from_hemp_bricks | minecraft:stonecutting | minecraft:stonecutting smokeleafindustries:hemp_bricks smokeleafindustries:hemp_chiseled_stone
smokeleafindustries:stonecutting/hemp_chiseled_stone_from_hemp_stone | minecraft:stonecutting | minecraft:stonecutting smokeleafindustries:hemp_chiseled_stone smokeleafindustries:hemp_stone
smokeleafindustries:strawberry_shortcake_bag | minecraft:crafting_shaped | minecraft:crafting_shaped smokeleafindustries:empty_bag smokeleafindustries:strawberry_shortcake_bag smokeleafindustries:strawberry_shortcake_weed
smokeleafindustries:strawberry_shortcake_weed | minecraft:crafting_shapeless | minecraft:crafting_shapeless smokeleafindustries:strawberry_shortcake_bag smokeleafindustries:strawberry_shortcake_weed
smokeleafindustries:synthesizer | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond minecraft:iron_block smokeleafindustries:hemp_core smokeleafindustries:hemp_plastic smokeleafindustries:synthesizer
smokeleafindustries:synthesizer/dna_strand_to_filled_dna_strand | smokeleafindustries:synthesizer | smokeleafindustries:dna_strand smokeleafindustries:synthesizer
smokeleafindustries:unfinished_hemp_core | minecraft:crafting_shaped | minecraft:amethyst_shard minecraft:crafting_shaped minecraft:diamond minecraft:glowstone_dust minecraft:redstone smokeleafindustries:unfinished_hemp_core
smokeleafindustries:weed_cookie | minecraft:crafting_shapeless | minecraft:cookie minecraft:crafting_shapeless smokeleafindustries:infused_butter smokeleafindustries:weed_cookie
smokeleafindustries:white_widow_bag | minecraft:crafting_shaped | minecraft:crafting_shaped smokeleafindustries:empty_bag smokeleafindustries:white_widow_bag smokeleafindustries:white_widow_weed
smokeleafindustries:white_widow_weed | minecraft:crafting_shapeless | minecraft:crafting_shapeless smokeleafindustries:white_widow_bag smokeleafindustries:white_widow_weed
smokeleafindustries:wood_ash | minecraft:crafting_shapeless | minecraft:charcoal minecraft:crafting_shapeless minecraft:gray_concrete_powder minecraft:gunpowder smokeleafindustries:wood_ash
smokeleafindustries:worm_castings | minecraft:crafting_shapeless | minecraft:bone_meal minecraft:crafting_shapeless minecraft:dirt minecraft:rotten_flesh smokeleafindustries:compost smokeleafindustries:worm_castings
