create:acacia_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:acacia_window minecraft:acacia_planks minecraft:crafting_shaped
create:deploying/waxed_exposed_chiseled_copper_from_adding_wax | create:deploying | create:deploying minecraft:exposed_chiseled_copper minecraft:honeycomb_block minecraft:waxed_exposed_chiseled_copper
create:deploying/waxed_exposed_copper_bulb_from_adding_wax | create:deploying | create:deploying minecraft:exposed_copper_bulb minecraft:honeycomb_block minecraft:waxed_exposed_copper_bulb
create:deploying/waxed_exposed_copper_door_from_adding_wax | create:deploying | create:deploying minecraft:exposed_copper_door minecraft:honeycomb_block minecraft:waxed_exposed_copper_door
create:deploying/waxed_exposed_copper_from_adding_wax | create:deploying | create:deploying minecraft:exposed_copper minecraft:honeycomb_block minecraft:waxed_exposed_copper
create:deploying/waxed_exposed_copper_grate_from_adding_wax | create:deploying | create:deploying minecraft:exposed_copper_grate minecraft:honeycomb_block minecraft:waxed_exposed_copper_grate
create:deploying/waxed_exposed_copper_shingle_slab_from_adding_wax | create:deploying | create:deploying create:exposed_copper_shingle_slab create:waxed_exposed_copper_shingle_slab minecraft:honeycomb_block
create:deploying/waxed_exposed_copper_shingle_stairs_from_adding_wax | create:deploying | create:deploying create:exposed_copper_shingle_stairs create:waxed_exposed_copper_shingle_stairs minecraft:honeycomb_block
create:deploying/waxed_exposed_copper_shingles_from_adding_wax | create:deploying | create:deploying create:exposed_copper_shingles create:waxed_exposed_copper_shingles minecraft:honeycomb_block
create:deploying/waxed_exposed_copper_tile_slab_from_adding_wax | create:deploying | create:deploying create:exposed_copper_tile_slab create:waxed_exposed_copper_tile_slab minecraft:honeycomb_block
create:deploying/waxed_exposed_copper_tile_stairs_from_adding_wax | create:deploying | create:deploying create:exposed_copper_tile_stairs create:waxed_exposed_copper_tile_stairs minecraft:honeycomb_block
create:deploying/waxed_exposed_copper_tiles_from_adding_wax | create:deploying | create:deploying create:exposed_copper_tiles create:waxed_exposed_copper_tiles minecraft:honeycomb_block
create:deploying/waxed_exposed_copper_trapdoor_from_adding_wax | create:deploying | create:deploying minecraft:exposed_copper_trapdoor minecraft:honeycomb_block minecraft:waxed_exposed_copper_trapdoor
create:deploying/waxed_exposed_cut_copper_from_adding_wax | create:deploying | create:deploying minecraft:exposed_cut_copper minecraft:honeycomb_block minecraft:waxed_exposed_cut_copper
create:deploying/waxed_exposed_cut_copper_slab_from_adding_wax | create:deploying | create:deploying minecraft:exposed_cut_copper_slab minecraft:honeycomb_block minecraft:waxed_exposed_cut_copper_slab
create:deploying/waxed_exposed_cut_copper_stairs_from_adding_wax | create:deploying | create:deploying minecraft:exposed_cut_copper_stairs minecraft:honeycomb_block minecraft:waxed_exposed_cut_copper_stairs
create:deploying/waxed_oxidized_chiseled_copper_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:oxidized_chiseled_copper minecraft:waxed_oxidized_chiseled_copper
create:deploying/waxed_oxidized_copper_bulb_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:oxidized_copper_bulb minecraft:waxed_oxidized_copper_bulb
create:deploying/waxed_oxidized_copper_door_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:oxidized_copper_door minecraft:waxed_oxidized_copper_door
create:deploying/waxed_oxidized_copper_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:oxidized_copper minecraft:waxed_oxidized_copper
create:deploying/waxed_oxidized_copper_grate_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:oxidized_copper_grate minecraft:waxed_oxidized_copper_grate
create:deploying/waxed_oxidized_copper_shingle_slab_from_adding_wax | create:deploying | create:deploying create:oxidized_copper_shingle_slab create:waxed_oxidized_copper_shingle_slab minecraft:honeycomb_block
create:deploying/waxed_oxidized_copper_shingle_stairs_from_adding_wax | create:deploying | create:deploying create:oxidized_copper_shingle_stairs create:waxed_oxidized_copper_shingle_stairs minecraft:honeycomb_block
create:deploying/waxed_oxidized_copper_shingles_from_adding_wax | create:deploying | create:deploying create:oxidized_copper_shingles create:waxed_oxidized_copper_shingles minecraft:honeycomb_block
create:deploying/waxed_oxidized_copper_tile_slab_from_adding_wax | create:deploying | create:deploying create:oxidized_copper_tile_slab create:waxed_oxidized_copper_tile_slab minecraft:honeycomb_block
create:deploying/waxed_oxidized_copper_tile_stairs_from_adding_wax | create:deploying | create:deploying create:oxidized_copper_tile_stairs create:waxed_oxidized_copper_tile_stairs minecraft:honeycomb_block
create:deploying/waxed_oxidized_copper_tiles_from_adding_wax | create:deploying | create:deploying create:oxidized_copper_tiles create:waxed_oxidized_copper_tiles minecraft:honeycomb_block
create:deploying/waxed_oxidized_copper_trapdoor_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:oxidized_copper_trapdoor minecraft:waxed_oxidized_copper_trapdoor
create:deploying/waxed_oxidized_cut_copper_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:oxidized_cut_copper minecraft:waxed_oxidized_cut_copper
create:deploying/waxed_oxidized_cut_copper_slab_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:oxidized_cut_copper_slab minecraft:waxed_oxidized_cut_copper_slab
create:deploying/waxed_oxidized_cut_copper_stairs_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:oxidized_cut_copper_stairs minecraft:waxed_oxidized_cut_copper_stairs
create:deploying/waxed_weathered_chiseled_copper_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:waxed_weathered_chiseled_copper minecraft:weathered_chiseled_copper
create:deploying/waxed_weathered_copper_bulb_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:waxed_weathered_copper_bulb minecraft:weathered_copper_bulb
create:deploying/waxed_weathered_copper_door_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:waxed_weathered_copper_door minecraft:weathered_copper_door
create:deploying/waxed_weathered_copper_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:waxed_weathered_copper minecraft:weathered_copper
create:deploying/waxed_weathered_copper_grate_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:waxed_weathered_copper_grate minecraft:weathered_copper_grate
create:deploying/waxed_weathered_copper_shingle_slab_from_adding_wax | create:deploying | create:deploying create:waxed_weathered_copper_shingle_slab create:weathered_copper_shingle_slab minecraft:honeycomb_block
create:deploying/waxed_weathered_copper_shingle_stairs_from_adding_wax | create:deploying | create:deploying create:waxed_weathered_copper_shingle_stairs create:weathered_copper_shingle_stairs minecraft:honeycomb_block
create:deploying/waxed_weathered_copper_shingles_from_adding_wax | create:deploying | create:deploying create:waxed_weathered_copper_shingles create:weathered_copper_shingles minecraft:honeycomb_block
create:deploying/waxed_weathered_copper_tile_slab_from_adding_wax | create:deploying | create:deploying create:waxed_weathered_copper_tile_slab create:weathered_copper_tile_slab minecraft:honeycomb_block
create:deploying/waxed_weathered_copper_tile_stairs_from_adding_wax | create:deploying | create:deploying create:waxed_weathered_copper_tile_stairs create:weathered_copper_tile_stairs minecraft:honeycomb_block
create:deploying/waxed_weathered_copper_tiles_from_adding_wax | create:deploying | create:deploying create:waxed_weathered_copper_tiles create:weathered_copper_tiles minecraft:honeycomb_block
create:deploying/waxed_weathered_copper_trapdoor_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:waxed_weathered_copper_trapdoor minecraft:weathered_copper_trapdoor
create:deploying/waxed_weathered_cut_copper_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:waxed_weathered_cut_copper minecraft:weathered_cut_copper
create:deploying/waxed_weathered_cut_copper_slab_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:waxed_weathered_cut_copper_slab minecraft:weathered_cut_copper_slab
create:deploying/waxed_weathered_cut_copper_stairs_from_adding_wax | create:deploying | create:deploying minecraft:honeycomb_block minecraft:waxed_weathered_cut_copper_stairs minecraft:weathered_cut_copper_stairs
create:deploying/weathered_chiseled_copper_from_deoxidising | create:deploying | create:deploying minecraft:axes minecraft:oxidized_chiseled_copper minecraft:weathered_chiseled_copper
create:deploying/weathered_chiseled_copper_from_removing_wax | create:deploying | create:deploying minecraft:axes minecraft:waxed_weathered_chiseled_copper minecraft:weathered_chiseled_copper
create:deploying/weathered_copper_bulb_from_deoxidising | create:deploying | create:deploying minecraft:axes minecraft:oxidized_copper_bulb minecraft:weathered_copper_bulb
create:deploying/weathered_copper_bulb_from_removing_wax | create:deploying | create:deploying minecraft:axes minecraft:waxed_weathered_copper_bulb minecraft:weathered_copper_bulb
create:deploying/weathered_copper_door_from_deoxidising | create:deploying | create:deploying minecraft:axes minecraft:oxidized_copper_door minecraft:weathered_copper_door
create:deploying/weathered_copper_door_from_removing_wax | create:deploying | create:deploying minecraft:axes minecraft:waxed_weathered_copper_door minecraft:weathered_copper_door
create:deploying/weathered_copper_from_deoxidising | create:deploying | create:deploying minecraft:axes minecraft:oxidized_copper minecraft:weathered_copper
create:deploying/weathered_copper_from_removing_wax | create:deploying | create:deploying minecraft:axes minecraft:waxed_weathered_copper minecraft:weathered_copper
create:deploying/weathered_copper_grate_from_deoxidising | create:deploying | create:deploying minecraft:axes minecraft:oxidized_copper_grate minecraft:weathered_copper_grate
create:deploying/weathered_copper_grate_from_removing_wax | create:deploying | create:deploying minecraft:axes minecraft:waxed_weathered_copper_grate minecraft:weathered_copper_grate
create:deploying/weathered_copper_shingle_slab_from_deoxidising | create:deploying | create:deploying create:oxidized_copper_shingle_slab create:weathered_copper_shingle_slab minecraft:axes
create:deploying/weathered_copper_shingle_slab_from_removing_wax | create:deploying | create:deploying create:waxed_weathered_copper_shingle_slab create:weathered_copper_shingle_slab minecraft:axes
create:deploying/weathered_copper_shingle_stairs_from_deoxidising | create:deploying | create:deploying create:oxidized_copper_shingle_stairs create:weathered_copper_shingle_stairs minecraft:axes
create:deploying/weathered_copper_shingle_stairs_from_removing_wax | create:deploying | create:deploying create:waxed_weathered_copper_shingle_stairs create:weathered_copper_shingle_stairs minecraft:axes
create:deploying/weathered_copper_shingles_from_deoxidising | create:deploying | create:deploying create:oxidized_copper_shingles create:weathered_copper_shingles minecraft:axes
create:deploying/weathered_copper_shingles_from_removing_wax | create:deploying | create:deploying create:waxed_weathered_copper_shingles create:weathered_copper_shingles minecraft:axes
create:deploying/weathered_copper_tile_slab_from_deoxidising | create:deploying | create:deploying create:oxidized_copper_tile_slab create:weathered_copper_tile_slab minecraft:axes
create:deploying/weathered_copper_tile_slab_from_removing_wax | create:deploying | create:deploying create:waxed_weathered_copper_tile_slab create:weathered_copper_tile_slab minecraft:axes
create:deploying/weathered_copper_tile_stairs_from_deoxidising | create:deploying | create:deploying create:oxidized_copper_tile_stairs create:weathered_copper_tile_stairs minecraft:axes
create:deploying/weathered_copper_tile_stairs_from_removing_wax | create:deploying | create:deploying create:waxed_weathered_copper_tile_stairs create:weathered_copper_tile_stairs minecraft:axes
create:deploying/weathered_copper_tiles_from_deoxidising | create:deploying | create:deploying create:oxidized_copper_tiles create:weathered_copper_tiles minecraft:axes
create:deploying/weathered_copper_tiles_from_removing_wax | create:deploying | create:deploying create:waxed_weathered_copper_tiles create:weathered_copper_tiles minecraft:axes
create:deploying/weathered_copper_trapdoor_from_deoxidising | create:deploying | create:deploying minecraft:axes minecraft:oxidized_copper_trapdoor minecraft:weathered_copper_trapdoor
create:deploying/weathered_copper_trapdoor_from_removing_wax | create:deploying | create:deploying minecraft:axes minecraft:waxed_weathered_copper_trapdoor minecraft:weathered_copper_trapdoor
create:deploying/weathered_cut_copper_from_deoxidising | create:deploying | create:deploying minecraft:axes minecraft:oxidized_cut_copper minecraft:weathered_cut_copper
create:deploying/weathered_cut_copper_from_removing_wax | create:deploying | create:deploying minecraft:axes minecraft:waxed_weathered_cut_copper minecraft:weathered_cut_copper
create:deploying/weathered_cut_copper_slab_from_deoxidising | create:deploying | create:deploying minecraft:axes minecraft:oxidized_cut_copper_slab minecraft:weathered_cut_copper_slab
create:deploying/weathered_cut_copper_slab_from_removing_wax | create:deploying | create:deploying minecraft:axes minecraft:waxed_weathered_cut_copper_slab minecraft:weathered_cut_copper_slab
create:deploying/weathered_cut_copper_stairs_from_deoxidising | create:deploying | create:deploying minecraft:axes minecraft:oxidized_cut_copper_stairs minecraft:weathered_cut_copper_stairs
create:deploying/weathered_cut_copper_stairs_from_removing_wax | create:deploying | create:deploying minecraft:axes minecraft:waxed_weathered_cut_copper_stairs minecraft:weathered_cut_copper_stairs
create:diorite_from_stone_types_diorite_stonecutting | minecraft:stonecutting | create:stone_types/diorite minecraft:diorite minecraft:stonecutting
create:diorite_pillar_from_stone_types_diorite_stonecutting | minecraft:stonecutting | create:diorite_pillar create:stone_types/diorite minecraft:stonecutting
create:dripstone_block_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | create:stone_types/dripstone minecraft:dripstone_block minecraft:stonecutting
create:dripstone_pillar_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | create:dripstone_pillar create:stone_types/dripstone minecraft:stonecutting
create:emptying/builders_tea | create:emptying | create:builders_tea create:emptying create:tea minecraft:glass_bottle
create:emptying/compat/alexsmobs/lava_bottle | create:emptying | alexsmobs:lava_bottle create:emptying minecraft:glass_bottle minecraft:lava neoforge:compound neoforge:mod_loaded
create:emptying/compat/farmersdelight/milk_bottle | create:emptying | create:emptying farmersdelight:milk_bottle minecraft:glass_bottle minecraft:milk neoforge:compound neoforge:mod_loaded
create:emptying/compat/neapolitan/milk_bottle | create:emptying | create:emptying farmersdelight:milk_bottle minecraft:glass_bottle minecraft:milk neoforge:compound neoforge:mod_loaded
create:emptying/honey_bottle | create:emptying | create:emptying create:honey minecraft:glass_bottle minecraft:honey_bottle
create:exposed_copper_shingle_slab | minecraft:crafting_shaped | create:exposed_copper_shingle_slab create:exposed_copper_shingles minecraft:crafting_shaped
create:exposed_copper_shingle_slab_from_exposed_copper_shingles_stonecutting | minecraft:stonecutting | create:exposed_copper_shingle_slab create:exposed_copper_shingles minecraft:stonecutting
create:exposed_copper_shingle_stairs | minecraft:crafting_shaped | create:exposed_copper_shingle_stairs create:exposed_copper_shingles minecraft:crafting_shaped
create:exposed_copper_shingle_stairs_from_exposed_copper_shingles_stonecutting | minecraft:stonecutting | create:exposed_copper_shingle_stairs create:exposed_copper_shingles minecraft:stonecutting
create:exposed_copper_tile_slab | minecraft:crafting_shaped | create:exposed_copper_tile_slab create:exposed_copper_tiles minecraft:crafting_shaped
create:exposed_copper_tile_slab_from_exposed_copper_tiles_stonecutting | minecraft:stonecutting | create:exposed_copper_tile_slab create:exposed_copper_tiles minecraft:stonecutting
create:exposed_copper_tile_stairs | minecraft:crafting_shaped | create:exposed_copper_tile_stairs create:exposed_copper_tiles minecraft:crafting_shaped
create:exposed_copper_tile_stairs_from_exposed_copper_tiles_stonecutting | minecraft:stonecutting | create:exposed_copper_tile_stairs create:exposed_copper_tiles minecraft:stonecutting
create:filling/blaze_cake | create:filling | create:blaze_cake create:blaze_cake_base create:filling minecraft:lava neoforge:single
create:filling/builders_tea | create:filling | create:builders_tea create:filling create:tea minecraft:glass_bottle neoforge:single
create:filling/chocolate_glazed_berries | create:filling | create:chocolate create:chocolate_glazed_berries create:filling minecraft:sweet_berries neoforge:single
create:filling/compat/aether/aether_grass_block | create:filling | aether:aether_dirt aether:aether_grass_block create:filling minecraft:water neoforge:compound neoforge:mod_loaded neoforge:single
create:filling/compat/alexsmobs/lava_bottle | create:filling | alexsmobs:lava_bottle create:filling minecraft:glass_bottle minecraft:lava neoforge:mod_loaded neoforge:single
create:filling/compat/biomeswevegone/lush_grass_block | create:filling | biomeswevegone:lush_dirt biomeswevegone:lush_grass_block create:filling minecraft:water neoforge:compound neoforge:mod_loaded neoforge:single
create:filling/compat/farmersdelight/milk_bottle | create:filling | c:milk create:filling farmersdelight:milk_bottle minecraft:glass_bottle neoforge:mod_loaded neoforge:tag
create:filling/compat/immersiveengineering/treated_wood_in_spout | create:filling | c:creosote create:filling immersiveengineering:treated_wood_horizontal minecraft:planks neoforge:mod_loaded neoforge:tag
create:filling/compat/neapolitan/milk_bottle | create:filling | c:milk create:filling minecraft:glass_bottle neapolitan:milk_bottle neoforge:mod_loaded neoforge:tag
create:filling/compat/regions_unexplored/peat_grass_block | create:filling | create:filling minecraft:water neoforge:compound neoforge:mod_loaded neoforge:single regions_unexplored:peat_dirt regions_unexplored:peat_grass_block
create:filling/compat/regions_unexplored/silt_grass_block | create:filling | create:filling minecraft:water neoforge:compound neoforge:mod_loaded neoforge:single regions_unexplored:silt_dirt regions_unexplored:silt_grass_block
create:filling/compat/vampirism/cursed_grass | create:filling | create:filling minecraft:water neoforge:compound neoforge:mod_loaded neoforge:single vampirism:cursed_earth vampirism:cursed_grass
create:filling/glowstone | create:filling | create:cinder_flour create:filling create:potion minecraft:glowstone_dust minecraft:night_vision neoforge:components
create:filling/grass_block | create:filling | create:filling minecraft:dirt minecraft:grass_block minecraft:water neoforge:single
create:filling/gunpowder | create:filling | create:cinder_flour create:filling create:potion minecraft:gunpowder minecraft:harming neoforge:components
create:filling/honey_bottle | create:filling | c:honey create:filling minecraft:glass_bottle minecraft:honey_bottle neoforge:tag
create:filling/honeyed_apple | create:filling | c:honey create:filling create:honeyed_apple minecraft:apple neoforge:tag
create:filling/redstone | create:filling | create:cinder_flour create:filling create:potion minecraft:redstone minecraft:strength neoforge:components
create:filling/sweet_roll | create:filling | c:milk create:filling create:sweet_roll minecraft:bread neoforge:tag
create:framed_glass_from_glass_blocks_colorless_stonecutting | minecraft:stonecutting | c:glass_blocks/colorless create:framed_glass minecraft:stonecutting
create:framed_glass_pane | minecraft:crafting_shaped | create:framed_glass create:framed_glass_pane minecraft:crafting_shaped
create:framed_glass_pane_from_glass_panes_colorless_stonecutting | minecraft:stonecutting | c:glass_panes/colorless create:framed_glass_pane minecraft:stonecutting
create:granite_from_stone_types_granite_stonecutting | minecraft:stonecutting | create:stone_types/granite minecraft:granite minecraft:stonecutting
create:granite_pillar_from_stone_types_granite_stonecutting | minecraft:stonecutting | create:granite_pillar create:stone_types/granite minecraft:stonecutting
create:haunting/blackstone | create:haunting | c:cobblestones create:haunting minecraft:blackstone
create:haunting/compat/farmersdelight/rotten_tomato | create:haunting | create:haunting farmersdelight:rotten_tomato farmersdelight:tomato neoforge:compound neoforge:mod_loaded
create:haunting/compat/hauntedharvest/rotten_apple | create:haunting | create:haunting hauntedharvest:rotten_apple minecraft:apple neoforge:mod_loaded
create:haunting/crimson_fungus | create:haunting | create:haunting minecraft:crimson_fungus minecraft:red_mushroom
create:haunting/glow_berries | create:haunting | create:haunting minecraft:glow_berries minecraft:sweet_berries
create:haunting/glow_ink_sac | create:haunting | create:haunting minecraft:glow_ink_sac minecraft:ink_sac
create:haunting/haunted_bell | create:haunting | create:haunted_bell create:haunting create:peculiar_bell
create:haunting/infested_chiseled_stone_bricks | create:haunting | create:haunting minecraft:chiseled_stone_bricks minecraft:infested_chiseled_stone_bricks
create:haunting/infested_cracked_stone_bricks | create:haunting | create:haunting minecraft:cracked_stone_bricks minecraft:infested_cracked_stone_bricks
create:haunting/infested_deepslate | create:haunting | create:haunting minecraft:deepslate minecraft:infested_deepslate
create:haunting/infested_mossy_stone_bricks | create:haunting | create:haunting minecraft:infested_mossy_stone_bricks minecraft:mossy_stone_bricks
create:haunting/infested_stone | create:haunting | create:haunting minecraft:infested_stone minecraft:stone
create:haunting/infested_stone_bricks | create:haunting | create:haunting minecraft:infested_stone_bricks minecraft:stone_bricks
create:haunting/lapis_recycling | create:haunting | c:gems/lapis create:haunting minecraft:prismarine_crystals minecraft:prismarine_shard
create:haunting/nether_brick | create:haunting | create:haunting minecraft:brick minecraft:nether_brick
create:haunting/poisonous_potato | create:haunting | create:haunting minecraft:poisonous_potato minecraft:potato
create:haunting/soul_campfire | create:haunting | create:haunting minecraft:campfire minecraft:soul_campfire
create:haunting/soul_lantern | create:haunting | create:haunting minecraft:lantern minecraft:soul_lantern
create:haunting/soul_sand | create:haunting | create:haunting minecraft:sand minecraft:soul_sand
create:haunting/soul_soil | create:haunting | create:haunting minecraft:dirt minecraft:soul_soil
create:haunting/soul_torch | create:haunting | create:haunting minecraft:soul_torch minecraft:torch
create:haunting/warped_fungus | create:haunting | create:haunting minecraft:brown_mushroom minecraft:warped_fungus
create:horizontal_framed_glass_from_glass_blocks_colorless_stonecutting | minecraft:stonecutting | c:glass_blocks/colorless create:horizontal_framed_glass minecraft:stonecutting
create:horizontal_framed_glass_pane | minecraft:crafting_shaped | create:horizontal_framed_glass create:horizontal_framed_glass_pane minecraft:crafting_shaped
create:horizontal_framed_glass_pane_from_glass_panes_colorless_stonecutting | minecraft:stonecutting | c:glass_panes/colorless create:horizontal_framed_glass_pane minecraft:stonecutting
create:industrial_iron_block_from_ingots_iron_stonecutting | minecraft:stonecutting | c:ingots/iron create:industrial_iron_block minecraft:stonecutting
create:industrial_iron_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:industrial_iron_block create:industrial_iron_window minecraft:crafting_shaped
create:industrial_iron_window_pane | minecraft:crafting_shaped | create:industrial_iron_window create:industrial_iron_window_pane minecraft:crafting_shaped
create:item_application/andesite_casing_from_log | create:item_application | c:stripped_logs create:andesite_alloy create:andesite_casing create:item_application
create:item_application/andesite_casing_from_wood | create:item_application | c:stripped_woods create:andesite_alloy create:andesite_casing create:item_application
create:item_application/bound_cardboard_inworld | create:item_application | c:strings create:bound_cardboard_block create:cardboard_block create:item_application
create:item_application/brass_casing_from_log | create:item_application | c:ingots/brass c:stripped_logs create:brass_casing create:item_application
create:item_application/brass_casing_from_wood | create:item_application | c:ingots/brass c:stripped_woods create:brass_casing create:item_application
create:item_application/copper_casing_from_log | create:item_application | c:ingots/copper c:stripped_logs create:copper_casing create:item_application
create:item_application/copper_casing_from_wood | create:item_application | c:ingots/copper c:stripped_woods create:copper_casing create:item_application
create:item_application/railway_casing | create:item_application | c:plates/obsidian create:brass_casing create:item_application create:railway_casing
create:jungle_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:jungle_window minecraft:crafting_shaped minecraft:jungle_planks
create:jungle_window_pane | minecraft:crafting_shaped | create:jungle_window create:jungle_window_pane minecraft:crafting_shaped
create:layered_andesite_from_stone_types_andesite_stonecutting | minecraft:stonecutting | create:layered_andesite create:stone_types/andesite minecraft:stonecutting
create:layered_asurine_from_stone_types_asurine_stonecutting | minecraft:stonecutting | create:layered_asurine create:stone_types/asurine minecraft:stonecutting
create:layered_calcite_from_stone_types_calcite_stonecutting | minecraft:stonecutting | create:layered_calcite create:stone_types/calcite minecraft:stonecutting
create:layered_crimsite_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | create:layered_crimsite create:stone_types/crimsite minecraft:stonecutting
create:layered_deepslate_from_stone_types_deepslate_stonecutting | minecraft:stonecutting | create:layered_deepslate create:stone_types/deepslate minecraft:stonecutting
create:layered_diorite_from_stone_types_diorite_stonecutting | minecraft:stonecutting | create:layered_diorite create:stone_types/diorite minecraft:stonecutting
create:layered_dripstone_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | create:layered_dripstone create:stone_types/dripstone minecraft:stonecutting
create:layered_granite_from_stone_types_granite_stonecutting | minecraft:stonecutting | create:layered_granite create:stone_types/granite minecraft:stonecutting
create:layered_limestone_from_stone_types_limestone_stonecutting | minecraft:stonecutting | create:layered_limestone create:stone_types/limestone minecraft:stonecutting
create:layered_ochrum_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | create:layered_ochrum create:stone_types/ochrum minecraft:stonecutting
create:layered_scorchia_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | create:layered_scorchia create:stone_types/scorchia minecraft:stonecutting
create:layered_scoria_from_stone_types_scoria_stonecutting | minecraft:stonecutting | create:layered_scoria create:stone_types/scoria minecraft:stonecutting
create:layered_tuff_from_stone_types_tuff_stonecutting | minecraft:stonecutting | create:layered_tuff create:stone_types/tuff minecraft:stonecutting
create:layered_veridium_from_stone_types_veridium_stonecutting | minecraft:stonecutting | create:layered_veridium create:stone_types/veridium minecraft:stonecutting
create:limestone_from_stone_types_limestone_stonecutting | minecraft:stonecutting | create:limestone create:stone_types/limestone minecraft:stonecutting
create:limestone_pillar_from_stone_types_limestone_stonecutting | minecraft:stonecutting | create:limestone_pillar create:stone_types/limestone minecraft:stonecutting
create:mangrove_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:mangrove_window minecraft:crafting_shaped minecraft:mangrove_planks
create:mangrove_window_pane | minecraft:crafting_shaped | create:mangrove_window create:mangrove_window_pane minecraft:crafting_shaped
create:mechanical_crafting/crushing_wheel | create:mechanical_crafting | c:stones create:andesite_alloy create:crushing_wheel create:mechanical_crafting minecraft:planks
create:mechanical_crafting/extendo_grip | create:mechanical_crafting | c:ingots/brass c:rods/wooden create:brass_hand create:extendo_grip create:mechanical_crafting create:precision_mechanism
create:mechanical_crafting/potato_cannon | create:mechanical_crafting | c:ingots/copper create:andesite_alloy create:fluid_pipe create:mechanical_crafting create:potato_cannon create:precision_mechanism
create:mechanical_crafting/wand_of_symmetry | create:mechanical_crafting | c:ender_pearls c:glass_blocks c:ingots/brass c:obsidians create:mechanical_crafting create:precision_mechanism create:wand_of_symmetry
create:milling/allium | create:milling | create:milling minecraft:allium minecraft:magenta_dye minecraft:pink_dye minecraft:purple_dye
create:milling/andesite | create:milling | create:milling minecraft:andesite minecraft:cobblestone
create:milling/azure_bluet | create:milling | create:milling minecraft:azure_bluet minecraft:light_gray_dye minecraft:white_dye
create:milling/beetroot | create:milling | create:milling minecraft:beetroot minecraft:beetroot_seeds minecraft:red_dye
create:milling/blue_orchid | create:milling | create:milling minecraft:blue_orchid minecraft:light_blue_dye minecraft:light_gray_dye
create:milling/bone | create:milling | create:milling minecraft:bone minecraft:bone_meal minecraft:white_dye
create:milling/bone_meal | create:milling | create:milling minecraft:bone_meal minecraft:light_gray_dye minecraft:white_dye
create:milling/cactus | create:milling | create:milling minecraft:cactus minecraft:green_dye
create:milling/calcite | create:milling | create:milling minecraft:bone_meal minecraft:calcite
create:milling/charcoal | create:milling | create:milling minecraft:black_dye minecraft:charcoal minecraft:gray_dye
create:milling/clay | create:milling | create:milling minecraft:clay minecraft:clay_ball
create:milling/coal | create:milling | create:milling minecraft:black_dye minecraft:coal minecraft:gray_dye
create:milling/cobblestone | create:milling | create:milling minecraft:cobblestone minecraft:gravel
create:milling/cocoa_beans | create:milling | create:milling minecraft:brown_dye minecraft:cocoa_beans
create:milling/compat/ae2/certus_quartz | create:milling | ae2:certus_quartz_dust c:gems/certus_quartz create:milling neoforge:mod_loaded
create:milling/compat/ae2/ender_pearl | create:milling | ae2:ender_dust c:ender_pearls create:milling neoforge:mod_loaded
create:milling/compat/ae2/fluix_crystal | create:milling | ae2:fluix_crystal ae2:fluix_dust create:milling neoforge:compound neoforge:mod_loaded
create:milling/compat/ae2/sky_stone_block | create:milling | ae2:sky_dust ae2:sky_stone_block create:milling neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/arid_sandstone | create:milling | atmospheric:arid_sand atmospheric:arid_sandstone create:milling neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/barrel_cactus | create:milling | atmospheric:barrel_cactus create:milling minecraft:green_dye minecraft:orange_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/firethorn | create:milling | atmospheric:firethorn create:milling minecraft:green_dye minecraft:orange_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/atmospheric/forsythia | create:milling | atmospheric:forsythia create:milling minecraft:lime_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded
