createfood:crafting/shaped/apple_cream_cake_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting_piping_bag c:cake_base createfood:apple_cream_cake createfood:enabled minecraft:crafting_shaped
createfood:create/filling/pasta_plate_rabbit_meatballs_tomato_sauce_from_filling_tomato_sauce | create:filling | c:pasta_plate_rabbit_meatballs c:tomato_sauce create:filling createfood:enabled createfood:pasta_plate_rabbit_meatballs_tomato_sauce fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/pasta_plate_squid_ink_from_filling_squid_ink | create:filling | c:pasta_plate c:squid_ink create:filling createfood:enabled createfood:pasta_plate_squid_ink fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/pasta_plate_strider_meatballs_tomato_sauce_from_filling_tomato_sauce | create:filling | c:pasta_plate_strider_meatballs c:tomato_sauce create:filling createfood:enabled createfood:pasta_plate_strider_meatballs_tomato_sauce fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/pasta_plate_tomato_sauce_from_filling_tomato_sauce | create:filling | c:pasta_plate c:tomato_sauce create:filling createfood:enabled createfood:pasta_plate_tomato_sauce fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/pasta_with_beef_meatballs_tomato_sauce_from_filling_tomato_sauce | create:filling | c:pasta_plate_beef_meatballs c:tomato_sauce create:filling createfood:enabled fabric:all_mods_loaded farmersdelight:pasta_with_meatballs neoforge:mod_loaded
createfood:create/filling/pasta_with_fish_squid_ink_from_filling_squid_ink | create:filling | c:pasta_plate_fish c:squid_ink create:filling createfood:enabled fabric:all_mods_loaded farmersdelight:squid_ink_pasta neoforge:mod_loaded
createfood:create/filling/pasta_with_mutton_chop_tomato_sauce_from_filling_tomato_sauce | create:filling | c:pasta_plate_mutton_chop c:tomato_sauce create:filling createfood:enabled fabric:all_mods_loaded farmersdelight:pasta_with_mutton_chop neoforge:mod_loaded
createfood:create/filling/pasta_with_slime_from_filling_slime | create:filling | c:pasta_plate c:slime create:filling createfood:enabled createfood:pasta_plate_slime fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/pasta_with_slimeballs_slime_from_filling_slime | create:filling | c:pasta_plate_slimeballs c:slime create:filling createfood:enabled fabric:all_mods_loaded frightsdelight:pasta_with_slimeballs neoforge:mod_loaded
createfood:create/filling/peanut_butter_apple_jam_sandwich_from_filling_apple_jam | create:filling | c:apple_jam c:peanut_butter c:peanut_butter_sandwich create:filling createfood:enabled createfood:peanut_butter_apple_jam_sandwich fabric:all_mods_loaded fabric:tags_populated minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
createfood:create/filling/peanut_butter_berry_jam_sandwich_from_filling_berry_jam | create:filling | c:berry_jam c:peanut_butter_sandwich create:filling createfood:enabled expandeddelight:sweet_berry_jelly_sandwich fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/peanut_butter_chorus_fruit_jam_sandwich_from_filling_chorus_fruit_jam | create:filling | c:chorus_fruit_jam c:peanut_butter c:peanut_butter_sandwich create:filling createfood:enabled createfood:peanut_butter_chorus_fruit_jam_sandwich fabric:all_mods_loaded fabric:tags_populated minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
createfood:create/filling/peanut_butter_glow_berry_jam_sandwich_from_filling_glow_berry_jam | create:filling | c:glow_berry_jam c:peanut_butter_sandwich create:filling createfood:enabled expandeddelight:glow_berry_jelly_sandwich fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/peanut_butter_melon_jam_sandwich_from_filling_melon_jam | create:filling | c:melon_jam c:peanut_butter c:peanut_butter_sandwich create:filling createfood:enabled createfood:peanut_butter_melon_jam_sandwich fabric:all_mods_loaded fabric:tags_populated minecraft:item neoforge:mod_loaded neoforge:not neoforge:tag_empty
createfood:create/filling/pizza_dough_tomato_sauce_from_filling_tomato_sauce | create:filling | c:pizza_dough c:tomato_sauce create:filling createfood:enabled createfood:pizza_dough_tomato_sauce fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/pork_stew_bowl_from_filling_pork_stew | create:filling | c:bowl c:pork_stew create:filling createfood:enabled createfood:pork_stew_bowl fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/pork_taco_lettuce_taco_sauce_from_filling_taco_sauce | create:filling | c:pork_taco_lettuce c:taco_sauce create:filling createfood:enabled createfood:pork_taco_lettuce_taco_sauce fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/potato_cream_soup_bowl_cheese_from_filling_cheese | create:filling | c:cheese c:potato_cream_soup_bowl create:filling createfood:enabled createfood:potato_cream_soup_bowl_cheese fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/potato_cream_soup_bowl_from_filling | create:filling | c:potato_cream_soup create:filling createfood:enabled createfood:potato_cream_soup_bowl fabric:all_mods_loaded minecraft:bowl neoforge:mod_loaded
createfood:create/filling/pumpkin_custard_bottle_from_filling_pumpkin_custard | create:filling | c:pumpkin_custard create:filling createfood:enabled createfood:pumpkin_custard_bottle fabric:all_mods_loaded minecraft:glass_bottle neoforge:mod_loaded
createfood:create/filling/pumpkin_puree_bottle_from_filling_apple_juice | create:filling | c:pumpkin_puree create:filling createfood:enabled createfood:pumpkin_puree_bottle fabric:all_mods_loaded minecraft:glass_bottle neoforge:mod_loaded
createfood:create/filling/rabbit_taco_lettuce_taco_sauce_from_filling_taco_sauce | create:filling | c:rabbit_taco_lettuce c:taco_sauce create:filling createfood:enabled createfood:rabbit_taco_lettuce_taco_sauce fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_apple_pie_from_filling_apple_pie_filling | create:filling | c:apple_pie_filling c:raw_pie_crust create:filling createfood:enabled createfood:raw_apple_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_berry_pie_from_filling_berry_pie_filling | create:filling | c:berry_pie_filling c:raw_pie_crust create:filling createfood:enabled createfood:raw_berry_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_cheesecake_from_filling_cheesecake_filling | create:filling | c:cheesecake_filling c:raw_graham_cracker_pie_crust create:filling createfood:enabled createfood:raw_cheesecake fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_chocolate_pie_from_filling_chocolate | create:filling | c:chocolate c:raw_pie_crust create:filling createfood:enabled createfood:raw_chocolate_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_chocolate_pie_graham_cracker_from_filling_chocolate | create:filling | c:chocolate c:raw_graham_cracker_pie_crust create:filling createfood:enabled createfood:raw_chocolate_pie_graham_cracker fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_chorus_fruit_pie_from_filling_chorus_fruit_pie_filling | create:filling | c:chorus_fruit_pie_filling c:raw_pie_crust create:filling createfood:enabled createfood:raw_chorus_fruit_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_cream_pie_chocolate_graham_cracker_from_filling_cream_pie_filling | create:filling | c:cream_pie_filling c:raw_chocolate_graham_cracker_pie_crust create:filling createfood:enabled createfood:raw_cream_pie_chocolate_graham_cracker fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_cream_pie_graham_cracker_from_filling_cream_pie_filling | create:filling | c:cream_pie_filling c:raw_graham_cracker_pie_crust create:filling createfood:enabled createfood:raw_cream_pie_graham_cracker fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_glow_berry_pie_from_filling_glow_berry_pie_filling | create:filling | c:glow_berry_pie_filling c:raw_pie_crust create:filling createfood:enabled createfood:raw_glow_berry_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_mini_chocolate_pie_graham_cracker_from_filling_chocolate | create:filling | c:chocolate c:raw_mini_graham_cracker_pie_crust create:filling createfood:enabled createfood:raw_mini_chocolate_pie_graham_cracker fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_mini_cream_pie_chocolate_graham_cracker_from_filling_cream_pie_filling | create:filling | c:cream_pie_filling c:raw_mini_chocolate_graham_cracker_pie_crust create:filling createfood:enabled createfood:raw_mini_cream_pie_chocolate_graham_cracker fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_mini_cream_pie_graham_cracker_from_filling_cream_pie_filling | create:filling | c:cream_pie_filling c:raw_mini_graham_cracker_pie_crust create:filling createfood:enabled createfood:raw_mini_cream_pie_graham_cracker fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/raw_pumpkin_pie_from_filling_pumpkin_pie_filling | create:filling | c:pumpkin_pie_filling c:raw_pie_crust create:filling createfood:enabled createfood:raw_pumpkin_pie fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/rice_pudding_bowl_from_filling | create:filling | c:rice_pudding create:filling createfood:enabled createfood:rice_pudding_bowl fabric:all_mods_loaded minecraft:bowl neoforge:mod_loaded
createfood:create/filling/scone_apple_jam_from_filling_apple_jam | create:filling | c:apple_jam c:scone create:filling createfood:enabled createfood:scone_apple_jam fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/scone_berry_jam_from_filling_berry_jam | create:filling | c:berry_jam c:scone create:filling createfood:enabled createfood:scone_berry_jam fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/scone_chorus_fruit_jam_from_filling_chorus_fruit_jam | create:filling | c:chorus_fruit_jam c:scone create:filling createfood:enabled createfood:scone_chorus_fruit_jam fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/scone_glow_berry_jam_from_filling_glow_berry_jam | create:filling | c:glow_berry_jam c:scone create:filling createfood:enabled createfood:scone_glow_berry_jam fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/scone_melon_jam_from_filling_melon_jam | create:filling | c:melon_jam c:scone create:filling createfood:enabled createfood:scone_melon_jam fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/sour_cream_bottle_from_filling_sour_cream | create:filling | c:sour_cream create:filling createfood:enabled createfood:sour_cream_bottle fabric:all_mods_loaded minecraft:glass_bottle neoforge:mod_loaded
createfood:create/filling/sugar_cane_juice_bottle_from_filling | create:filling | c:sugar_cane_juice create:filling createfood:enabled createfood:sugar_cane_juice_bottle fabric:all_mods_loaded minecraft:glass_bottle neoforge:mod_loaded
createfood:create/filling/sweet_roll_from_filling_cream_frosting | create:filling | c:cream_frosting c:sweet_roll_base create:filling create:sweet_roll createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/taco_sauce_bottle_from_filling_taco_sauce | create:filling | c:taco_sauce create:filling createfood:enabled createfood:taco_sauce_bottle fabric:all_mods_loaded minecraft:glass_bottle neoforge:mod_loaded
createfood:create/filling/toffee_apple_from_filling_toffee | create:filling | c:toffee create:filling createfood:enabled createfood:toffee_apple fabric:all_mods_loaded minecraft:apple neoforge:mod_loaded
createfood:create/filling/toffee_apple_slice_from_filling_toffee | create:filling | c:apple_slice c:toffee create:filling createfood:enabled createfood:toffee_apple_slice fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/toffee_berries_from_filling_toffee | create:filling | c:toffee create:filling createfood:enabled createfood:toffee_berries fabric:all_mods_loaded minecraft:sweet_berries neoforge:mod_loaded
createfood:create/filling/toffee_chocolate_from_filling_toffee | create:filling | c:hollow_chocolate c:toffee create:filling createfood:enabled createfood:toffee_chocolate fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/toffee_chocolate_pastry_from_filling_toffee | create:filling | c:chocolate_pastry_base c:toffee create:filling createfood:enabled createfood:toffee_chocolate_pastry fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/toffee_chocolate_sweet_roll_from_filling_toffee | create:filling | c:toffee create:filling createfood:chocolate_sweet_roll_base createfood:enabled createfood:toffee_chocolate_sweet_roll fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/toffee_dark_chocolate_from_filling_toffee | create:filling | c:hollow_dark_chocolate c:toffee create:filling createfood:enabled createfood:toffee_dark_chocolate fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/toffee_marshmallow_stick_from_filling_toffee | create:filling | c:marshmallow_stick c:toffee create:filling createfood:enabled createfood:toffee_marshmallow_stick fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/toffee_pastry_from_filling_toffee | create:filling | c:pastry_base c:toffee create:filling createfood:enabled createfood:toffee_pastry fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/toffee_pretzel_stick_from_filling_toffee | create:filling | c:pretzel_stick c:toffee create:filling createfood:enabled createfood:toffee_pretzel_stick fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/toffee_sweet_roll_from_filling_toffee | create:filling | c:toffee create:filling createfood:enabled createfood:sweet_roll_base createfood:toffee_sweet_roll fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/toffee_toast_from_filling_toffee | create:filling | c:toast c:toffee create:filling createfood:enabled createfood:toffee_toast fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/toffee_white_chocolate_from_filling_toffee | create:filling | c:hollow_white_chocolate c:toffee create:filling createfood:enabled createfood:toffee_white_chocolate fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/tomato_cream_soup_bowl_from_filling | create:filling | c:tomato_cream_soup create:filling createfood:enabled createfood:tomato_cream_soup_bowl fabric:all_mods_loaded minecraft:bowl neoforge:mod_loaded
createfood:create/filling/ube_cream_frosting_bottle_from_filling_ube_cream_frosting | create:filling | c:ube_cream_frosting create:filling createfood:enabled createfood:ube_cream_frosting_bottle fabric:all_mods_loaded minecraft:glass_bottle neoforge:mod_loaded
createfood:create/filling/ube_cream_frosting_piping_bag_from_filling_ube_cream_frosting | create:filling | c:piping_bag c:ube_cream_frosting create:filling createfood:enabled createfood:ube_cream_frosting_piping_bag fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/ube_cream_ube_cake_from_filling_ube_cream_frosting | create:filling | c:ube_cake_base c:ube_cream_frosting create:filling createfood:enabled createfood:ube_cream_ube_cake fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/ube_cream_ube_cupcake_from_filling_ube_cream_frosting | create:filling | c:ube_cream_frosting c:ube_cupcake_base create:filling createfood:enabled createfood:ube_cream_ube_cupcake fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/vinegar_bottle_from_filling_vinegar | create:filling | c:vinegar create:filling createfood:enabled createfood:vinegar_bottle fabric:all_mods_loaded minecraft:glass_bottle neoforge:mod_loaded
createfood:create/filling/white_chocolate_apple_from_filling_white_chocolate | create:filling | c:white_chocolate create:filling createfood:enabled createfood:white_chocolate_apple fabric:all_mods_loaded minecraft:apple neoforge:mod_loaded
createfood:create/filling/white_chocolate_apple_slice_from_filling_white_chocolate | create:filling | c:apple_slice c:white_chocolate create:filling createfood:enabled createfood:white_chocolate_apple_slice fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/white_chocolate_berries_from_filling_white_chocolate | create:filling | c:white_chocolate create:filling createfood:enabled createfood:white_chocolate_berries fabric:all_mods_loaded minecraft:sweet_berries neoforge:mod_loaded
createfood:create/filling/white_chocolate_bottle_from_filling_white_chocolate | create:filling | c:white_chocolate create:filling createfood:enabled createfood:white_chocolate_bottle fabric:all_mods_loaded minecraft:glass_bottle neoforge:mod_loaded
createfood:create/filling/white_chocolate_chocolate_pastry_from_filling_white_chocolate | create:filling | c:chocolate_pastry_base c:white_chocolate create:filling createfood:enabled createfood:white_chocolate_chocolate_pastry fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/white_chocolate_marshmallow_stick_from_filling_white_chocolate | create:filling | c:marshmallow_stick c:white_chocolate create:filling createfood:enabled createfood:white_chocolate_marshmallow_stick fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/white_chocolate_pastry_from_filling_white_chocolate | create:filling | c:pastry_base c:white_chocolate create:filling createfood:enabled createfood:white_chocolate_pastry fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/white_chocolate_pretzel_stick_from_filling_white_chocolate | create:filling | c:pretzel_stick c:white_chocolate create:filling createfood:enabled createfood:white_chocolate_pretzel_stick fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/white_chocolate_toast_from_filling_white_chocolate | create:filling | c:toast c:white_chocolate create:filling createfood:enabled createfood:white_chocolate_toast fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/filling/yogurt_bottle_from_filling_yogurt | create:filling | c:yogurt create:filling createfood:enabled createfood:yogurt_bottle fabric:all_mods_loaded minecraft:glass_bottle neoforge:mod_loaded
createfood:create/filling/yogurt_bowl_from_filling | create:filling | c:yogurt create:filling createfood:enabled createfood:yogurt_bowl fabric:all_mods_loaded minecraft:bowl neoforge:mod_loaded
createfood:create/filling/yogurt_bowl_honey_from_filling | create:filling | c:honey c:yogurt_bowl create:filling createfood:enabled createfood:yogurt_bowl_honey fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/apple_cream_cake_from_item_application | create:item_application | c:apple_cream_frosting_piping_bag c:cake_base create:item_application createfood:apple_cream_cake createfood:enabled createfood:piping_bag fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/berry_cream_cake_chorus_fruit_from_item_application | create:item_application | c:berry_cream_cake c:chorus_fruit create:item_application createfood:berry_cream_cake_chorus_fruit createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/berry_cream_cake_from_item_application | create:item_application | c:berry_cream_frosting_piping_bag c:cake_base create:item_application createfood:berry_cream_cake createfood:enabled createfood:piping_bag fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/berry_cream_cake_glow_berry_from_item_application | create:item_application | c:berry_cream_cake create:item_application createfood:berry_cream_cake_glow_berry createfood:enabled fabric:all_mods_loaded minecraft:glow_berries neoforge:mod_loaded
createfood:create/item_application/berry_cream_cake_sweet_berry_from_item_application | create:item_application | c:berry_cream_cake create:item_application createfood:berry_cream_cake_sweet_berry createfood:enabled fabric:all_mods_loaded minecraft:sweet_berries neoforge:mod_loaded
createfood:create/item_application/black_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/black c:gelatin_dessert_block create:item_application createfood:black_gelatin_dessert_block createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/blue_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/blue c:gelatin_dessert_block create:item_application createfood:blue_gelatin_dessert_block createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/brown_gelatin_dessert_block_from_item_application | create:item_application | c:dyes/brown c:gelatin_dessert_block create:item_application createfood:brown_gelatin_dessert_block createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chocolate_cream_cake_butterscotch_from_item_application | create:item_application | c:butterscotch_chips c:chocolate_cream_cake create:item_application createfood:chocolate_cream_cake_butterscotch createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chocolate_cream_cake_caramel_from_item_application | create:item_application | c:caramel_chips c:chocolate_cream_cake create:item_application createfood:chocolate_cream_cake_caramel createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chocolate_cream_cake_chocolate_from_item_application | create:item_application | c:chocolate_chips c:chocolate_cream_cake create:item_application createfood:chocolate_cream_cake_chocolate createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chocolate_cream_cake_dark_chocolate_from_item_application | create:item_application | c:chocolate_cream_cake c:dark_chocolate_chips create:item_application createfood:chocolate_cream_cake_dark_chocolate createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chocolate_cream_cake_from_item_application | create:item_application | c:cake_base c:chocolate_cream_frosting_piping_bag create:item_application createfood:chocolate_cream_cake createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chocolate_cream_cake_toffee_from_item_application | create:item_application | c:chocolate_cream_cake c:toffee_chips create:item_application createfood:chocolate_cream_cake_toffee createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chocolate_cream_cake_white_chocolate_from_item_application | create:item_application | c:chocolate_cream_cake c:white_chocolate_chips create:item_application createfood:chocolate_cream_cake_white_chocolate createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chocolate_cream_chocolate_cake_from_item_application | create:item_application | c:chocolate_cake_base c:chocolate_cream_frosting_piping_bag create:item_application createfood:chocolate_cream_chocolate_cake createfood:enabled createfood:piping_bag fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chorus_fruit_cream_cake_chorus_fruit_from_item_application | create:item_application | c:chorus_fruit c:chorus_fruit_cream_cake create:item_application createfood:chorus_fruit_cream_cake_chorus_fruit createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chorus_fruit_cream_cake_from_item_application | create:item_application | c:cake_base c:chorus_fruit_cream_frosting_piping_bag create:item_application createfood:chorus_fruit_cream_cake createfood:enabled createfood:piping_bag fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/chorus_fruit_cream_cake_glow_berry_from_item_application | create:item_application | c:chorus_fruit_cream_cake create:item_application createfood:chorus_fruit_cream_cake_glow_berry createfood:enabled fabric:all_mods_loaded minecraft:glow_berries neoforge:mod_loaded
createfood:create/item_application/chorus_fruit_cream_cake_sweet_berry_from_item_application | create:item_application | c:chorus_fruit_cream_cake create:item_application createfood:chorus_fruit_cream_cake_sweet_berry createfood:enabled fabric:all_mods_loaded minecraft:sweet_berries neoforge:mod_loaded
createfood:create/item_application/compat/jmc/apple_cake_from_item_application | create:item_application | c:apple c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:apple_cake neoforge:mod_loaded
createfood:create/item_application/compat/jmc/beetroot_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:beetroot_cake minecraft:beetroot neoforge:mod_loaded
createfood:create/item_application/compat/jmc/brown_mushroom_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:brown_mushroom_cake minecraft:brown_mushroom neoforge:mod_loaded
createfood:create/item_application/compat/jmc/carrot_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:carrot_cake minecraft:carrot neoforge:mod_loaded
createfood:create/item_application/compat/jmc/chorus_cake_from_item_application | create:item_application | c:chorus_fruit c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:chorus_cake neoforge:mod_loaded
createfood:create/item_application/compat/jmc/cookie_cake_from_item_application | create:item_application | c:cookie_crumbs c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:cookie_cake neoforge:mod_loaded
createfood:create/item_application/compat/jmc/creeper_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:creeper_cake minecraft:gunpowder neoforge:mod_loaded
createfood:create/item_application/compat/jmc/crimson_fungus_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:crimson_fungus_cake minecraft:crimson_fungus neoforge:mod_loaded
createfood:create/item_application/compat/jmc/firey_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:firey_cake minecraft:magma_cream neoforge:mod_loaded
createfood:create/item_application/compat/jmc/glow_berry_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:glow_berry_cake minecraft:glow_berries neoforge:mod_loaded
createfood:create/item_application/compat/jmc/glowstone_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:glowstone_cake minecraft:glowstone_dust neoforge:mod_loaded
createfood:create/item_application/compat/jmc/golden_apple_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:golden_apple_cake minecraft:golden_apple neoforge:mod_loaded
createfood:create/item_application/compat/jmc/honey_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:honey_cake minecraft:honey_bottle neoforge:mod_loaded
createfood:create/item_application/compat/jmc/ice_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:ice_cake minecraft:ice neoforge:mod_loaded
createfood:create/item_application/compat/jmc/lava_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:lava_cake minecraft:lava_bucket neoforge:mod_loaded
createfood:create/item_application/compat/jmc/melon_cake_from_item_application | create:item_application | c:cream_cake c:melon create:item_application createfood:enabled fabric:all_mods_loaded jmc:melon_cake neoforge:mod_loaded
createfood:create/item_application/compat/jmc/obsidian_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:obsidian_cake minecraft:obsidian neoforge:mod_loaded
createfood:create/item_application/compat/jmc/poison_cake_from_item_application | create:item_application | create:item_application createfood:enabled fabric:all_mods_loaded jmc:poison_cake minecraft:cake minecraft:spider_eye neoforge:mod_loaded
createfood:create/item_application/compat/jmc/pumpkin_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:pumpkin_cake minecraft:pumpkin neoforge:mod_loaded
createfood:create/item_application/compat/jmc/red_mushroom_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:red_mushroom_cake minecraft:red_mushroom neoforge:mod_loaded
createfood:create/item_application/compat/jmc/red_velvet_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:red_velvet_cake minecraft:red_dye neoforge:mod_loaded
createfood:create/item_application/compat/jmc/redstone_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:redstone_cake minecraft:redstone neoforge:mod_loaded
createfood:create/item_application/compat/jmc/sculk_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:sculk_cake minecraft:echo_shard neoforge:mod_loaded
createfood:create/item_application/compat/jmc/seed_cake_from_item_application | create:item_application | c:cream_cake c:seeds create:item_application createfood:enabled fabric:all_mods_loaded jmc:seed_cake neoforge:mod_loaded
createfood:create/item_application/compat/jmc/slime_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:slime_cake minecraft:slime_ball neoforge:mod_loaded
createfood:create/item_application/compat/jmc/sweet_berry_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:sweet_berry_cake minecraft:sweet_berries neoforge:mod_loaded
createfood:create/item_application/compat/jmc/tnt_cake_from_item_application | create:item_application | create:item_application createfood:enabled fabric:all_mods_loaded jmc:tnt_cake minecraft:cake minecraft:tnt neoforge:mod_loaded
createfood:create/item_application/compat/jmc/warped_fungus_cake_from_item_application | create:item_application | c:cream_cake create:item_application createfood:enabled fabric:all_mods_loaded jmc:warped_fungus_cake minecraft:warped_fungus neoforge:mod_loaded
createfood:create/item_application/compat/ubedelight/ube_cake_from_item_application | create:item_application | c:ube_cream_ube_cake create:item_application createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded ubesdelight:ube ubesdelight:ube_cake
createfood:create/item_application/cookie_cream_pie_from_item_application | create:item_application | c:cookie_crumbs c:cream_pie_chocolate_graham_cracker create:item_application createfood:cookie_cream_pie createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
createfood:create/item_application/cream_cake_chorus_fruit_from_item_application | create:item_application | c:chorus_fruit c:cream_cake create:item_application createfood:cream_cake_chorus_fruit createfood:enabled fabric:all_mods_loaded neoforge:mod_loaded
