create:crushing/basalt | create:crushing | create:crushing minecraft:basalt northstar:salt
northstar:mercury_stone_pillar_from_mercury_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:mercury_stone_bricks northstar:mercury_stone_pillar
northstar:mixing/brine | create:mixing | c:dusts/salt create:mixing minecraft:water neoforge:tag northstar:brine
northstar:mixing/chocolate_ice_cream | create:mixing | c:vanilla_ice_cream create:chocolate create:mixing neoforge:single neoforge:tag northstar:chocolate_ice_cream
northstar:mixing/hydrocarbon_from_carbon | create:mixing | c:carbon create:mixing minecraft:water neoforge:tag northstar:hydrocarbon northstar:sodium_catalyst
northstar:mixing/hydrocarbon_from_sodium | create:mixing | c:carbon c:sodium create:mixing neoforge:tag northstar:hydrocarbon
northstar:mixing/potion_healing_3 | create:mixing | create:mixing create:potion minecraft:strong_healing neoforge:components northstar:enhanced_healing northstar:enriched_glowstone_ore
northstar:mixing/potion_regeneration_3 | create:mixing | create:mixing create:potion minecraft:strong_regeneration neoforge:components northstar:enhanced_regeneration northstar:enriched_glowstone_ore
northstar:mixing/potion_strength_3 | create:mixing | create:mixing create:potion minecraft:strong_strength neoforge:components northstar:enhanced_strength northstar:enriched_glowstone_ore
northstar:mixing/strawberry_ice_cream | create:mixing | c:vanilla_ice_cream create:mixing neoforge:tag northstar:martian_strawberry northstar:strawberry_ice_cream
northstar:mixing/titanium1 | create:mixing | c:carbon c:chlorine create:mixing create:zinc_ingot neoforge:tag northstar:rutile_concentrate northstar:titanium_tetrachloride
northstar:mixing/titanium2 | create:mixing | c:carbon create:mixing create:zinc_ingot neoforge:tag northstar:rutile_concentrate northstar:sodium_catalyst northstar:titanium_tetrachloride
northstar:mixing/water_from_blue_ice | create:mixing | create:mixing minecraft:blue_ice minecraft:water
northstar:mixing/water_from_ice | create:mixing | create:mixing minecraft:ice minecraft:water
northstar:mixing/water_from_packed_ice | create:mixing | create:mixing minecraft:packed_ice minecraft:water
northstar:mixing/water_from_snow | create:mixing | create:mixing minecraft:snow_block minecraft:water
northstar:moon_stone_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:moon_stone_brick_slab northstar:moon_stone_bricks
northstar:moon_stone_brick_slab_from_moon_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:moon_stone_brick_slab northstar:moon_stone_bricks
northstar:moon_stone_brick_slab_vertical | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:moon_stone_brick_slab_vertical northstar:moon_stone_bricks
northstar:moon_stone_brick_slab_vertical_from_moon_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:moon_stone_brick_slab_vertical northstar:moon_stone_bricks
northstar:moon_stone_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:moon_stone_brick_stairs northstar:moon_stone_bricks
northstar:moon_stone_brick_stairs_from_moon_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:moon_stone_brick_stairs northstar:moon_stone_bricks
northstar:moon_stone_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:moon_stone_brick_wall northstar:moon_stone_bricks
northstar:moon_stone_brick_wall_from_moon_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:moon_stone_brick_wall northstar:moon_stone_bricks
northstar:moon_stone_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:moon_stone_bricks northstar:moon_stone_pillar
northstar:moon_stone_pillar_from_moon_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:moon_stone_bricks northstar:moon_stone_pillar
northstar:sequenced_assembly/advanced_circuit | create:sequenced_assembly | c:plates/gold create:deploying create:sequenced_assembly northstar:advanced_circuit northstar:circuit northstar:engraving northstar:martian_steel_sheet northstar:polished_lunar_sapphire northstar:unfinished_advanced_circuit
northstar:sequenced_assembly/circuit | create:sequenced_assembly | c:plates/copper c:plates/gold c:plates/iron create:copper_nugget create:deploying create:sequenced_assembly minecraft:iron_nugget northstar:circuit northstar:engraving northstar:polished_amethyst northstar:unfinished_circuit
northstar:sequenced_assembly/dormant_martian_sapling | create:sequenced_assembly | create:filling create:potion create:sequenced_assembly minecraft:water neoforge:components neoforge:tag northstar:coiler_sapling northstar:dormant_martian_sapling northstar:dormant_martian_sapling_sequenced northstar:enhanced_healing northstar:enhanced_regeneration northstar:enhanced_strength
northstar:sequenced_assembly/dormant_martian_seed | create:sequenced_assembly | create:filling create:potion create:sequenced_assembly minecraft:water neoforge:components neoforge:tag northstar:dormant_martian_seed northstar:dormant_martian_seed_sequenced northstar:enhanced_healing northstar:enhanced_regeneration northstar:enhanced_strength northstar:mars_palm_seeds northstar:mars_sprout_seeds northstar:mars_tulip_seeds
northstar:sequenced_assembly/hardened_precision_mechanism | create:sequenced_assembly | c:nuggets/titanium create:deploying create:precision_mechanism create:sequenced_assembly minecraft:iron_nugget northstar:hardened_precision_mechanism northstar:incomplete_hardened_precision_mechanism northstar:iron_cogwheel northstar:iron_large_cogwheel
northstar:sequenced_assembly/targeting_computer | create:sequenced_assembly | c:plates/iron create:deploying create:sequenced_assembly northstar:circuit northstar:engraving northstar:hardened_precision_mechanism northstar:polished_diamond northstar:targeting_computer northstar:unfinished_targeting_computer
northstar:sequenced_assembly/titanium | create:sequenced_assembly | c:titanium_tetrachloride create:filling create:pressing create:sequenced_assembly create:sturdy_sheet minecraft:lava minecraft:water neoforge:tag northstar:incomplete_titanium_ingot northstar:titanium_ingot
northstar:sequenced_assembly/titanium_compat_cbc | create:sequenced_assembly | c:titanium_tetrachloride create:filling create:pressing create:sequenced_assembly create:sturdy_sheet minecraft:water neoforge:mod_loaded neoforge:tag northstar:compat_cbc_molten_cast_iron northstar:incomplete_titanium_ingot northstar:titanium_ingot
northstar:smelting/dry_plant_fiber | minecraft:smelting | minecraft:bamboo minecraft:smelting northstar:dry_plant_fiber
northstar:smelting/ice_cream_cone | minecraft:smelting | minecraft:smelting northstar:ice_cream_cone northstar:raw_ice_cream_cone
northstar:smelting/iron_ingot_from_martian_ore | minecraft:smelting | minecraft:iron_ingot minecraft:smelting northstar:raw_martian_iron_ore
northstar:smelting/mars_copper_ore | minecraft:smelting | minecraft:copper_ingot minecraft:smelting northstar:mars_copper_ore
northstar:smelting/mars_deep_copper_ore | minecraft:smelting | minecraft:copper_ingot minecraft:smelting northstar:mars_deep_copper_ore
northstar:smelting/mars_deep_diamond_ore | minecraft:smelting | minecraft:diamond minecraft:smelting northstar:mars_deep_diamond_ore
northstar:smelting/mars_deep_gold_ore | minecraft:smelting | minecraft:gold_ingot minecraft:smelting northstar:mars_deep_gold_ore
northstar:smelting/mars_deep_iron_ore | minecraft:smelting | minecraft:iron_ingot minecraft:smelting northstar:mars_deep_iron_ore
northstar:smelting/mars_deep_quartz_ore | minecraft:smelting | minecraft:quartz minecraft:smelting northstar:mars_deep_quartz_ore
northstar:smelting/mars_deep_redstone_ore | minecraft:smelting | minecraft:redstone minecraft:smelting northstar:mars_deep_redstone_ore
northstar:smelting/mars_deep_titanium_ore | minecraft:smelting | minecraft:smelting northstar:mars_deep_titanium_ore northstar:titanium_ingot
northstar:smelting/mars_diamond_ore | minecraft:smelting | minecraft:diamond minecraft:smelting northstar:mars_diamond_ore
northstar:smelting/mars_gold_ore | minecraft:smelting | minecraft:gold_ingot minecraft:smelting northstar:mars_gold_ore
northstar:smelting/mars_iron_ore | minecraft:smelting | minecraft:iron_ingot minecraft:smelting northstar:mars_iron_ore
northstar:smelting/mars_quartz_ore | minecraft:smelting | minecraft:quartz minecraft:smelting northstar:mars_quartz_ore
northstar:smelting/mars_redstone_ore | minecraft:smelting | minecraft:redstone minecraft:smelting northstar:mars_redstone_ore
northstar:smelting/mars_titanium_ore | minecraft:smelting | minecraft:smelting northstar:mars_titanium_ore northstar:titanium_ingot
northstar:smelting/mercury_copper_ore | minecraft:smelting | minecraft:copper_ingot minecraft:smelting northstar:mercury_copper_ore
northstar:smelting/mercury_deep_copper_ore | minecraft:smelting | minecraft:copper_ingot minecraft:smelting northstar:mercury_deep_copper_ore
northstar:smelting/mercury_deep_diamond_ore | minecraft:smelting | minecraft:diamond minecraft:smelting northstar:mercury_deep_diamond_ore
northstar:smelting/mercury_deep_glowstone_ore | minecraft:smelting | minecraft:glowstone_dust minecraft:smelting northstar:mercury_deep_glowstone_ore
northstar:smelting/mercury_deep_gold_ore | minecraft:smelting | minecraft:gold_ingot minecraft:smelting northstar:mercury_deep_gold_ore
northstar:smelting/mercury_deep_iron_ore | minecraft:smelting | minecraft:iron_ingot minecraft:smelting northstar:mercury_deep_iron_ore
northstar:smelting/mercury_deep_lapis_ore | minecraft:smelting | minecraft:lapis_lazuli minecraft:smelting northstar:mercury_deep_lapis_ore
northstar:smelting/mercury_deep_redstone_ore | minecraft:smelting | minecraft:redstone minecraft:smelting northstar:mercury_deep_redstone_ore
northstar:smelting/mercury_deep_titanium_ore | minecraft:smelting | minecraft:smelting northstar:mercury_deep_titanium_ore northstar:titanium_ingot
northstar:smelting/mercury_deep_tungsten_ore | minecraft:smelting | minecraft:smelting northstar:mercury_deep_tungsten_ore northstar:tungsten_ingot
northstar:smelting/mercury_diamond_ore | minecraft:smelting | minecraft:diamond minecraft:smelting northstar:mercury_diamond_ore
northstar:smelting/mercury_glowstone_ore | minecraft:smelting | minecraft:glowstone_dust minecraft:smelting northstar:mercury_glowstone_ore
northstar:smelting/mercury_gold_ore | minecraft:smelting | minecraft:gold_ingot minecraft:smelting northstar:mercury_gold_ore
northstar:smelting/mercury_iron_ore | minecraft:smelting | minecraft:iron_ingot minecraft:smelting northstar:mercury_iron_ore
northstar:smelting/mercury_lapis_ore | minecraft:smelting | minecraft:lapis_lazuli minecraft:smelting northstar:mercury_lapis_ore
northstar:smelting/mercury_redstone_ore | minecraft:smelting | minecraft:redstone minecraft:smelting northstar:mercury_redstone_ore
northstar:smelting/mercury_titanium_ore | minecraft:smelting | minecraft:smelting northstar:mercury_titanium_ore northstar:titanium_ingot
northstar:smelting/mercury_tungsten_ore | minecraft:smelting | minecraft:smelting northstar:mercury_tungsten_ore northstar:tungsten_ingot
northstar:smelting/moon_copper_ore | minecraft:smelting | minecraft:copper_ingot minecraft:smelting northstar:moon_copper_ore
northstar:smelting/moon_deep_copper_ore | minecraft:smelting | minecraft:copper_ingot minecraft:smelting northstar:moon_deep_copper_ore
northstar:smelting/moon_deep_diamond_ore | minecraft:smelting | minecraft:diamond minecraft:smelting northstar:moon_deep_diamond_ore
northstar:smelting/moon_deep_glowstone_ore | minecraft:smelting | minecraft:glowstone_dust minecraft:smelting northstar:moon_deep_glowstone_ore
northstar:smelting/moon_deep_gold_ore | minecraft:smelting | minecraft:gold_ingot minecraft:smelting northstar:moon_deep_gold_ore
northstar:smelting/moon_deep_iron_ore | minecraft:smelting | minecraft:iron_ingot minecraft:smelting northstar:moon_deep_iron_ore
northstar:smelting/moon_deep_lapis_ore | minecraft:smelting | minecraft:lapis_lazuli minecraft:smelting northstar:moon_deep_lapis_ore
northstar:smelting/moon_deep_redstone_ore | minecraft:smelting | minecraft:redstone minecraft:smelting northstar:moon_deep_redstone_ore
northstar:smelting/moon_deep_titanium_ore | minecraft:smelting | minecraft:smelting northstar:moon_deep_titanium_ore northstar:titanium_ingot
northstar:smelting/moon_diamond_ore | minecraft:smelting | minecraft:diamond minecraft:smelting northstar:moon_diamond_ore
northstar:smelting/moon_glowstone_ore | minecraft:smelting | minecraft:glowstone_dust minecraft:smelting northstar:moon_glowstone_ore
northstar:smelting/moon_gold_ore | minecraft:smelting | minecraft:gold_ingot minecraft:smelting northstar:moon_gold_ore
northstar:smelting/moon_iron_ore | minecraft:smelting | minecraft:iron_ingot minecraft:smelting northstar:moon_iron_ore
northstar:smelting/moon_lapis_ore | minecraft:smelting | minecraft:lapis_lazuli minecraft:smelting northstar:moon_lapis_ore
northstar:smelting/moon_redstone_ore | minecraft:smelting | minecraft:redstone minecraft:smelting northstar:moon_redstone_ore
northstar:smelting/moon_titanium_ore | minecraft:smelting | minecraft:smelting northstar:moon_titanium_ore northstar:titanium_ingot
northstar:smelting/polished_mars_stone | minecraft:smelting | minecraft:smelting northstar:mars_stone northstar:polished_mars_stone
northstar:smelting/polished_mercury_stone | minecraft:smelting | minecraft:smelting northstar:mercury_stone northstar:polished_mercury_stone
northstar:smelting/polished_moon_stone | minecraft:smelting | minecraft:smelting northstar:moon_stone northstar:polished_moon_stone
northstar:smelting/polished_venus_stone | minecraft:smelting | minecraft:smelting northstar:polished_venus_stone northstar:venus_stone
northstar:smelting/titanium_ingot_from_raw | minecraft:smelting | minecraft:smelting northstar:raw_titanium_ore northstar:titanium_ingot
northstar:smelting/tungsten_ingot_from_crushed | minecraft:smelting | minecraft:smelting northstar:crushed_raw_tungsten northstar:tungsten_ingot
northstar:smelting/tungsten_ingot_from_raw | minecraft:smelting | minecraft:smelting northstar:raw_tungsten_ore northstar:tungsten_ingot
northstar:smelting/venus_coal_ore | minecraft:smelting | minecraft:coal minecraft:smelting northstar:venus_coal_ore
northstar:smelting/venus_copper_ore | minecraft:smelting | minecraft:copper_ingot minecraft:smelting northstar:venus_copper_ore
northstar:smelting/venus_deep_copper_ore | minecraft:smelting | minecraft:copper_ingot minecraft:smelting northstar:venus_deep_copper_ore
northstar:smelting/venus_deep_diamond_ore | minecraft:smelting | minecraft:diamond minecraft:smelting northstar:venus_deep_diamond_ore
northstar:smelting/venus_deep_glowstone_ore | minecraft:smelting | minecraft:glowstone_dust minecraft:smelting northstar:venus_deep_glowstone_ore
northstar:smelting/venus_deep_gold_ore | minecraft:smelting | minecraft:gold_ingot minecraft:smelting northstar:venus_deep_gold_ore
northstar:smelting/venus_deep_iron_ore | minecraft:smelting | minecraft:iron_ingot minecraft:smelting northstar:venus_deep_iron_ore
northstar:smelting/venus_deep_quartz_ore | minecraft:smelting | minecraft:quartz minecraft:smelting northstar:venus_deep_quartz_ore
northstar:smelting/venus_deep_redstone_ore | minecraft:smelting | minecraft:redstone minecraft:smelting northstar:venus_deep_redstone_ore
northstar:smelting/venus_deep_titanium_ore | minecraft:smelting | minecraft:smelting northstar:titanium_ingot northstar:venus_deep_titanium_ore
northstar:smelting/venus_diamond_ore | minecraft:smelting | minecraft:diamond minecraft:smelting northstar:venus_diamond_ore
northstar:smelting/venus_glowstone_ore | minecraft:smelting | minecraft:glowstone_dust minecraft:smelting northstar:venus_glowstone_ore
northstar:smelting/venus_gold_ore | minecraft:smelting | minecraft:gold_ingot minecraft:smelting northstar:venus_gold_ore
northstar:smelting/venus_iron_ore | minecraft:smelting | minecraft:iron_ingot minecraft:smelting northstar:venus_iron_ore
northstar:smelting/venus_quartz_ore | minecraft:smelting | minecraft:quartz minecraft:smelting northstar:venus_quartz_ore
northstar:smelting/venus_redstone_ore | minecraft:smelting | minecraft:redstone minecraft:smelting northstar:venus_redstone_ore
northstar:smelting/venus_titanium_ore | minecraft:smelting | minecraft:smelting northstar:titanium_ingot northstar:venus_titanium_ore
northstar:smoking/dry_plant_fiber | minecraft:smoking | minecraft:bamboo minecraft:smoking northstar:dry_plant_fiber
northstar:smoking/ice_cream_cone | minecraft:smoking | minecraft:smoking northstar:ice_cream_cone northstar:raw_ice_cream_cone
northstar:titanium_grate | minecraft:crafting_shaped | c:plates/titanium minecraft:crafting_shaped northstar:titanium_grate
northstar:titanium_pillar | minecraft:crafting_shaped | c:ingots/titanium minecraft:crafting_shaped northstar:titanium_pillar
northstar:titanium_pillar_from_ingots_titanium_stonecutting | minecraft:stonecutting | c:ingots/titanium minecraft:stonecutting northstar:titanium_pillar
northstar:titanium_plating | minecraft:crafting_shaped | c:ingots/titanium minecraft:crafting_shaped northstar:titanium_plating
northstar:titanium_plating_from_ingots_titanium_stonecutting | minecraft:stonecutting | c:ingots/titanium minecraft:stonecutting northstar:titanium_plating
northstar:titanium_plating_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:titanium_plating northstar:titanium_plating_slab
northstar:titanium_plating_slab_from_titanium_plating_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:titanium_plating northstar:titanium_plating_slab
northstar:titanium_plating_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:titanium_plating northstar:titanium_plating_stairs
northstar:titanium_plating_stairs_from_titanium_plating_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:titanium_plating northstar:titanium_plating_stairs
northstar:titanium_plating_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:titanium_plating northstar:titanium_plating_vertical_slab
northstar:titanium_plating_vertical_slab_from_titanium_plating_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:titanium_plating northstar:titanium_plating_vertical_slab
northstar:titanium_sheetmetal | minecraft:crafting_shaped | c:plates/titanium minecraft:crafting_shaped northstar:titanium_sheetmetal
northstar:titanium_sheetmetal_from_plates_titanium_stonecutting | minecraft:stonecutting | c:plates/titanium minecraft:stonecutting northstar:titanium_sheetmetal
northstar:titanium_sheetmetal_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:titanium_sheetmetal northstar:titanium_sheetmetal_slab
northstar:titanium_sheetmetal_slab_from_titanium_sheetmetal_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:titanium_sheetmetal northstar:titanium_sheetmetal_slab
northstar:titanium_sheetmetal_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:titanium_sheetmetal northstar:titanium_sheetmetal_vertical_slab
northstar:titanium_sheetmetal_vertical_slab_from_titanium_sheetmetal_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:titanium_sheetmetal northstar:titanium_sheetmetal_vertical_slab
northstar:tungsten_grate | minecraft:crafting_shaped | c:plates/tungsten minecraft:crafting_shaped northstar:tungsten_grate
northstar:tungsten_pillar | minecraft:crafting_shaped | c:ingots/tungsten minecraft:crafting_shaped northstar:tungsten_pillar
northstar:tungsten_pillar_from_ingots_tungsten_stonecutting | minecraft:stonecutting | c:ingots/tungsten minecraft:stonecutting northstar:tungsten_pillar
northstar:tungsten_plating | minecraft:crafting_shaped | c:ingots/tungsten minecraft:crafting_shaped northstar:tungsten_plating
northstar:tungsten_plating_from_ingots_tungsten_stonecutting | minecraft:stonecutting | c:ingots/tungsten minecraft:stonecutting northstar:tungsten_plating
northstar:tungsten_plating_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:tungsten_plating northstar:tungsten_plating_slab
northstar:tungsten_plating_slab_from_tungsten_plating_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:tungsten_plating northstar:tungsten_plating_slab
northstar:tungsten_plating_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:tungsten_plating northstar:tungsten_plating_stairs
northstar:tungsten_plating_stairs_from_tungsten_plating_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:tungsten_plating northstar:tungsten_plating_stairs
northstar:tungsten_plating_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:tungsten_plating northstar:tungsten_plating_vertical_slab
northstar:tungsten_plating_vertical_slab_from_tungsten_plating_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:tungsten_plating northstar:tungsten_plating_vertical_slab
northstar:tungsten_sheetmetal | minecraft:crafting_shaped | c:plates/tungsten minecraft:crafting_shaped northstar:tungsten_sheetmetal
northstar:tungsten_sheetmetal_from_plates_tungsten_stonecutting | minecraft:stonecutting | c:plates/tungsten minecraft:stonecutting northstar:tungsten_sheetmetal
northstar:tungsten_sheetmetal_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:tungsten_sheetmetal northstar:tungsten_sheetmetal_slab
northstar:tungsten_sheetmetal_slab_from_tungsten_sheetmetal_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:tungsten_sheetmetal northstar:tungsten_sheetmetal_slab
northstar:tungsten_sheetmetal_vertical_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:tungsten_sheetmetal northstar:tungsten_sheetmetal_vertical_slab
northstar:tungsten_sheetmetal_vertical_slab_from_tungsten_sheetmetal_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:tungsten_sheetmetal northstar:tungsten_sheetmetal_vertical_slab
northstar:venus_stone_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:venus_stone_brick_slab northstar:venus_stone_bricks
northstar:venus_stone_brick_slab_from_venus_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:venus_stone_brick_slab northstar:venus_stone_bricks
northstar:venus_stone_brick_slab_vertical | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:venus_stone_brick_slab_vertical northstar:venus_stone_bricks
northstar:venus_stone_brick_slab_vertical_from_venus_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:venus_stone_brick_slab_vertical northstar:venus_stone_bricks
northstar:venus_stone_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:venus_stone_brick_stairs northstar:venus_stone_bricks
northstar:venus_stone_brick_stairs_from_venus_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:venus_stone_brick_stairs northstar:venus_stone_bricks
northstar:venus_stone_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:venus_stone_brick_wall northstar:venus_stone_bricks
northstar:venus_stone_brick_wall_from_venus_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:venus_stone_brick_wall northstar:venus_stone_bricks
northstar:venus_stone_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:venus_stone_bricks northstar:venus_stone_pillar
northstar:venus_stone_pillar_from_venus_stone_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:venus_stone_bricks northstar:venus_stone_pillar
northstar:wilter_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:wilter_logs northstar:wilter_planks
northstar:wilter_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:wilter_planks northstar:wilter_slab
northstar:wilter_slab_from_wilter_planks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:wilter_planks northstar:wilter_slab
northstar:wilter_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:wilter_planks northstar:wilter_stairs
northstar:wilter_stairs_from_wilter_planks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:wilter_planks northstar:wilter_stairs
