ars_nouveau:agronomic_sourcelink | minecraft:crafting_shaped | ars_nouveau:agronomic_sourcelink c:gems/source c:ingots/gold minecraft:crafting_shaped minecraft:wheat
ars_nouveau:piercing_1 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:piercing
ars_nouveau:piercing_2 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:piercing
ars_nouveau:piercing_3 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:piercing
ars_nouveau:piercing_4 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:piercing
ars_nouveau:pink_dye | ars_nouveau:crush | ars_nouveau:crush minecraft:pink_dye minecraft:pink_tulip
ars_nouveau:pink_dye_peony | ars_nouveau:crush | ars_nouveau:crush minecraft:peony minecraft:pink_dye
ars_nouveau:planarium | ars_nouveau:enchanting_apparatus | ars_nouveau:conjuration_essence ars_nouveau:enchanting_apparatus ars_nouveau:mob_jar ars_nouveau:planarium ars_nouveau:stable_warp_scroll minecraft:diamond
ars_nouveau:platform_to_pedestal | minecraft:crafting_shapeless | ars_nouveau:arcane_pedestal ars_nouveau:arcane_platform minecraft:crafting_shapeless
ars_nouveau:polished_sconce | minecraft:crafting_shapeless | ars_nouveau:polished_sconce ars_nouveau:sourcestone_sconce minecraft:crafting_shapeless
ars_nouveau:polished_source_sconce | minecraft:crafting_shapeless | ars_nouveau:polished_sconce ars_nouveau:sourcestone_sconce minecraft:crafting_shapeless
ars_nouveau:potion_diffuser | ars_nouveau:enchanting_apparatus | ars_nouveau:archwood_planks ars_nouveau:enchanting_apparatus ars_nouveau:potion_diffuser c:ingots/gold minecraft:campfire
ars_nouveau:potion_flask | ars_nouveau:enchanting_apparatus | ars_nouveau:abjuration_essence ars_nouveau:enchanting_apparatus ars_nouveau:potion_flask c:storage_blocks/gold c:storage_blocks/source minecraft:glass_bottle
ars_nouveau:potion_flask_amplify | ars_nouveau:enchanting_apparatus | ars_nouveau:abjuration_essence ars_nouveau:enchanting_apparatus ars_nouveau:potion_flask ars_nouveau:potion_flask_amplify
ars_nouveau:potion_flask_extend_time | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:manipulation_essence ars_nouveau:potion_flask ars_nouveau:potion_flask_extend_time
ars_nouveau:potion_jar | minecraft:crafting_shapeless | ars_nouveau:abjuration_essence ars_nouveau:potion_jar ars_nouveau:source_jar minecraft:crafting_shapeless
ars_nouveau:potion_jar_empty | minecraft:crafting_shapeless | ars_nouveau:potion_jar minecraft:crafting_shapeless
ars_nouveau:potion_melder | ars_nouveau:enchanting_apparatus | ars_nouveau:abjuration_essence ars_nouveau:enchanting_apparatus ars_nouveau:potion_jar ars_nouveau:potion_melder c:rods/blaze c:storage_blocks/gold
ars_nouveau:power_1 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:gems/diamond c:storage_blocks/source minecraft:power
ars_nouveau:power_2 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:gems/diamond c:storage_blocks/source minecraft:power
ars_nouveau:power_3 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:gems/diamond c:storage_blocks/lapis c:storage_blocks/source minecraft:power
ars_nouveau:power_4 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:gems/diamond c:storage_blocks/lapis c:storage_blocks/source minecraft:power
ars_nouveau:power_5 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:gems/diamond c:storage_blocks/lapis c:storage_blocks/source minecraft:power
ars_nouveau:prestidigitation | ars_nouveau:prestidigitation | ars_nouveau:conjuration_essence ars_nouveau:prestidigitation ars_nouveau:spell_parchment
ars_nouveau:projectile_protection_1 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/source minecraft:arrow minecraft:projectile_protection
ars_nouveau:projectile_protection_2 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/source minecraft:arrow minecraft:projectile_protection
ars_nouveau:projectile_protection_3 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/source minecraft:arrow minecraft:projectile_protection
ars_nouveau:projectile_protection_4 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/source minecraft:arrow minecraft:projectile_protection
ars_nouveau:projectile_protection_5 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/source minecraft:arrow minecraft:projectile_protection
ars_nouveau:protection_1 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:protection
ars_nouveau:protection_2 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:protection
ars_nouveau:protection_3 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:protection
ars_nouveau:protection_4 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:protection
ars_nouveau:protection_5 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/diamond c:storage_blocks/source minecraft:protection
ars_nouveau:punch_1 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/source minecraft:punch
ars_nouveau:punch_2 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/source minecraft:punch
ars_nouveau:purple_archwood_wood | minecraft:crafting_shaped | ars_nouveau:purple_archwood_log ars_nouveau:purple_archwood_wood minecraft:crafting_shaped
ars_nouveau:purple_sbed | minecraft:crafting_shapeless | ars_nouveau:purple_sbed ars_nouveau:summon_bed c:dyes/purple minecraft:crafting_shapeless
ars_nouveau:quartz_block_to_quartz | ars_nouveau:crush | ars_nouveau:crush c:storage_blocks/quartz minecraft:quartz
ars_nouveau:quick_charge_1 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/source minecraft:quick_charge
ars_nouveau:quick_charge_2 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/source minecraft:quick_charge
ars_nouveau:quick_charge_3 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/source minecraft:quick_charge
ars_nouveau:reactive_1 | ars_nouveau:reactive_enchantment | ars_nouveau:reactive_enchantment ars_nouveau:spell_parchment c:storage_blocks/lapis c:storage_blocks/source
ars_nouveau:reactive_2 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:earth_essence ars_nouveau:enchantment ars_nouveau:fire_essence ars_nouveau:reactive ars_nouveau:water_essence minecraft:blaze_powder
ars_nouveau:reactive_3 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:conjuration_essence ars_nouveau:enchantment ars_nouveau:manipulation_essence ars_nouveau:reactive c:ender_pearls c:gems/emerald
ars_nouveau:reactive_4 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:reactive ars_nouveau:wilden_tribute c:ender_pearls c:gems/diamond
ars_nouveau:red_archwood_wood | minecraft:crafting_shaped | ars_nouveau:red_archwood_log ars_nouveau:red_archwood_wood minecraft:crafting_shaped
ars_nouveau:red_dye_beetroot | ars_nouveau:crush | ars_nouveau:crush minecraft:beetroot minecraft:red_dye
ars_nouveau:red_dye_poppy | ars_nouveau:crush | ars_nouveau:crush minecraft:poppy minecraft:red_dye
ars_nouveau:red_dye_rose_bush | ars_nouveau:crush | ars_nouveau:crush minecraft:red_dye minecraft:rose_bush
ars_nouveau:red_dye_tulip | ars_nouveau:crush | ars_nouveau:crush minecraft:red_dye minecraft:red_tulip
ars_nouveau:red_sbed | minecraft:crafting_shapeless | ars_nouveau:red_sbed ars_nouveau:summon_bed c:dyes/red minecraft:crafting_shapeless
ars_nouveau:redstone_relay | minecraft:crafting_shaped | ars_nouveau:redstone_relay c:dusts/redstone c:ingots/gold c:storage_blocks/source minecraft:crafting_shaped
ars_nouveau:relay | minecraft:crafting_shaped | ars_nouveau:relay c:ingots/gold c:storage_blocks/source minecraft:crafting_shaped
ars_nouveau:relay_collector | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:relay ars_nouveau:relay_collector c:chests
ars_nouveau:relay_deposit | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:relay ars_nouveau:relay_deposit minecraft:hopper
ars_nouveau:relay_splitter | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:relay ars_nouveau:relay_splitter c:gems/lapis c:gems/quartz
ars_nouveau:relay_warp | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:relay ars_nouveau:relay_warp c:ender_pearls minecraft:popped_chorus_fruit
ars_nouveau:repository | minecraft:crafting_shaped | ars_nouveau:repository c:logs/archwood c:nuggets/gold minecraft:crafting_shaped
ars_nouveau:repository_controller | minecraft:crafting_shapeless | ars_nouveau:magebloom_fiber ars_nouveau:repository ars_nouveau:repository_controller minecraft:crafting_shapeless
ars_nouveau:reset | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:reset minecraft:target
ars_nouveau:reset_stable_warp_scroll | minecraft:crafting_shapeless | ars_nouveau:stable_warp_scroll minecraft:crafting_shapeless
ars_nouveau:reset_warp_scroll | minecraft:crafting_shapeless | ars_nouveau:warp_scroll minecraft:crafting_shapeless
ars_nouveau:respiration_1 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:water_essence c:storage_blocks/source minecraft:respiration
ars_nouveau:respiration_2 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:water_essence c:storage_blocks/source minecraft:respiration
ars_nouveau:respiration_3 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:water_essence c:storage_blocks/source minecraft:respiration
ars_nouveau:rewind | ars_nouveau:glyph | ars_nouveau:glyph ars_nouveau:manipulation_essence ars_nouveau:rewind minecraft:clock
ars_nouveau:ring_of_greater_discount | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:ring_of_greater_discount ars_nouveau:ring_of_lesser_discount c:gems/diamond c:gems/source c:rods/blaze
ars_nouveau:ring_of_lesser_discount | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:ring_of_lesser_discount ars_nouveau:ring_of_potential c:ender_pearls c:gems/diamond c:gems/source
ars_nouveau:ring_of_potential | minecraft:crafting_shaped | ars_nouveau:ring_of_potential c:gems/source c:nuggets/iron minecraft:crafting_shaped
ars_nouveau:ritual_animal_summon | minecraft:crafting_shapeless | ars_nouveau:magic_shards ars_nouveau:purple_archwood_log ars_nouveau:ritual_animal_summon minecraft:crafting_shapeless minecraft:lapis_block
ars_nouveau:ritual_awakening | minecraft:crafting_shapeless | ars_nouveau:blue_archwood_sapling ars_nouveau:green_archwood_log ars_nouveau:green_archwood_sapling ars_nouveau:purple_archwood_sapling ars_nouveau:red_archwood_sapling ars_nouveau:ritual_awakening c:gems/source minecraft:crafting_shapeless
ars_nouveau:ritual_binding | minecraft:crafting_shapeless | ars_nouveau:blank_parchment ars_nouveau:purple_archwood_log ars_nouveau:ritual_binding c:gems/source minecraft:crafting_shapeless minecraft:ender_pearl
ars_nouveau:ritual_brazier | minecraft:crafting_shapeless | ars_nouveau:arcane_pedestal ars_nouveau:ritual_brazier c:ingots/gold c:storage_blocks/source minecraft:crafting_shapeless
ars_nouveau:ritual_burrowing | minecraft:crafting_shapeless | ars_nouveau:green_archwood_log ars_nouveau:ritual_burrowing c:storage_blocks/coal minecraft:crafting_shapeless minecraft:iron_pickaxe
ars_nouveau:ritual_challenge | minecraft:crafting_shapeless | ars_nouveau:purple_archwood_log ars_nouveau:ritual_challenge minecraft:crafting_shapeless minecraft:emerald_block minecraft:ink_sac
ars_nouveau:ritual_cloudshaping | minecraft:crafting_shapeless | ars_nouveau:blue_archwood_log ars_nouveau:ritual_cloudshaping c:storage_blocks/source minecraft:crafting_shapeless minecraft:feather
ars_nouveau:ritual_conjure_island_desert | minecraft:crafting_shapeless | ars_nouveau:earth_essence ars_nouveau:red_archwood_log ars_nouveau:ritual_conjure_island_desert minecraft:crafting_shapeless minecraft:sand
ars_nouveau:ritual_conjure_island_plains | minecraft:crafting_shapeless | ars_nouveau:earth_essence ars_nouveau:green_archwood_log ars_nouveau:ritual_conjure_island_plains minecraft:crafting_shapeless minecraft:grass_block
ars_nouveau:ritual_containment | minecraft:crafting_shapeless | ars_nouveau:manipulation_essence ars_nouveau:purple_archwood_log ars_nouveau:ritual_containment minecraft:crafting_shapeless minecraft:glass_bottle
ars_nouveau:ritual_disintegration | minecraft:crafting_shapeless | ars_nouveau:red_archwood_log ars_nouveau:ritual_disintegration minecraft:book minecraft:crafting_shapeless minecraft:golden_sword
ars_nouveau:ritual_fertility | minecraft:crafting_shapeless | ars_nouveau:green_archwood_log ars_nouveau:ritual_fertility minecraft:blaze_powder minecraft:crafting_shapeless minecraft:golden_apple minecraft:wheat
ars_nouveau:ritual_flight | minecraft:crafting_shapeless | ars_nouveau:purple_archwood_log ars_nouveau:ritual_flight ars_nouveau:wilden_wing c:gems/diamond minecraft:crafting_shapeless minecraft:ender_pearl
ars_nouveau:ritual_flowering | minecraft:crafting_shapeless | ars_nouveau:earth_essence ars_nouveau:green_archwood_log ars_nouveau:ritual_flowering minecraft:crafting_shapeless minecraft:dandelion minecraft:poppy
ars_nouveau:ritual_forestation | minecraft:crafting_shapeless | ars_nouveau:earth_essence ars_nouveau:green_archwood_log ars_nouveau:mendosteen_pod ars_nouveau:ritual_forestation minecraft:crafting_shapeless
ars_nouveau:ritual_gravity | minecraft:crafting_shapeless | ars_nouveau:air_essence ars_nouveau:earth_essence ars_nouveau:green_archwood_log ars_nouveau:ritual_gravity minecraft:anvil minecraft:crafting_shapeless minecraft:feather
ars_nouveau:ritual_harvest | minecraft:crafting_shapeless | ars_nouveau:earth_essence ars_nouveau:green_archwood_log ars_nouveau:ritual_harvest minecraft:crafting_shapeless minecraft:iron_hoe
ars_nouveau:ritual_moonfall | minecraft:crafting_shapeless | ars_nouveau:blue_archwood_log ars_nouveau:ritual_moonfall c:storage_blocks/coal minecraft:clock minecraft:crafting_shapeless minecraft:ink_sac
ars_nouveau:ritual_overgrowth | minecraft:crafting_shapeless | ars_nouveau:earth_essence ars_nouveau:green_archwood_log ars_nouveau:magebloom ars_nouveau:ritual_overgrowth minecraft:crafting_shapeless
ars_nouveau:ritual_restoration | minecraft:crafting_shapeless | ars_nouveau:abjuration_essence ars_nouveau:green_archwood_log ars_nouveau:ritual_restoration minecraft:crafting_shapeless minecraft:golden_apple
ars_nouveau:ritual_sanctuary | minecraft:crafting_shapeless | ars_nouveau:blue_archwood_log ars_nouveau:ritual_sanctuary ars_nouveau:water_essence minecraft:crafting_shapeless minecraft:sea_lantern
ars_nouveau:ritual_scrying | minecraft:crafting_shapeless | ars_nouveau:purple_archwood_log ars_nouveau:ritual_scrying c:storage_blocks/source minecraft:crafting_shapeless minecraft:glowstone minecraft:spider_eye
ars_nouveau:ritual_sunrise | minecraft:crafting_shapeless | ars_nouveau:red_archwood_log ars_nouveau:ritual_sunrise minecraft:clock minecraft:crafting_shapeless minecraft:dandelion
ars_nouveau:ritual_warping | minecraft:crafting_shapeless | ars_nouveau:purple_archwood_log ars_nouveau:ritual_warping ars_nouveau:warp_scroll minecraft:crafting_shapeless
ars_nouveau:ritual_wilden_summon | minecraft:crafting_shapeless | ars_nouveau:purple_archwood_log ars_nouveau:ritual_wilden_summon ars_nouveau:wilden_drop minecraft:crafting_shapeless minecraft:lapis_block
ars_nouveau:rotating_spell_turret | minecraft:crafting_shapeless | ars_nouveau:basic_spell_turret ars_nouveau:rotating_spell_turret minecraft:crafting_shapeless
ars_nouveau:rotating_turret_to_basic_spell_turret | minecraft:crafting_shapeless | ars_nouveau:basic_spell_turret ars_nouveau:rotating_spell_turret minecraft:crafting_shapeless
ars_nouveau:runic_chalk | minecraft:crafting_shapeless | ars_nouveau:magebloom_fiber ars_nouveau:manipulation_essence ars_nouveau:runic_chalk minecraft:bone_meal minecraft:crafting_shapeless
ars_nouveau:sandstone_to_sand | ars_nouveau:crush | ars_nouveau:crush minecraft:sand minecraft:sandstone
ars_nouveau:sconce | minecraft:crafting_shapeless | ars_nouveau:sconce c:gems/source c:nuggets/gold minecraft:crafting_shapeless
ars_nouveau:scribes_table | minecraft:crafting_shaped | ars_nouveau:archwood_slab ars_nouveau:scribes_table c:logs/archwood c:nuggets/gold minecraft:crafting_shaped
ars_nouveau:scry_ritual/coal_ores | ars_nouveau:scry_ritual | ars_nouveau:scry_ritual c:ores/coal
ars_nouveau:scry_ritual/copper_ores | ars_nouveau:scry_ritual | ars_nouveau:scry_ritual c:ores/copper
ars_nouveau:scry_ritual/diamond_ores | ars_nouveau:scry_ritual | ars_nouveau:scry_ritual c:ores/diamond
ars_nouveau:scry_ritual/emerald_ores | ars_nouveau:scry_ritual | ars_nouveau:scry_ritual c:ores/emerald
ars_nouveau:scry_ritual/gold_ores | ars_nouveau:scry_ritual | ars_nouveau:scry_ritual c:ores/gold
ars_nouveau:scry_ritual/iron_ores | ars_nouveau:scry_ritual | ars_nouveau:scry_ritual c:ores/iron
ars_nouveau:scry_ritual/lapis_ores | ars_nouveau:scry_ritual | ars_nouveau:scry_ritual c:ores/lapis
ars_nouveau:scry_ritual/netherite_scrap_ores | ars_nouveau:scry_ritual | ars_nouveau:scry_ritual c:ores/netherite_scrap
ars_nouveau:scry_ritual/quartz_ores | ars_nouveau:scry_ritual | ars_nouveau:scry_ritual c:ores/quartz
ars_nouveau:scry_ritual/redstone_ores | ars_nouveau:scry_ritual | ars_nouveau:scry_ritual c:ores/redstone
ars_nouveau:scry_to_blank_parchment | minecraft:crafting_shapeless | ars_nouveau:blank_parchment ars_nouveau:scryer_scroll minecraft:crafting_shapeless
ars_nouveau:scryers_crystal | minecraft:crafting_shapeless | ars_nouveau:scryers_crystal c:gems/source minecraft:crafting_shapeless minecraft:ender_eye
ars_nouveau:scryers_oculus | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:scryers_oculus c:gems/diamond c:storage_blocks/source minecraft:ender_eye minecraft:observer minecraft:spyglass
ars_nouveau:second_armor_upgrade | ars_nouveau:armor_upgrade | ars_nouveau:armor_upgrade c:ender_pearls minecraft:chorus_fruit
ars_nouveau:shapers_focus | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:manipulation_essence ars_nouveau:shapers_focus c:gems/diamond c:ingots/gold minecraft:piston minecraft:slime_block
ars_nouveau:sharpness_1 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:quartz_block minecraft:sharpness
ars_nouveau:sharpness_2 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:quartz_block minecraft:sharpness
ars_nouveau:sharpness_3 | ars_nouveau:enchantment | ars_nouveau:enchantment c:gems/diamond c:storage_blocks/lapis minecraft:quartz_block minecraft:sharpness
ars_nouveau:sharpness_4 | ars_nouveau:enchantment | ars_nouveau:enchantment c:gems/diamond c:storage_blocks/lapis minecraft:quartz_block minecraft:sharpness
ars_nouveau:sharpness_5 | ars_nouveau:enchantment | ars_nouveau:enchantment c:gems/diamond c:storage_blocks/lapis minecraft:quartz_block minecraft:sharpness
ars_nouveau:silk_touch_1 | ars_nouveau:enchantment | ars_nouveau:enchantment c:gems/diamond c:gems/emerald c:storage_blocks/lapis c:storage_blocks/source minecraft:silk_touch
ars_nouveau:sky_block | minecraft:crafting_shaped | ars_nouveau:magebloom_block ars_nouveau:manipulation_essence ars_nouveau:sky_block minecraft:crafting_shaped
ars_nouveau:smite_1 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:bone_block minecraft:smite
ars_nouveau:smite_2 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:bone_block minecraft:smite
ars_nouveau:smite_3 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:bone_block minecraft:smite
ars_nouveau:smite_4 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:bone_block minecraft:smite
ars_nouveau:smite_5 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:bone_block minecraft:smite
ars_nouveau:smooth_gilded_sourcestone_alternating_slab | minecraft:crafting_shaped | ars_nouveau:smooth_gilded_sourcestone_alternating ars_nouveau:smooth_gilded_sourcestone_alternating_slab minecraft:crafting_shaped
ars_nouveau:smooth_gilded_sourcestone_alternating_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_gilded_sourcestone_alternating ars_nouveau:smooth_gilded_sourcestone_alternating_stairs minecraft:crafting_shaped
ars_nouveau:smooth_gilded_sourcestone_alternating_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_alternating ars_nouveau:smooth_gilded_sourcestone_alternating_slab minecraft:stonecutting
ars_nouveau:smooth_gilded_sourcestone_alternating_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_alternating ars_nouveau:smooth_gilded_sourcestone_alternating_stairs minecraft:stonecutting
ars_nouveau:smooth_gilded_sourcestone_alternating_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_gilded_sourcestone_alternating ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:smooth_gilded_sourcestone_basketweave_slab | minecraft:crafting_shaped | ars_nouveau:smooth_gilded_sourcestone_basketweave ars_nouveau:smooth_gilded_sourcestone_basketweave_slab minecraft:crafting_shaped
ars_nouveau:smooth_gilded_sourcestone_basketweave_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_gilded_sourcestone_basketweave ars_nouveau:smooth_gilded_sourcestone_basketweave_stairs minecraft:crafting_shaped
ars_nouveau:smooth_gilded_sourcestone_basketweave_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_basketweave ars_nouveau:smooth_gilded_sourcestone_basketweave_slab minecraft:stonecutting
ars_nouveau:smooth_gilded_sourcestone_basketweave_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_basketweave ars_nouveau:smooth_gilded_sourcestone_basketweave_stairs minecraft:stonecutting
ars_nouveau:smooth_gilded_sourcestone_basketweave_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_gilded_sourcestone_basketweave ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:smooth_gilded_sourcestone_large_bricks_slab | minecraft:crafting_shaped | ars_nouveau:smooth_gilded_sourcestone_large_bricks ars_nouveau:smooth_gilded_sourcestone_large_bricks_slab minecraft:crafting_shaped
ars_nouveau:smooth_gilded_sourcestone_large_bricks_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_gilded_sourcestone_large_bricks ars_nouveau:smooth_gilded_sourcestone_large_bricks_stairs minecraft:crafting_shaped
ars_nouveau:smooth_gilded_sourcestone_large_bricks_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_large_bricks ars_nouveau:smooth_gilded_sourcestone_large_bricks_slab minecraft:stonecutting
ars_nouveau:smooth_gilded_sourcestone_large_bricks_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_large_bricks ars_nouveau:smooth_gilded_sourcestone_large_bricks_stairs minecraft:stonecutting
ars_nouveau:smooth_gilded_sourcestone_large_bricks_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_gilded_sourcestone_large_bricks ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:smooth_gilded_sourcestone_mosaic_slab | minecraft:crafting_shaped | ars_nouveau:smooth_gilded_sourcestone_mosaic ars_nouveau:smooth_gilded_sourcestone_mosaic_slab minecraft:crafting_shaped
ars_nouveau:smooth_gilded_sourcestone_mosaic_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_gilded_sourcestone_mosaic ars_nouveau:smooth_gilded_sourcestone_mosaic_stairs minecraft:crafting_shaped
ars_nouveau:smooth_gilded_sourcestone_mosaic_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_mosaic ars_nouveau:smooth_gilded_sourcestone_mosaic_slab minecraft:stonecutting
ars_nouveau:smooth_gilded_sourcestone_mosaic_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_mosaic ars_nouveau:smooth_gilded_sourcestone_mosaic_stairs minecraft:stonecutting
ars_nouveau:smooth_gilded_sourcestone_mosaic_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_gilded_sourcestone_mosaic ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:smooth_gilded_sourcestone_small_bricks_slab | minecraft:crafting_shaped | ars_nouveau:smooth_gilded_sourcestone_small_bricks ars_nouveau:smooth_gilded_sourcestone_small_bricks_slab minecraft:crafting_shaped
ars_nouveau:smooth_gilded_sourcestone_small_bricks_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_gilded_sourcestone_small_bricks ars_nouveau:smooth_gilded_sourcestone_small_bricks_stairs minecraft:crafting_shaped
ars_nouveau:smooth_gilded_sourcestone_small_bricks_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_small_bricks ars_nouveau:smooth_gilded_sourcestone_small_bricks_slab minecraft:stonecutting
ars_nouveau:smooth_gilded_sourcestone_small_bricks_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_small_bricks ars_nouveau:smooth_gilded_sourcestone_small_bricks_stairs minecraft:stonecutting
ars_nouveau:smooth_gilded_sourcestone_small_bricks_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_gilded_sourcestone_small_bricks ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:smooth_sourcestone_alternating_slab | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone_alternating ars_nouveau:smooth_sourcestone_alternating_slab minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_alternating_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone_alternating ars_nouveau:smooth_sourcestone_alternating_stairs minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_alternating_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_alternating ars_nouveau:smooth_sourcestone_alternating_slab minecraft:stonecutting
