minecraft:dark_prismarine | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_prismarine minecraft:ink_sac minecraft:prismarine_shard
upgrade_aquatic:river_ladder_from_river_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_ladder upgrade_aquatic:river_planks woodworks:config woodworks:sawmill
upgrade_aquatic:river_leaf_pile | minecraft:crafting_shapeless | blueprint:and minecraft:crafting_shapeless neoforge:mod_loaded upgrade_aquatic:river_leaf_pile upgrade_aquatic:river_leaves woodworks:config
upgrade_aquatic:river_leaves_from_river_leaf_pile | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:river_leaf_pile upgrade_aquatic:river_leaves woodworks:config
upgrade_aquatic:river_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless upgrade_aquatic:river_logs upgrade_aquatic:river_planks
upgrade_aquatic:river_planks_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_logs upgrade_aquatic:river_planks woodworks:config woodworks:sawmill
upgrade_aquatic:river_pressure_plate | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:river_planks upgrade_aquatic:river_pressure_plate
upgrade_aquatic:river_pressure_plate_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_logs upgrade_aquatic:river_pressure_plate woodworks:config woodworks:sawmill
upgrade_aquatic:river_sign | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick upgrade_aquatic:river_planks upgrade_aquatic:river_sign
upgrade_aquatic:river_sign_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_logs upgrade_aquatic:river_sign woodworks:config woodworks:sawmill
upgrade_aquatic:river_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:river_planks upgrade_aquatic:river_slab
upgrade_aquatic:river_slab_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_logs upgrade_aquatic:river_slab woodworks:config woodworks:sawmill
upgrade_aquatic:river_slab_from_river_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_planks upgrade_aquatic:river_slab woodworks:config woodworks:sawmill
upgrade_aquatic:river_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:river_planks upgrade_aquatic:river_stairs
upgrade_aquatic:river_stairs_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_logs upgrade_aquatic:river_stairs woodworks:config woodworks:sawmill
upgrade_aquatic:river_stairs_from_river_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_planks upgrade_aquatic:river_stairs woodworks:config woodworks:sawmill
upgrade_aquatic:river_trapdoor | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:river_planks upgrade_aquatic:river_trapdoor
upgrade_aquatic:river_trapdoor_from_river_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:river_logs upgrade_aquatic:river_trapdoor woodworks:config woodworks:sawmill
upgrade_aquatic:river_wood | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:river_log upgrade_aquatic:river_wood
upgrade_aquatic:rock_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:rock_coral_block upgrade_aquatic:rock_corals
upgrade_aquatic:rock_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:rock_coralstone upgrade_aquatic:rock_coralstone_slab
upgrade_aquatic:rock_coralstone_slab_from_rock_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:rock_coralstone upgrade_aquatic:rock_coralstone_slab
upgrade_aquatic:rock_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:rock_coralstone upgrade_aquatic:rock_coralstone_stairs
upgrade_aquatic:rock_coralstone_stairs_from_rock_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:rock_coralstone upgrade_aquatic:rock_coralstone_stairs
upgrade_aquatic:rock_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:rock_coralstone upgrade_aquatic:rock_coralstone_wall
upgrade_aquatic:rock_coralstone_wall_from_rock_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:rock_coralstone upgrade_aquatic:rock_coralstone_wall
upgrade_aquatic:scute_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:turtle_scute upgrade_aquatic:scute_block
upgrade_aquatic:scute_pavement | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:scute_pavement upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_pavement_from_scute_shingles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:scute_pavement upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_pavement_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:scute_pavement upgrade_aquatic:scute_pavement_slab
upgrade_aquatic:scute_pavement_slab_from_scute_pavement_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:scute_pavement upgrade_aquatic:scute_pavement_slab
upgrade_aquatic:scute_pavement_slab_from_scute_shingles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:scute_pavement_slab upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_pavement_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:scute_pavement upgrade_aquatic:scute_pavement_stairs
upgrade_aquatic:scute_pavement_stairs_from_scute_pavement_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:scute_pavement upgrade_aquatic:scute_pavement_stairs
upgrade_aquatic:scute_pavement_stairs_from_scute_shingles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:scute_pavement_stairs upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_pavement_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:scute_pavement upgrade_aquatic:scute_pavement_wall
upgrade_aquatic:scute_pavement_wall_from_scute_pavement_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:scute_pavement upgrade_aquatic:scute_pavement_wall
upgrade_aquatic:scute_pavement_wall_from_scute_shingles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:scute_pavement_wall upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_shingle_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:scute_shingle_slab upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_shingle_slab_from_scute_shingles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:scute_shingle_slab upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_shingle_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:scute_shingle_stairs upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_shingle_stairs_from_scute_shingles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:scute_shingle_stairs upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_shingle_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:scute_shingle_wall upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_shingle_wall_from_scute_shingles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:scute_shingle_wall upgrade_aquatic:scute_shingles
upgrade_aquatic:scute_shingles | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stone_bricks minecraft:turtle_scute upgrade_aquatic:scute_shingles
upgrade_aquatic:silk_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:silk_coral_block upgrade_aquatic:silk_corals
upgrade_aquatic:silk_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:silk_coralstone upgrade_aquatic:silk_coralstone_slab
upgrade_aquatic:silk_coralstone_slab_from_silk_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:silk_coralstone upgrade_aquatic:silk_coralstone_slab
upgrade_aquatic:silk_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:silk_coralstone upgrade_aquatic:silk_coralstone_stairs
upgrade_aquatic:silk_coralstone_stairs_from_silk_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:silk_coralstone upgrade_aquatic:silk_coralstone_stairs
upgrade_aquatic:silk_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:silk_coralstone upgrade_aquatic:silk_coralstone_wall
upgrade_aquatic:silk_coralstone_wall_from_silk_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:silk_coralstone upgrade_aquatic:silk_coralstone_wall
upgrade_aquatic:star_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:star_coral_block upgrade_aquatic:star_corals
upgrade_aquatic:star_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:star_coralstone upgrade_aquatic:star_coralstone_slab
upgrade_aquatic:star_coralstone_slab_from_star_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:star_coralstone upgrade_aquatic:star_coralstone_slab
upgrade_aquatic:star_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:star_coralstone upgrade_aquatic:star_coralstone_stairs
upgrade_aquatic:star_coralstone_stairs_from_star_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:star_coralstone upgrade_aquatic:star_coralstone_stairs
upgrade_aquatic:star_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:star_coralstone upgrade_aquatic:star_coralstone_wall
upgrade_aquatic:star_coralstone_wall_from_star_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:star_coralstone upgrade_aquatic:star_coralstone_wall
upgrade_aquatic:stripped_driftwood | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:stripped_driftwood upgrade_aquatic:stripped_driftwood_log
upgrade_aquatic:stripped_river_wood | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:stripped_river_log upgrade_aquatic:stripped_river_wood
upgrade_aquatic:thrasher_tooth | minecraft:crafting_shapeless | minecraft:crafting_shapeless upgrade_aquatic:thrasher_tooth upgrade_aquatic:tooth_block
upgrade_aquatic:tooth_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:thrasher_tooth upgrade_aquatic:tooth_block
upgrade_aquatic:tooth_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:tooth_brick_slab upgrade_aquatic:tooth_bricks
upgrade_aquatic:tooth_brick_slab_from_tooth_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tooth_brick_slab upgrade_aquatic:tooth_bricks
upgrade_aquatic:tooth_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:tooth_brick_stairs upgrade_aquatic:tooth_bricks
upgrade_aquatic:tooth_brick_stairs_from_tooth_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tooth_brick_stairs upgrade_aquatic:tooth_bricks
upgrade_aquatic:tooth_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:tooth_brick_wall upgrade_aquatic:tooth_bricks
upgrade_aquatic:tooth_brick_wall_from_tooth_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tooth_brick_wall upgrade_aquatic:tooth_bricks
upgrade_aquatic:tooth_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stone_bricks upgrade_aquatic:thrasher_tooth upgrade_aquatic:tooth_bricks
upgrade_aquatic:tooth_door | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:thrasher_tooth upgrade_aquatic:tooth_door
upgrade_aquatic:tooth_lantern | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:prismarine_crystals upgrade_aquatic:thrasher_tooth upgrade_aquatic:tooth_lantern
upgrade_aquatic:tooth_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:tooth_slab upgrade_aquatic:tooth_tiles
upgrade_aquatic:tooth_slab_from_tooth_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tooth_bricks upgrade_aquatic:tooth_slab
upgrade_aquatic:tooth_slab_from_tooth_tiles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tooth_slab upgrade_aquatic:tooth_tiles
upgrade_aquatic:tooth_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:tooth_stairs upgrade_aquatic:tooth_tiles
upgrade_aquatic:tooth_stairs_from_tooth_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tooth_bricks upgrade_aquatic:tooth_stairs
upgrade_aquatic:tooth_stairs_from_tooth_tiles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tooth_stairs upgrade_aquatic:tooth_tiles
upgrade_aquatic:tooth_tiles | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:tooth_bricks upgrade_aquatic:tooth_tiles
upgrade_aquatic:tooth_tiles_from_tooth_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tooth_bricks upgrade_aquatic:tooth_tiles
upgrade_aquatic:tooth_trapdoor | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:thrasher_tooth upgrade_aquatic:tooth_trapdoor
upgrade_aquatic:tooth_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:tooth_tiles upgrade_aquatic:tooth_wall
upgrade_aquatic:tooth_wall_from_tooth_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tooth_bricks upgrade_aquatic:tooth_wall
upgrade_aquatic:tooth_wall_from_tooth_tiles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tooth_tiles upgrade_aquatic:tooth_wall
upgrade_aquatic:trapped_driftwood_chest | minecraft:crafting_shapeless | blueprint:and minecraft:crafting_shapeless minecraft:tripwire_hook neoforge:mod_loaded upgrade_aquatic:driftwood_chest upgrade_aquatic:trapped_driftwood_chest woodworks:config
upgrade_aquatic:trapped_river_chest | minecraft:crafting_shapeless | blueprint:and minecraft:crafting_shapeless minecraft:tripwire_hook neoforge:mod_loaded upgrade_aquatic:river_chest upgrade_aquatic:trapped_river_chest woodworks:config
upgrade_aquatic:trident | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:trident upgrade_aquatic:prismarine_rod upgrade_aquatic:thrasher_tooth
upgrade_aquatic:tube_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:tube_coral_block upgrade_aquatic:tube_corals
upgrade_aquatic:tube_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:tube_coralstone upgrade_aquatic:tube_coralstone_slab
upgrade_aquatic:tube_coralstone_slab_from_tube_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tube_coralstone upgrade_aquatic:tube_coralstone_slab
upgrade_aquatic:tube_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:tube_coralstone upgrade_aquatic:tube_coralstone_stairs
upgrade_aquatic:tube_coralstone_stairs_from_tube_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tube_coralstone upgrade_aquatic:tube_coralstone_stairs
upgrade_aquatic:tube_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:tube_coralstone upgrade_aquatic:tube_coralstone_wall
upgrade_aquatic:tube_coralstone_wall_from_tube_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:tube_coralstone upgrade_aquatic:tube_coralstone_wall
upgrade_aquatic:turtle_scute | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:turtle_scute upgrade_aquatic:scute_block
upgrade_aquatic:white_dye_from_white_searocket | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye upgrade_aquatic:white_searocket
