minecraft:golem_slicing_axe | minecraft:smithing_transform | minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform minecraft:stonecutter modulargolems:diamond_golem_axe modulargolems:golem_slicing_axe
modulargolems:sequenced_assembly/eternium_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:eternium l2complements:eternium_ingot modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/eternium_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:eternium l2complements:eternium_ingot modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/eternium_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:eternium l2complements:eternium_ingot modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/eternium_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:eternium l2complements:eternium_ingot modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/eternium_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:eternium l2complements:eternium_ingot modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/eternium_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:eternium l2complements:eternium_ingot modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/eternium_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:eternium l2complements:eternium_ingot modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/eternium_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:eternium l2complements:eternium_ingot modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/fiery_assemble_dog_golem_body | create:sequenced_assembly | c:ingots/fiery create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded twilightforest:fiery
modulargolems:sequenced_assembly/fiery_assemble_dog_golem_legs | create:sequenced_assembly | c:ingots/fiery create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded twilightforest:fiery
modulargolems:sequenced_assembly/fiery_assemble_humanoid_golem_arms | create:sequenced_assembly | c:ingots/fiery create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded twilightforest:fiery
modulargolems:sequenced_assembly/fiery_assemble_humanoid_golem_body | create:sequenced_assembly | c:ingots/fiery create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded twilightforest:fiery
modulargolems:sequenced_assembly/fiery_assemble_humanoid_golem_legs | create:sequenced_assembly | c:ingots/fiery create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded twilightforest:fiery
modulargolems:sequenced_assembly/fiery_assemble_metal_golem_arm | create:sequenced_assembly | c:ingots/fiery create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded twilightforest:fiery
modulargolems:sequenced_assembly/fiery_assemble_metal_golem_body | create:sequenced_assembly | c:ingots/fiery create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded twilightforest:fiery
modulargolems:sequenced_assembly/fiery_assemble_metal_golem_legs | create:sequenced_assembly | c:ingots/fiery create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded twilightforest:fiery
modulargolems:sequenced_assembly/fire_dragonsteel_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_fire_ingot iceandfire:fire_dragonsteel modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/fire_dragonsteel_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_fire_ingot iceandfire:fire_dragonsteel modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/fire_dragonsteel_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_fire_ingot iceandfire:fire_dragonsteel modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/fire_dragonsteel_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_fire_ingot iceandfire:fire_dragonsteel modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/fire_dragonsteel_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_fire_ingot iceandfire:fire_dragonsteel modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/fire_dragonsteel_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_fire_ingot iceandfire:fire_dragonsteel modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/fire_dragonsteel_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_fire_ingot iceandfire:fire_dragonsteel modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/fire_dragonsteel_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_fire_ingot iceandfire:fire_dragonsteel modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/gold_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:gold_ingot modulargolems:dog_golem_body modulargolems:gold modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/gold_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:gold_ingot modulargolems:dog_golem_legs modulargolems:gold modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/gold_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:gold_ingot modulargolems:gold modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/gold_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:gold_ingot modulargolems:gold modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/gold_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:gold_ingot modulargolems:gold modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/gold_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:gold_ingot modulargolems:gold modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/gold_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:gold_ingot modulargolems:gold modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/gold_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:gold_ingot modulargolems:gold modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ice_dragonsteel_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_ice_ingot iceandfire:ice_dragonsteel modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/ice_dragonsteel_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_ice_ingot iceandfire:ice_dragonsteel modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ice_dragonsteel_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_ice_ingot iceandfire:ice_dragonsteel modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/ice_dragonsteel_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_ice_ingot iceandfire:ice_dragonsteel modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/ice_dragonsteel_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_ice_ingot iceandfire:ice_dragonsteel modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ice_dragonsteel_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_ice_ingot iceandfire:ice_dragonsteel modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/ice_dragonsteel_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_ice_ingot iceandfire:ice_dragonsteel modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/ice_dragonsteel_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_ice_ingot iceandfire:ice_dragonsteel modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ignitium_assemble_dog_golem_body | create:sequenced_assembly | cataclysm:ignitium cataclysm:ignitium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/ignitium_assemble_dog_golem_legs | create:sequenced_assembly | cataclysm:ignitium cataclysm:ignitium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ignitium_assemble_humanoid_golem_arms | create:sequenced_assembly | cataclysm:ignitium cataclysm:ignitium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/ignitium_assemble_humanoid_golem_body | create:sequenced_assembly | cataclysm:ignitium cataclysm:ignitium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/ignitium_assemble_humanoid_golem_legs | create:sequenced_assembly | cataclysm:ignitium cataclysm:ignitium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ignitium_assemble_metal_golem_arm | create:sequenced_assembly | cataclysm:ignitium cataclysm:ignitium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/ignitium_assemble_metal_golem_body | create:sequenced_assembly | cataclysm:ignitium cataclysm:ignitium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/ignitium_assemble_metal_golem_legs | create:sequenced_assembly | cataclysm:ignitium cataclysm:ignitium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/iron_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:iron_ingot modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body modulargolems:iron neoforge:mod_loaded
modulargolems:sequenced_assembly/iron_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:iron_ingot modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs modulargolems:iron neoforge:mod_loaded
modulargolems:sequenced_assembly/iron_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:iron_ingot modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms modulargolems:iron neoforge:mod_loaded
modulargolems:sequenced_assembly/iron_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:iron_ingot modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body modulargolems:iron neoforge:mod_loaded
modulargolems:sequenced_assembly/iron_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:iron_ingot modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs modulargolems:iron neoforge:mod_loaded
modulargolems:sequenced_assembly/iron_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:iron_ingot modulargolems:incomplete_metal_golem_arm modulargolems:iron modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/iron_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:iron_ingot modulargolems:incomplete_metal_golem_body modulargolems:iron modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/iron_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:iron_ingot modulargolems:incomplete_metal_golem_legs modulargolems:iron modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/ironwood_assemble_dog_golem_body | create:sequenced_assembly | c:ingots/ironwood create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded twilightforest:ironwood
modulargolems:sequenced_assembly/ironwood_assemble_dog_golem_legs | create:sequenced_assembly | c:ingots/ironwood create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded twilightforest:ironwood
modulargolems:sequenced_assembly/ironwood_assemble_humanoid_golem_arms | create:sequenced_assembly | c:ingots/ironwood create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded twilightforest:ironwood
modulargolems:sequenced_assembly/ironwood_assemble_humanoid_golem_body | create:sequenced_assembly | c:ingots/ironwood create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded twilightforest:ironwood
modulargolems:sequenced_assembly/ironwood_assemble_humanoid_golem_legs | create:sequenced_assembly | c:ingots/ironwood create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded twilightforest:ironwood
modulargolems:sequenced_assembly/ironwood_assemble_metal_golem_arm | create:sequenced_assembly | c:ingots/ironwood create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded twilightforest:ironwood
modulargolems:sequenced_assembly/ironwood_assemble_metal_golem_body | create:sequenced_assembly | c:ingots/ironwood create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded twilightforest:ironwood
modulargolems:sequenced_assembly/ironwood_assemble_metal_golem_legs | create:sequenced_assembly | c:ingots/ironwood create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded twilightforest:ironwood
modulargolems:sequenced_assembly/knightmetal_assemble_dog_golem_body | create:sequenced_assembly | c:ingots/knightmetal create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded twilightforest:knightmetal
modulargolems:sequenced_assembly/knightmetal_assemble_dog_golem_legs | create:sequenced_assembly | c:ingots/knightmetal create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded twilightforest:knightmetal
modulargolems:sequenced_assembly/knightmetal_assemble_humanoid_golem_arms | create:sequenced_assembly | c:ingots/knightmetal create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded twilightforest:knightmetal
modulargolems:sequenced_assembly/knightmetal_assemble_humanoid_golem_body | create:sequenced_assembly | c:ingots/knightmetal create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded twilightforest:knightmetal
modulargolems:sequenced_assembly/knightmetal_assemble_humanoid_golem_legs | create:sequenced_assembly | c:ingots/knightmetal create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded twilightforest:knightmetal
modulargolems:sequenced_assembly/knightmetal_assemble_metal_golem_arm | create:sequenced_assembly | c:ingots/knightmetal create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded twilightforest:knightmetal
modulargolems:sequenced_assembly/knightmetal_assemble_metal_golem_body | create:sequenced_assembly | c:ingots/knightmetal create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded twilightforest:knightmetal
modulargolems:sequenced_assembly/knightmetal_assemble_metal_golem_legs | create:sequenced_assembly | c:ingots/knightmetal create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded twilightforest:knightmetal
modulargolems:sequenced_assembly/lightning_dragonsteel_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_lightning_ingot iceandfire:lightning_dragonsteel modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/lightning_dragonsteel_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_lightning_ingot iceandfire:lightning_dragonsteel modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/lightning_dragonsteel_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_lightning_ingot iceandfire:lightning_dragonsteel modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/lightning_dragonsteel_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_lightning_ingot iceandfire:lightning_dragonsteel modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/lightning_dragonsteel_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_lightning_ingot iceandfire:lightning_dragonsteel modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/lightning_dragonsteel_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_lightning_ingot iceandfire:lightning_dragonsteel modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/lightning_dragonsteel_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_lightning_ingot iceandfire:lightning_dragonsteel modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/lightning_dragonsteel_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly iceandfire:dragonsteel_lightning_ingot iceandfire:lightning_dragonsteel modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/miraculous_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:miracle_ingot l2hostility:miraculous modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/miraculous_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:miracle_ingot l2hostility:miraculous modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/miraculous_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:miracle_ingot l2hostility:miraculous modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/miraculous_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:miracle_ingot l2hostility:miraculous modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/miraculous_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:miracle_ingot l2hostility:miraculous modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/miraculous_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:miracle_ingot l2hostility:miraculous modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/miraculous_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:miracle_ingot l2hostility:miraculous modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/miraculous_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2hostility:miracle_ingot l2hostility:miraculous modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/netherite_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:netherite_ingot modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body modulargolems:netherite neoforge:mod_loaded
modulargolems:sequenced_assembly/netherite_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:netherite_ingot modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs modulargolems:netherite neoforge:mod_loaded
modulargolems:sequenced_assembly/netherite_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:netherite_ingot modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms modulargolems:netherite neoforge:mod_loaded
modulargolems:sequenced_assembly/netherite_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:netherite_ingot modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body modulargolems:netherite neoforge:mod_loaded
modulargolems:sequenced_assembly/netherite_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:netherite_ingot modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs modulargolems:netherite neoforge:mod_loaded
modulargolems:sequenced_assembly/netherite_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:netherite_ingot modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm modulargolems:netherite neoforge:mod_loaded
modulargolems:sequenced_assembly/netherite_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:netherite_ingot modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body modulargolems:netherite neoforge:mod_loaded
modulargolems:sequenced_assembly/netherite_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly minecraft:netherite_ingot modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs modulargolems:netherite neoforge:mod_loaded
modulargolems:sequenced_assembly/poseidite_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:poseidite l2complements:poseidite_ingot modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/poseidite_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:poseidite l2complements:poseidite_ingot modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/poseidite_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:poseidite l2complements:poseidite_ingot modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/poseidite_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:poseidite l2complements:poseidite_ingot modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/poseidite_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:poseidite l2complements:poseidite_ingot modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/poseidite_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:poseidite l2complements:poseidite_ingot modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/poseidite_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:poseidite l2complements:poseidite_ingot modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
